awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J13492,東京大学,盧 承鐸,３Ｄスキャンモデルにおけるプロシージャルモデルの付加方法,本研究は，既存の３次元スキャン技術では直接取得が難しい物体表面の微細構造や詳細情報を含んだ３Dモデルの再構築を可能にする技術を研究開発するものである．本研究の特色・独創的な点はプロシージャルモデル等のコンピュータ・グラフィックスにおける多様なデータ表現を再構築手法に取り入れることで生スキャンでは扱い難い詳細情報を生成しつつも，後修正も容易な3Dモデルを生成する点にある．オブジェクト表面の毛並みの再構築では，既存手法のように毛並みを３D曲線群として再構築するのではなく，毛並みの長さ・太さ・密度などの属性で定義されているプロシージャルモデルのパラメータを推定するようなフレームワーク構築を目指す．,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,コンピュータグラフィックス,プロシージャルモデル,形状処理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20564,北海道大学,松永 悠斗,音響機器の特性を利用した劣化の無い新しい情報ハイディング手法の開発,透かしと言えばレモン果汁などのあぶり出しを思い浮かべるだろうが，情報ハイディングは電子透かしとも呼ばれ，このような普段知覚できないが何かしらの情報が隠されているような処理を，デジタルの動画像や音に対して行う技術である．本研究の目的は，情報ハイディングで発生する劣化を，音楽において意図的に発生させる歪みと呼ばれる劣化として用いることで，実質的に劣化を気にしなくて良い手法を開発することである．,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,データハイディング,電子透かし,機械学習,音響歪み機器,デジタルモデリング,エッジAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J14990,名古屋大学,木谷 裕紀,完全情報化による不完全情報ゲームの数理的解析,ゲーム木とはそのゲーム内に現れうる局面とその手順関係を指す。ゲーム木の全体やその一部を用いることによって、完全情報ゲームは解析することができるが、不完全情報ゲームでは、ゲーム木の完全な記述ができないため同様の解析手法をそのまま用いることができない。本研究では完全情報化されたゲームと元のゲームとの関係を利用した不完全情報ゲーム解析を目的とする。,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,不完全情報ゲーム,完全情報ゲーム,組合せゲーム,組合せゲーム理論,トランプゲーム,計算量理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12006,東京大学,増井 建斗,深層学習によるCGイラスト制作自動化に向けた、CGイラスト制作補助システムの開発,商用に足る自動的CGイラスト制作及びイラストレーター補助のため、典型的CGイラスト制作工程及び専門知識を取り込んだ深層学習モデルを提案する。一般的なCGイラスト制作工程である①ラフ画、②線画下書き、③線画化、④下地着色、⑤陰影付、⑥描き込み、⑦仕上げ処理の7工程それぞれについてモデルを提案し、各工程でユーザーからの指示を受けるインターフェースを提示する。各モデルにおいては深度マップや法線マップを用いたイラストのジオメトリ理解や、レイヤーなどのCGイラストの専門知識、さらにイラストデータセットから学習される審美眼を盛り込む。,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,深層学習,生成モデル,着色,法線マップ,深度マップ,インターフェース,イラストレーション,自動着色,データセット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21F21783,東京都立大学,向井 智彦,次世代デジタルコンテンツ制作のためアニメーション技術の研究,,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0348,筑波大学,鈴木 一平,映像撮影のサポートシステムとインターフェイスに関する研究,映像制作において知識やノウハウが必要な部分をソフトウェアでサポートすることにより，制作時に意識すべき点を減らし，映像制作のハードルを下げ，映像の内容そのものへの注力を可能にする。研究は主に2つのパートから成る。（1）汎用センサを用いた環境センシング手法の確立：スマートフォンなどの汎用端末で撮影現場の空間情報を取得する手法について研究を行う。デジタル化した空間内で撮影結果のシミュレーションを可能にし，撮影者が望む映像との比較をしながら，パラメータ調節の最適解を導出可能にする。（2）人と計算機の協調による撮影環境構築手法の確立：実際に撮影環境を構築するインターフェイスの研究を行う。,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,写真撮影,カメラ,ライティング,照明,インターフェイス,HCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ1126,名古屋大学,尾頭 花奈,移動前・移動中・移動後のUXを向上させるエンターテインメントシステムの提案,本研究では、移動に新たな価値を与え、移動をより楽しい体験にすることを目的に、移動のUXを向上させるのエンターテインメントシステムの提案と実装、およびその有効性の検証を行う。,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,VR,疑似体験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ0699,東京大学,東條 建治,微分可能グラフィクスを用いた創造的デザイン支援,デジタルな三次元形状を編集するための技術は、ストーリーテリングのほか、建築や家具、彫刻の製造など、幅広い応用がある。様々な三次元創作支援ツールが研究されてきたが、形状データを操作して思い通りの機能や見た目を実現することは、試行錯誤を必要とし容易でない。本研究では、コンピュータビジョン技術を応用し、写真などの二次元データをもとに、簡単に思い通りの三次元コンテンツを作成できるツールを開発する。具体的には、画像生成アルゴリズムの微分値を用いる微分レンダリングや、ニューラル場と呼ばれる勾配最適化に適した三次元表現を用いて、参考画像や指定された機能から自動で三次元形状を最適化する手法を検討する。,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,形状最適化,微分可能レンダリング,計算ファブリケーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KF0072,京都情報大学院大学,植田 浩司,VRの活用と制作手法の研究。映画など従来の映像作品との効果，製作プロセスの比較,"This study is a cross-field of VR technology combined with tourism, mainly using VR camera and unreal Engine to create a Kyoto tourism VR system. Based on this system, a series of user experience research is conducted to find the core value of VR for tourism and analyze the design ideas of VR tourism system.",特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,遺産観光,バーチャルツアー,S-O-Rモデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KF0070,立命館大学,ROTH Martin,日仏のメディアコンテンツに関するデータを紐つけるための研究,"This research aims at studying the temporal and spatial availability of media contents on SVOD platforms in various countries and studying specific cultural media subsets. The project consists in analyzing and interlinking SVOD catalog data, and publishing the results and reusable datasets.",特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,SVOD,Netflix,Amazon Prime Video,Disney +,Linked Open Data,Digital Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ1232,名古屋大学,吉渡 叶,グラフマッチング型ゲームの必勝判定,グラフマッチング型ゲームとは，組合せゲームの中でも両プレイヤの選択がグラフのマッチングを構築するゲームの総称である．1970年代から広く扱われているクラムとドミニアリングはグラフマッチング型ゲームの代表であり，これらはボード上にコマを置く操作のみの単純なルールであり数理モデルの基礎として広く研究されている．組合せゲームでは，ボードが2次元以上の場合その計算複雑度についてPSPACE完全が示されているものが多いが，クラムとドミニアリングの計算複雑度は現在も未解決である．本研究ではクラムとドミニアリングに対しアルゴリズム論的アプローチにより上記の未解決問題に取り組む．,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ1125,電気通信大学,高橋 拓椰,音楽理論と多種言語特性に則った作曲意図に基づく歌詞からの自動作曲,本研究では、与えられた歌詞に対する「良い音楽」の作曲を計算論的に定式化し、アルゴリズムを導出し、自動作曲システムを構築して社会還元する。人間作曲家の作曲プロセスを参考に、正統的な音楽理論、多言語歌詞の言語特性に基づいた理論的側面、歌詞内容やアーティスト性、ジャンル、感情といった意味的側面を数学的に捉え、これらの側面を自動折衷した作曲が可能な言語ユニバーサルな歌唱曲自動作曲システムを実現公開を行う。,特別研究員奨励費,小区分62040:エンタテインメントおよびゲーム情報学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
