awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18F18398,北海道大学,宮崎 雄三,先進的な窒素同位体比測定法による大気有機態窒素エアロゾルの起源の解明,本年度は昨年度から引き続き大気エアロゾル中のアミノ酸について、実大気中での代表的な反応過程であるオゾン酸化反応を受けた際の同位体分別効果を調べ、起源トレーサーとしての有用性を検証した。同位体比既知の遊離態アミノ酸標準物質、タンパク質のモデル物質としてのウシ血清アルブミンを添加した石英繊維フィルター、および森林観測サイトで採取した大気エアロゾルフィルター試料(TSP)をそれぞれ大気オゾンに曝露した。これにより、オゾン曝露の前後でアミノ酸の窒素、炭素の安定同位体比が有意に変化するかどうか、すなわちエアロゾル中のアミノ酸がオゾンに伴う反応を受けることによる同位体分別効果の影響を調べた。測定には前年度に確立した、石英繊維フィルターからの溶媒抽出、加水分解や誘導体化等のプロセスの後、ガスクロマトグラフ-質量分析計およびガスクロマトグラフ-同位体比質量分析計に導入し、化合物の質量および安定同位体比を測定する手法を用いた。,特別研究員奨励費,小区分63010:環境動態解析関連,窒素同位体,エアロゾル,アミノ酸,窒素同位体比,有機態窒素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18F18392,九州大学,林 健司,環境汚染評価のためのトータルガスセンシングシステムの開発,前年度までに開発したナノドットを用い、センサデバイスと検知システム応用を行った。まず、Au/Agハイブリッド構造によって作製することができた星状やダンベル状などの金属ナノ粒子構造を検討し、電磁界解析結果から星状構造を持つナノドット（Au/Ag core-shell nano-urchin）を採用し、センサデバイスの構築を行った。検知系は反射スペクトル測定として、ポータブルセンサとしてシステム展開できる構造とした。測定信号としては局在プラズモン共鳴（LSPR）の吸収・反射スペクトル情報を用いた。LSPR基板は透明電極（ITOガラス）上に金属ナノ粒子を展開することで、プラズモン共鳴により生じる近接場光の増強を図り、センサ感度を向上させた。この感度増強については電磁場解析とナノ粒子の凝集状態の電子顕微鏡像との対応付けにより設計と最適化を行った。センサ検知対象ガスとしては生体関連ガスである脂肪酸に設定し、分子鋳型ゾルゲル層によって金属ナノ粒子層をコーティングすることで分子選択性を付与した。分子鋳型ゾルゲル（MISG）はチタン系材料を骨格としたもので、鋳型材料により最適化した構造を調整することで脂肪酸選択性を上げることができる。構築したセンサシステムを用い、LSPR基板の作成条件によるナノ粒子の集合状態、LSPRスペクトル、センサ応答の評価などを通じて、MISGの鋳型構造によって分子選択的を有する脂肪酸センサデバイスとして機能する事を確認した。このセンサデバイスと反射スペクトル検知系は様々な化学物質センサシステムとして展開できる汎用性があり、生体関連ガス、食品関連ガス、環境汚染ガスなどへの適応についても検討・調査を行った。,特別研究員奨励費,小区分63010:環境動態解析関連,金属ナノ粒子,ナノドット,プラズモニックセンサ,環境汚染ガス,バイオジェニックガス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J40218,京都大学,河野 七瀬,ペルオキシラジカルの選択的検出によるHOxサイクルの定量的評価手法の開発,地球温暖化やPM2.5の増加など，我が国が抱える環境問題に対応するためには，正確な大気モデルに基づく将来予測を行うことが必要である。そのため，大気中で起こり得る化学反応メカニズムの完全なる理解が求められている。本研究では，大気化学で最も重要な連鎖反応のひとつであるHOxサイクルの定量的な評価を目指し，実験を行う。HOxサイクルに関与する大気中の化学種は数千種類と存在し，その定量評価は非常に困難であったが，本研究では反応物であるOHラジカル，および生成物であるペルオキシラジカル(HO2，RO2)の選択的な検出を行い，さらに，様々なRO2ラジカルを包括的に観測することで，その定量評価を目指す。,特別研究員奨励費,小区分63010:環境動態解析関連,HOxサイクル,OHラジカル,化学反応,大気化学,HO2ラジカル,RO2ラジカル,HOxラジカル,ラジカル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14985,京都大学,沈 尚,メタゲノム解析に基づくウイルスと宿主細菌の動態解明,"琵琶湖に生息する細菌とそれに感染するウイルスは他の生物を圧倒する数（細菌：～百万細胞/mL, ウイルス：一千万粒子/mL）で存在している。ウイルスと細菌の相互作用は琵琶湖の生態系プロセスに大きな影響を及ぼすことが明らかになっている。しかし、季節や水深ごとにどの種の細菌やウイルスが重要かまでは明らかになっておらず、ウイルスを組み込んだ琵琶湖生態系モデルの構築に至っていない。",特別研究員奨励費,小区分63010:環境動態解析関連,ウイルスメタゲノム,琵琶湖,多様性,季節変動,宿主予測,宿主細菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14696,京都大学,LYU HAN,気候条件が土壌の有機炭素安定化メカニズムに与える影響,この研究では、熱帯に位置する乾燥が強いタンザニアとより湿潤なインドネシアにおいて、多様な気候条件などの因子が土壌有機物の分布と安定性に及ぼす影響を明らかにする（気候条件と二酸化炭素の排出との関連を解明する）。,特別研究員奨励費,小区分63010:環境動態解析関連,土壌有機炭素,炭素プール,気候変動,ナノ結晶鉱物,地球化学,気候条件,土壌鉱物,長期培養,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14488,東京大学,木野 佳音,４３－４０万年前の退氷期における南半球高緯度での気候変動をもたらした要因の分析,南極氷床コアから得られる水同位体比は過去の気候変動シグナルとして信頼が高い。しかし、過去の気候変動がどのような過程で南極上の降雪同位体比に記録されるのかについて、未解明な点はまだ多い。本研究では、将来の温暖化予測シミュレーションに用いられる気候モデルを用いて、南半球高緯度の気候変動がどの程度・どのように説明できるのか調べる。過去の温暖期などの水同位体比を陽的に求め、氷床コア記録とモデリング結果を直接比較する手法を確立する。本研究は、極域における気候モデルの有用性の評価に資する。,特別研究員奨励費,小区分63010:環境動態解析関連,氷床コア,気候モデル,同位体,南極,古気候,気候変動,気候,水同位体GCM,古気候モデリング,アイスコア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14142,東京大学,美世 一守,環境変動に対する土壌微生物群集動態の予測,土壌には1gあたり数十億もの微生物が存在し、分解者として地球上の物質循環を支えている。一方で土壌生態系は温度変化・降雨・汚染物質の流入といった環境変動に絶えずさらされており、人為的な環境変動は年々強まっている。そのため、環境変動が土壌微生物群集やその機能に与える影響を解明するための操作実験が多数行われてきたが、土壌の性質の多様性もあって統一的な理解には至っていない。本研究では世界中で過去に蓄積された膨大な実験データを俯瞰的に解析することで、環境変動が土壌微生物に与える影響を統一的に記述・予測することを目指す。,特別研究員奨励費,小区分63010:環境動態解析関連,バイオインフォマティクス,環境微生物,群集生態学,土壌微生物,腸内細菌,水圏微生物,微生物群集構造解析,細菌群集構造,微生物生態学,形質ベースアプローチ,データベース,メタゲノム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01838,東京海洋大学,森 麻緒,衛星観測と粒子追跡法による南極海ライギョダマシの発育初期における輸送経路の解明,ライギョダマシは南極生態系において大型捕食者の主要エネルギーであり、商業的価値・需要が高いため厳しく漁業制限が設けられている一方で、海氷域で繁殖するため冬季海氷域における「卵・仔魚の輸プロセス」およびその「生存パターン」の実態は現場観測の難しさからいまだに不明である。しかしながら、これらの把握は種の適切な資源保存管理を行うために必須である。,特別研究員奨励費,小区分63010:環境動態解析関連,ライギョダマシ,粒子追跡,卵・仔魚輸送,東南極海,海氷-海洋結合モデル,衛星,GPS搭載漂流ブイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00682,国立極地研究所,石野 咲子,南極アイスコア中の硫酸の酸素同位体異常に基づく過去の大気酸化力の復元,大気酸化力（＝大気酸化剤の存在量）は、あらゆる大気微量成分の寿命制御要因の一つであるため、大気環境変動を解明する上で重要な情報である。しかし、大気酸化剤はアイスコアに直接保存されないため、過去の大気酸化力の復元は困難となっている。これに対し、南極アイスコア中の硫酸の酸素同位体異常（Δ17O値）は、過去の大気酸化反応過程の間接指標として提案されている。,特別研究員奨励費,小区分63010:環境動態解析関連,酸素同位体異常,南極,硫酸エアロゾル,アイスコア,大気酸化過程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J23471,福井県立大学,中島 壽視,放射性同位体による沿岸海底湧水を介した栄養塩輸送量と低次生態系への影響の解明,沿岸域の示す高い生物生産力の維持にとって、河川水や外海水、近年では地下水（淡水成分および海水成分）から供給される栄養塩が重要な役割を果たすと考えられているが、それらの重要性は空間的に大きく異なる。さらに、沿岸域へ流入する河川水や地下水に含まれる栄養塩類は流下に伴う環境変化によって栄養塩特性が大きく変化する。本研究では、陸海境界領域における水と栄養塩の動態を評価した上で、河川水や地下水、外海水から供給される栄養塩が沿岸域生態系に果たしている役割を定量的に評価する。,特別研究員奨励費,小区分63010:環境動態解析関連,海底湧水,地下水,ラドン,ラジウム,植物プランクトン,栄養塩,沿岸域,陸海境界領域,ラジウム同位体,河川下流域,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
