awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J21851,東北大学,酒井 和哉,精子small RNAに着目した継世代毒性評価バイオマーカーの作出,精巣毒性とは化学物質等による精巣への有害影響をいうが、臨床で非侵襲的に検出・評価可能なバイオマーカーが現状存在しない。申請者は、これまでに精子のエピゲノムが精巣への軽微な毒性刺激により変動することを見出しており、このことから精子エピゲノムのバイオマーカー応用を着想した。加えて、これら変動したエピゲノムが次世代発生過程に及ぼす影響を精査することで、継世代影響を含めた毒性評価が可能となるだけでなく、未だ不明な点が多い精子エピゲノムの機能解明に資する知見を提供できると考える。よって本研究では特に精子に内在するsmall RNAに着目し、その次世代発生過程における機能解明とバイオマーカー応用を目指す。,特別研究員奨励費,小区分63030:化学物質影響関連,精巣毒性,エピジェネティクス,small RNA,DNAメチル化,次世代影響,バイオマーカー,精子,Doxorubicin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15480,岐阜薬科大学,郷 すずな,胎生期における環境化学物質曝露のエピゲノム変化を介した毒性メカニズム解明,これまで胎内の環境化学物質曝露がDOHaD説においてリスク因子として懸念されながら、その検証は不十分であった。そこで胎生期化学物質曝露によるDOHaD説を解明する手段の一つとして胎生期曝露が記憶能力などの低下に関連することが報告されているメチル水銀 (MeHg)に焦点をあてた。近年、DOHaD説における後発的影響の発症機序にエピジェネティクスが関連することが示唆されている。以上より、胎生期MeHg曝露によるDOHaD説を基盤とした次世代影響メカニズムの検証をエピジェネティクスに焦点を当てて行う。,特別研究員奨励費,小区分63030:化学物質影響関連,メチル水銀,エピジェネティクス,神経分化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J20637,東北大学,星 尚志,メチル水銀による傷害性ミクログリアへの活性化機構の解明,"メチル水銀は今から60年前に発生した公害病である""水俣病""の原因物質として知られている。近年、妊婦の魚食を介したメチル水銀の摂取によって生まれた子どもの発育に悪影響が認められることが報告され、世界的に問題になっている。しかしながら、メチル水銀による中枢神経障害に関わる分子機構は不明である。",特別研究員奨励費,小区分63030:化学物質影響関連,メチル水銀,ミクログリア,活性化機構,スライス培養,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J10103,広島大学,田中 美樹,大気中微粒子曝露による神経炎症を介した脳梗塞の予後悪化メカニズムの解明,微小粒子状物質（PM2.5）の標的器官として，新たに中枢神経系が着目されている。近年，PM2.5曝露下では脳梗塞発症後の入院期間が延長し死亡率が上昇するなど，脳梗塞予後が悪化するとの疫学的報告が増加しているが，そのメカニズムは不明である。本研究はPM2.5による炎症に加えて虚血性の炎症が生じる「相加的神経炎症」を脳梗塞の予後悪化の仮説とし，動物実験と培養細胞実験を駆使した多階層でのアプローチにより，相加的神経炎症後の個体における病態から炎症惹起に関連する分子に至るまで統合的に解析する。,特別研究員奨励費,小区分63030:化学物質影響関連,脳梗塞,PM2.5,相加的神経炎症,ミクログリア,AhR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J15552,愛媛大学,神田 宗欣,有機リン系難燃剤を曝露したニワトリ胚の経時的観察による心血管毒性発現機構の解明,リン酸トリス（2-クロロエチル）（TCEP）は、有機リン系難燃剤（OPFRs）の一種であり、火災の延焼を遅らせる目的で繊維製品・工業製品・家具などに使用されている。TCEPは、野生鳥類の組織や卵中から検出されている。in situ観察が可能な殻なし胚培養系を用いてニワトリ胚に対するTCEPの毒性影響を調査し、発生遅延・心拍数の低下・体重に対する心臓重量比の増加が確認された。しかし、これら毒性影響の発現機序は不明である。そこで本研究では、オミクス解析などの実験系を組み合わせて、TCEP曝露によるニワトリ胚の発生毒性・心血管毒性のAdverse Outcome Pathway（AOP）を解明する。,特別研究員奨励費,小区分63030:化学物質影響関連,有機リン系難燃剤,TCEP,ニワトリ胚,トランスクリプトーム,上皮間葉転換,EMT,RNA-seq,ニワトリ,有機リン酸エステル系難燃剤,発生毒性,心血管毒性,殻なし孵化装置,鳥類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21F51089,九州大学,大嶋 雄治,コロナ禍下水圏に排出される医薬品のマイクロプラスチックーベクター効果に関する研究,,特別研究員奨励費,小区分63030:化学物質影響関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21F21089,九州大学,大嶋 雄治,コロナ禍下水圏に排出される医薬品のマイクロプラスチックーベクター効果に関する研究,,特別研究員奨励費,小区分63030:化学物質影響関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ3184,国立研究開発法人産業技術総合研究所,韓 書平,金属ナノマテリアルの体内への取り込みを考慮した生態毒性評価,世界中で、水環境政策の適用性と妥当性に向けた金属ナノマテリアルの生態影響を評価するためには、物理化学的特性のみならず、水環境動態（溶解特性）、および水生生物体内への取り込みとの関係を解明することも重要である。,特別研究員奨励費,小区分63030:化学物質影響関連,酸化銅ナノマテリアル,オオミジンコ,酸化銅ナノ粒子,水環境動態,凝集・溶解・沈殿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2576,岐阜薬科大学,山本 勝也,リポカリン分子に着目した金属カドミウム慢性毒性発現機構の解明,カドミウムは（Cd）はイタイイタイ病の原因物質であるとされているが、その毒性発現機構については未だ完全には解明されていない。申請者は、Complement Component 8 gamma (C8γ)をCdの毒性発現に影響を及ぼす分子の候補として見出したため、本研究は、①毒性発現機構、②生体内におけるCd動態 という2つの視点を切り口に、C8γの寄与を解析することで、Cdの毒性発現機構および生体内におけるCdに対する防御機構の解明を試みる。,特別研究員奨励費,小区分63030:化学物質影響関連,リポカリン,C8γ,カドミウム,肝毒性,毒性発現,遺伝子改変マウス,メタロチオネイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0445,群馬大学,二ノ宮 彩音,小脳におけるペルフルオロオクタンスルホン酸による発達神経毒性発現機構の体系的解析,近年，急増傾向にある発達障害の原因の一つとして、環境中に残存する化学物質の周産期曝露が注目されている。2022年度には、神奈川県と沖縄県の米軍基地から高濃度のペルフルオロオクタンスルホン酸(PFOS)が漏出していることが明らかとなり、また東京多摩地区の住民の血液から基準値を上回るPFOSが検出され、健康への影響がますます懸念される状況である。本研究では、特に残留が社会的問題となっているPFOSの脳機能発達への影響に着目し、異常をきたす分子機構をはじめ、PFOSの発達期の脳における毒性の詳細を明らかにする。,特別研究員奨励費,小区分63030:化学物質影響関連,ペルフルオロオクタンスルホン酸,海馬,認知機能,ペルフルオロオクタンスルホン酸(PFOS),小脳,環境化学物質,内分泌かく乱物質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
