awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J20957,北海道大学,北沢 宗大,耕作放棄が鳥類多様性に及ぼす影響は正か負か？集約度と季節から迫る全国規模での検証,私たちは生物の大量絶滅期と同時に、人口減少期にも直面している。この人口減少に伴って、全国的に耕作放棄地が増加している。耕作放棄地には、森林や湿原のような自然植生が回復する場合がある。このような耕作放棄地に、生物の生息地としての価値を見出すことができれば、効率的に生物多様性を保全できるだろう。,特別研究員奨励費,小区分64040:自然共生システム関連,生物多様性,保全生態学,耕作放棄地,鳥類,種数,個体数,農地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15146,京都大学,野本 繭子,ゾウにとっての畑と森：採食生態学からみるマルミミゾウの獣害と保全,本研究は、アフリカ熱帯林に生息する野生のマルミミゾウを対象に、利用環境や採食行動の性別差や年齢差を明らかにすることを目的として行う。,特別研究員奨励費,小区分64040:自然共生システム関連,採食生態学,マルミミゾウ,人と動物の共存,採食戦略,環境利用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14811,東京大学,木下 千尋,最適水温の雌雄差が生息域の違いを生み出すか：ウミガメを用いた実証研究,海棲爬虫類のウミガメ類は温暖な海域に限定して生息していると考えられていたが、近年水温が15℃を下回る寒冷な海域にもウミガメ類が活動性を保ちながら来遊していることが明らかになっている。これまでの研究で、低水温でも活発な北太平洋個体群のアカウミガメは高い休止代謝速度が保持していることを明らかにしたが、寒冷な海域に分布する個体はオスに偏っていることが分かった。本研究では、性別が行動および行動基盤に関連しているかを評価する。,特別研究員奨励費,小区分64040:自然共生システム関連,ウミガメ,バイオロギング,代謝速度,遊泳速度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01267,国立極地研究所,西澤 文吾,アホウドリ類の保全に向けた重要海域の特定と混獲リスクマッピング,日本の沖合に分布する希少性の高いクロアシアホウドリを対象に、採餌における重要海域と漁業活動による影響が大きい場所を、バイオロギング技術を用いて明らかにする。動物装着型の小型ビデオ記録計によって、自然餌と漁業餌を特定し、それぞれの餌の採餌頻度を明らかにする。また，GPS記録計によって、自然餌と漁業餌を食べた場所での滞在時間をそれぞれ明らかにする。以上より，自然餌を頻繁に食べる海域と，漁業活動への依存度が高い海域を特定することで，特に保全の優先度が高い海域を抽出し、マップ化する。さらに，自然餌と漁業餌を食べた場所の海洋学的特徴を抽出し、それぞれの成立要因をハビタットモデリングによって明らかにする。,特別研究員奨励費,小区分64040:自然共生システム関連,採餌行動,海鳥,重要海域,アホウドリ,バイオロギング,漁業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00938,東京女子大学,寺田 佐恵子,アフリカゾウの保全と地域開発に資する獣害対策手法の構築,本研究は、アフリカ各地で深刻なゾウによる獣害問題を解決するために、ゾウの生態と住民の知識・価値観に基づいた、ゾウの保全と地域開発に貢献する獣害対策手法を住民と共に構築し、その策定プロセスをモデルとして提示することを目的とする。また、国際的な議論や国内政策のどのような要素が、ゾウの保全と地域開発に正又は負の影響を与えているかを階層的に提示することを目指す。この目的を達成するために、アフリカの保護区周辺地域でのゾウの生態、被害、対策、住民の価値観等についての調査を行うと共に、関連国際会議への参加、文献調査等を行う。,特別研究員奨励費,小区分64040:自然共生システム関連,アフリカゾウ,野生生物保全,獣害,地域開発,ワシントン条約,象牙取引,地域住民の認識,国際交渉,自然環境保全,観光,アフリカ,地域住民,国際世論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19804,公益財団法人地球環境戦略研究機関,齊藤 修,エチオピアにおける社会生態ランドスケープのレジリエンスと生態系サービスの評価,"To achieve the objective of this study, the landscape will be characterized in terms of its ecological, social, economic and cultural attributes. Each of the selected ES will be quantified and mapped according to their indicators and made an economic valuation. The future scenario planning will be carried out through suitable methods. Furthermore, the resilience of the community will be evaluated with the new Toolkit indicators for the development of planning and strategies. The research results will be disseminated through publication and conference presentations.",特別研究員奨励費,小区分64040:自然共生システム関連,landscape,Jefoure roads,Home garden,Church forests,Enset crop,Landscape resilience,Agroforestry system,Church forest,Enset,Future scenario,Resilience,Ecosystem services,Jefoure,Cultural landscape,Sacred forest,Mapping,Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19F19795,東京大学,Gasparatos Alex,社会生態学的生産ランドスケープにおける生物多様性、気候及びコミュニティの連関,"Rationale: Mountains provide numerous ecosystem services, which are threatened by anthropogenic and naturally driven landscape changes. To sustain nature’s benefits, a balance must strike between use and replenishment, which is currently non-existent.",特別研究員奨励費,小区分64040:自然共生システム関連,Mountain ecosystems,Satoyama Initiative,Sustainability,Climate Change,Biodiversity,Himalaya,MODIS,Apple plantations,Community,Himachal Pradesh,Land use mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13144,千葉大学,飯島 大智,気候変動に対する応答の生態系間ミスマッチは、高山帯の鳥類群集を崩壊させるのか？,近年の温暖化に伴い高山帯の鳥類群集が急速に変化している。高山帯で鳥類は、高山帯よりも低標高で発生し、飛翔や風により高山帯に輸送され、残雪上に落下した昆虫を採食する。さらに山岳は温暖化の進行度が低地の2倍と予測されており、温暖化に伴う昆虫の出現時期の変化は、鳥類の繁殖時期の変化より大きいことから、鳥類の繁殖時期と昆虫の高山帯への輸送時期の間でミスマッチが生じると強く予想される。そこで乗鞍岳の高山帯で鳥類が系外から輸送された昆虫を採食しているかを調べ、亜高山帯での昆虫の季節消長と高山帯への資源移動の季節性を解明し、鳥類の繁殖と資源移動の間でミスマッチが生じるかを数理シミュレーションにより検証する。,特別研究員奨励費,小区分64040:自然共生システム関連,高山生態系,資源補償,気候変動,鳥類群集,フェノロジー,資源移動,生物季節のミスマッチ,鳥類,昆虫,高山帯,亜高山帯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J01847,総合地球環境学研究所,原口 正彦,生態系による減災効果の分析と気候変動の複合的影響評価法の開発,気候変動に関する政府間パネルは2018年に報告書『1.5℃の地球温暖化』を発表した。しかし、気候変動の影響評価については依然大きな不確実性がある。ハザードの変化に加えて暴露・脆弱性の将来変化を考慮した評価研究は少なく、現在の気候変動影響モデルはその影響を過小評価している。既存研究では気候変動が水・エネルギー・食料・生態系等の夫々に対して与える影響の評価は行われてきたが、これら全体を社会と自然環境の相互システムとして総合的に捉え評価することが今後の課題である。本研究では、生態系の減災効果を定量化し、気候変動の複合的影響を評価する手法を開発し、災害研究の成果を気候変動影響評価の研究に統合する。,特別研究員奨励費,小区分64040:自然共生システム関連,気候変動影響,生態系を利用した減災,水・エネルギーネクサス,都市緑地の生態系サービス,洪水リスク,熱中症対策,土砂流出,グリーンインフラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J00178,東京大学,久野 真純,気候変動が森林の生物多様性と生態系機能に与える影響：北米大陸全域60年間の動態,本研究では、ビッグデータを堅牢な統計的手法によって解析することで、生物多様性の気候変動に対する応答を調べる。具体的には、北米大陸約4万調査区、そこでモニタリングされた220万個体の樹木、その60年間にわたる非常に大規模なデータを扱う（※アジア諸国では森林モニタリングの歴史は浅く、また、欧州では天然植生が少ないうえ、データがカバーする気候帯の幅も狭い）。本研究は、北米大陸における亜寒帯・温帯・亜熱帯など、広域な気候区分における森林の生物多様性および生態系機能に与えるインパクトを評価する。そのため、本研究の成果は地球上におけるさまざま気候区分に属する森林に対して幅広い汎用性をもたらすと期待される。,特別研究員奨励費,小区分64040:自然共生システム関連,生物多様性,生態系機能,生産性,森林生態系,機能的多様性,機能形質,北方林,気候変動,気候変動影響,森林組成,構造的多様性,森林生産量,植物機能形質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
