awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J40210,神戸大学,大野 聖良,入国管理をめぐる外国籍移住女性への統治実践の研究―日比の在留資格「興行」言説から,本研究は、在留資格「興行」の制度化と繰り返される規制をめぐる日比間の言説に注目し、それらがフィリピン人移住女性のセクシュアリティをいかに規定しながら、女性たちの移動と就労に影響を及ぼしてきたのかを、言説分析とインタビュー調査で明らかにし、受入れ・送出し側双方による女性の移動・就労の統治実践の理論化を目指す。,特別研究員奨励費,小区分80030:ジェンダー関連,興行,エンターテイナー,招聘業界,接客行為,人身取引問題,NGO,フィリピン,入国管理,在留資格「興行」,日本,エンターティナー,ジェンダー,国際移住労働,移民女性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J21075,大阪大学,近藤 凜太朗,フェミニストNGOが産出する「第三世界」のジェンダー表象,本研究の目的は、社会変革的な理念をもって運動する「第三世界」のフェミニストNGOが「第一世界」に向けて行う表象実践の意味の全体像を、表象の素自体がもつ意味内容と、「第一世界」の読み手がその素材に対して下す評価の両面に着目しながら、明らかにすることにある。,特別研究員奨励費,小区分80030:ジェンダー関連,ジェンダー,表象,フェミニズム,第三世界,女性に対する暴力,NGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J15527,名古屋大学,高島 亜理沙,インターネット上のホモフォビアとヘイト・スピーチに関するＣＭＣＭＣ言説分析,本研究は、エンターテイメントとして消費されるホモフォビックな表現形態に着目し、こういった表現が①どのように発展・継続してきたか、②どのようにポリティカル・コレクトネスの規制を免れてきたのか、そして③なぜ必要とされるのかを明らかにすることを目的としたものである。差別性が問題化されながらも人気を博しているコンテンツに関して、内容分析やインタビュー調査を行うことで、度々論争を呼んでいる「冗談か差別か」「表現の自由かヘイト・スピーチか」といった問いに一定の方向性を示すことを目指す。,特別研究員奨励費,小区分80030:ジェンダー関連,ジェンダー,セクシュアリティ,クィア理論,メディア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J14416,お茶の水女子大学,小松 恭子,職種からみる育児期女性の就業実態に関する実証分析：国際比較と時系列比較,本研究は、職業別の労働市場や雇用慣行に着目しながら、それぞれの職種が持つ人的資本の特性を明らかにした上で、職種経験と育児期の女性の就業行動や就業の質との関係について検証する。具体的には、次の2つの研究課題について明らかにする。,特別研究員奨励費,小区分80030:ジェンダー関連,スキル,タスク,就業,男女賃金格差,国際比較,時系列比較,女性就業,職種,出産・育児期,再就職,PIAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13711,フェリス女学院大学,新倉 久乃,在日タイ女性のトランスナショナルな定住と高齢化ーライフコースと移動に注目して,本研究は、30年前に日本において顕著になった移住の女性化の中で、来日数が多かった在日タイ女性に注目して、女性たちが移動を通して高齢期に備える生存戦略を考察する。老年社会学において高齢者の幸福な老いを追求する新しいライフスタイルを参照し、家や貯蓄などの経済的基盤、生活や健康を維持する社会保障制度、家族やコミュニティとの紐帯という要素に着目する。日タイのトランスナショナルな家族関係の中で、移動を通してこれらをどのように選択し、高齢期に備えているのかフィールド調査を基に研究する。日本国内とタイへの一時帰国時の調査と共に、比較調査として在外タイ人の多いロサンゼルスでインタビューと参与観察を行う。,特別研究員奨励費,小区分80030:ジェンダー関連,移住女性の高齢期,在日タイ女性,トランスナショナルな存在,ひとり親と生活困窮,ジェンダー役割,エスニック・グループ,移住女性の高齢化,国際移動,社会保障制度,在留資格,経済格差,越境家族の紐帯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J01059,首都大学東京,大西 香世,女性の政治参加に対する抵抗と女性議員に対する暴力に関する理論と実証研究,,特別研究員奨励費,小区分80030:ジェンダー関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21678,名古屋大学,左高 慎也,フェミニスト制度論における「ジェンダー化された制度」概念の理論的体系化,本研究の目的は、ジェンダーと結びついている政治現象のメカニズムを、制度とアクターの双方を射程に入れながら把握するためには、いかなるアプローチが有効であるのかを明らかにすることである。この目的を達成するために本研究では、フェミニスト制度論における「ジェンダー化された制度」概念を理論的に体系化することを試みる。より具体的には、同概念をめぐる議論を、(1)フェミニスト的／ジェンダー的視座とは何か、(2)制度とは何か、(3)制度－アクター関係をどのように理解するか、(4)制度変化をどのように説明するか、という4つの論点に分節化したうえで、これらの論点に体系的に取り組むことを目指す。,特別研究員奨励費,小区分80030:ジェンダー関連,ジェンダーと政治,フェミニスト制度論,制度論,フェミニズム,インフォーマルな制度,制度変化,合理的選択制度論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21531,一橋大学,齋藤 あおい,現代中国における性別役割分業の変遷――産後習俗「坐月子」における男性の不在,中国の伝統的な産後の慣習「坐月子（ズオユエズ）」が、高度に文明化した都市社会である上海市においてどのように実践されているのかを調査する。本研究では、「坐月子」を経験した中国人女性たちと、「坐月子」の母子ケアの専門資格を取得した出稼ぎの家事労働者・「月嫂（ユエサオ）」へのインタビューを通じて、商業化した「坐月子」のありかたを見ていく。その調査を通じて、男女の夫婦間に生じる、「坐月子」の関わり方のジェンダー差について分析をおこなう。,特別研究員奨励費,小区分80030:ジェンダー関連,産後ケア,坐月子,上海,ジェンダー,中国地域研究,リプロダクション,人口政策,現代中国研究,ジェンダー研究,リプロダクション研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12405,立命館大学,西井 開,「非モテ」現象に見る男性の自己閉塞化と不安定な男性性に関する臨床社会学,本研究は周辺化された男性がミソジニーやセルフネグレクトを強化する過程と男性のもつ精神衛生上の課題を明らかにすることを目的とする。研究するあたって、女性との関係性や集団からの疎外感といった苦悩を持つ周辺化された男性の当事者研究グループをフィールドとし、グループで語られた内容の分析を行う。さらに、日本の一部の男性よりも強くミソジニーや加害性を内面化していると考えられる「インセル」に関する米国での現地調査およびインタビュー調査を実施する。国外の周辺化された男性の実態と比較検討をすることで、日本における男性の動態や社会構造の特徴を浮かび上がらせる。,特別研究員奨励費,小区分80030:ジェンダー関連,不安定な男性性,男性集団内の周縁化作用,ナラティヴ,「非モテ」,自己レイベリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12138,大阪大学,井上 瞳,性的虐待被害者にとって生とは何か――当事者研究の角度から,本研究は、性的虐待被害者および被害者グループへのインタビュー調査を通じ、当事者の多様な生き方を記述することを目的とする。,特別研究員奨励費,小区分80030:ジェンダー関連,性暴力,トラウマ,PTSD,現象学,医療人類学,フェミニズム,性的虐待,当事者,被害者,ジェンダー,エスノグラフィー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J12027,日本大学,吉村 さやか,「髪は女のいのち」を問い直す：脱毛症女性の「生きづらさ」への対処戦略の検討から,本研究の目的は、髪のない女性たちの「生きづらさ」とそれへの多様な対処戦略を明らかにすることを通して、「女性に髪があるのは自然であたりまえ」「女性の髪は美しいほうが望ましい」とされる常識的価値規範をジェンダーの視点から問い直すことにある。,特別研究員奨励費,小区分80030:ジェンダー関連,社会学,ジェンダー,フェミニズム,問題経験,当事者研究,ライフストーリー調査法,エスノメソドロジー,ディスアビリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
