awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J23744,山形大学,三浦 大輔,核偏極技術を用いたスピンコントラスト変調中性子回折法の確立,"タンパク質や薬，物質などの機能を決定する上で水素の位置が非常に重要であり, 工学・化学・生物・製薬など広い分野で水素位置を特定したいという要望がある。水素位置を特定するのに中性子回折法と呼ばれるレントゲンのようなものを用いるが, 位置情報を持つ信号は微小なものであり, 特定が難しい。そこで原子核が持っている""スピン""と呼ばれる量を揃える核偏極という技術を用いることで位置情報を持つ信号を高感度で取得できる。本研究は核偏極技術を応用し, 中性子回折法で水素位置の信号を高感度で取得する手法を確立する。",特別研究員奨励費,小区分80040:量子ビーム科学関連,DNP,スピンコントラスト,中性子散乱,中性子粉末回折法,核偏極,中性子回折法,スピンコントラスト法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J21215,名古屋大学,石川 諒尚,高強度中性子場モニタリングのための新規中性子シンチレーション検出器の開発,ホウ素中性子捕捉療法（BNCT）は、近年、がんの新たな治療法として注目され、我が国において世界をリードする研究が活発に行われている。本研究では、BNCTをはじめとした高強度中性子場のキャラクタリゼーションを目的としたリアルタイム中性子検出器の開発を行う。耐放射線性の高い検出器コンポーネントの探索や、優れた発光特性を有する新規中性子シンチレータの開発を通じて、信頼性の高い中性子計測手法を確立するとともに、得られた知見に基づいて、多様なニーズに応じた柔軟な中性子検出器開発を図る。,特別研究員奨励費,小区分80040:量子ビーム科学関連,中性子計測,中性子シンチレータ,光ファイバ型中性子検出器,リアルタイム中性子モニタ,ホウ素中性子捕捉療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20J13496,東京大学,安居 孝晃,J-PARC MRにおけるチューン広がり分布の直接測定,J-PARC MRでは素粒子・原子核実験のために陽子ビーム強度増強の研究を進めている。そのためのアプローチの1つがビームロス低減による機器の放射化の抑制である。ビームロスは、空間電荷効果(陽子ビームの作る電磁場の影響)等によって広がりを持ったチューン(ビームの横方向のリング1周あたりの振動数)が、いくつかの共鳴条件にかかることによって起こる。チューンがどのような分布で広がっているかはシミュレーションベースでしか議論されていない。,特別研究員奨励費,小区分80040:量子ビーム科学関連,加速器,共鳴,空間電荷効果,陽子,ビームロス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J10604,大阪大学,片桐 健登,衝撃圧縮による金属化ダイヤモンドのナノ秒生成,"本研究の目的は、衝撃圧縮による金属化ダイヤモンドのナノ秒生成である。ハイパワーレーザーによりダイヤモンドを最大1,200 万気圧まで圧縮し、X線自由電子レーザーを用いたその場X線回折法による結晶構造の観察を行う。極限領域を生成するレーザー衝撃圧縮と高輝度短パルスのX線源であるX線自由電子レーザーを融合させる本研究手法は、他の圧縮法では到達不可能な超高圧力域における新物質や新構造の探索を行う先駆的なアプローチである。衝撃圧縮下における金属化ダイヤモンドの振る舞いを知ることで、物質科学や惑星科学、高エネルギー密度科学といった幅広い分野に横断した学術の展開が期待される。",特別研究員奨励費,小区分80040:量子ビーム科学関連,ダイヤモンド,超高圧,衝撃圧縮,X線自由電子レーザー,相転移,炭素,金属化,超高速変形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21J00471,大学共同利用機関法人高エネルギー加速器研究機構,山田 智宏,伝導冷却によるニオブスズ薄膜超伝導加速空洞を用いた電子ビーム加速,ニオブ製超伝導加速空洞は高電界・連続的運転という利点をもつ一方で、その実現のためには大規模ヘリウム液化設備や複雑なクライオモジュールが必要であるという大きな壁があり大学レベルや産業界への普及が進んでいないという課題がある。本研究は超伝導材料にニオブスズを用いることで、機械式冷凍機での冷却を可能にしクライオモジュールも簡潔なものにできる。本研究では、KEK内のcompact ERLを利用してニオブスズ空洞を用いた世界初のビーム加速を実証することで、半導体分野や粒子線治療及び放射性医薬品製造等の産業および医療応用を実現するための基幹技術の確立を目指している。,特別研究員奨励費,小区分80040:量子ビーム科学関連,伝導冷却,超伝導加速空洞,ニオブスズ,クライオモジュール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ3146,国立研究開発法人理化学研究所,三浦 大輔,水分散複合材料の機能発現環中でのスピンコントラスト変調中性子散乱法の開発,土壌の通気性、養分・水分の保持、風雨による土壌流出の抑制などの土壌としての機能は、土壌中の有機物と無機物が互いに作用し、有機物がナノ構造を形成することに起因すると考えられている。本研究では、有機物のナノスケールの構造解析を得意とする中性子小角散乱法を用いて、土壌中の有機物の構造を明らかにし、土壌の機能発現メカニズムを解明する。,特別研究員奨励費,小区分80040:量子ビーム科学関連,室温核スピン偏極,スピンコントラスト,中性子散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2444,九州大学,鶴田 哲也,位置検出可能な大面積吸収体を持つガンマ線用TES型マイクロカロリメータの開発,TES(Transition Edge Sensor)型マイクロカロリメータとは，放射線が金属に吸収される際の熱による温度上昇を，超伝導を利用するTES温度計で測定してエネルギーに換算することで，一般的な電荷収集型の放射線検出器に比べて1桁から2桁優れたエネルギー分解能を実現出来る検出器である。本研究ではMeV領域の高エネルギーガンマ線測定において高検出効率と高エネルギー分解能の両立を目指すため，読み出し配線数を増加させずに2次元の位置検出を行うことが出来るTES型マイクロカロリメータを考案して開発を行っている。,特別研究員奨励費,小区分80040:量子ビーム科学関連,TES型マイクロカロリメータ,2次元位置検出,PoST,ガンマ線,マイクロカロリメータ,超伝導転移端温度計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ2168,大阪大学,原 隆文,自動サイクロトロン共鳴を利用したメガワット級小型加速器の開発,世界に先駆けて陽子CARA加速器を実現するため、プロトタイプの電子CARA加速器の開発を行う。補助事業期間中は、回転するTE111モードの共振空洞の、高周波パワーの入力機構の開発、性能試験を行い共振空洞の実性能を調べる。その後、ソレノイドコイル磁場中に共振空洞を設置し、電子銃から入射した電子を加速し、ビームの質や量、電力効率を調べることで、定在波のCARAシステムの性能を明らかにする。,特別研究員奨励費,小区分80040:量子ビーム科学関連,加速器,サイクロトロン共鳴,陽子加速器,自動サイクロトロン共鳴加速法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0844,東京大学,都築 豊,原子物理と検出器物理の融合による高エネルギー光子の量子反応過程の解明,本研究の目的は、コンプトンカメラを用いた高感度かつ高精度の偏光測定を通して、高エネルギー光子が関係する相対論的および量子電磁気学的相互作用の様相を解明することである。 X線およびガンマ線検出器内における物理学的素過程は、原子に束縛された電子と光子との相互作用であり、原子物理研究からの応用が期待できる。 さらに、得られた量子電磁気学的相互作用に関する知見を展開し、原子核と光子との反応に関する研究をも視野に入れる。 具体的には、脱励起ガンマ線の偏光測定によって、原子核励起状態のスピンおよびパリティの決定を目指す。,特別研究員奨励費,小区分80040:量子ビーム科学関連,コンプトンカメラ,偏光,多価イオン,電子ビームイオントラップ,X線,ガンマ線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0312,東北大学,川又 雅広,偏極中性子散乱による実・逆空間磁気テクスチャの検出とスピントロニクス機構の開拓,"磁性を担うスピン角運動量の流れ、スピン流はスピンの歳差運動によって伝播され、その回転方向（マグノン極性）と相関する。スピントロニクスデバイスの制御には、内部のスピンの向きや動きを精密に把握する必要があり、運動量QとエネルギーEに分解した微視的情報を得ることが重要である。中性子散乱実験における散乱面内方向のPx偏極法では、カイラル項から（Q,E）空間でのマグノン極性を直接決定できるが、その適用範囲は限られていた。本研究では、Px偏極手法と候補物質の優位性を活かし、スピンやマグノンが秩序化した空間分布（テクスチャ）を持つ、対称性スキルミオンとマグノンテクスチャの初検出を達成することを目指す。",特別研究員奨励費,小区分80040:量子ビーム科学関連,偏極中性子散乱,スキルミオン,マグノンテクスチャ,中性子散乱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22KJ0302,東北大学,高澤 駿太郎,動的コヒーレントX線回折イメージングによるメソスケール粘弾性の可視化,コヒーレントX線回折イメージング(CXDI)法は、透過力の優れたX線をプローブに、バルク内部の微細構造を非破壊で観察する顕微法である。近年、走査型CXDIが空間分解能の高さと視野の広さから注目されているが、時間分解能が乏しく、試料の動的現象を捉える動的イメージングは困難であった。我々はこの課題を解決すべく、試料走査不要のシングルショット計測に基づくCXDI法開発に取り組んできた。本研究では、シングルショットCXDIの確立を目的とし、動的イメージングの実証とCXDI光学系の高度化を行う。そして、実試料観察への展開として、シングルショットCXDIをタイヤゴム中で運動するシリカ粒子の解析に応用する。,特別研究員奨励費,小区分80040:量子ビーム科学関連,コヒーレントX線回折イメージング,その場観察,X線光子相関分光法,単一粒子追跡法,データクラスタリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ2176,国立研究開発法人理化学研究所,中沢 雄河,ミュオンサイクロトロン加速による透過型ミュオン顕微鏡技術の開発,新しい量子ビームイメージングとしての透過型ミュオン顕微鏡の技術開発を行う。高い透過力を持つミュオンは、試料の3次元的な可視化を実現し得るが、高分解能の像を得るためには、エネルギー的に単色かつ空間的拡がりが小さい高輝度なミュオンビームの生成が必要となる。,特別研究員奨励費,小区分80040:量子ビーム科学関連,ミュオン,冷却,輸送ビームライン,位相空間分布,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KJ1531,大阪大学,JIN YUQING,EB・EUVリソグラフィ用シングルナノメーターレジスト材料の創成,本研究では、機械学習、シミュレーション、および実験を用いて、新しい極紫外線リソグラフィ工程で使用されるレジストの開発を提案する。まず、既存の合成ポリマーを用いて計測手法を確立する。次に、開発した解析手法を使用して、新しいレジスト材料の創成に応用しながら、プログラムをアップグレードする。最後に、材料の性能向上を目指して、様々な条件下でパラメータと欠陥の相関を取得し、精度を向上したシミュレーションを活用してプロセス最適化を行い、開発した材料の解像度をシングルナノに至るまで向上させる。得られた結果を、国内外の会議で発表する予定である,特別研究員奨励費,小区分80040:量子ビーム科学関連,パターン欠陥の画像認識,高分子溶解挙動,ハフ変換,レジスト材料,現像液,機械学習,計測手法の確立,リソグラフィ技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23KF0019,東京大学,木村 隆志,X線自由電子レーザー集光ビームによる非線形光学現象の開拓,本研究では、これまで均一な材料に対してのみ行われていたX線非線形光学現象の研究を、微細パターンや不均一材料などの試料系に拡張するために、新たなフェムト秒X線顕微イメージング技術を開発することを目指す。そのために特別研究員の持つアト秒・フェムト秒分光の経験を活かした試料作製・解析技術と、受け入れ研究室の持つ高精度X線光学技術を融合させた実験系を構築する。,特別研究員奨励費,小区分80040:量子ビーム科学関連,X線自由電子レーザー,非線形光学,X線ミラー,ウォルターミラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24KJ1723,広島大学,室尾 健人,量子コンピュータの大規模化に向けた超高精度単一イオン注入システムの開発,量子コンピュータでの情報処理の基本単位となるのが「量子ビット」である。現在、冷却システムを要さない量子ビットとして、「ダイヤモンド窒素-空孔中心（ダイヤモンドNVセンター、以下NVCと略す）」が注目されている。NVCはダイヤモンド基板に窒素イオンを注入することで生成できるが、これを量子コンピュータとして使用するためにはダイヤモンド基板上にNVCを精密に並べる技術が求められる。本研究ではNVCの精密配列に必要な、窒素イオンを1個ずつ、数nmのスポット径で基板に照射することができる超高精度単一イオン注入システムの開発を目指す。,特別研究員奨励費,小区分80040:量子ビーム科学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
