awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19J22910,東京大学,亀川 凜平,メッセンジャーRNA送達に向けたシリカゲルナノ粒子の構築と経口投与への応用,メッセンジャーRNA(mRNA)は、ゲノムへの挿入変異なしに様々な細胞でたんぱく質発現を促せることから、次世代の難病治療薬として期待されている。しかし、mRNAは生体内で速やかに代謝されるため、医薬品応用には分解から保護するキャリアの構築が必要である。本研究では、正に帯電したポリマーとmRNAの複合体をシリカゲルで被覆することで、体内でのmRNA送達を可能にするmRNAキャリアの構築を目指す。このとき、シリカゲル層に細胞内環境応答性を賦与することで高いmRNA発現を促す。シリカゲルの強酸耐性を活かした経口投与による腸への送達およびモデル疾患として潰瘍性大腸炎の治療応用を試みる。,特別研究員奨励費,小区分90110:生体医工学関連,メッセンジャーRNA,シリカ,ポリイオンコンプレックス,経口投与,気管内投与,マクロファージ,シリカゲル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22546,東京大学,寿 景文,インタラクトーム解析に向けた高速多色振動分光イメージング,"Biological systems are subject to the complicated and dynamic interplay. The organelle contacts play a vital role in diverse cellular function. In this research, high-speed super-multiplexed imaging will be developed and exploited for the co-localization imaging and interactome anlysis.",特別研究員奨励費,小区分90110:生体医工学関連,super-multiplex,super-resolution,stimulated Raman,fluorescence,high-speed,Super-multiplex,Stimulated Raman,Fluorescence,High-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22353,東京大学,木下川 涼,高速フーリエ変換CARSスペクトラルイメージングによる術中迅速がん診断法の開発,本研究の最終的な目的は、FT-CARSスペクトラルイメージングを用いた術中がん診断である。,特別研究員奨励費,小区分90110:生体医工学関連,多光子イメージング,イメージングフローサイトメトリー,ラベルフリー,非線形光学,ラマン,CARS,FT-CARS,高速イメージング,FWM,SHG,フローサイトメトリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J22105,慶應義塾大学,長南 友太,細胞核のバイオメカニクスを基軸にしたグリオーマ幹細胞の微小間隙浸潤機構の解明,悪性脳腫瘍グリオブラストーマを構成するグリオーマ幹細胞が周辺組織へ広く浸潤する時，組織内の微小間隙を通過するために細胞核が大きく変形する．一般的に，細胞は外部環境からの力を感知し応答することで特定の機能を発現および調整することが知られている．しかし，細胞核の変形がグリオブラストーマの進行に果たす役割は不明である．そこで本研究では，マイクロチップにより生体外で微小間隙を再現することで，浸潤に伴う細胞核変形がグリオーマ幹細胞に与える影響を調査する．特に，細胞核変形が治療抵抗性の一因であるがん細胞の不均一性を誘導する可能性とそのメカニズムを検討する．,特別研究員奨励費,小区分90110:生体医工学関連,グリオーマ幹細胞,不均一性,細胞密度,シグナル伝達経路,細胞核,メカノバイオロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13789,東京理科大学,石川 昇平,軟骨組織再生を志向し成長因子の空間運動性を最適化したインジェクタブルIPNゲル,成長因子は、高効率な軟骨組織再生を実現するための重要な生理活性タンパク質である。しかしながら、細胞培養材料であるハイドロゲル中に内包された成長因子の活性は著しく低下するため、未だ有効な活用法は提案されていない。我々は、成長因子の運動がゲル内で制限を受けるため活性の低下につながると仮説を立て、空間運動性を有するリンカーを介した自己分解ゲルへの成長因子の固定が、ゲル分解に伴う成長因子の運動性向上を誘発すると期待し、長期的に成長因子の活性が保持されると考えた。本研究では、我々が開発した軟骨組織再生に有効な分解性ゲルに対し、高柔軟なリンカーを介し成長因子を固定した成長因子固定型分解性ゲルを提案する。,特別研究員奨励費,小区分90110:生体医工学関連,ハイドロゲル,自己組織化ペプチド,軟骨組織再生,成長因子,空間運動性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13684,電気通信大学,李 信英,難治性内耳疾患の克服を目指した末梢聴覚器メカニズムの解明,<BR>,特別研究員奨励費,小区分90110:生体医工学関連,末梢聴覚器モデル,有毛細胞,基底板振動,歪成分耳音響放射,耳疾患,機械‐電気変換機構,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J13048,首都大学東京,山崎 雅史,間葉系幹細胞の分化を制御する，アクチン細胞骨格の力学情報伝達機構の解明,本研究は，様々な機能細胞への分化能を有する間葉系幹細胞(MSCs)の分化メカニズム解明を目指す研究である．現在，細胞外基質の力学的特性が幹細胞の分化に大きな影響を与えることが報告されているが，細胞外基質の力学的情報が細胞核まで伝達し，遺伝子発現を変化させ，分化の系列決定に影響を及ぼす詳細なメカニズムの解明には至っていない．この力学情報伝達機構を解明することによって，MSCsの正確な分化制御を可能とする培養方法を提案し，幹細胞を用いた再生医療の実現に貢献する．,特別研究員奨励費,小区分90110:生体医工学関連,間葉系幹細胞,アクチン細胞骨格,細胞核,骨芽細胞分化,RUNX2,YAP,Nesprin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10825,大阪大学,下村 優,自在に形状変化可能な光制御ＤＮＡゲルによる３次元細胞組織体の構築システムの開発,本研究では，光信号に応じたDNAゲルの形状変化による３次元配置制御に基づく細胞組織の構築を目的とする．DNAゲルの形状変化により，空間的な粘性勾配を発生させ，細胞の運動を制御することで移動操作を行い，３次元配置を実現する．光パターンを動的に変化させることで細胞の並列的な移動操作による配置により複雑な形状をもつ細胞組織体の構築が可能となる．,特別研究員奨励費,小区分90110:生体医工学関連,DNAゲル,光制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J10004,茨城大学,信太 宗也,磁気浮上インペラ径方向受動安定位置計測の血液ポンプ拍出流量推定への応用,本研究は，補助人工心臓用途の血液ポンプが安全に血液の循環を補助できているかを確実に知るための方法として，血液ポンプの拍出する血液量を簡単に取得できる新しい手法を開発することを目的としている．この新しい手法は，血液ポンプ内の羽根車の位置情報からポンプの拍出する血液量が分かる，というシンプルな原理に基づいたものである．そのためこの新しい手法が補助人工心臓に適用できるようになれば，機器の故障の心配が少なくなり，また補助人工心臓を装着した時にセンサのコード類が少なくて済むようになる．,特別研究員奨励費,小区分90110:生体医工学関連,遠心血液ポンプ,流量推定,磁気浮上インペラ,流体力計測,非定常数値流体解析,重力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19J00867,九州大学,宮本 大輔,独自の腸管血流システム構築による皮下性肝臓の創製,本研究では、皮下に腸管血流を確保する独自システムを構築することによって、移植した肝組織の増殖拡大と成熟を促し、重篤な肝疾患を治療し得る安全かつ有効な第2肝臓を作製することを目的とする。本研究で目指す皮下肝臓の特徴は、“腸管組織体”と“肝臓様組織体”を組み合わせることによって、“門脈血likeな因子を産生するシステム”と“肝臓特異的な構造・機能を再構築するシステム”を有する腸／肝複合化組織を形成することである。,特別研究員奨励費,小区分90110:生体医工学関連,共培養,肝細胞特性,フィーダー細胞層,スフェロイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
