awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K20839,独立行政法人国立文化財機構奈良文化財研究所,片山 健太郎,セット論・生産流通論からみた古代国家成立期の馬装体系の変化に関する研究,古代国家成立期の７世紀後半の倭の馬具については不明な点が多い。本研究では基礎的な資料集成をおこない、どのようなセットで馬装を構成していたのかを明らかにする。さらにこのセット論の視点を踏まえて、彫金などの金工技術や有機質構造に注目し、どのように当該期の馬具の生産と流通がおこなわれていたのかを明らかにする。,研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,馬具,馬装,セット,生産・流通,金工,古墳時代,古代,生産,流通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20838,同志社大学,水ノ江 和同,縄文時代における日本列島とその周辺地域との関係性について,"世界の新石器文化のなかでも、遺跡の数と規模、遺物の量と種類と造形性において傑出した日本列島の縄文文化（約15,000～2,700年前）。その系譜や本質を考古学的に探ることを主題とする。",研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,縄文文化,日本列島,朝鮮半島,極東ロシア,けつ状耳飾,擦切石斧,結合式釣針,九州と朝鮮半島,北海道と極東ロシア,九州系縄文土器,ケツ状耳飾,対馬海峡西水道,縄文時代,周辺地域,関係性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20837,京都外国語大学,ロペス フリエタ,地震多発国メキシコにおけるピラミッドの耐久性：建築資材の強度分析と内部構造の検証,本研究の目的は、ピラミッド型モニュメント建造物に利用されたアドベの成分組成を理解し、建造物の設計には耐久性ならびに耐震性という側面が考慮されていたことを検証する。現在までメキシコ中央高原におけるピラミッド型建造物の巨大化は、政治・経済発展に支えられた大量の労働力と建築材の獲得が要因となり、達成可能になったとの考えが主流であった。しかし、この解釈は一般論であり、学術的に考察され導き出されたものであるとは言い難い。研究代表者は、アドベの耐久性を求めた技術開発や、これを基に構成された内部構造の設計改良という試行錯誤の結果であるとの仮説を立て研究を実施する。,研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,メソアメリカ,世界観,ピラミッド,耐震性,耐久性,トラランカレカ,考古科学分析,建築資材,イデオロギー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20836,名城大学,石原 聖子,中国北朝墓誌の用語の選好性にみる文化的社会集団の研究,中国・北朝期（４～６世紀）の新しい出土史料である墓誌を使用し、墓誌銘の中で用いられる用語を分析することにより、文化や流行を生み出す社会集団を復元する。,研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,北魏,石刻史料,テキストマイニング,墓誌,北朝,北魏墓誌,石刻資料,魏晋南北朝,魏晋南北朝史,墓誌銘,中国史,古代史,石刻,社会集団,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20835,同朋大学,金山 泰志,昭和期日本における民衆の中国観（対中国感情）の検討,昭和期日本における民衆の中国観を、当時のメディア史料（映画雑誌、教育雑誌、総合雑誌、少年雑誌）などを素材に、感情レベルで分析する。,研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,中国観,中国認識,昭和,日中関係,メディア,少年雑誌,映画雑誌,教育,キネマ旬報,映画,少年倶楽部,キング,雑誌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20834,金沢星稜大学,川本 智史,オスマン朝の宮廷儀礼に関する研究：15～16世紀を中心に,本研究は15～16世紀オスマン朝の宮廷儀礼分析を目的とする。建築史および美術史の手法を援用し、複合的に儀礼を復元する点に本研究の学術的独自性がある。宮殿の建築空間や儀礼の細密画における描写を詳細に分析し、断片的な文献史料の記述とあわせて、儀礼の復元に努める。宮廷儀礼の具体的な内容からはスルタンと廷臣との関係や宮廷組織の構造を読み取ることができる。また分析で得られた成果は周辺地域や他時代の宮殿儀礼と比較検討することによって、人類史上の権力のありようや支配体系といった問題を読み解く手がかりとなる。,研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,宮殿,オスマン朝,儀礼,宮廷,宮廷儀礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20833,早稲田大学,HOFMANN RETO,"The Conservative Imaginary: State Power and World Order in Transwar Japan, 1930-1960","This project offers a transwar genealogy of the Japanese conservative imaginary by focusing on the thought and activities of  Nabeyama Sadachika, Yabe Teiji, and Koyama Iwao. It examines how they reformulated ideas about state power and world order from the 1920s to the 1960s.  .",研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,History,Japan,Conservatism,Japanese history,transwar history,Modern Japanese History,conservatism,transnational history,現代史,Modern Japanese history,anti-communism,Cold War,modern Japanese history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20832,明治学院大学,清水 美里,植民地台湾のインフラ（港湾・河川事業）にみる「公共」のあり方と植民地的特質,旧植民地地域のなかには、植民地時代に整備されたインフラ設備を脱植民地化後も使い続けていることがあるが、その歴史認識は錯綜状況にある。植民地のインフラ設備はその「公共」の内容にいくつもの留保がつけられた。これに対し、被支配民族側もインフラ設備を自分たちのものにすべく訴え、動いた形跡がある。本研究は申請者のこれまでの研究で用いていた「植民地的開発」という概念を発展させ、植民地のインフラ設備の整備において植民地的特質がどのように現れるのか、植民地台湾の港湾・河川整備の事例において明らかにする。その際、インフラ設備をめぐる植民地権力と被支配民族の多様な応答・応酬を分析する。,研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,台湾,水資源,植民地,河川,水利,インフラストラクチュア,公共財,近代,台湾史,社会資本,港湾,近代史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20831,國學院大學,高橋 秀樹,『吾妻鏡』の情報分析による鎌倉時代政治史の再構築,鎌倉幕府の歴史書『吾妻鏡』は、日本中世史研究の最重要史料とされながらも、その研究は遅れていおり、原史料探求の方法さえも確立していない。信憑性の高い原史料に基づく記事と編者によって創作された記事が混在したまま、鎌倉時代政治史の基本史料として質の低い活字本に依拠して使われているのが現状である。,研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,吾妻鏡,鎌倉幕府,鎌倉時代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20830,足利大学,茂木 謙之介,戦後地域社会を中心とした皇族表象の研究,戦後の地域社会を中心として、天皇・皇族・皇室がどのように描かれ、どのように人びとに受け入れられえていたのか、地域に残された資料から明らかにする。,研究活動スタート支援,0103:歴史学、考古学、博物館学およびその関連分野,天皇,皇族,皇室,地域社会,戦後,島嶼部,ナショナリズム,表象,戦後社会,天皇(制),宗教,メディア,改元,怪異,国民国家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
