awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K20935,四国学院大学,間中 光,観光空間としての災害遺構に関する研究,本研究の目的は、災害遺構の受容過程において、観光空間が果たす役割・課題について明らかにすることにある。具体的には、2004年に発生したインド洋大津波の災害遺構であるインドネシア・アチェ州の「PLTD Apung （発電船）」を事例とする。,研究活動スタート支援,0108:社会学およびその関連分野,災害遺構,インド洋大津波,観光,インドネシア,インド等大津波,観光学,アチェ州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20934,関西福祉科学大学,本多 伸行,在宅型集団プログラムを用いた高次脳機能障害者の「地域実践型モデル」開発,〇STEP１．介入及び追跡調査研究,研究活動スタート支援,0108:社会学およびその関連分野,Self-awareness,高次脳機能障害,在宅型集団プログラム,社会復帰,self-awareness,グループ訓練,社会参加,在宅,認知行動療法,レジリエンス,地域実践型モデル,高次脳機能障害者,在宅型,QOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20933,関西大学,雪村 まゆみ,世界遺産制度が地域の文化財保護に及ぼす影響,1992年、日本がユネスコ世界遺産条約に批准して以降、各地で世界遺産登録運動が活発化するだけでなく、日本の文化財保護行政にも変化をもたらした。日本政府は「重要文化的景観」、「近代化産業遺産」さらには「日本遺産」といった世界遺産制度に準じた新たな文化財保護制度を設置してきたのである。本研究では、世界遺産登録制度と国内の文化財保護制度との関連に着目しながら、各地域の世界遺産登録運動がどのように展開していくのか、類型化し、各カテゴリーに分類された地域における文化財の価値づけのプロセスや文化財保護のあり方を体系的に調査していく。,研究活動スタート支援,0108:社会学およびその関連分野,世界遺産,文化財保護,文化的多様性,日本遺産,自然遺産,文化遺産,文化的景観,観光,文化財,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20932,日本福祉大学,中島 民恵子,独居認知症高齢者の在宅生活継続のリスク尺度に関する研究,本研究の目的は、独居認知症高齢者の在宅生活継続を支援していくために、①在宅生活継続を阻害するリスクの明確化、②「独居認知症高齢者在宅継続リスク尺度」の開発および信頼性と妥当性の検証を行うことである。今後、独居認知症高齢者が急速に増加することが予測される中、在宅生活継続の適切な支援は、今後の介護政策やケア提供における最重要課題の一つである。本研究によって開発されるリスク尺度は、在宅生活継続を阻害するリスク回避に向けて役立てることが期待される。,研究活動スタート支援,0108:社会学およびその関連分野,認知症,独居,在宅生活継続,リスク,在宅生活支援,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20931,日本大学,三谷 文栄,民主主義社会における「世論」のメディア表象,本研究は、ポピュリズム政治における「世論」のメディア表象に注目するものである。言うまでもなく、多くの人々にとって「政治」はメディアを通じて経験される。加えて、ポピュリズム政治の資源となる人々の不満や不安もまた、メディアによって表象され、社会で広く共有される。こうしたメディアによる媒介性、メディア表象こそがポピュリズム政治の根底にある。既存研究では、メディアが世論調査を実施し、その結果を報道することで政治過程に影響を与えるメカニズムについての分析が進められてきた。本研究はメディア環境と民主主義政治のあり方が変化する中で「世論調査の政治学」だけではとらえきれない「世論」のメディア表象に着目する。,研究活動スタート支援,0108:社会学およびその関連分野,世論,ポピュリズム,メディア表象,メディア,ニュース,ジャーナリズム,表象,ヘイトスピーチ,民主主義,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20930,帝京大学,井上 慧真,「成人期への移行」を支援する専門能力の養成に関する社会学的研究：日英比較を通じて,若者の成人期への移行における社会関係資本の役割と、何らかの「移行の危機」にある若者ほど社会関係資本が乏しく限定的であり、公的機関の支援が必要であるという関連研究からの知見に加えて、新たに支援機関の職員自身の専門能力の養成メカニズムを、人的資本の形成、そして社会関係資本の形成の両面から検討することにより、若者の成人期への移行支援において支援機関が果たしうる役割をより精緻に解明する。,研究活動スタート支援,0108:社会学およびその関連分野,若者支援,専門職,イギリス,青少年,教育,移行,省察,若者,ユースワーク,ユースワーカー,社会関係資本,成人期,社会的ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20929,上智大学,菅原 友香,現代ロシアにおける同性愛に関する価値観の背景要因の分析,1991年のソビエト連邦崩壊後、ロシアでは社会・経済制度の変革と同時に人々の価値観も大きく変化した。しかし、同性愛に対する社会の不寛容さはソ連時代から変わらず続き、今も差別や偏見、暴力の対象となっている。本研究では、現代ロシアにおける同性愛に対する偏見に関係している社会・経済・文化的な要素を大規模な社会調データを使って数量的に分析する。また、過去20年分のデータを使ってこれまでのトレンドを特定し、同性愛に対する社会的偏見のルーツを多角的に分析・検証する。以上の研究によって、日本でも重要な課題であるマイノリティグループを受容する社会体制の構築に関する議論に資することが期待される。,研究活動スタート支援,0108:社会学およびその関連分野,ロシア,同性愛,世界価値観調査,世界価値観調査（WVS）,ロシア連邦,中東欧,量的研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20928,東京福祉大学,金 吾燮,地域特性に応じた介護保険事業の運営に関する研究：高齢化率と高齢人口密度の視点から,本研究は、介護保険制度の厳しい財政状況の中、高齢者の健康維持・改善の視点から、介護保険事業の効果的な運営における促進要因と阻害要因を明らかにし、各自治体の地域特徴を踏まえた事業運営の在り方を検討することを目的とする。具体的には、介護保険事業の経年的分析及び保険者へのアンケートを基に、各自治体における要介護度や要介護認定率の改善について、介護保険事業の運営の特徴を明らかにする。特に、要介護認定率及び平均要介護度の改善率が高い介護保険者を選定し、介護保険事業の担当者への半構造化インタビュー調査および介護保険事業計画の内容分析を行い、効率的な介護保険事業の促進要因と阻害要因を明らかにする。,研究活動スタート支援,0108:社会学およびその関連分野,介護保険サービス,介護保険者,要介護認定率,平均要介護度,地域特性,介護保険事業,高齢化率,高齢者人口密度,効率性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20927,名古屋市立大学,高橋 康史,家庭崩壊を経験した子どもの生活過程に関する研究,本研究は、社会的養護の外側にいる子どものケアのあり方を検討することが目的である。先行研究では、子ども時代の家族崩壊の経験を多様な視点から分析できておらず、社会的養護から自ら撤退する子どもたちや社会を漂流する子どもたちに求められる社会的支援のあり方ついては十分に議論できていない。そこで、本研究では、子どもから見る家族崩壊の経験を主題に「子ども時代に逆境的体験をした者の生活維持に関するストラテジーを明らかにする。それにより、思春期・青年期に位置する子どもが、福祉・教育・司法等の領域を超え包括的な視点からケアを受けることを可能とする青少年福祉の理論を構築することを目指す。,研究活動スタート支援,0108:社会学およびその関連分野,子ども時代の逆境的体験,ドリフト,脱家族,青少年福祉,アイデンティティ,家出,家族規範,家族崩壊,子ども,社会的養護,福祉国家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20926,岩手県立大学,鈴木 伸生,集団における社会関係資本の構成要素－機能間の循環的相互作用メカニズムの解明,本研究では，集団を対象に継続的な社会調査を実施し，そのデータを統計的社会ネットワークモデルという手法を用いて分析することで，集団における社会関係資本の構成要素（ネットワーク，信頼）と機能（健康，業績）間の循環的相互作用メカニズムを明らかにする．それによって，個別に進められてきた社会関係資本研究（機能の研究，形成要因の研究）を接合するパラダイムの構築を目指す．,研究活動スタート支援,0108:社会学およびその関連分野,社会関係資本,集団,統計的社会ネットワークモデル,社会関係資本（ソーシャル・キャピタル）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
