awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21027,国立情報学研究所,中務 佑治,有理関数による数値計算アルゴリズム,有理関数近似による数値計算を推し進める研究目的で、有理関数近似の理論解析や有理関数を使った行列分解アルゴリズム開発を行った．,研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,有理関数,アルゴリズム,行列分解,数値解析,応用数学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21026,神戸市立工業高等専門学校,工藤 桃成,計算代数手法による正標数の特殊な代数曲線に関する研究,数学とその応用分野において，曲線は古くから研究されてきた重要な研究対象であり，その中でも特に代数曲線は，主に代数幾何学・整数論と呼ばれる分野で研究されている図形である．,研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,代数幾何学,計算代数幾何,代数曲線,超特別曲線,最大曲線,正標数,Hasse-Witt行列,フロベニウス射,フロベニウス写像,コホモロジー群,超特異曲線,同種写像,計算代数,数式処理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21025,日本大学,杉山 真吾,ガロア型対称空間に対する明示的な相対跡公式の研究,"E/Fを代数体の2次拡大とした時に, 対称空間GL(n, E)/GL(n, F)の相対跡公式を明示的に計算することで, 保型L関数の中心値と浅井L関数の1における留数の平均に関する公式を導出する. レベルアスペクトにおける平均の極限を考察することで, フーリエ係数の一様分布やL関数の特殊値の非消滅条件付き保型表現の無限性に応用する.",研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,保型形式,跡公式,保型L関数,Hecke固有値,L関数,Hecke作用素,保型表現,相対跡公式,distinguished表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21024,大阪市立大学,小池 貴之,閉複素多様体の大域的開部分複素多様体,"閉複素多様体Xの適切な開部分多様体上に於いて, その標準ケーラー計量や特徴的な微分形式を, 適切な局所座標やその他の部分多様体の言葉を用いて具体的に記述すること, そしてそれらを用いてXの変形や空間自体への理解を深めることを目指す. このひな形となっているのは、岡山大学・上原崇人氏との共同研究によるK3曲面の貼り合わせ構成である. この研究をひな形としつつ, さらに部分複素多様体やレビ平坦超曲面及びそれらの近傍に関する独自の知識や技術的蓄積を活用することで, カラビヤウ多様体を中心とするより広いクラスでの理解を目指す.",研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,上田理論,レビ平坦超曲面,K3曲面,部分多様体近傍,レビ平坦,標準ケーラー計量,部分多様体,大域的開部分多様体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21023,大阪大学,馬場 伸平,曲面の幾何学構造とLie群への表現,幾何学構造を考えることは数学的な“形”（正確には多様体）を分類するのに有用であることが知られている。特に２次元、３次元の“形”を分類するのには幾何学構造がやくにたつ。この様に、全ての考えられる“形”を考えることは、実世界のもの形のモデルとして有用である。,研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,複素射影構造,Teichmuller space,双曲幾何学,リーマン面,character variety,リーマン面の退化,指標多様体,CP^1-structure,Teichmueller space,Complex hyperbolic space,タイヒミュラー空間,写像類群,双曲幾何,Anosov表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21022,名古屋大学,藤野 弘基,無限次元タイヒミュラー空間における退化現象の研究,無限型リーマン面に対し、そのタイヒミュラー空間内における退化現象を研究する。無限個の穴を空けた複素平面は無限型リーマン面の典型例を与えるが、この場合には申請者によっていくつかの結果が得られている。本研究では「無限個の穴を空けた複素平面に対する研究」を一般化できるような無限型リーマン面のクラスを設定し議論を行う（下記研究課題A）。またその上で退化現象の分布を調べるために、適切なタイヒミュラー空間の理想境界を構成する。そのために退化現象をその特徴によって分類することも本研究における課題の一つとする（下記研究課題B）。,研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,タイヒミュラー空間,擬等角写像,反ド・ジッター空間,極大曲面,極小曲面,鏡像の原理,普遍タイヒミュラー空間,無限次元タイヒミュラー空間,退化ベルトラミ方程式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21021,東京大学,社本 陽太,Landau-Ginzburg模型のmoduliと周期,複素代数多様体上の関数と指数関数の合成の積分は，様々な著しい特徴を持ちます．特に，被積分関数を(複素数の)パラメータ付きで動かした時，積分が満たす微分方程式は不確定特異性という著しい性質を持つことがあります．,研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,ミラー対称性,Landau-Ginzburg model,周期積分,Langau-Ginzburg模型,Hodge理論,Mirror対称性,Stokes構造,Landau-Ginzburg模型,Moduli理論,不確定特異型微分方程式,頂点作用素代数,Hodge theory,Landau Ginzburg model,Mirror symmetry,Fano manifolds,Moduli space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21020,埼玉大学,谷田川 友里,層の分岐の不変量と特性サイクル,本研究は、大域的な不変量であるオイラー数を計算する特性サイクルとよばれる代数幾何を用いて構成された対象を、より数論的な局所不変量である層の分岐の不変量から得ることを目標としている。数学において不変量は数学的対象を特徴づけるものであり、不変量の新たな性質を知ることは不変量の対象である数学的対象の新たな理解を与えることにつながる。特性サイクルはオイラー数以外にもいくつかの不変量との関係が知られており、特性サイクルと層の分岐の不変量との関係を知ることで、それらの不変量と層の分岐の不変量との関係についての理解も深まると期待できる。,研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,分岐,エタール層,導手,特性サイクル,対数的な特性サイクル,サイクル類,特異台,サイクル,局所体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21019,東北大学,直江 央寛,4次元多様体のシャドウとファイバー構造に関する研究,シャドウとは４次元多様体に適切に埋め込まれた２次元の多面体であり，４次元多様体の一種の表示を与える．また，シャドウのもつ頂点の個数の最小値としてシャドウ複雑度と呼ばれる４次元多様体の不変量が定義される．本研究では，シャドウを用いた４次元多様体のファイバー束構造の研究，及びシャドウ複雑度を用いた４次元多様体の分類・特徴づけを行う．具体的には，４次元多様体のレフシェッツ束とその派生概念に焦点を当て，シャドウが２次元多面体であることを活用し研究を行う．また，シャドウ複雑度に関しては，境界の３次元多様体の幾何構造にも着目し研究を進める．,研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,４次元多様体,シャドウ,レフシェッツファイバー空間,微分構造,接触構造,結び目理論,特異点論,３次元多様体,4次元多様体,ファイバー束,結び目,ザイフェルトファイバー空間,スパイン,低次元トポロジー,トポロジー,シャドウ複雑度,ファイバー構造,ハンドル分解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05832,京都大学,Croydon David,Random walks on random graphs in critical regimes,"On a visit to the University of Melbourne, I completed an article 'Biased random walk on the trace of biased random walk on the trace of...' with Mark Holmes, which has been submitted. I have also made progress on several ongoing projects, including: together with Daisuke Shiraishi (Kyoto), Omer Angel (UBC), and Sarai Hernandez Torres (UBC), I have work on the random walk on the 3-dimensional uniform spanning tree - we expect to complete this in FY2019, following a visit to UBC in September; I also hope to complete there a project that has been ongoing this year with Martin Barlow (UBC) and Takashi Kumagai (Kyoto University) on the two-dimensional model.",研究活動スタート支援,0201:代数学、幾何学、解析学、応用数学およびその関連分野,random walks,random graphs,fractals,random walk,uniform spanning tree,percolation,scaling limit,fractal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
