awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21042,国立研究開発法人理化学研究所,小澤 知己,冷却原子系における高次元物理現象の理論研究,近年の原子分子光物理学のテクノロジーの発展により、他の分野で知られていた様々な現象を原子分子光物理学の実験系を用いてシミュレートすることができるようになってきた。特に発展が著しいのは、従来固体電子系を舞台に発展してきた凝縮系物理の種々の現象を極低温に冷やした原子系（冷却原子系）で調べることである。本研究では、冷却原子の系において低次元系を用いて高次元物理現象を調べる「人工次元」のアイデアを発展させる。,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,冷却原子系,人工次元,人工量子系,物性物理,トポロジカル物性,凝縮系物理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21041,国立研究開発法人日本原子力研究開発機構,長谷川 友里,原子レベル構造の理解に基づく溶融塩法による汚染土壌からの材料創製技術の開発,放射性汚染土壌の減容と再生利用は環境回復における重要な課題の一つである．本研究では，環境省の提示する汚染土壌処理の指針（2018年度）に基づき，汚染土壌の処理技術の中でも特に開発の求められている加熱・化学処理に着目した．なかでも溶融塩法は古くから提案されているものの，処理後の土壌の成分が明確ではなく，制御技術の向上が求められている．そこで本研究課題では，減容と再生利用の促進に向け，溶融塩と雲母との反応の初期段階における局所的な構造を明らかにすることで，Cs脱離と結晶成長過程の制御を目指す．,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,放射性汚染土壌,汚染土壌,Cs,雲母,原子レベル構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21040,国立研究開発法人日本原子力研究開発機構,山本 慧,磁性絶縁体中におけるスピン波誘導起電力の基礎理論,磁気の波（スピン波）は単純な電気信号よりも多くの情報を低エネルギーで運ぶ事ができるため、情報機器の性能向上に向けた基礎現象として注目されている。応用上特に重要なのは磁気の波と電気信号の変換機構である。絶縁体中の磁気の波は金属中よりさらにエネルギー消費が小さいため省エネルギー化の役に立つ可能性があるが、電気信号への有効な変換機構はこれまでのところ知られていない。本研究はミクロな電子物性とマクロな対称性についての考察を組み合わせて絶縁体中での磁気の波と電気信号の変換機構を提案することを目標とした研究計画である。,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,スピン波,磁性薄膜,磁性体,強誘電体,表面音波,スピントロニクス,磁性絶縁体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21039,分子科学研究所,廣部 大地,カイラル化合物による電流-スピン流相互変換,本研究は電子スピンの流れ「スピン流」の基礎物理において、有機化合物のカイラリティによる電気的スピン整流(正効果)を究明するとともに、その逆効果を検証するものである。キラリティ誘起スピン選択則の発見はカイラリティに立脚した新しいスピン整流機構の存在を支持するが、これを固体スピントロニクス素子へ組み込む研究は数少ない。その背景には、スピントロニクス物質の大半が無機物であり、それらのカイラリティ制御は困難だという事実がある。一方、カイラリティ制御は有機化学の分野で整備されており、鏡像異性体の作り分けが可能である。これら有機化学の強みを活かすことで、カイラリティ自由度をスピントロニクスへ導入してゆく。,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,キラリティ,磁性,スピントロニクス,分子性材料,カイラル化合物,有機半導体,スピン蓄積,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21038,大阪大学,白戸 高志,衝突項を含む相対論的Vlasovシミュレーションの完全保存スキーム,核融合プラズマのダイナミクスを記述する相対論的Vlasovシミュレーションでは、保存則に代表される物理法則が数値エラーによってしばしば破られる。本課題では、支配方程式と物理法則は微分積分学の数学公式により密接に結びついていることに着目し、数値シミュレーションにおいてもこの関係性を保持するような性質の良い計算法を開発する。また、開発した計算法を元に数値実験を行い、その実用性を検証する。,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,計算物理学,核融合プラズマ,運動論プラズマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21037,名古屋大学,児玉 直人,自動車用ヒューズ内のアークに対する粒子数密度/ガス特性の二次元分布計測法の開発,自動車用ヒューズ内部で点弧するアークの迅速な消弧には，アーク特性(粒子組成や導電率など)の空間分布を測定し，測定結果に基づいてアーク消弧性能の向上方法を検討する必要がある．しかしながら，アーク特性の二次元分布計測に有効な方法は未だ開発されていない．,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,アーク,ヒューズ,分光観測,空間分布,粒子密度,金属蒸気,分光,プラズマ,分光計測,開閉機器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21036,福井大学,石川 裕也,二重磁気共鳴法を用いた超低温高周波領域におけるSi:Pのスピンダイナミクス解明,希薄ドープ半導体（Si:P）を用いた固体量子コンピュータデバイスの実用化への課題は、31P核のスピンダイナミクスの情報を得ることである。初期化等の演算には31P核の磁気的な挙動を知る必要があるが、31P核が希薄なためNMRによる直接観測例は無く未解明である。31P核の希薄さを克服する手法として、電子スピン共鳴（ESR）による動的核偏極（DNP）効果を用いたDNP-NMR測定がある。DNPにより31P核スピンの『超偏極』状態を生じさせ、31Pの核磁化を相対的に増幅させることによりNMR信号の直接観測が容易となる。本研究ではDNP-NMRにより31P核のスピンダイナミクスを明らかにすることである。,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,二重磁気共鳴,ESR,NMR,DNP,超低温,高周波,meanderline,電子スピン共鳴,核磁気共鳴,DNP-NMR,動的核偏極,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21035,東京大学,大門 俊介,スピン流-熱流変換現象を支配する長さスケールの実験的解明,スピントロニクス分野では、電子の自転の自由度「スピン」を利用した電子デバイスの開発が進められている。本研究では、スピンの流れであるスピン流と、熱の流れである熱流の変換現象に着目し、スピンに立脚した新原理の熱電技術の開拓を行う。スピン流は特徴的な拡散の長さスケールを持つことが知られており、熱流との相互作用も同等の長さスケールで現れると考えられる。この長さスケールを実験的に明らかにし、数値的なスピン流-熱流分布の解析と組み合わせることで、スピン流熱電変換の駆動原理の解明を目指す。,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,熱流スピン流変換現象,スピン流,熱流スピン流変換,スピントロニクス,スピン流-熱流変換,スピン流-熱流変換現象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21034,東京大学,河野 洋平,極低温交流帯磁率測定で探るランダム性が誘起する量子スピン液体のダイナミクス,本年度は主に量子スピン系物質の測定に堪える感度を目標に、極低温交流帯磁率測定装置の構築を行った。また、それに並行して、本研究の目的であるランダムシングレット状態の候補物質[Zn(hfac)2](o-Py-V-p-Cl)と同系統の物質において、極低温での熱力学測定を行い、その性質を明らかにした。,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,交流帯磁率測定,有機磁性体,低次元量子スピン系,極低温物性,磁性,量子スピン液体,ランダムネス,交流帯磁率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21033,埼玉大学,小林 拓矢,λ型有機伝導体のバンド幅制御による相図の研究,有機導体λ-(BETS)2GaCl4は約5.5Kで超伝導を示す。その超伝導特性は、超伝導波動関数が異方的であることや、パウリリミットを超えた上部臨界磁場を持つなど、非従来型の超伝導体であることが報告されている。この超伝導機構を理解する上でどのような隣接電子相が存在するかが重要になってくるが、λ型塩については明らかになっていない。これを調べる上で、BETS分子を置換することによる化学圧力を利用した温度圧力相図が提唱されていた。本研究ではこの相図を明らかにするために、超高圧による物理圧力と系統的な分子置換による化学圧力を相補的に利用して電気抵抗及び磁化率測定を行う。,研究活動スタート支援,0202:物性物理学、プラズマ学、原子力工学、地球資源工学、エネルギー学およびその関連分野,有機伝導体,温度圧力相図,反強磁性,超伝導,強相関電子系,スピン密度波,核磁気共鳴,ミュオンスピン回転法,磁性,超高圧,圧力下測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
