awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21101,地方独立行政法人北海道立総合研究機構,高橋 光一,多孔質建材の内部損傷評価に基づく促進試験条件の検討,現状の凍害劣化評価手法である促進凍結融解試験において，実環境における凍害劣化形態を再現できないことから，促進凍結融解試験と実環境における凍害劣化の対応を検討する必要がある。本研究においては，暴露後および促進凍結融解試験後の多孔質建材の内部を，X線CTにより観察する。観察結果から、実環境および促進凍結融解試験後の多孔質建材における内部損傷の対応を比較・検討する。最終的には、実環境における内部損傷を再現可能な促進条件を提案する。,研究活動スタート支援,0304:建築学およびその関連分野,多孔質建材,内部損傷,X線CT,凍害,暴露試験,屋外暴露実験,暴露実験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21100,八戸工業高等専門学校,今野 大輔,強風の動的荷重効果を考慮した木造住宅屋根部の破損危険度評価およびリスクの可視化,本研究では、台風や竜巻のような強風災害が発生した際に大きな被害をもたらす、「金属屋根ふき材の剥離・飛散」という現象の発生メカニズムを解明し、その被害を低減する為の実験や、被害の重要性を知ってもらうための手法開発を目的としています。,研究活動スタート支援,0304:建築学およびその関連分野,強風災害,金属屋根,実物大動風圧試験,経年劣化,外装材,動的載荷実験,風洞実験,実物大動風圧実験,木造住宅,屋根葺き材,実変動風荷重載荷実験,強風災害リスク評価,屋根接合部,屋根接合部耐力,木造軸組工法,外圧係数,積雪寒冷地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21099,東京工芸大学,山本 佳嗣,空調システムの併用を前提とした自然換気と機械空調の統合的省エネ制御手法の開発,自然換気システムは環境建築の実現に向けた省エネルギー技術として、多くの導入事例が見られる。しかし、現代の業務用建物においては機械空調を使用することが前提であり、自然換気と機械空調を適切に組み合わせて運用することが重要となる。本研究はこのような2つのシステムを高度に連動制御することにより、快適性を確保したうえで大幅な省エネルギーを実現する統合的省エネ制御手法の開発を目的とする。具体的な研究項目は、①自然換気導入建物の空調システムと制御方法の実態調査、②建築・空調の連成シミュレーションによる統合的省エネ制御法の導出、③実物件での省エネ制御法の実践と検証である。,研究活動スタート支援,0304:建築学およびその関連分野,自然換気,ハイブリッド換気,自然換気併用ハイブリッド空調,外気冷房,環境配慮建築,統合的省エネ制御,ハイブリッド空調,省エネルギー,通風,ZEB,コミッショニング,エネルギーシミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21098,立教大学,西川 亮,戦前から1960年代までの観光地で指定された風致地区の実態に関する研究,我が国では、戦前から全国の観光地で自然風致を保護するため都市計画法に基づく風致地区が指定されていった。戦後もその傾向は続き、戦前から1960年代までに全国の観光地に風致地区の指定が進んだ。ところが、1960年代にはマス・ツーリズムの隆盛と共に観光開発が全国的に生じ、高層の宿泊施設が乱立し景観や自然が破壊されていった。そこで、本研究では観光開発に対してそれ以前に指定された観光地の風致地区はどのような効果を持ったのかを明らかにする。この研究を通じて、戦前から1960年代に指定された観光地における風致地区の意義と効果を考察し、当時の地方都市計画行政の観光開発に対する姿勢を明らかにする。,研究活動スタート支援,0304:建築学およびその関連分野,風致地区,都市計画法,観光地,温泉地,観光,都市計画,1960年代,熱海,温泉,観光開発,古都保存法,都市計画史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21097,奈良女子大学,中村 航,土の未利用資源を用いた成形体に関する研究,地球環境問題の是正の観点から、土素材は環境優位性の高い材料である。一方で、国内では扱いが難しい特殊土が広く分布している。また、各種の産業やインフラ事業において土に類する廃棄物が大量発生しており、資源としての有効利用が模索され、環境負荷低減への取組みが求められている。,研究活動スタート支援,0304:建築学およびその関連分野,土,成形体,非焼成,圧縮強度,寸法精度,廃土,汚泥,副産物,粘土,乾燥収縮,特殊土,石灰,酸化マグネシウム,土ブロック,調合設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21096,京都工芸繊維大学,小島 紘太郎,多層弾塑性構造物に対する地震時極限外乱法とその建築耐震設計への応用,断層近傍で観測される長周期パルス性地震動と長周期長時間地震動を対象として、多層・多自由度弾塑性建築構造物の地震時極限外乱法を展開する。これら２種類の長周期地震動では、部材の損傷や塑性変形によって変化した建物の固有周期と地震動の長周期成分が一致する「極限的な」場合に、建物の損傷や変形が大きく進行することが知られている。本研究では、このような「極限的な」場合（最悪なケース）に注目して、多層弾塑性構造物や多自由度モデルの地震応答を効率的に評価する方法を展開する。さらに、極限的な地震動入力およびそれに対する弾塑性構造物の地震時応答を耐震設計に応用する方法を展開する。,研究活動スタート支援,0304:建築学およびその関連分野,極限地震応答,断層近傍地震動,ダブルインパルス,トリプルインパルス,多自由度弾塑性モデル,不整形立体構造物,最悪地震動入力方向,バイリニア＋スリップモデル,等価１自由度系,粘性ダンパー最適配置,弾塑性極限応答,長周期長時間地震動,インパルス列,マルチインパルス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21095,東京工業大学,田中 由乃,社会主義時代の大規模住宅団地のオープンスペース活用の変遷にみる地域継承性の研究,本研究は、チェコ共和国において、社会主義時代に開発された大規模プレハブ集合住宅団地の再生プロセスの中の、オープンスペースの空間性及び使われ方を、周辺環境との応答とその中にみられる地域継承性に着目し、明らかにする。より具体的には、プラハ市イジュニームニェスト団地を対象に、オープンスペースの政治体制をまたぐ変遷について、そのデザインだけでなくコンセプトや設計プロセスにも着目し、更地の大規模開発以降、時間をかけて形成された場所の歴史や特徴を明らかにする。また、それを受け継ぎ、育てていくオープンスペースの再生及び運営の取り組みにおける成功と失敗から、住宅団地のより豊かな住環境実現への知見を得る。,研究活動スタート支援,0304:建築学およびその関連分野,屋外空間,オープンスペース,再生,住民参加,区行政,社会主義,プラハ,造形芸術,地域継承性,住宅団地,チェコ共和国,開発計画,大規模住宅団地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21094,東京大学,高橋 元貴,日本近世都市空間の維持・存続とインフラストラクチャーに関する研究,本研究では都市における「空間」の問題を主たる関心事としながら、建築学・歴史学・考古学の手法や知見を総合して研究をすすめてゆく。都市空間や諸施設の維持管理に関わる記録の多くは文字史料のかたちで残されているため、基本的に近世文書を素材としながら、維持管理をめぐる社会的な複合関係やその実態を検討し、これを地理的情報や考古学的情報と関連づけ、インフラそのものの物理的な存続のすがたを中長期的なスパンで空間的に復元・分析する。,研究活動スタート支援,0304:建築学およびその関連分野,インフラ,維持と存続,江戸,京都,大坂,都市史,都市インフラ,堀川,維持管理,三都,インフラストラクチャー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05927,東北大学,Kuyuk H.Serdar,A new index to quantify earthquake motion by integrating its amplitude and duration,,研究活動スタート支援,0304:建築学およびその関連分野,earthquake intensity,peak ground motion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23565,独立行政法人国立文化財機構東京文化財研究所,水谷 悦子,歴史的煉瓦造建造物の保存に資する、煉瓦の電気的特性が塩類風化に及ぼす影響の解明,材料中の塩水移動の定量的予測は、煉瓦造建築物の塩類風化による劣化メカニズムや対策を考える上で重要である。本研究は材料中の塩溶液の輸送現象と塩析出に及ぼす影響を解明し、それを考慮した劣化予測モデルを開発することを目的とする。γ線含水率計などの非破壊測定法を用いた吸水実験により、バルク溶液の特性や表面電荷が塩溶液の移動に及ぼす影響を評価する。また、煉瓦における塩析出性状と空隙構造変化に伴う水分移動性状の変化をX線CTの画像解析により定量的に明らかにする。これらの結果を踏まえ、塩を含むことによる水分の移動性状の変化を考慮した熱水分イオン同時移動、析出解析理論を構築する。,研究活動スタート支援,0304:建築学およびその関連分野,塩類風化,表面電荷,水分拡散係数,画像解析,３DMA,ゼータ電位,Ｘ線CT,電粘性効果,拡散係数,空隙構造,焼成煉瓦,組積造,移動物性,熱水分塩同時移動,塩析出,煉瓦,湿気物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
