awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21112,九州工業大学,グプタ スルビー,,"Inter-conversion between spin and charge current is building block of spin-based technologies. Here, aim is to introduce impurity of light ions in heavy (Pt and Ta) metals to achieve high charge-to-spin conversion efficiency (i.e. spin Hall angle) for low power magnetic switching. Efforts will be implemented based on artificial engineering using Ion-implantation and identify dominant mechanism, factor to maximize spin-dependent scattering for large conversion in heavy metals. High frequency ferromagnetic resonance study will be performed to probe spin Hall angle in light of previous knowledge.",研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,ion implantation,Spin Hall Effect,Ferromagnetic Resonance,Ion implantation,spin Hall effect,Ferromagnetic resonance,artificial engineering,spin Hall angle,Magnetization dynamics,Spin Hall Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21111,神戸大学,朝日 重雄,2段階フォトンアップコンバージョン太陽電池のヘテロ界面における電圧ブーストの増強,現在の太陽電池の主流はシリコンを用いた単接合型太陽電池で、その理論変換効率は30%に制限されることが分かっている。その中で、2個の低エネルギー光子から1個の高エネルギー電子を生成する2段階フォトンアップコンバージョン現象により、透過損失を低減する超高効率太陽電池のコンセプトがある。我々はこの現象に着目し、2段階フォトンアップコンバージョン太陽電池(TPU-SC)を提案した。この太陽電池を実用化するため、現在観測しているアップコンバージョンによる電圧上昇をさらに増強させ、根本的に変換効率を向上させる目途を立てる。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,太陽電池,フォトンアップコンバージョンに,ガリウムヒ素,量子ドット,2段階光吸収,2段階フォトンアップコンバージョン,アップコンバージョン,フォトンアップコンバージョン,アルミニウムガリウムヒ素,インジウムヒ素量子ドット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21110,名古屋大学,後藤 和泰,シリコンナノドットを用いた新規導電性保護膜の開発,本研究では、酸化シリコン中のシリコンナノドットをキャリア輸送経路とした新規保護膜の開発を目指す。申請者は、キャリア輸送経路としてシリコン酸化膜中のシリコンナノドットを応用することに着目した。申請者の研究グループでは、シリコン酸化膜中にシリコンナノドットを形成する技術を有しており、シリコンナノドットのサイズなどの構造制御が可能である。本研究では、シリコン酸化膜中にシリコンナノドットを形成し、形成時のパラメータと構造及び電気的特性の相関を調査する。本研究により、本来絶縁性の保護膜であるシリコン酸化膜にキャリア輸送経路を形成して制御を行い、新規導電性保護膜の基盤を構築することが期待できる。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,ナノ構造,保護膜,電子材料,シリコン,シリコン表面,光電子工学,太陽電池,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21109,名古屋大学,東 直輝,ナノ構造による１分子操作と光学的超解像法を組み合わせたDNA１分子サイズ分析法,薬剤耐性菌による迅速な感染拡大対策のためには，細菌のDNA分子を高速に判別することが必要である．しかし，これまでの方法では分析に一定量のDNA断片が必須であり，細菌の培養が必要であったため，分析に数日～数週間かかっていた．申請者らは，DNA１分子で分析できれば，細菌の培養が不要になり，大幅な高速化が可能になると着想した．そこで，本研究では，DNA１分子の分析によって高速化が可能なマイクロチップを用いた新規分析法を提案する．,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,DNAサイズ分析,マイクロ流体デバイス,超解像イメージング,DNA１分子操作,DNA１分子伸長・固定,マイクロ・ナノ流体デバイス,マイクロ・ナノデバイス,１分子計測,光学的超解像法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05955,国立研究開発法人日本原子力研究開発機構,寺澤 知潮,グラフェン/SiC界面への水素侵入のその場観察による機構解明,本研究はグラフェン/SiC界面への水素侵入の機構解明の研究を遂行した。本研究で用いる熱放射光学顕微鏡を実際に研究を実施する原子力研究開発機構に移設した。また、SiC試料を加熱するための試料ホルダーを作製し、SiC表面とグラフェンの界面に存在する共有結合が水素侵入によって切断されグラフェンが形成する過程のその場観察を行った。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,グラフェン,熱放射光,SiC,その場観察,Au,バンド構造,熱放射,光学顕微鏡,インターカレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05954,国立研究開発法人物質・材料研究機構,鶴見 淳人,室温スピントランジスタの実現に向けた単結晶有機半導体によるスピン輸送の研究,本研究では有機半導体単結晶が有する室温におけるロバストなスピン伝導に着目し、有機スピントランジスタの実現に向けて、ノンローカルスピンバルブ構造を用いた有機半導体単結晶におけるスピン流の検出とSOCとスピン緩和現象の詳細な理解を目的とした。本年度では、有機半導体を用いたラテラルノンローカルスピンバルブの作製技術の確立を目指し、化学ドープによる有機半導体のける高密度キャリア注入に成功した。また、電子スピン共鳴（ESR）スペクトルに対するDFT計算を用いた詳細な解析から、本研究で用いた有機半導体であるC10-DNBDT-NWにおいて、水素原子由来の超微細相互作用の影響を受けづらくスピン軌道相互作用の寄与を受けやすい分子構造であることが明らかになった。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,有機半導体,スピンデバイス,スピン物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05949,東北大学,金田 文寛,大規模多重化による単一光子の準決定的生成技術の実現,本研究では単体では非効率な伝令付き単一光子源の発生効率を，モード多重化によりほぼ決定的発生を可能にする技術の開発を目指して研究を行っている.多重化伝令付き単一光子源は主に伝令付き単一光子源と光スイッチにより構成されており，それぞれの素子には所望のモードへの低損失かつ高精度な光子の発生・スイッチングが求められる.,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,光子,量子光学,量子情報処理,光スイッチ,光工学・光量子科学,量子エレクトロニクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05948,東北大学,土屋 朋生,Mn系超低飽和磁化ホイスラー合金を用いた磁気トンネル接合の研究,本研究では低磁化材料で高TMR効果発現を目指し、組成比を変更することで結晶構造や高スピン分極率を維持しつつ磁化の値を変化可能なハーフメタルフェリ磁性ホイスラー合金のMn-Co-V-Al薄膜を作製し、そのTMR効果を測定した。作製したMn-Co-V-Al薄膜は組成によって磁化の値が変化し、磁化が補償した試料の作製に成功した。さらにX線回折法の結果において、規則化を示す超格子回折線が明瞭に観察された。Mn2VAlやMn2CoAlではそれぞれのスピン分極率に基づく符号のTMR効果が観測された。磁化補償組成では上部電極のCoFeの磁化過程にのみ依存していると考えられる抵抗変化が観測された。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,ホイスラー合金,TMR効果,フェリ磁性,スピントロニクス,トンネル磁気抵抗効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H05947,東北大学,一ノ瀬 智浩,コランダム酸化物を用いた三回対称軸配向強磁性トンネル接合における巨大電圧効果,"磁気ランダムアクセスメモリの低消費電力化を実現するために, 磁気特性に対する巨大電圧効果を得ることが重要である. 電圧効果を増大する方法のひとつとして大電圧の利用が考えられる. 本研究では高耐電圧が期待できるコランダム酸化物を障壁層に用いて磁気トンネル接合を作製し, 高電圧を印加した時の輸送特性を調べた. コランダム構造を有するCr2O3は室温で成膜した場合でも(001)方位に配向して結晶成長し, プラズマ酸化を施すことで5 MV/cm程度の耐電圧が得られた.",研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,スピントロニクス,コランダム酸化物,磁気トンネル接合,トンネル磁気抵抗効果,コランダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23595,地方独立行政法人大阪産業技術研究所,中川 充,分子鋳型法によるキラルプラズモニック材料の創製,原子や分子の集積を利用するボトムアップ的手法は、超微細な構造体を大量合成できるため注目されている。中でも湿式化学合成には、ナノ材料を簡便な操作で作製できるという特長がある。しかしながら、ナノ構造の複雑な制御が困難であり、作製できる形状が非常に限られるという課題がある。そこで、本研究では独自の分子鋳型法を用いた湿式化学合成により、様々な形状の金ナノワイヤーを選択的に合成する手法の確立を目指す。特に、従来の湿式化学合成では作製が困難であった、キラルならせん状金ナノワイヤーについて、「形態制御の自由度」と「生産性」を両立した合成法を開発する。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,ナノ粒子,金ナノワイヤー,自己組織化,ナノチューブ,ハイドロゲル,ソフトテンプレート法,キラリティ,らせん構造,金ナノ粒子,低分子ゲル化剤,STEM-EELS,キラリティー,キラル転写,金,ナノワイヤー,ソフトテンプレート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23594,大学共同利用機関法人自然科学研究機構(新分野創成センター、アストロバイオロジーセンター、生命創成探究,AHN HyoYong,,"In this research, we develop a method for amplifying chiral light-matter interactions using 3D chiral nanoparticles. Based on the novel chiral nanomaterial and nearfield optical technique, this research will provide a basis for understanding the fundamentals of chiral light-matter interactions.",研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,chiral,plasmon,nearfield,nanoparticle,biomolecule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23593,国立研究開発法人理化学研究所,Fang Nan,,"Interlayer excitons will be studied in 2D-1D vdW heterostructures. These excitons are expected to have unique properties such as a long lifetime, aligned dipole moment, and the broken symmetry. This study opens up the newly unexplored research field focusing on the mixed-dimensional optics.",研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,carbon nanotube,hexagonal boron nitride,exciton,screening effect,carbon nanotubes,2D materials,heterostructure,excitons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23592,国立研究開発法人理化学研究所,野間 大史,超分子強誘電体における新規光電変換の時空間分解光学解析,本研究では、レーザーを用いた非線形分光測定により、超分子膜における新規な光電変換原理の時空間的な解析を行う。はじめに、フェムト秒レーザーをサンプルに照射し、発生した半波長の光(SHG)から極性構造の面内分布の評価を行う。併せて時間分解測定も行い、光照射や電圧印加による超分子の極性構造の時間変化からキャリア挙動を解析する。最終的にはイメージングと時間分解測定を同時に行い、超分子の新規な光電変換メカニズムの解明を目指す。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,超分子,極性,キラリティ,光電変換,シフトカレント,光第二高調波発生,光第2高調波発生,時空間分解,強誘電体,非線形光学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23591,国立研究開発法人理化学研究所,今井 みやび,単一分子エネルギーアップコンバージョンの機構解明と高効率化,原子分解能で電流・発光検出が可能な独自の光STM装置を用いて、単一分子エネルギーアップコンバージョンの機構解明と高効率化を目指す。入射する量子として、太陽電池や有機ELなど光電エネルギー変換デバイスで特に重要な“電子”と“光”の2種類を用いる。どの分子準位に電子注入するとUC発光が生じるのか、またどのエネルギーの光を照射するとUC発光が生じるのか単一分子レベルで詳細に観測する。そして、分子周囲の電磁相互作用や分子‐金属電極の距離を原子レベルで精密にコントロールすることで、UC発光の高効率化を実現する。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,単一分子,走査トンネル顕微鏡,発光,励起子ダイナミクス,電子ダイナミクス,エネルギーアップコンバージョン,光電流,発光分光,電子状態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23590,大学共同利用機関法人高エネルギー加速器研究機構,石井 祐太,コヒーレント軟X線時分解イメージングによるスピンダイナミクスの観測,近年、スピン流や光誘起スピン相転移等、スピンのダイナミクスに関する現象が大変注目を集めている。しかしながら、これらの時間的・空間的変動を直接可視化する技術は未だ未発達の分野である。本研究では、放射光パルスX線を用いた時分割コヒーレント軟X線回折イメージングにより、マイクロ波やレーザーで誘起されるスピンダイナミクスの可視化を目指す。具体的にはマイクロ波誘起のマグノンスピン流の可視化や、円偏光レーザー照射によりマルチフェロイック物質中に誘起されると言われるカイラルソリトン格子等を直接観測し、ps~fs領域におけるスピンダイナミクスの新たな知見を得る。,研究活動スタート支援,0402:ナノマイクロ科学、応用物理物性、応用物理工学およびその関連分野,時分解磁気イメージング,時分割測定,磁気イメージング,X線顕微鏡,コヒーレントX線,スピンダイナミクス,軟X線顕微鏡,時分解測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
