awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21160,国立研究開発法人産業技術総合研究所,関 雅子,木材の化学処理と熱処理のツーステップ処理による寸法・物性安定化,本研究では、木材の吸水・脱水による寸法や物性の変化を抑制するための手段として、既存の化学処理と熱処理を組み合わせた「ツーステップ処理（すなわち、化学処理木材の熱処理）」を検討する。マクロな物性である寸法安定性や力学的特性に及ぼすツーステップ処理の効果を明らかにするとともに、ナノレベルの空隙構造や化学構造の変化がマクロな物性に及ぼす影響を検討し、木材の寸法安定化機構に関する知見を得る。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,木材,化学処理,アセチル化処理,樹脂含浸処理,熱処理,微細構造,寸法安定化,樹脂含浸,寸法安定性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21159,地方独立行政法人北海道立総合研究機構,渋井 宏美,なぜ油溶性の薬剤は難浸透性のカラマツ材に浸透することができるのか？,難浸透性のカラマツ心材でも高い浸透が得られる油溶性保存処理薬剤の浸透メカニズムを解明することを目的とする。カラマツ心材に油溶性薬剤を浸透させ，浸透部の木材組織を各種顕微鏡を用いて観察することで，浸透経路や薬剤中の有効成分の組織内分布を明らかにする。さらに，X線CTを用いて非破壊的に薬剤の浸透挙動を調べる。これらの結果から，浸透しやすさと木材組織の構造的特徴（壁孔の状態や樹脂道ネットワークなど）の関係性を明らかにする。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,カラマツ,油溶性薬剤,浸透性,樹脂道,壁孔,浸透メカニズム,木材保存学,組織学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21158,福井県立大学,瀧澤 文雄,魚類の形質細胞の特性および分化機構の解明,ワクチンによる感染予防には、異物である抗原を排除する抗体の産生を誘導し、免疫記憶を伴う獲得免疫を成立させることが重要である。形質細胞は、抗体を産生する主要な細胞であり、抗原存在下で白血球であるB細胞から分化する。つまり、この分化機構を促進させることが、感染症に対して効果的なワクチン開発において重要だと考えられる。そこで本研究では、魚類の形質細胞を同定・分取し、その特性を明らかにするとともに、B細胞から形質細胞への分化機構を解明する。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,抗体,形質細胞,B細胞,ニジマス,魚類,ワクチン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21157,信州大学,小田 あゆみ,微量窒素同位体比分析を用いた山岳地域の温暖化に伴う森林の成長と種多様性の変化予測,温暖化により様々な生態系で植物の重要な養分である窒素の量や化学形態が変化している。日本の山岳地域の森林でも土壌中の窒素の状態が変化していくと考えられ、それにより森林の成長や種構成がどのように変わっていくかを予測する必要がある。この研究では、山岳地域で過去50年分の樹木の成長速度が明らかな調査地を用い、樹種ごとに利用している窒素源を明らかにし、温暖化で衰弱しやすい樹種と、反対に成長が旺盛になる樹種を予測できるようにする。この研究により、山岳地域が温暖化した場合の森林の姿をより精度よく予測できるようになる。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,窒素同位体比,山岳地域,気候変動,硝酸態窒素,温暖化,窒素源,成長速度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21156,東京大学,細野 耕平,魚類の警報フェロモンの単離と、その作用機序・生理機能の解明,本研究は、モザンビークティラピア（Oreochromis mossambicus）をモデルとして、危険回避シグナルである警報フェロモンの単離を目指すとともに、その作用機序と生理機能の解析に取り組んだ。本年度は主に作用機序の解明にフォーカスして研究を進めた。重複制限により中途辞退を行うまでのおよそ半年の間に、以下の成果を得た。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,警報フェロモン,アラームサブスタンス,嗅覚,嗅上皮,モザンビークティラピア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21155,北海道大学,山木 将悟,腸管出血性大腸菌に感染する広宿主域ファージの感染機構の解明と食品への応用,腸管出血性大腸菌やサルモネラによる食中毒は世界中で頻発しており，大きな問題となっている。これらの食中毒細菌による食中毒事例は国内でも後を絶たない。特に，加熱を行わない非加熱食品では，腸管出血性大腸菌やサルモネラによる食中毒リスクが高く，有効な制御方法の開発が常に求められてきた。本研究では，細菌に感染し殺菌するウイルスであるバクテリオファージを用いて，これらの食中毒細菌の殺菌法について研究する。使用するファージは通常のファージよりも宿主域が広いという特徴がある。本ファージの感染メカニズムを解明し，食品での殺菌効果を検証することにより，ファージによる微生物制御技術の発展を目指す。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,バクテリオファージ,食品衛生,食品微生物,微生物制御,大腸菌,サルモネラ,腸管出血性大腸菌,食中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H06022,国立研究開発法人水産研究・教育機構,松浦 雄太,魚類特有の器官「ヒレ」を活用した細胞内寄生細菌に対する細胞性免疫機構の解明,本研究では、ブリ類において細胞性免疫を担う細胞を識別するための抗体を作製した。はじめに、ブリ白血球由来cDNAより細胞性免疫を担う細胞であるヘルパーT細胞およびキラーT細胞にそれぞれ特異的に発現するCD4およびCD8分子に対する遺伝子を単離した結果、CD4分子のホモログとしてCD4-1およびCD4-2、CD8分子のアイソフォームとしてCD8αおよびCD8βの計4遺伝子の単離に成功した。なお、本研究で単離した遺伝子は、これまでブリにおいて未報告の分子であった。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,ノカルジア症,細胞性免疫,ブリ,ヘルパーT細胞,キラーT細胞,CD4,CD8,細胞内寄生細菌,養殖魚,獲得免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H06018,九州大学,久米 朋宣,孟宗竹林の拡大影響評価に向けた蒸散及び炭素固定量の時空間変動の解明,竹林拡大が森林生態系に与える影響を科学的に解明することが、水資源供給や炭素吸収機能を強化する森林管理方針のあり方を議論するうえで急務である。本研究では、竹林拡大による蒸散・炭素固定量の変化を定量的に予測するために、申請者がこれまで取り組んできた低コストで多地点への展開が可能な樹液流計測を基軸に、1)山地斜面内の竹林の蒸散および炭素固定量の変動とその要因の解明、2) 気候が異なる3地域(福岡、京都、台湾)の竹林の蒸散および炭素固定量の変動とその変動要因の解明を行うことを目的とした。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,モウソウチク林,樹液流計測,蒸散,炭素固定,モウソウチク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23691,独立行政法人国立科学博物館,畑 晴陵,精緻な分類学的研究に基づくサッパ属魚類の資源動向予測モデルの構築に関する基礎研究,ニシン科サッパ属魚類の形態観察用標本・分子解析用組織切片を熱帯アジアを中心とした世界各地で採集すると同時に，各種の生態・資源学的情報を蓄積する．世界各地の研究機関を来訪し，収蔵標本の観察をおこなう．見いだされた各種に適用すべき学名をタイプ標本や原記載を調査して決定する．各種の簡便な識別方法と特徴や分布域を記したモノグラフを出版する．,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,カタボシイワシ,Sardinella ventura,ギンリンサッパ,Sardinella albella,ナンカイサッパ,Sardinella gibbosa,Clupea immaculata,Sardinella jussieui,Sardinella dayi,Sardinella alcyone,シオサイイワシ,ニシン目魚類,分類学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23690,地方独立行政法人北海道立総合研究機構,西川 翔太郎,体表粘液に着目したプロテオーム解析によるサクラマス種苗の感染症早期診断技術の開発,北海道内のサクラマス増養殖では、感染症による死亡被害が近年急増しており、蔓延防止の観点から早期診断法の開発が急務である。従来の魚病診断は、病原体自体を検出することに依存してきた。しかし、その検出感度の低さや病原体の増殖が遅い等の問題から、感染初期に病原体の検出は困難な場合が多かった。従って、病原体検出に依存せず、宿主の健康状態をモニタリングすることで、発症を予測する技術を開発する必要がある。本研究では、病原体が宿主に最初に接触する体表粘液に着目して、病原体感染時の体表粘液に含まれるタンパク質を網羅的に調べる。その中で最も変化するタンパク質を定量する手法を確立し、感染症の早期診断技術を開発する。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,魚病,サクラマス,体表粘液,体表,粘液,プロテオーム,プロテオーム解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23689,創価大学,平原 南萌,内湾性カイアシ類の知られざる生理生態学的生存戦略,内湾域は環境変動が激しく、絶えず生物の移入・消失による生態系の構造変化や生物生産の変動が起きている。内湾の生物多様性は、沿岸域や外洋域と比較して圧倒的に低く、内湾生態系において再生産を行って優占する生物種は限られている。つまり、これまで沿岸性種とひとくくりに考えられてきた内湾性カイアシ類は、変動する餌料環境に対して独自の生理学的応答を持つことが必至であると考えられ、本申請研究ではアミノ酸の利用について着目して内湾性カイアシ類の生理生態学的生存戦略を解明する。,研究活動スタート支援,0603:森林圏科学、水圏応用科学およびその関連分野,遊離アミノ酸,脂質,蓄積,適応,生存戦略,内湾性カイアシ類,タンパク質,生合成,飢餓耐性,エネルギー蓄積,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
