awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21186,国立研究開発法人理化学研究所,小林 周,コヒーレントX線回折イメージングを用いた真核細胞の時空間階層構造イメージング,コヒーレントX線回折イメージングは、マイクロメートルサイズの非結晶試料を数～数十ナノメートル分解能で可視化する構造解析手法である。実験では試料に対して干渉性の高いX線を入射し、試料からのX線回折強度パターンを記録する。本手法は試料に化学固定や染色が必要ないため、ありのままの構造丸ごとを解析できるという利点がある。本研究では複雑な空間階層構造を有する細胞をターゲットとして、大型放射光施設SPring-8及びX線自由電子レーザー施設SACLAにおいてコヒーレントX線回折イメージング実験を実施し、細胞分裂などにおける諸過程の構造変化を追うことで、細胞の機能構造を解明する。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,コヒーレントX線回折イメージング,細胞イメージング,コヒーレント線回折イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21185,国立研究開発法人農業・食品産業技術総合研究機構,横井 彩子,イネSOG1の機能解析とその発現調節による高効率ジーンターゲッティング系の確立,ジーンターゲッティング（GT）は、標的遺伝子を望み通りに改変できるゲノム編集技術である。申請者は、イネにおいて汎用的なGT系の確立に成功しているが、効率は満足できるものではない。一方、GTは相同組換えを利用することから、イネにおけるDNA修復経路の解析も行ってきた。シロイヌナズナのSUPPRESSOR OF GAMMA RESPONSE 1 (SOG1) 転写因子はDNA修復経路の主要制御因子であることが知られているが、イネSOG1の機能は明らかにされていない。本研究では、イネSOG1転写因子の機能解析を行うと共に、SOG1の発現調節によりGT効率を向上させることができるかを検討する。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,DNA double strand breaks,Sog1,DNA repair,rice,DNA損傷応答,DNA修復,SOG1,ジーンターゲッティング,DSB repair,DNA damage response,sog1,NHEJ,homologous recombination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21184,公益財団法人がん研究会,市川 雄一,乳がんの再発に関与する核内ノンコーディングRNAを介した新しい転写制御機構の解明,遺伝子の発現を制御する因子として、タンパク質へ翻訳されずに細胞核内で機能するノンコーディングRNA が近年注目を集めている。ノンコーディングRNA を介した遺伝子発現制御はがんなどの疾病と密接に関わっている。本研究では再発乳がん特異的に高発現している核内長鎖ノンコーディングRNA「エレノア」に着目し、エレノアが相互作用する染色体領域や、エレノアと協調的に働く転写関連因子を明らかにすることで、ノンコーディングRNA を介した新しいタイプの遺伝子発現制御機構の解明を目指す。得られた成果は、再発がんの診断や治療標的の同定につながると期待される。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,ノンコーディングRNA,クロマチン,ER陽性乳がん,ESR1,エピジェネティクス,細胞核,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21183,基礎生物学研究所,幸節 健,陸上植物全般に存在する分裂面制御の分子メカニズムの解明,本研究では特定の脂質と細胞骨格の関連性およびAuroraキナーゼの解析を通して、細胞分裂面制制御機構の解析を行う。具体的には、特定の脂質のライブセルイメージング、脂質合成を薬剤で阻害し、細胞分裂面への影響を評価する。また、ヒメツリガネゴケのAuroraキナーゼの相互作用因子ILP1が分裂面制御に必須なことを示唆するデータが得られている。そこでILP1の細胞骨格制御メカニズムを調べる。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,植物発生学,細胞分裂面制御,フラグモプラスト,Auroraキナーゼ,細胞分裂面制御の研究,ヒメツリガネゴケ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21182,国立遺伝学研究所,三好 啓太,RNAサイレンシング制御因子の同定と機能解析,RNAサイレンシングとは、小分子RNAによって誘導される塩基配列特異的な遺伝子発現制御機構の総称であり、生物種間で高度に保存され、細胞内プロセスにおいて非常に重要な役割を担っている。これまでに、その基本機構は明らかにされてきた。一方で、申請者はRNAサイレンシングの新規関連因子群を多数同定している。本研究では、これら新規関連因子群の詳細な機能解析を行い、RNAサイレンシングを制御する機構の解明を目指す。これにより、RNAサイレンシングの人為的な制御とその応用利用の可能性を探る。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,RNAサイレンシング,microRNA,RNAi,piRNA,miRNA,siRNA,ショウジョウバエ,RISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21181,立教大学,向井 崇人,立体構造タグを用いたtRNA分子群の操作法の開発,tRNA分子の構造は規格化され互いに似通っているため、短い塩基配列やタンパク質のタグ配列の様な特徴的目印を付けることが難しい。本研究では、規格通りのtRNA立体構造を維持したまま、局所的な立体構造的特徴（立体構造タグと名付ける）を付与することを目指す。tRNAのフレームとして最近自然界から見つけたallo-tRNAグループの物を用い、allo-tRNAのV-アーム部分にタグ構造を融合する。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,tRNA,アプタマー,遺伝暗号,合成生物学,allo-tRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21180,神戸大学,吉岡 伸,塩基置換を利用したゲノム編集技術の最適化,「Target-AID法」は改変体Cas9とエフェクターとしてデアミナーゼを組み合わせたものであり、塩基置換を誘導できる有用なゲノム改変ツールである。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,Base editing,ゲノム編集,塩基置換,Genome editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21179,京都大学,宮崎 亮次,生細胞内での翻訳途上ポリペプチド鎖の相互作用・フォールディング様態の解析,タンパク質には翻訳途上ポリペプチド鎖の状態で自発的、あるいは他因子の介助を受けて成熟するものも多く存在する。また、翻訳途上鎖自身が機能分子として働き得ることも明らかになり、翻訳途上鎖の構造・相互作用の理解は更に重要になりつつある。本研究は、細胞内で翻訳が安定に停止する「翻訳停止配列」を利用し、それをin vivo光架橋法と組み合わせることで、生細胞内で翻訳の各ステップでの翻訳途上鎖のダイナミックな動態を解析可能な生化学的手法の構築を目指すものである。そのために、翻訳途上鎖の動態について知見のあるいくつかのタンパク質をモデル基質として利用し、提案する手法の有用性や汎用性を検証する。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,翻訳停止配列,in vivo光架橋法,翻訳途上ポリペプチド鎖,タンパク質相互作用,フォールディング,細胞内生化学,部位特異的in vivo光架橋法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21178,東京工業大学,志見 剛,核ラミナが核膜孔の分布を制御する分子メカニズムの解明,動物細胞の核膜では、ラミナと核膜孔が構造的に繋がっている。ラミナの主要な構造タンパク質であるラミンは、Lamin A/C、Lamin B1 ならびにLamin B2 によって構成され、核膜孔を構成するヌクレオポリンと結合する。本研究では、『Lamin A/C とLamin B1 は、特定のヌクレオポリンとの結合を介して核膜孔の分布を制御する』という作業仮説に基づき、ラミナと核膜孔を構造的に繋げるヌクレオポリンを特定し、これらのヌクレオポリンが結合するLamin A/C とLamin B1 の領域を同定する。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,Lamina,lamin,Nuclear pore complex,Nucleoporin,Laminopathies,核ラミナ,ラミン,核膜孔複合体,ヌクレオポリン,核膜孔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21177,東京大学,鯨井 智也,クロマチン構成因子DEKによるクロマチン構造制御機構の解明,本研究では、クロマチン構成因子DEKによるクロマチン構造制御機構の解析を行う。DEKは、癌化やリウマチ関節炎に関与することが知られており、細胞核内に大量かつユビキタスに存在する因子であるにもかかわらず、クロマチンに及ぼす影響についてはほとんど不明である。本研究では、構造生物学的、生化学的手法を中心に、DEKとクロマチンの相互作用解析を行うことで、DEKによるクロマチン構造制御機構を解明する。さらに、DEKと他のクロマチン構造形成因子との比較を行うことで、真核生物におけるクロマチン構造形成の多様性の解明を試みる。,研究活動スタート支援,0701:分子レベルから細胞レベルの生物学およびその関連分野,クロマチン,DEK,癌,ヌクレオソーム,エピジェネティクス,クライオ電子顕微鏡,X線結晶構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
