awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21295,愛知県がんセンター(研究所),細野 祥之,精巣・癌特異的長鎖非翻訳RNAであるTHORのプロモーター解析とその治療応用,今回の研究では、THORの発現機構を転写制御レベルで解明し、転写調節点をターゲットとした治療法の確立を目的とし、以下の4段階に分けて実験を遂行する。１）Luciferase assayを用いた、THORのプロモーターにおける最小転写責任領域の同定。２）免疫沈降法と質量分析法を組み合わせた、THORプロモーターに結合する転写因子の網羅的な解析。３）Luciferase assayと低分子化合物ライブラリーを併用した、THORの転写調節点をターゲットとした低分子化合物の同定。４）動物モデルを用いた低分子化合物の効果判定。,研究活動スタート支援,0901:腫瘍学およびその関連分野,lncRNA,転写因子,動物モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21294,国立研究開発法人国立がん研究センター,田頭 香澄美,活性化型RASによるマクロピノソームの蓄積を伴う細胞死制御機構の解明,RASは多くのがんにおいてドライバー遺伝子となることが知られている。一方で正常上皮細胞においてはマクロピノソームの過剰な蓄積を伴う細胞死(MCD)を誘導することを報告した。さらにMCDはMYCの高発現により抑制されることを報告した。そこで活性化型RASによるMCDの誘導とMYCによるその抑制に関与する因子を、可逆性人工がん幹細胞を用いたスクリーニングを中心とした包括的解析により同定し、MCDの分子機構の全貌解明を目的とする。本研究は活性化型RASによる発がん過程の理解を高め、活性化型RAS変異を有するがん細胞を標的とした新規治療法開発のための科学的基盤となる。,研究活動スタート支援,0901:腫瘍学およびその関連分野,RAS,細胞死,マクロピノサイトーシス,MYC,RAC1,正常上皮細胞,RAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21293,国立研究開発法人国立がん研究センター,華井 明子,プレシジョンケアを目指した抗がん薬起因性末梢神経障害予防に関する予測因子の検討,抗がん薬起因性末梢神経障害（Chemotherapy Induced Peripheral Neuropathy;,研究活動スタート支援,0901:腫瘍学およびその関連分野,末梢神経障害,支持療法,がん,サバイバーシップ,臨床評価,化学療法誘発性末梢神経障害,非薬物介入,化学療法起因性末梢神経障害,リハビリテーション,作業療法,プレシジョンケア,冷却介入,precision care,precisioncare,冷却,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21292,公益財団法人がん研究会,高木 聡,腫瘍内血小板によるがんの免疫逃避機構の解明,免疫チェックポイント阻害剤は、進行がん患者に対しても劇的な抗腫瘍効果をもたらす一方で効果が期待される患者は限定的であり、その治療応答性や抵抗性を規定する因子の解明が喫緊の課題となっている。申請者はこれまでに、ある種のがんでは腫瘍内部に血小板が入り込み腫瘍増殖に寄与することを報告するとともに、がん細胞による血小板活性化を中和する抗体を樹立してきた。本研究課題では、腫瘍内部に入り込んだ血小板が、がんの免疫逃避に与える影響の詳細を明らかにすることを目的とする。本研究課題の遂行により、新たに血小板によるがん免疫環境の制御機構が解明され、その制御原理に基づく新規がん治療法の開発が期待できる。,研究活動スタート支援,0901:腫瘍学およびその関連分野,腫瘍微小環境,腫瘍免疫,免疫チェックポイント,血小板,免疫,免疫逃避,がん免疫,免疫チェックポイント阻害剤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21291,大阪医科大学,濱元 宏喜,DLL3関連大腸癌における新規創薬開発を目指した基盤構築研究,本研究では大腸癌におけるDLL3の機能解析をNotchシグナル及びアポトーシス中心に行い、DLL3が大腸癌における新規治療標的となる可能性について検証し、今後、DLL3を標的とした抗体薬剤複合体 (Rova-T) への検討に発展させる足掛かりとする。　我々は予備実験で、大腸癌においてDLL3の抗アポトーシス効果への関与を示唆する結果を得ており、その結果に基づき、研究を遂行していく。,研究活動スタート支援,0901:腫瘍学およびその関連分野,DLL3,大腸癌,免疫染色,アポトーシス,内分泌細胞,NOTCH,Notch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21290,杏林大学,田口 慧,がん治療用ヘルペスウイルスを用いた、肉腫におけるウイルス療法の検討,ウイルス療法はがんに対する新規治療であり、がん細胞のみを選択的に傷害するように遺伝子改変した「がん治療用ウイルス」を用いる。がん治療用ヘルペスウイルスのG47Δは、本邦発のウイルス療法薬として医師主導治験中である。,研究活動スタート支援,0901:腫瘍学およびその関連分野,肉腫,がん治療用ウイルス,ヘルペスウイルス,PDX,ウイルス療法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21289,京都府立医科大学,川口 耕,固形癌における革新的ゲノム解析法を用いた免疫微小環境ならびに腫瘍不均一性の解明,我々はこれまで原発巣腫瘍サンプルのRNA ならびにDNA シークエンスデータを用いて網羅的にゲノム・エピゲノム解析することで、その臨床的意義を解明する手法を確立、そして報告してきた。特に乳癌・大腸癌においては革新的な網羅的ゲノム解析法を確立し、腫瘍内の免疫微小環境が腫瘍内ゲノム不均一性に寄与し、予後を悪化させることを明らかにした（論文審査中）。本研究は消化器癌の、特に転移巣腫瘍を網羅的ゲノム解析することにより、転移形成そのものや転移巣腫瘍内不均一性増悪における免疫微小環境の役割とその臨床的意義の解明を目的とする。,研究活動スタート支援,0901:腫瘍学およびその関連分野,腫瘍免疫,ゲノム,乳癌,肝臓癌,免疫微小環境,シーケンス,腫瘍内不均一性,ゲノム解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21288,福島県立医科大学,BOKHOVE MARCEL,Establishing a framework for EGFR attenuation through structure-guided targeting of GGA2,"GGA2 is a molecule that transports proteins in the cell. One such protein is EGFR, which regulates cell growth. Active and inactive EGFR is balanced by recycling or breakdown and reuse of its building blocks. Disruption of this balance can cause cells to develop into dangerous cancers.",研究活動スタート支援,0901:腫瘍学およびその関連分野,GGA2,EGFR,Crystallography,Signal-disruption,Protein complex,FLIM,Confocal microscopy,Adaptor protein complex,Protein Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21287,熊本大学,佐藤 陽之輔,小細胞肺癌の生存に関わるガイダンス分子Draxin-Neogenin経路の意義,小細胞肺癌は、化学療法による治療効果が不十分であり新たな治療法が求められている。,研究活動スタート支援,0901:腫瘍学およびその関連分野,小細胞肺癌,神経ガイダンス分子,Draxin,Neogenin,発癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21286,長崎大学,佐々木 由香,PARP阻害剤の耐性機構の解析と耐性克服に有効な治療法の開発,PARP阻害剤は、相同性組換え修復に関わるBRCA1またはBRCA2に変異を持つ卵巣がんに特異的に致死を誘導する合成致死性抗がん剤として開発された。副作用が少ない抗がん剤として期待されているが、PARP阻害剤の耐性機構は未だ詳細に解析されておらず、その耐性を克服するための治療法も確立されていない。そこで本研究では、 PARP 阻害剤耐性に寄与する新規因子を同定し、その耐性機構を解明する。また、PARP阻害剤耐性を獲得したがん細胞における耐性克服治療法を既存の抗がん剤を用いて検討する。以上の解析より、PARP阻害剤耐性を獲得したがん罹患者の耐性克服治療法の開発に繋がるような研究を行う。,研究活動スタート支援,0901:腫瘍学およびその関連分野,PARP阻害剤,olaparib,抗がん剤耐性,PARP1,合成致死性抗がん剤,ポリ(ADP-リボース),耐性克服治療法,poly(ADP-ribose),PARP,poly (ADP-ribose),ポリADP-リボシル化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
