awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K21328,熊本大学,金丸 央,皮膚科疾患におけるインターフェロン誘導性遺伝子の解析とその応用,近年、皮膚悪性腫瘍の一つである悪性黒色腫に対し、免疫チェックポイント阻害薬に代表される免疫療法の有効性が報告され、これらの治療成績に影響を与える重要な因子としてI型インターフェロン(IFN)が注目されている。本研究は皮膚免疫においてI型IFN誘導性遺伝子に重要な影響を与える因子を探索し、その病態における機序を解明することで、診断・予後マーカーとしての可能性を探り、さらに上記の免疫療法への応用の可能性を検討する。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,インターフェロン,悪性黒色腫,代謝,腫瘍免疫,転写因子,樹状細胞,サイトカイン,免疫療法,I型インターフェロン,遺伝子,皮膚悪性腫瘍,免疫チェックポイント阻害薬,自然免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21327,大阪大学,種池 学,Rubiconによる心臓オートファジーの制御機構解明と創薬への応用,重要な細胞内分解機構の一つであるオートファジーは、細胞内恒常性を維持することによる細胞保護的役割を持っている。オートファジーを抑制する数少ない因子であるRubiconについて解析することにより、オートファジーによる心筋細胞内恒常性維持のシステムについて基礎的検討を行うことを目的とする。野生型マウスや初代培養心筋細胞を用いて、種々の負荷におけるRubiconの発現量の変化を解析する。また心筋細胞特異的Rubicon欠損マウスを用いた病態モデルを作製し、解析する。これらの検討により、新規創薬につながる分子標的を明らかにし、心不全治療への応用を目指す。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,心不全,β受容体,エンドサイトーシス,オートファジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21326,京都大学,渋谷 倫太郎,外的刺激に対する皮膚免疫応答における補体系の機能解析,病原体などの外的刺激に対する自然免疫応答は、宿主の生体防御機構として重要である。皮膚では外的刺激を受け上皮傷害を来すと、好中球や単球/マクロファージが浸潤して病原体の貪食や組織修復を行う。しかし、表皮由来因子の放出から炎症細胞浸潤へ至る真皮内の応答経路は不明である。補体系は、病原体の排除や貪食の補助機構と考えられてきたが、近年では様々な免疫調節作用が報告されている。申請者は、刺激因子であるドデシル硫酸ナトリウムの反復塗布で誘導される炎症細胞浸潤が、補体欠損マウスでは減弱することを見出した。本研究では、補体システムに着目し、上皮傷害によって誘導される皮膚免疫応答カスケードの解明を目指す。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,刺激性皮膚炎,補体,好塩基球,C5a,上皮傷害,皮膚免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21325,東京大学,住田 隼一,腫瘍内浸潤リンパ球の遊走・活性化に関わる新規Gタンパク質共役型受容体の探索,悪性腫瘍の多くは未だ予後不良であり、新規薬剤の開発が望まれている。近年、免疫チェックポイント阻害薬等の登場と適応拡大により、癌病態における免疫担当細胞の役割、中でも腫瘍内浸潤リンパ球の役割が注目されている。この腫瘍内浸潤リンパ球がどのように腫瘍細胞内へリクルートされるのか、また癌細胞とどのように相互作用するのかについては、詳しいことはわかっていない。そこで、本研究では、Gタンパク質共役型受容体に注目し、腫瘍内浸潤リンパ球における新規役割の解明を目指す。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,腫瘍内浸潤リンパ球,Gタンパク質共役型受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21324,大阪大学,岡田 健志,糖尿病性心筋症進展における酸化ステロール蓄積の影響の解明,糖尿病性心筋症は糖尿病性心不全の前段階と考えられ、心筋肥大と拡張機能不全を特徴とするが、詳細な発症メカニズムは明らかでない。糖尿病では腸管の脂質吸収が亢進していると考えられており、また糖尿病患者では血中の酸化ステロール濃度が増加していることが報告されている。糖尿病性心筋症の増悪因子として酸化ステロールが関与している可能性について、動物モデルを用いて検討し、病態進展における酸化ステロール蓄積の役割を明らかにする。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,糖尿病性心筋症,酸化ステロール,ミトコンドリア機能障害,心不全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K21323,京都大学,中塚 賀也,2型自然リンパ球におけるRegnase-1を標的とした特発性肺線維症新規治療戦略,特発性肺線維症は原因不明で、しかも進行が早く、治療選択肢も限られている。そのため、病気の原因を明らかにすることや、それを基に新しい治療法を確立することが求められている。本研究では、2型自然リンパ球と呼ばれる細胞が、肺線維症を進行させる仕組みについて調べている。特に、RNAを分解する分子であるRegnase-1に着目し、この分子の機能を制御することで、肺線維症の治療につなげることを目的としている。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,特発性肺線維症,2型自然リンパ球,Regnase-1,生命予後,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H06224,九州大学,山田 俊輔,血管石灰化治療における骨格筋・血管相関の概念の応用とその機序の解明,本研究は、骨格筋、骨、そして血管の臓器連関に着目し、骨格筋が分泌するマイオカインが慢性腎臓病(CKD)患者の合併する血管石灰化の治療として有用であることを実証することを目的にした基礎研究である。In vivoの実験系においては、まずCKDを呈するマウスモデルにおいて、腎不全の進行とともに骨格筋の萎縮、骨量減少、血管石灰化の進展が同期的に進行すること実証すべく、予備実験で開発していたアデニン含有の特殊餌を用いて、CKDモデルマウスを作成した。予測通り、アデニン含有餌をマウスに給餌することで、時系列期に骨格筋(ヒラメ筋と長指伸筋)の萎縮、大腿骨遠位部および腰椎の骨量低下、大動脈中膜の石灰化が進展することを明らかにした。また、組織学的にも、腎臓の線維化が進行することを確認した。現在、この腎不全マウスに対してマイオカインの一種であるirisinを投薬し、血管石灰化が低減するかどうか、骨格筋量が増加するかどうか、さらには骨量が増加するかどうかを検証中である。また、培養血管平滑筋細胞を用いたin vitroの実験系においては、高濃度のリンを負荷すると、血管平滑筋細胞の形質変化が進展するとともに、細胞外マトリックスの石灰化が増強することを確認した。さらに、培養骨格筋細胞であるMC3T3細胞を高濃度のリン含有培地に暴露すると、サイトカインであるIL-6の発現がリン濃度依存性に増加することを明らかにした。現在、このin vitroの実験系において、irisinを投与することで、血管平滑筋細胞の形質変化が抑えられるかどうか、血管石灰化の進展を抑制できるかどうかを明らかにするための実験を行っている。今後、血管平滑筋細胞とMC3T3の共培養系において、リン負荷をした場合の血管平滑筋細胞の石灰化がどのように変化するか、またその機序について解明するための実験を計画している。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,血管石化化,骨格筋,マイオカイン,慢性腎臓病,血管石灰化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18H06223,岡山大学,堤 康一郎,エクソソーム中のmicroRNA解析によるIPMN良悪性診断マーカーの探索,IPMNは、画像による主膵管径や壁在結節の有無などの形態学的評価を主体とした良悪性診断が標準的に行われているが、ガイドラインに基づき当院で切除を行った68例の悪性診断精度は6 割程度であり、切除後に悪性ではなかった、またすでに予後不良な浸潤がんであったと判明することも少なくないのが現状である。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,エクソソーム,IPMN,血漿,膵液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23993,東海大学,安田 純平,心リモデリングに関わる線維産生細胞の再検討と分子制御機構の解明,冠動脈疾患や高血圧症の発症と進展に伴うコラーゲンなどの過剰沈着(心臓線維化)は心不全をきたす。心臓線維化を標的とする新たな心不全治療法の開発が喫緊の課題であるが、心臓線維化に関わる線維産生細胞の由来やその制御機構は不明である。本研究では、①独自に樹立したレポーターマウスを用いて心臓線維化に関わる線維産生細胞を同定し、②当該細胞において新規線維化関連転写因子によるコラーゲン遺伝子の発現調節機構を解明する。そして、③siRNAや他因子との相互作用を修飾する合成ペプチドを用いた当該転写因子の制御が心臓線維化進展に及ぼす効果を検証し、独自の視点に立った心不全治療法の開発基盤を構築を目指す。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,心不全,臓器線維症,病態生理学,転写因子,心臓線維化,心リモデリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K23992,大阪市立大学,中釜 悠,乳酸を基軸とした心臓エネルギー代謝可塑性の理解,末梢への循環維持装置である心臓は、いかなる生理的・病的状況においても、血液ポンプとして収縮・拡張を続ける使命を負う。激しい外的環境・内的需要の変化に順応すべく、心臓は「雑食な臓器」として適応しあらゆるエネルギー基質を巧妙に使い分けている。多くの細胞・体内組織にとって、解糖系の最終産物として外部へ排出する対象である「乳酸」も、心臓にとっては重要なエネルギー基質である。本申請では、マウス遺伝子工学的手法と心臓エネルギー代謝解析手法を駆使し、莫大な酸素消費と引き換えにしてまで、他細胞にとっては老廃物に過ぎない乳酸を敢えて積極的に代謝するようになった「心筋の代謝適応戦略」の理解を目指す。,研究活動スタート支援,0903:器官システム内科学およびその関連分野,心臓,エネルギー代謝,乳酸,酸素呼吸,嫌気的解糖,代謝フラックス,解糖系,ミトコンドリア呼吸,心筋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
