awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12271,福岡女学院大学,忠 聡太,戦後の環太平洋圏における大衆音楽の実演文化史研究,本研究は、日本では1950年代に活発化したミュージシャンの国際的な巡業に着目し、その実演にもとづく環太平洋的な音楽文化史観の構築を目指した。ジーン・クルーパ、ペレス・プラード、ハリー・ベラフォンテ、アート・ブレイキーらを主な事例として、ミュージシャンの移動とともに新たな音楽様式と音響技術が実演を介して伝播する過程をあきらかにした。さらに、こうした公演が冷戦期の社会的な混乱とメディアの再編のなかで企画されたことに着目し、真正な多文化と接触する場として羨望された来日公演が、戦前から続く人種主義的な諸傾向と戦後の脱植民地主義的な思潮との連続性を媒介する上でも重要な役割を果たしたことをあきらかにした。,若手研究,小区分01070:芸術実践論関連,ポピュラー音楽,実演,大衆文化史,戦後日本,ライヴ,モダニズム,環太平洋,オーディエンス,大衆文化,文化史,冷戦,メディア研究,マンボ,ダンス,ロック,ジャズ,戦後史,メディア史,ポピュラー音楽研究,メディア論,文化社会学,メディア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12270,追手門学院大学,富田 大介,共同体形成に与する身体感覚の研究：ニューカレドニアの舞踊団Wetrの振付を事例に,本研究は、ニューカレドニア・リフ島に拠点を置くカナクの舞踊団ウェッチ(Wetr)に関する研究代表者のこれまでの考察をふまえ、その観点を「振付」へと向けて、ウェッチの地域社会で継承される身体感覚の意味を探求するものであった。それは、しかしながら、災禍と疫禍により、現地調査を断念しなければならず(疫禍の回復を見込んで研究期間を一年延長したが、入島禁止は解かれず)、副題への考察を別の機会にすることとし、1.これまでに収集・収録した文献・視聴覚資料の再検討、2.ならびに日本国内の関連実践事例とフランスの現代舞踊美学の考察を中心として、表題中の「共同体形成に与する身体感覚」に関して追究するよう努めた。,若手研究,小区分01070:芸術実践論関連,身体感覚のシミュレーション,キアスム,感応／魅惑／ダンス,共同体の意識,舞踊の継承,共同体,感応,共鳴,キアスム（chiasme）,戦（戦士）の踊り,身体感覚,振付,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12269,日本大学,西国領 君嘉,日本舞踊家初代吾妻徳穂アーカイブ作成のための調査研究,本研究では、日本舞踊家初代吾妻徳穂の生涯における舞踊活動をアーカイブ化するため、吾妻流事務所や国内外における現存する資料の収集と、初代徳穂の生前を知る関係者からのインタビュー調査を主軸に、初代徳穂の活動の軌跡をたどり、舞踊に対する意識や思想の調査と、現在に渡り吾妻流の中に継承される舞踊から見る初代徳穂の舞踊観の考察を行った。,若手研究,小区分01070:芸術実践論関連,初代吾妻徳穂,日本舞踊,新舞踊運動,アヅマカブキ,吾妻徳穂,日本舞踊吾妻流,吾妻流,アーカイブ,春藤会,アヅマ・カブキ,花柳若菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12268,成城大学,荒木 慎也,美術大学におけるプロジェクト参加型実技教育の研究,本研究では、日本国内の地域芸術祭や、美術系大学のプロジェクトに従事するボランティア参加者に注目し、参加者の内訳の推移、活動内容、参加動機、そして活動への参加が参加者たちに与える教育効果を調査した。本研究の結果、美術系学生のボランティア参加が2010年代に大幅に減少した一方で、地域芸術祭においては、参加者の主体が、日本国内の若者から、日本の中高年と台湾・香港からの若者に推移したことが明らかになった。また、活動内容が参加者の自発性よりも中央の指示を重視する形式を重視していること、さらに、ボランティア参加の動機が、活動を余暇の一種とみなすボランツーリズム的な要素を含んでいることも明らかになった。,若手研究,小区分01070:芸術実践論関連,美術教育,地域芸術祭,ボランティア,美術系大学,芸術祭,美術予備校,美術大学,アカデミック・ハラスメント,学習指導論,アートプロジェクト,民族誌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12267,静岡文化芸術大学,井上 由里子,ヴァレール・ノヴァリナの俳優術におけるアール・ブリュットの受容と展開,ノヴァリナとデュビュッフェの影響関係を探り、ノヴァリナの俳優論におけるアール・ブリュットの受容と展開について考察した。その結果、従来ノヴァリナのアール・ブリュット受容は劇作術にとどまると考えられてきたが、俳優論においてもアール・ブリュットが摂取されていること、理想の俳優像をコール・ブリュットと呼ぶことができることを示した。また1990年後半のビュシュヴァルト演出における俳優の演技にその理論の展開が見られること、障害のある身体がコール・ブリュットという理想を実現しうることを明らかにした。,若手研究,小区分01070:芸術実践論関連,ヴァレール・ノヴァリナ,アール・ブリュット,フランス20世紀演劇,障害,俳優論,ケア,蜂鳥劇団,暗黒舞踏,翻訳論,フランス演劇,身体論,傷つきやすさ,俳優術,演技論,上演,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12266,情報科学芸術大学院大学,具志堅 裕介,ディスプレイとスピーカーの再配置による空間認知の拡張のための表現研究,本研究は、ディスプレイを中心にシンメトリーにスピーカーを配置する従来の配置から、再配置した再生環境とそのためのサウンドデザインによって可能となる表現を探ることを目的とする。実空間とディスプレイ内の世界の音の関わりに目を向け、ディスプレイの余白（＝フレームアウト）の拡張を試みた。,若手研究,小区分01070:芸術実践論関連,メディア表現,メディア・アート,サウンドアート,サウンドデザイン,アニメーション,スピーカー,ディスプレイ,メディアアート,視聴覚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12265,岡山大学,五十嵐 潤美,シャーマン・リーの基礎研究：アメリカのアジア美術受容史における位置づけ,本研究は、アメリカの東洋美術専門家シャーマン・リーを研究対象とし、彼が前世代の東洋美術史研究者たちと一線を画す東洋美術観を形成するに至った背景を探った。その契機として、デトロイト美術館勤務と第二次大戦後の日本でのGHQ美術記念物課勤務を挙げることができた。中でもGHQ資料は網羅的に調査し、その勤務の実態を明らかにした。,若手研究,小区分01070:芸術実践論関連,シャーマン・リー,GHQ/SCAP,占領軍,GHQ美術政策,マーガレット・ミード,GHQ,SCAP,デトロイト美術館,アジア美術コレクション,アーナンダ・クーマラスワミ,アメリカの美術館,GHQ/SCAP RECORDS,アジア美術,アメリカ美術館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12264,鳥取大学,竹内 潔,自治体文化芸術政策の地方創生総合戦略への位置付けをめぐる政策形成過程に関する研究,鳥取を中心とする山陰地方の自治体を中心に文化政策の形成過程について研究を進める中で、前年度は「鳥取藝住実行委員会」に着目するに至った。本年度は、同団体が鳥取県域を対象とするアーツカウンシル的機能を備えることを目指し活動していることを手掛かりに、「自治体文化芸術政策の地方創生総合戦略への位置付けをめぐる政策形成過程」のうち、近年全国的に設置が進んでいる「地域版アーツカウンシル」へと研究を進展させた。,若手研究,小区分01070:芸術実践論関連,文化政策,地方創生,アーツカウンシル,自治体,鳥取県,総合戦略,鳥取市,豊岡市,テキスト分析,地域劇場,政策過程,政策形成,文化的価値,政策評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12263,名古屋大学,馬 然,,翻訳計画の進捗が遅れていたため、プロジェクトはさらに延長されましたが、プロジェクトの最後の1年は、全体として満足のいく進展を見ることができました。拙著の和訳だけでなく、新しいプロジェクトとの連携も円滑に進みました。科研費では、海外や日本での学会参加やフィールドトリップを数多く行い、研究活動の基礎を固め、最終的に『Independent Filmmaking across Border in Contemporary Asia』のモノグラフを出版することができました。また、自分の研究に関連したイベントを開催することができ、より幅広い人々の国境を越えたコミュニティに貢献することができました。,若手研究,小区分01070:芸術実践論関連,Sinophone studies,Chinese-language cinema,diasporic cinema,translocalism,independent cinema,inter-Asian studies,mobility,border-crossing,Cinema Studies,Sinophone Studies,Asian Cinema Culture,Transnational Cinema,film studies,auteur cinema,arthouse,Diaspora,visual culture,Sinophone,Chineseness,Visual Cultures,aesthetics,politics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12262,お茶の水女子大学,山本 里花,音楽による高齢者の『ケア』に関する経時的観点からの研究,本研究では、「関係の媒体としての音楽実践の中から生み出される高齢者『ケア』」について、国内のある介護つき高齢者居住施設において実践・検証を行い、個人セッション2事例、家族を含めた個人セッション1事例、オープングループセッション1事例を詳細に分析した。分析に当たっては、既存の解釈主義的研究方法に加えて「代弁的語り直し」、「表象芸術媒体を用いた研究的対話」という新しい方法を創案・使用した。また、コロナ禍による大幅な制限下の実践に関する知見や論考も著した。,若手研究,小区分01070:芸術実践論関連,音楽療法,高齢者ホーム,関係の媒体,共創,ケア,COVID-19禍,認知症高齢者居住施設,関係の媒体としての音楽,COVID-19禍における音楽療法実践,認知症高齢者,高齢者居住施設,認知症,関係媒体としての音楽,相互変化,「ケア」の創成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
