awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12307,国文学研究資料館,紅林 健志,仮作軍記の総合的研究,本年は仮作軍記の後代への影響について検討した。特に『大友真鳥実記』（元文二年〈1737〉刊）と『大伴金道忠孝図会』（前編嘉永二年〈1849〉、後編嘉永三年刊）との比較研究を行った。その結果以下のことが明らかになった。,若手研究,小区分02010:日本文学関連,仮作軍記,近世小説,軍記,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12306,国文学研究資料館,有澤 知世,考証趣味のネットワークと戯作との関わりを手掛かりとした近世後期文芸の研究,本研究の目的は、考証学と戯作との関わりを明らかにし、近世後期の文化・社会のなかに戯作を位置づけることである。,若手研究,小区分02010:日本文学関連,江戸戯作,考証学,山東京伝,19世紀,菅原洞斎,人的交流,絵画,画師姓名冠字類鈔,黄表紙,考証,合巻,読本,野晒模様,草双紙,谷文晁,屋代弘賢,松平定信,式亭三馬,挿絵,戯作,俗文芸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12305,国文学研究資料館,舘野 文昭,鵜鷺系歌学書の検討を軸とした秘伝的歌学書・歌学知の生成と展開に関する研究,「鵜鷺系歌学書」と呼ばれる定家仮託の諸書（『愚見抄』『愚秘抄』『三五記』『桐火桶』）のうち、特に諸本の様態の複雑な『愚秘抄』を中心として、伝本・本文の調査を行った。具体的な成果としては『愚秘抄』諸本の複雑な研究状況と今後の研究課題の整理、また、粉本とされる『愚見抄』との関係についても再考し、研究論文を公表した。,若手研究,小区分02010:日本文学関連,歌学,鵜鷺系歌学書,愚秘抄,歌学知,諸本,古今和歌集注釈,秘伝,和歌,中世,中世文学,歌学書,偽書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12304,豊田工業高等専門学校,玉田 沙織,契沖における和歌注釈の研究,本研究では、『古今余材抄』『百人一首改観抄』『新勅撰集評注』の翻刻および諸本のマイクロフィルム複写を用いてこれら作品の成立過程を考察しつつ注目する評語を選び、拾い出し、エクセルファイルへの入力と分析を行った。最終的にこれらの作品に絞った理由は、評語の量以外に、後世、特に現代への影響力の大きさと成立時期である。成立時期については、日本語研究や『万葉代匠記』執筆を経て、注釈の土台が築かれてから、最晩年に至るまでの関心を追う意図から選択した。,若手研究,小区分02010:日本文学関連,日本文学,古典,受容,和歌注釈,契沖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12303,大分県立芸術文化短期大学,長福 香菜,明治期における華族と御歌所の文化圏形成に関する研究,従来明治期の歌壇において存在意義を蔑ろにされてきた旧派の和歌史上における意義を明らかにすべく、特に旧派の枢要な地位を占めていた華族と御歌所歌人によって組織されていた和歌結社「正風社」「興風会」「向陽会」に注目し、その活動の実態を解明した点に本研究の成果がある。その結果、いずれも明治天皇の歌道奨励・振興の叡慮に応えるべく組織され、和歌の継承・発展という役割を担っていたことがうかがえる。また、そこで築かれた人的ネットワークによる旧派文化圏の形成をみることができ、その和歌営為の実態を明らかにすることができた。,若手研究,小区分02010:日本文学関連,華族,御歌所,旧派,正風社,興風会,向陽会,近世和歌,近代短歌,文化圏,人的ネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12302,比治山大学,小林 洋介,戦間期文学の〈複合ジャンル性〉に関する研究―散文詩と〈歌詞テクスト〉を中心に―,本研究は、主に戦間期（第1次世界大戦終戦から第2次世界大戦までの期間。1918～1937年ごろ）におけるモダニズム文学を扱った。特に、これまで文学研究や文学史において主要な論点とはなってこなかった散文詩と歌詞に焦点を当てた。,若手研究,小区分02010:日本文学関連,歌詞,日本語近代詩,ラジオ,音数律,カチューシャの唄,国民歌謡,紀元二千六百年,日本近代詩,戦時歌謡,島村抱月,相馬御風,七五調,戦間期,モダニズム,流行歌,散文詩,戦間期文学,歌詞テクスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12301,奈良大学,中尾 和昇,曲亭馬琴の読本・合巻における演劇利用の研究,本研究では、主として曲亭馬琴の読本・合巻を対象として、演劇作品および演劇的趣向の利用実態に関する研究をおこなった。具体的には、「曲亭馬琴の合巻作品の調査・分析および翻刻紹介」「曲亭馬琴の読本・合巻における演劇作品利用の再検討」「曲亭馬琴の読本・合巻における演劇的趣向の検討」の三点である。これらの研究を通して、馬琴の演劇に対する向き合い方が山東京伝などの周辺作者とは異なること、そしてそれが彼一流の小説観を背景としていることが浮き彫りとなった。,若手研究,小区分02010:日本文学関連,読本,合巻,演劇,趣向,曲亭馬琴,山東京伝,人物造型,十返舎一九,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12300,佛教大学,筒井 大祐,『八幡愚童訓』の生成と展開に関する基礎的研究,中世における八幡信仰を考察するため、その基礎資料とされる『八幡愚童訓』を対象に、その成立や展開を解明するための分析や調査を行った。対象とした『八幡愚童訓』に関しては、代表的本文とされる、石清水八幡宮所蔵菊大路本に対する先行研究の通説を訂正する論考を公刊した。また『八幡愚童訓』の展開例として、熊本県藤崎八幡宮所蔵細川家奉納の絵巻の全巻をカラー写真として、その翻刻、略解題を付けて公刊した。他に、中世の八幡信仰記事の展開として、長門本『平家物語』の八幡記事に関する論考も発表した。,若手研究,小区分02010:日本文学関連,『八幡愚童訓』,八幡縁起絵巻,『八幡宮寺巡拝記』,八幡愚童訓,八幡信仰,平家物語,中世文学,絵巻物,八幡宮寺巡拝記,神仏説話集,国文学,宗教文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12299,東海学園大学,大橋 崇行,近代日本における「少年小説」と、青少年文化及び国語教育との接続についての研究,本研究は、近代日本における「少年小説」を中心として、それらのテクストが少年文化や少年たちが受けていた教育とどのように関わるのかについて分析、考察を進めたものである。,若手研究,小区分02010:日本文学関連,少年小説,少年文化,少女小説,講談,教育,修身,書誌学,メディア,ジェンダー,少年マンガ,少年講談,国語教育,西條八十,書誌,データベース,児童文学,近代文学,野村胡堂,青少年文化,雑誌文化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12298,愛知淑徳大学,ワクダ マサキ,文人旗本三橋成烈の伝と文事の研究,江戸時代中期の旗本で、和歌・漢詩・俳諧の詠作や教訓本・読本の述作、古典籍・古書画の書写収集と、寡作ながらも多彩な学芸活動を繰り広げた文人、三橋成烈（みつはしなりてる、１７２６～９１）の伝と文事について、調査考証を行い、以下のような成果を得た。,若手研究,小区分02010:日本文学関連,国文学,日本文学,古典,近世,上方,大坂,江戸,東西,伝記,書誌,出版,書簡,近世古典学,東西交流,女子教育,京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12297,早稲田大学,稲葉 有祐,近世中期における悪所の俳諧－其角・江戸座を媒体とする基礎的研究－,申請者は、元禄期から宝暦期までを中心に、江戸文化の発信地である悪所（遊廓・芝居町）で興じられた俳諧の実態について解明することを目的として、特に、江戸俳諧を強力に牽引した蕉門俳人、宝井其角とその門流の活動に着目して研究を展開した。研究を通じて、其角門流の交流圏と遊女・役者との密接な繋がり、悪所の描かれ方、遊廓における俳諧の機能や芝居を題材とする句作方法など、これまで注目されることのなかった都市俳諧の特質の数々が明らかとなった。以上のように、今後の江戸文化・江戸俳諧研究を推進する上で非常に有意義な研究成果を得られている。,若手研究,小区分02010:日本文学関連,宝井其角,市川団十郎,新吉原遊廓,江戸座俳諧,歌舞伎,俳諧,其角,江戸座,遊廓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12296,国文学研究資料館,滝澤 みか,16世紀における軍記物語と教訓書の関連性,16世紀における軍記物語の改作と教訓書との関連性を考えるため、強い教訓性を持つ流布本『保元物語』『平治物語』を取り上げ、その改作の実態を明確にしつつ、教訓書における話の作り方とも無関係ではない可能性を指摘した。また、近世に作られた注釈書を見ると、本文成立時の意図とはずれが生じていることを明らかにした。すなわち、16世紀以降の作品の読みを捉えていくことは、教訓性の持続の問題を考えることにも繋がると言える。,若手研究,小区分02010:日本文学関連,軍記物語,保元物語,平治物語,流布本,教訓書,室町,戦国,義貞軍記,君慎,奈良絵本,教訓性,古注釈書,保元物語大全,平治物語大全,16世紀,教訓,改作,偽書,仮託,模本,絵巻,版本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12295,白百合女子大学,日置 貴之,歌舞伎と戦争に関する総合的研究,本課題では、歌舞伎と明治維新期の戊辰戦争から太平洋戦争に至るまでの戦争との関係について、戦争を直接描いた作品の分析と、戦争が歌舞伎の上演環境に与えた影響の分析を中心に、総合的に考察した。そして、明治期以降の歌舞伎において、先行作品の手法を踏襲しつつ戦争表象が繰り返されていった過程や、新聞等による報道との関係、絵画・戯作・近代小説といった隣接領域の芸術との共通点・相違点等を指摘するとともに、明治期の主要な未翻刻の戦争劇の翻刻集を作成し、オンラインでの公開をおこなった。,若手研究,小区分02010:日本文学関連,歌舞伎,演劇,戦争,明治時代,錦絵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12294,宮城学院女子大学,古田 正幸,『源氏物語』第一部を中心とした「引歌」の研究,本研究は、日本の平安朝の文学作品である『源氏物語』における「引歌」表現の研究を行ったものである。「引歌」とは散文部分において特定の古歌を想起させる技法のことで、本研究では『源氏物語』冒頭部から従来指摘がない箇所も含めた引歌表現の検討を行い、特に葵巻巻末近くの「春や来ぬる」の引歌として、従来指摘がなされていなかった『三条右大臣集』や『兼輔集』所収歌である「みやこには見るべき君もなき物をつねをおもひてはるやきぬらん」を新たに指摘することが出来た。また、若紫巻の葵の上の台詞「とはぬはつらきもの」には、会話文における光源氏の引歌に対する反応から、特定の引歌を想定すべきではないことなどが明らかになった。,若手研究,小区分02010:日本文学関連,『源氏物語』,引歌,和歌,『源氏釈』,『古今和歌六帖』,『多武峯少将物語』,『三条右大臣集』,『兼輔集』,散文,地の文,会話文,源氏物語,平安朝文学,注釈,葵の上,葵巻,藤原定方,藤原兼輔,日本文学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12293,大阪市立大学,山本 真由子,平安朝和歌序の注釈と研究,本研究の目的は、平安朝の和歌序を注釈し、その特質と意義とを明らかにすることであった。和歌序とは、和歌制作の背景となる状況を記した短い文章である。和歌序は、漢文と和文（仮名文）の作品が残り、書序（一書の序）、宴集の序、定数歌の序に区分される。,若手研究,小区分02010:日本文学関連,本朝文粋,書序,真名序,仮名序,宴集,菅原文時,源順,慶滋為政,序,詩序,江談抄,扶桑古文集,栄花物語,小一条院,藤原道長,高陽院行幸,本朝続文粋,新撰萬葉集,古今和歌集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12292,愛知県立大学,三宅 宏幸,木村黙老の文事に関する基礎的研究,本研究は、讃岐高松藩家老で曲亭馬琴の友人でもある木村黙老の文事をテーマとする。研究期間を通して黙老の文事の根本となる彼の蔵書について調査を行った。報告者は多和文庫所蔵『高松家老臣木村亘所蔵書籍目録残欠』を発見したことで、それを手掛かりに探索した結果、『梅桜日記』『消暑漫筆』『銅柱余録』『松蔭日記』『古今説海』などの書物が黙老の旧蔵書であると判明した。また黙老宛の書翰を調査し、以下のことが判明した。山崎美成と書物の貸し借りをしていたこと、江戸の出版事情について石塚豊芥子から情報を得ていたこと、小津桂窓に文人画の入手を依頼していたことなどである。以上により、様々な文人との繋がりも明らかになった。,若手研究,小区分02010:日本文学関連,黙老,馬琴,正斎,美成,豊芥子,桂窓,高松家老臣木村亘所蔵書籍目録,華陽皮相,甲斐國山梨八代巨摩三郡村高帳,古今説海,思出草紙,篠斎,増補稗史外題鑑批評,自撰自集雑稿,木村黙老,蔵書目録,曲亭馬琴,多和文庫,蔵書,図書寮文庫,静幽堂叢書,国字小説通,聞ままの記,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12291,都留文科大学,田口 麻奈,戦後日本の詩的言語における〈近代〉批評の実践に関する文化史的・思想史的研究,本研究においては、主として、,若手研究,小区分02010:日本文学関連,鮎川信夫,T.S.エリオット,詩劇,IOM同盟,反戦平和運動,〈東大詩人サークル〉,「荒地」受容,一九五〇年代,神戸詩人事件,阪神モダニズム,検閲と表現の自由,旧制姫高と戦後詩,中桐雅夫,『ぼくたちの未来のために』,東大詩人サークル,学生運動とアカデミズム,世代論,花崎皋平,現代詩批評,疎開,抵抗詩,フランス・レジスタンス,戦後詩壇,詩歌原稿展,1950年代,「橋上の人」,T・S・エリオット,トマス・ウルフ,川上春雄,アメリカ,詩における近代主義,戦後詩,現代詩,戦後思想,文化史,思想史,,,,,,,,,,,,,,,,,,,,
