awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12355,国文学研究資料館,黄 イク,説話に見られる日中動物観の比較研究―『太平広記』と『夷堅志』、『夷堅志和解』,本研究は中国南宋時代の志怪小説集『夷堅志』に見られる動物関連の説話を選出し分析した上、北宋までの説話を集めた官撰小説集『太平広記』の動物説話と比較研究を行うことで、『夷堅志』説話の世俗的な特徴を確認し、宋代以前の志怪小説に見られる、いわゆる「物老為怪」型説話の減少は、人間と怪異の均衡が崩れ、人間の力が怪異の力に及ばなくなってきたことの表明であると指摘した。さらに、『夷堅志』に見られる疫病鬼神に関する説話が明代の類書や『夷堅志』の和訳本『夷堅志和解』を通して、江戸時代の文学、医学関連資料および民間信仰などに広く影響を与えた事例を考察し、日本における『夷堅志』説話受容の一様相を明らかにした。,若手研究,小区分02050:文学一般関連,夷堅志,太平広記,夷堅志和解,動物説話,自然観,瘟疫鬼神,行疫,怪異,疫病鬼神,類書,医書,疫鬼,逐疫,殺生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12354,中京大学,杉浦 清文,カリブ海諸島及び朝鮮半島における（旧）植民者の文学に関する比較越境的研究,本研究では、英語圏カリブ海諸島出身の（旧）植民者によって書かれた文学と朝鮮半島出身の（旧）植民者によって書かれた文学を比較越境的に検証した。その際、「白人クレオール」（新大陸で生まれた育ったヨーロッパ人／白人を意味する）の作家ジーン・リース、フィリス・シャンド・オルフリー、ローレンス・スコットと日本統治時代の朝鮮半島で生まれ育ち、敗戦後、日本に引揚げてきた作家である森崎和江、小林勝、村松武司、五木寛之に着目した。その結果、そうした作家たちが、（旧）植民者の立場から自己省察的に、また時には自己批判的に植民地主義の過去・遺産を繰り返し想起しようと試みている点が明らかとなった。,若手研究,小区分02050:文学一般関連,植民地主義,朝鮮半島,引揚者,カリブ海地域,白人クレオール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12353,東洋大学,佐々木 悠介,1960-80年代仏・英語圏の写真キュレイターをめぐる比較文学、比較芸術研究,本年度はコロナ禍のさまざまな規制が緩和されてきたことを受け、国内外の複数の写真展（東京都写真美術館、千葉市美術館、神奈川県立近代美術館葉山館、東京国立近代美術館、オペラシティ・アートギャラリー、パリのジュ・ド・ポーム写真美術館およびヨーロッパ写真美術館等々）を見学し、本研究のテーマである写真キュレーションについて、新しい動向を調査することができた。,若手研究,小区分02050:文学一般関連,写真,キュレーション,女性写真家,比較芸術,ヴィヴィアン・マイヤー,フェミニズム批評,受容理論,キュレイション,比較文化論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12352,東京経済大学,山辺 弦,郷愁を「翻訳」する：キューバ系移民作家の英語創作における相対化の分析,本研究の出発点は、英語圏に移住し英語でも創作した三人のキューバ系移民作家の作品における「郷愁」の相対化のプロセスを、「翻訳」という概念を援用しながら分析することであった。新型コロナの流行による計画延長を経て、本研究は複数の学術論文の発表によって上記の目的を追求し、作品の意味を明らかにした他にも、文学理論書や文学作品の翻訳、文学作品集の編纂、口頭発表や一般書における解説など、複数の成果を生み出すに至った。,若手研究,小区分02050:文学一般関連,人文学,キューバ文学,ラテンアメリカ文学,移民,翻訳,バイリンガリズム,世界文学,亡命,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12351,山陽小野田市立山口東京理科大学,風早 悟史,日本でのラフカディオ・ハーン像の形成において邦訳が果たす役割,本研究では、ラフカフディオ・ハーン（小泉八雲）が日本時代に書いた作品の邦訳を取り上げ、トランスレーション・スタディーズの成果も援用しながら、それらがどのように邦訳されているのかを分析することにより、翻訳が形作ってきた作品像や作家像を明らかにした。また、翻訳の延長線上にある行為として翻案（アダプテーション）にも目を向け、ハーンの怪談作品の映画版の翻案手法を分析し、これまでのハーン研究も参照しつつ、それらが独自の作品解釈を提示していることを明らにした。,若手研究,小区分02050:文学一般関連,ラフカディオ・ハーン,小泉八雲,翻訳研究,トランスレーション・スタディーズ,アダプテーション,翻訳,翻訳論,翻案,受容,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12350,東京藝術大学,守谷 広子,ロラン・バルトの講義に関する総合的研究：文学理論の再考に向けて,本研究は、ロラン・バルトが、1976年から80年にかけてコレージュ・ド・フランスで行った講義の文献学的調査を通じて、バルトの文学理論を新たな観点から捉え直すことを目的とした。バルトの講義については、主題の多様さと形式的な曖昧さが一因となって、十分な基礎的・網羅的研究が存在しない。このことから、本研究はバルトの講義に対するシステマティックな分析を通じて、バルトの講義を学術的対象にまで高めると同時に、バルトの文学理論を一連の講義を踏まえた新たな観点から再考した。さらに本研究は、以上の成果を社会学や教育学といった分野における議論に関連づけることで、バルトの思想が持つ現代的意義を広く問うことを試みた。,若手研究,小区分02050:文学一般関連,ロラン・バルト,講義研究,文学理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12349,東京大学,吉川 斉,近世ヨーロッパにおける教育と「イソップ集」展開に関する文献学的総合研究,イソップ集は地域・時代・言語を超えて、古代から現代まで多層的に拡がる対象である。一方、各時代各地域のイソップ集の展開については、個々のイソップ集の同時代的位置づけを考慮しつつ、改めて捉え直す必要がある。本研究では、近世ヨーロッパにおける教育との関係をふまえて、近世以降に印刷刊行されたイソップ集の様態を検討し、近世・近代のヨーロッパおよび日本におけるイソップ集展開について考察して、とりわけ日本への移入の在り方の一端を明らかにした。,若手研究,小区分02050:文学一般関連,イソップ,古典受容,比較文学,西洋古典,翻訳,イソップ集,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K13153,立命館大学,原 佑介,「1965年体制」成立期日韓ポストコロニアル文学における植民地主義批判の比較研究,本研究は、引揚者文学、在日朝鮮人文学および解放後韓国文学における植民地主義批判の諸相を、「ポスト帝国日本‐文学」という新たな枠組みのなかで統合的に考察する。1920-30年代生まれの日本とコリアの作家を対象とするが、彼らはおもに1960-70年代に植民地問題をテーマにしたテキストを集中的・同時多発的に著したという共通点をもつ。,若手研究,小区分02050:文学一般関連,ポストコロニアル文学,小林勝,村松武司,麗羅,李恢成,植民地主義,日本近代文学,在日朝鮮人文学,ポストコロニアル研究,江馬修,中西伊之助,三・一運動,戦後日本文学,現代韓国文学,植民地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K13152,立命館大学,有田 豊,中世ヴァルド派の教理に関する文献学的研究――写本の解読と翻訳――,「原プロテスタント」や「宗教改革の母」と評される、12世紀に創設されたキリスト教の一派・ヴァルド派は、中世期（12-15世紀）においていかなる教理を有していたのか。この問題について、先行研究ではカトリック教会が残した文書を根拠として彼らの教理が明らかにされる傾向があり、中世の段階でヴァルド派が残した文書は、ほとんど分析対象とされてこなかった。そこで本研究では、現存する中世ヴァルド派文書約180編のうち、彼らの教理が記されていると思しき「8本の詩編」を解読／分析し、詩を通して表出される中世ヴァルド派の教理の解明と体系化を試みる。,若手研究,小区分02050:文学一般関連,ヴァルド派,キリスト教,教理書,中世写本,ロマンス語文献学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K13151,大阪経済法科大学,呉 恩英,在日朝鮮人の機関紙における北朝鮮文学と韓国文学の様相,朝鮮半島が日本から解放され、南北への分裂から朝鮮戦争へと続く激動の時代に国境越えを経験したいわゆる「越北」「越南」作家や朝鮮戦争を経験した作家の作品と、日本在住の朝鮮人により組織された総連系や民団系の機関紙（1950年代半ばから1960年代半ば）を中心に資料調査及び比較分析を行うことで、在日朝鮮人文学の特徴や様相を明確にすることができると考える。,若手研究,小区分02050:文学一般関連,北朝鮮文学,越北作家,在日朝鮮人,『解放新聞』,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K13150,日本社会事業大学,大野 ロベルト,『土佐日記』英訳に関する基礎的研究,本研究は、19世紀末から現在までの間に少なくとも5度にわたり英訳されてきた『土佐日記』について、本文の分析のみならず、それぞれの翻訳の背景にあるジャパノロジーの発展などの条件とも合わせて、詳細な比較検討を行うことで、『土佐日記』およびその作者である紀貫之が、これまで海外においてどのように受容・研究されてきたのかを明らかにするための基礎づくりを行うものである。,若手研究,小区分02050:文学一般関連,紀貫之,土佐日記,翻訳,フローラ・ハリス,ジャパノロジー,アール・マイナー,ヘレン・C・マッカラ,W・G・アストン,日本研究,ウィリアム・ポーター,ウィリアム・ジョージ・アストン,フローラ・ベスト・ハリス,フロラ・ベスト・ハリス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
