awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12561,独立行政法人国立文化財機構奈良文化財研究所,佐藤 由似,アンコール王朝の終焉と陶磁器需要の変容に関する考古学的研究,本研究はカンボジア中でも衰退の時代と考えられてきたアンコール王朝末期からポスト・アンコール期にかけての王都出土遺物の調査をもとに、当時の社会・経済・宗教的変容について検討を試みるものである。ポスト・アンコール期の王都ロンヴェーク出土陶磁器の調査により、ロンヴェーク政権はアユタヤと政治的対立を続けていたにもかかわらず、出土遺物から見る限りは相当量の交易をおこなっていたことが垣間見られる結果となった。また、スレイ・サントーにおいては14世紀ごろの輸入陶磁器を確認した。,若手研究,小区分03050:考古学関連,ポスト・アンコール,輸入陶磁器,ロンヴェーク,スレイ・サントー,アンコール,王都,貿易,クメール陶器,明,中国陶磁,アンコール王朝末期,陶磁器,アンコール王朝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12560,独立行政法人国立文化財機構奈良文化財研究所,山藤 正敏,シルクロード天山北路の形成過程に関する考古学的研究,本研究は、地域文化史の復元によりシルクロード天山北路の形成背景を探る目的で、キルギス共和国北部のチュー渓谷西部において考古学踏査を実施し、計93件の遺跡を登録した。遺跡の時期別分布数により、チュー渓谷西部における居住活動は後期青銅器時代末（前1000～800年頃）に遡り、中世後期（9～14世紀）にピークを迎えたことが判明した。また、遊牧民の所産と考えられる囲い込み遺構は、中世前期には追悼遺構とともに平野部の都市周辺に多く見られたが、10世紀以降の中世後期には山麓部に遍在した蓋然性がある。この現象は、カラハン朝の遊牧民が冬季に都市に居住し、シルクロード交易へ積極的に関与した可能性を示唆している。,若手研究,小区分03050:考古学関連,シルクロード,天山北路,定住‐遊牧関係,セミレチエ,考古学踏査,ソグド人,クルガン,チュー渓谷,キルギス共和国,突厥,中央ユーラシア,シルクロード天山北路,ソグド,交易都市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12559,独立行政法人国立文化財機構東京国立博物館,河野 正訓,農工具からみた古代東アジアにおける技術交流の研究,本研究は日本列島の古墳時代を対象に、古墳から出土する外来系農工具を検討したものである。外来系農工具のうち、とりわけ鉄柄斧に注目し、日韓の資料を特別観覧することで、その変遷や系統を中心に基礎的な研究を進めた。結果、日本列島の外来系農工具の位置づけを明確化し、単純に文化が朝鮮半島から日本列島に流入したのではなく、逆に日本列島から朝鮮半島へ逆輸入される形で農工具が伝わる事もありうることを指摘できた。,若手研究,小区分03050:考古学関連,農工具,古墳,外来系,古墳時代,農具,鉄製品,生産用具,出土品,考古学,鉄器,系譜,技術交流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12558,北海道博物館,大坂 拓,考古学的分析手法を導入した博物館収蔵アイヌ民具資料の基礎的研究,本研究では、北海道・サハリン・千島列島に居住してきたアイヌ民族が遺した物質文化資料のうち、従来は体系的な検討が行われてこなかった繊維製品を主な対象として、日本国内の博物館等に所蔵されている資料の型式学的分析を実施し、地域差と年代差を具体的に明らかにした。また、いくつかの地域について人口統計等との比較検討をおこない、資料の空白域が形成された過程についても検討した。,若手研究,小区分03050:考古学関連,アイヌ,物質文化,民具,製作技術,型式学的手法,ゴザ,木幣,基準資料,古写真,出自集団,アイヌ民族,型式学,葬送儀礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12557,国際教養大学,根岸 洋,紀元前一千年紀前半の気候変動期における縄文晩期社会システムの変容プロセス,本研究課題の目的は、縄文晩期の亀ヶ岡社会が初期農耕社会へと変容したプロセスを、社会システムの変容に着目した多角的視点から捉え直すことである。対象時期は紀元前10世紀から同5世紀とした。本研究ではまず上新城中学校遺跡の発掘調査を実施し、居住域を囲む溝跡の年代を特定して居住システムの特徴を明らかにした。次に鐙田遺跡出土遺物の再整理を行い、またボーリング調査も併せて実施し、遺跡の継続期間と環境変動との関わりについて考察した。さらに縄文晩期後半の土偶・土版の編年を提示し、祭祀システムの変容の実態を論じた。これらの研究成果については単著（2020年）及び成果報告書（2021年）として刊行した。,若手研究,小区分03050:考古学関連,亀ヶ岡社会,狩猟採集社会,居住システム,祭祀システム,低湿地遺跡,環境変動,気候変動,溝状遺構,木柵列,寒冷化,社会システム,狩猟採集民,年輪年代,縄文晩期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12556,鹿児島大学,石田 智子,胎土分析に基づく弥生時代大型専用甕棺の生産と移動,本研究の目的は、日本列島の手工業における土器生産の分業がはじまる社会背景を検討することである。特に、北部九州地域の弥生時代中・後期の埋葬棺である大型専用甕棺を対象に、土器生産体制や移動現象からみた社会関係の変化を検討した。分析は、考古学的手法に基づく型式学的検討および地球科学的分析手法を用いた胎土分析を併用した。大型専用甕棺および関連資料のデータベースの作成および胎土分析を実施することで、大型専用甕棺と日常土器・赤彩土器との関係について検討した。埋葬にともなう土器の利用は多くの地域や時代で確認される事象であり、九州の弥生時代を中心とするケーススタディとして位置づけることができる。,若手研究,小区分03050:考古学関連,土器,物質文化,胎土分析,弥生時代,考古学,地球科学,生産,移動,甕棺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12555,新潟大学,森 貴教,弥生時代併行期における石器生産・消費システムと鉄器化の日韓比較研究,日本列島弥生時代および朝鮮半島南部の青銅器時代・初期鉄器時代における石器生産・消費システムと鉄器化に関して日韓比較を行い、東北アジア先史時代の観点から初期農耕文化・鉄器文化の受容・展開と社会変化過程を考察することを目的とする。,若手研究,小区分03050:考古学関連,弥生時代,青銅器時代,初期鉄器時代,鉄器化,生産・消費システム,石器,青銅器・初期鉄器時代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12554,九州大学,米元 史織,古墳時代人骨を用いた社会的格差の歴史的展開に関する実証的研究,本研究の目的は、古人骨の形態、特に筋付着部の発達度分析を用い、社会的格差の拡大が人間の身体活動の多様性に与えた影響を検討し、その歴史的な展開過程を明らかにすることである。新型コロナウイルス感染症の流行により研究計画を若干変更し、古墳時代の前後の時期の検討を行った。成果は大きく2つである。１つは江戸時代の武士層と町人層ではMSMsパターンが異なり、泰平の世が続くにつれて武士の「貴族化」が進行することを読み取ることができること。2つ目はこれまで均質な高顔性を有すると言われてきた弥生時代北部九州地域の頭蓋骨の地域性について再検討し、個体レベルでは形質のヴァリエーションが豊富であることを明らかにした。,若手研究,小区分03050:考古学関連,筋骨格ストレスマーカー,ストレスマーカー,階層社会のMSMsのモデル化,３D,顔面部形質の地域性,いわゆる渡来系形質,3D,頭蓋骨の形質の地域性,MSMs,階層性,弥生時代の頭蓋形質,階層社会,弥生時代,古墳時代,江戸時代,格差,人類学,社会の階層化,古墳時代人骨,階級社会,国家形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12553,京都大学,内記 理,ガンダーラ浮彫画像帯の考古学的検討にもとづく仏教文化の研究,本研究では、ガンダーラ（パキスタンのハイバル・パフトゥンフワ州）の仏教寺院址出土のガンダーラ彫刻のうち、浮彫画像帯の分析をおこなった。浮彫画像帯にはブッダの生涯を描いた仏伝物語などが彫刻されるが、それらが各時代においてどのような様相をもっていたかはこれまでに整理されてこなかった。仏教寺院址から発掘調査で出土した彫刻を取り上げ、分析をおこなった結果、各時代の様相を確認することができた。,若手研究,小区分03050:考古学関連,ガンダーラ,浮彫画像帯,仏教,仏塔,考古学,東西文化交渉史,タキシラ,インド,東西交渉史,玄奘,舎利容器,唐宋,仏教文化,彫刻材質,棺形容器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12552,名古屋大学,河江 肖剰,古王国時代のピラミッド群の構造分析による王朝の盛衰史研究,本研究では、ギザ台地に位置する、第4王朝時代のカフラー王(紀元前2472-2448年頃)のピラミッド複合体に組み込まれたスフィンクスならびにスフィンクス神殿と、ギザ遺跡から南に11キロに位置するアブシールに建造された第5王朝時代のラーネフェルエフ王(紀元前2404年頃)の未完成の王墓の3D計測調査を行った。加えて、これまで取得したギザの三大ピラミッドの3Dデータの生成とその解析によって、ピラミッド内部に「セケド2」という勾配が用いられ、外部には「セケド 5 1/2」が用いられていることを定量的なデータで示すことができた。これらのデータは、オンライン・アーカイブによる、データの一元化を行った。,若手研究,小区分03050:考古学関連,エジプト考古学,ギザ台地,アブシール,ピラミッド,スフィンクス,3D計測,SFM,VR,古王国時代,3次元計測,巨石建造物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
