awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12612,国立民族学博物館,萩原 卓也,身体性を基盤とした他者との共存の可能性を探求する－ケニアの自転車競技選手を事例に,成果は大きく3つにわけられる。（1）自転車競技選手の追跡調査から、都市部に生きる若者の生計戦略を生涯の過程に位置づけてあきらかにすることができた。ここには、COVID-19禍におけるアスリートの生活形態の再編という重要な論点も含まれる。（2）競技選手時代に培った「技能」の引退後の展開、すなわち、元競技選手にみられる身体性を基盤とした関係性の持続的な性格をあきらかにすることができた。（3）植民地期よりアフリカの若者に向けられてきた、「発掘を待つ才能ある身体」と「エンパワーされるべき身体」というまなざしが、自転車競技団体の形成と存続に強い影響力をもっていることをあきらかにすることができた。,若手研究,小区分04030:文化人類学および民俗学関連,スポーツ,文化人類学,ケニア,身体,自転車,身体感覚（疲労・痛み・苦しみ）と他者理解,アフリカのスポーツ選手の生活実態,ケニアの自転車競技選手の生涯,感覚,疲労,共同性,フィールドワーク,集団,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12611,国立民族学博物館,彭 宇潔,アフリカ熱帯雨林における狩猟採集民の生態資源獲得の行動に関する人類学的研究,本研究では、アフリカ熱帯雨林地域の狩猟採集民の生態学的領域での行動が決定される過程を、生態、社会、行動の関係で説明するための人類学的な解釈モデルを構築した。具体的には(1)バカ・ピグミーたち個人に対する移動・移住史の聞き取りに基づく社会関係の調査と（２)キー・インフォマントに対して環境知覚に関する追跡調査を行った。その結果、個々人には生活領域内の自然環境に対する利用の経験と範囲の差で生じた知識の差は、集団で活動することによって個々の知識と認識が多様な形で共有され、一定範囲内で共通する知識・認識になることが可能になるという結果が得られた。,若手研究,小区分04030:文化人類学および民俗学関連,狩猟採集民,資源利用,社会関係,集団行動,社会構造,アフリカ熱帯雨林,環境知覚,民族関係,アフリカ熱帯林,居住空間,社会基盤,行動,生業活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12610,沖縄国際大学,及川 高,奄美群島における村落自治文書の基礎的研究,本研究は奄美の「シマ」と称される集落コミュニティを対象に、その自治制度の特徴と歴史的変遷を明らかにすることを目的としていた。そしてその方法として、近代以降の奄美のシマで作成された自治文書類を捜索し、整理することで、資料として活用することを目指した。その結果、（１）そうした史料の残存状況や所在について、一定の知見を得ることができた。（２）自治文書を含む近代史料類の活用によって、奄美のシマの自治の実態について明らかにすることができた。（３）関連する史料として商家の帳簿を発見し、これを補修することで、重要な史料を研究資源化することができた。,若手研究,小区分04030:文化人類学および民俗学関連,奄美群島,自治,シマ,民俗社会,奄美諸島,近代民衆史,シマ社会,村落,村落自治,地方文書,復帰運動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12609,追手門学院大学,中川 加奈子,南アジア系社会における肉食文化の比較民族誌的研究,本研究は、グローバル市場への包摂が急速にすすむ南アジア系社会おいて、従来、宗教や民族、及びカーストに強く規定されると見なされてきた食肉をめぐる価値規範を比較民族誌論的に再考するものであった。本研究を基研究として「国際共同研究加速基金(国際共同研究強化 A)」に採択されオックスフォード大学人類学博物館民族誌学部で研究を実施した。主な成果として、第一に市場化に伴いカーストや宗教コミュニティなど従来食肉を主に儀礼において扱ってきた組織はどのような変貌を遂げるか、第二に食肉の規格化と公衆衛生の管理強化を受けて屠畜実践はどのように再編成されるのかを、国内外の査読付雑誌等において発表することができた。,若手研究,小区分04030:文化人類学および民俗学関連,屠畜,肉食文化,近代化,公衆衛生,カースト,南アジア系社会,供犠儀礼,都市社会,南アジア,ネットワーク,起業,不浄観,ハラール,移民コミュニティ,文化人類学,肉食,食と宗教,グローバル化,ネパール,比較民族誌,食肉市場,価値の再編,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12608,龍谷大学,唐澤 太輔,南方熊楠と明恵の〈夢〉に関するデータベースの作成と比較思想研究,本研究は、南方熊楠（1867-1941）と明恵高弁（1173-1232）という、日本における二人の知的巨人の思想を〈夢〉と華厳思想を中心に比較考察するものである。まず南方熊楠の〈夢〉に関する記述を精査し、続いて華厳僧・明恵高弁が見た〈夢〉にどのような動物が登場したかを調べリスト化した。さらに、華厳思想が〈夢〉と深い関わりにあることを考察し、通常の時空間を超えた非-因果的連関すなわちシンクロニシティの背景にあるものを、両者の言説を比較しつつ研究を行なった。両者の〈夢〉と華厳思想を背景とした言説を抽出し、データベース構築の基礎を作ることができた。,若手研究,小区分04030:文化人類学および民俗学関連,南方熊楠,明恵,夢,華厳思想,ユング,シンクロニシティ,河合隼雄,粘菌,明恵上人,事事無礙,那智山,やりあて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12607,京都産業大学,前川 真裕子,ホワイト・オーストラリアンと土着の自然：ネイティブ・プランツと入植者的主体の現在,本年度は、これまでのフィールド調査で収集したインタビューの整理を行った。インタビューでは常にボイスレコーダーを持ち歩きインフォーマントの承諾を得て会話を録音しておりその文字起こしを行った。文字起こしをする中で新たに気づいたことなどをノートにまとめる作業も並列して行っている。この2つの作業は引き続き次年度にも行う予定である。,若手研究,小区分04030:文化人類学および民俗学関連,nature,humankind,人間と自然,ラトゥール,多自然主義,植民地主義,オーストラリア,ネイティブ・プランツ,Australia,Nativev plants,image of bush,ecosystem,colonial past,非人間,複数の視点,自然,Native plants,migrants,contemporary identity,Native Plants,European background,landscape,Melbourne,whiteness,native plants,colonialism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12606,京都外国語大学,青木 敬,カーボ・ヴェルデにおけるアフロ・クレオールの即興演奏と身体行為の人類学的研究,本研究の目的は、環大西洋奴隷貿易以来、白人と黒人の混血であるアフロ・クレオールの文化的営みによって発展してきたカーボヴェルデ共和国の伝統音楽モルナに表現される身体行為の役割と、アフロ・クレオール社会の文化的遺産の今日的価値を明らかにすることであった。,若手研究,小区分04030:文化人類学および民俗学関連,故郷,クレオール性,無形文化遺産モルナ,無形文化遺産,移動,歌謡モルナ,ソダーデを表象する身体行為,即興性,身体行為,感情と情感,観光,伝統と近代,音楽の変容,クレオール,カーボヴェルデ,大西洋世界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12605,大東文化大学,田崎 郁子,プロテスタント・キリスト教の受容を通じたカレンの人間観の変容：魂から精神へ,"2023年度の成果は主に以下の２点である。１点目は、7月に開催された日本タイ学会2023年研究大会における共通論題「経済グローバル化の中でのタイ農業の新たな諸相─北部のマンゴー・イチゴ・ニンニク・コーヒーの生産と流通─」のため、タイから研究者を2名招聘し、自身も「タイ北部におけるイチゴ栽培─国内市場の拡大と、生産から出荷におけるローカルな社会経済関係の変容に着目して─」と題した発表を行ったこと。続いて、雑誌『年報タイ研究』への投稿論文 Strawberry Cultivation in Northern Thailand: Expansion of the Domestic Market and Transformation of Socio-Economic Relationships in the Production Area.を執筆し、New Aspects of Thai Agriculture in the Context of Economic Globalization: Production and Distribution of Strawberries, Garlic, and Coffee in North Thailand.と題した特集の１報として掲載予定となったことである。２点目は2024年2月にタイのチェンマイへ渡航し、タイのキリスト教徒カレン村落における身体とつながりについての一端を明らかにするためのフィールド調査と文献収集を行ったことである。",若手研究,小区分04030:文化人類学および民俗学関連,キリスト教,人間観の変容,経済活動,カレン,タイ,プロテスタント・キリスト教,宣教活動,労働,ミャンマー,開発プロジェクト,人間観,東南アジア大陸部山地,聖書の翻訳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12604,中部大学,和崎 聖日,現代中央アジアのタサウウフをめぐる人類学的研究―スーフィー詩への注目から,実際の調査では、中央アジア出身のスーフィーたちによる（と推測される）詩がウズベキスタンのフェルガナ盆地（フェルガナ州とナマンガン州）とジッザフ州、スルハンダリヤ州において今も詠唱されていることを確認し、詳細な学術的記録を集めることができた。これらの詩が詠唱される場面は、春の到来を祝うローカルな儀礼（「神授の花」と呼ばれる）や病気治療など、であった。それらは学術の観点からみて、ゾロアスター教とイスラームの融合、またはシャマニズムとイスラームの融合と形容できるような現象であった。研究成果は世界的にも稀少性が高く、この分野の研究に大きく貢献するものだが、より長期的な調査・研究が不可欠である。,若手研究,小区分04030:文化人類学および民俗学関連,スーフィズム,シャマニズム,イスラーム,中央アジア,中央ユーラシア,儀礼,ゾロアスター教,詩,タサウウフ,バフシ,病気治療,映像人類学,民族誌映画,国際共同研究,オンデマンド配信,聖者崇敬,男性,女性,スーフィー,アフマド・ヤサヴィー,スーフィー詩,ズィクル,現代中央アジア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12603,中京大学,岡部 真由美,宗教と世俗の境界の編成過程に関する人類学的研究：タイ寺院の「難民」の生活実践より,本研究は、ミャンマー・シャン州からタイ都市部の仏教寺院へ流入する「難民」の生活実践に焦点を当てて、現代社会における宗教－世俗の境界が編成される過程を民族誌的に解明した。シャン「難民」－在家者であれ、出家者であれ－は寺院という物理的な空間に居住することで、個々の生存上のニーズを充足するために多様なアクターとの結びつきながら実践を展開するとともに、その実践を規定する法や規範をつくりかえながら宗教－世俗の境界を編成している。,若手研究,小区分04030:文化人類学および民俗学関連,宗教－世俗,境界,上座部仏教,寺院居住（寺住まい）,移民・難民,制度,アカウンタビリティ,タイ,日本,宗教―世俗,シャン,「難民」,上座仏教,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
