awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K13595,愛知県立大学,白谷 望,モロッコ王制を支える選挙と議会に関する実証的研究,国民が民主主義的な手続きによって自らの国家元首を選ぶのが常道となっている21世紀の今日、アラブ地域では権威主義的な世襲君主制が他地域以上に多く現存し、またそれらが共和制以上に政治的安定を維持して、注目を集めている。これまでの研究を踏まえ、アラブ君主制諸国の中でも湾岸産油国のように「原油レント」（天然資源収入等の不労所得）で国民からの「忠誠を買う」ことの出来ないモロッコでは、湾岸産油国とは異なり、議会や選挙制度が発展していることに注目した。本研究では、モロッコの君主制が安定を維持するメカニズムを、議会と選挙制度から解明することを目指す。,若手研究,小区分06010:政治学関連,モロッコ,君主制,権威主義体制,選挙,議会,政党,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12719,関西学院大学,早川 有紀,リスク規制における政治と行政：比較政策分析の視点から,本研究では米国の食品安全政策を対象として、予防的な規制の導入やその見直しの過程を分析することにより、リスク管理の変革と持続性について検討した。米国の主要な食品安全法について、法律データベースとイシューセイリアンスの高低を組み合わせることで、平時と危機時のリスク管理の見直しのパターンを分類・分析した。結果、平時の見直しでは規制官庁が抱えるリスク管理の課題について、専門機関による勧告を活用して規制改革を進めていたこと、また危機時の見直しでは、危機発生前から規制官庁が認識してきたリスク管理の課題や対応策が改革に活かされることを示した。,若手研究,小区分06010:政治学関連,行政学,公共政策学,リスク管理,危機管理,食品安全,規制行政,制度,規制政策,日本,アメリカ,環境規制,食品安全規制,政策形成,政治制度,政策変化,行政制度,リスク規制,公共政策,政治,行政,規制,リスク,安全,規制政治,政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12718,南山大学,手塚 沙織,国家の労働市場への介入の決定要因：クリントン政権の高度外国人材の受入れ,本研究の主な目的は、国家がどのような根拠と基準により、外国人労働者の受入れを決めるのかという外国人労働力導入政策における国家の労働市場への介入の決定要因を明らかにすることであった。最適な事例として取り上げたのは、高度人材の最多受入国のアメリカのクリントン政権期にて、当時の新興産業としてのIT産業の高度人材の受入れ拡大法案をめぐる政権内部のアクター間の調整プロセスである。報告者が開示請求した資料を米国現地にて閲覧収集し、これらの資料を併せて分析した結果、省間の綿密な見解の統合と交渉が、受入根拠と基準を生み出し、労働市場に介入していく重大な要因であった。,若手研究,小区分06010:政治学関連,移民政策,アメリカ政治,高度人材,高度外国人材,IT産業,外国人労働者,クリントン政権,国際移動,国際人口移動,労働市場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12717,南山大学,平松 彩子,旧権威主義地方の全国民主制への統合ーアメリカ合衆国深南部州における政党制度の変容,１９６０年代の半ばから１９７２年にかけてのアメリカ合衆国南部地域における州民主党の規則改革について研究を進めた。南部白人の中でも、特にブラックベルトと呼ばれる農村部の富裕層を主要な支持基盤としていた州民主党が、黒人公民権運動の高まりに伴い、代議員選出ためのの開放的な規則への変更を受容した過程について明らかにした。アラバマ、ジョージア、サウスカロライナの三州の規則改革過程には大きな差異が存在し、特にアラバマでは改革と大統領選挙をめぐって州民主党が深く分裂したことがすでに判明していたが、違いを生んだ理由は連邦司法省が行なった黒人投票権保護のための介入に起源を求められることが明らかになった。,若手研究,小区分06010:政治学関連,米国の南部民主党,マックガヴァン・フレーザー改革,投票権,民主化過程,１９６５年投票権法,南部民主党,アメリカ合衆国司法省,政党規則改革,民主化,投票権法,連邦司法省公民権局,有権者登録,司法省公民権局,民主党,反動票,連邦司法省,サブナショナル権威主義,1965年投票権法,全国民主党委員会,大統領候補指名過程,民主化と全国統合,アメリカ政治,大統領候補指名制度,民主党改革,政党の全国化,民主化後の地方統合,米国共和党全国委員会,米国深南部州政党,米国大統領選挙,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12716,新潟大学,板倉 孝信,19世紀前半の英国における財政＝外交ジレンマ―債務不履行の回避と国際的優位の維持,本研究は、19世紀前半の英国に関する財政史研究と外交史研究が、これまで対照的な英国像を描いてきた点に注目し、平時軍備の視点から両者の架橋を試みた。当時の英国は列強でも突出した経済力を誇ったが、同時に税収の過半を利払に投入する深刻な財政硬直化にも直面していた。そのため、債務不履行の回避を重視する財務側と国際的優位の維持を重視する外務側によって、平時軍備の増減をめぐる綱引が展開された。報告者はこの対立構造を「財政＝外交ジレンマ」と呼称し、国内・国際環境による変化がジレンマの強弱に与えた影響を検討した。これを通じて、当時の最強国であった英国が欧州協調を尊重し、列強との全面戦争を回避した背景を探った。,若手研究,小区分06010:政治学関連,イギリス,西洋史,政治史,財政史,財政軍事国家,財政硬直化,パクスブリタニカ,ウィーン体制,欧州協調,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12715,早稲田大学,内田 智,認知デモクラシー論の包括的解明：反民主的論議の興隆に対する学術的応答,本研究は、「デモクラシーは愚かな多者支配に過ぎない」とする反デモクラシー論に反駁するために、デモクラシーに備わる独自の認知的価値の解明を試みた。まず、認知心理学など政治学・政治理論以外の学問分野の知見も参照しつつ、人々の間でなされる正当化実践としての熟議がもつ認知的な価値と機能を詳らかにした。その上で、不確実性と価値多元性が不可避的に顕在・潜在する「政治」の世界においては、多様なパースペクティヴを携えた人々を平等かつ継続的に包摂する熟議プロセスを備えたデモクラシーこそが、よりよい認知的帰結を生み出す蓋然性が他のいかなる政体と比べても高いことを論証した。,若手研究,小区分06010:政治学関連,認知デモクラシー論,熟議デモクラシー論,現代政治理論,認知デモクラシー,熟議デモクラシー,認知的多様性,反民主的論議,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12714,明治大学,小森 雄太,有権解釈機関としての外務省国際法局に関する政治学的研究,令和5年度は新型コロナウイルス感染症（COVID-19）の影響が払拭されたことを受けて、これまで実施することができなかった調査研究を実施することを企図し、日本国内においては、国立国会図書館憲政資料室や国立公文書館アジア歴史資料センター、外務省外交史料館、防衛省防衛研究所戦史研究センターなどの文書館における史資料の収集・分析を実施した。また、海外においては関連する調査研究プロジェクトの一環として参加した世界政治学会第27回世界大会での海外研究者との情報・意見交換や米国防総省テッド・スティーブンス北極圏安全保障研究センターでの退役軍人や文民教官などの関係者との情報・意見交換を実施し、外交・安全保障政策と内政政策との結びつき、あるいは相違点の解明に取り組んだ。,若手研究,小区分06010:政治学関連,外務省,地球規模課題,国連海洋科学の10年,行政機関,外交・安全保障政策,外務省国際法局,気候変動,北極,政軍関係,海難審判制度,定員管理,新制度論,語学研修,スクール,キャリアパス,国際法局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12713,武蔵野大学,深谷 健,市場から見る再規制国家の形成：官僚のカルテル・マネジメントの実証研究,本研究「市場から見る再規制国家の形成」では、これまで、（１）市場の自律化において、技術革新に伴う競争進展とあわせて、市場の失敗（独占）・格差拡大・選択の固定化といった副作用的な市場変化が生じていること、（２）中央政府の再規制の量的増加傾向・質的強化・手法の多様化といった知見のみならず、（３）境界領域の拡大に伴うコスト拡大や、行政・官民共同・民民（自主）規制といった3つの層いずれにおいても「規制形成が増加している」ことを確認した。成果公表についても、順次進めていく予定である。なお、本研究は、引き続き、「基盤研究C」と「国際共同研究加速基金（国際共同研究強化（Ａ））」に発展している。,若手研究,小区分06010:政治学関連,再規制,市場の失敗,格差の拡大,選択の固定化,境界領域規制,政策手段,レントシーキング,規制ガバナンス,共管規制,規制の量,小さな政府,フィードバックメカニズム,府省共同体,レント,政策改革,市場,政策レジーム,キャプチャー,行政負担,ナッジ,政府の失敗,新自由主義,資源配分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12712,東洋大学,鷲田 任邦,権威主義体制における選挙不正手段の選択をめぐる比較研究,本研究は、多国間比較分析とマレーシアの事例分析を通じ、選挙操作・不正手段の選択を規定する要因と、それが市民の認識・行動を介して政治体制に与える影響の解明を目指した。具体的には、操作・不正手段を分析的に整理・類型化し、どれが顕著になるかは、政権党の地方統制力、野党勢力の強さ、制度的・経済的条件等によって左右されることを明らかにした。また、市民の選挙不正認識の規定要因や、不正認識が投票参加・投票外参加に与える効果を介し民主化や民主主義後退に与える影響も検討した。事例分析では、旧政権党が議席減とそれに伴う野党・市民の連携拡大により手段が徐々に制約され、政権交代を阻止できなくなった背景を明らかにした。,若手研究,小区分06010:政治学関連,選挙不正,選挙管理,選挙監視,権威主義体制,民主化,民主主義の後退,多国間比較分析,マレーシア,選挙操作,選挙不正認識,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12711,中央大学,杜崎 群傑,中国における権威主義体制化の手段としての人民代表大会：権力と正統性をめぐって,本研究は人民代表大会の開催過程に着目し、中国における三権分立と党の関係、これによって導き出される政治体制と、共産党による「党国体制」＝独裁化の実態、およびそのための具体的手段を検討するものであった。,若手研究,小区分06010:政治学関連,中国共産党,人民代表会議,人民代表大会,権威主義,正統性,政治協商会議,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
