awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12750,南山大学,都築 栄司,有限期間パテントモデルを用いた経済成長と経済変動の理論分析,特許期間が有限であることを仮定したモデルの安定性分析を行った。,若手研究,小区分07010:理論経済学関連,R&D,経済成長,特許,安定性分析,政策ラグ,局所的安定性,微分差分方程式,内生的成長,局所的決定性,内生的経済成長,特許権,均衡の決定性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12749,関東学院大学,細矢 祐誉,積分可能性理論のnon-smooth的展開とその計量経済学的応用について,本研究は消費者理論の一部である積分可能性理論を発展させることを主眼として行われた。積分可能性理論は、消費者行動を表現する需要関数から、消費者の好みを表現する効用関数を逆算しようとする分野であり、行動から好みを導き出そうとするものである。経済学の応用研究では消費者の好みの情報が必要な場合が多く、そのためこのような研究が必要になる。,若手研究,小区分07010:理論経済学関連,消費者理論,積分可能性,復元可能性,微分方程式,シェパードの補題,全微分方程式,積分可能性理論,端点解,微分不可能性,局所リプシッツ,ラーデマッハーの定理,偏微分方程式,需要関数,効用関数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12748,中央大学,村上 弘毅,マクロ経済学における「短期」と「長期」の統合,この研究の主要な成果は，査読を有する国際学術雑誌に掲載された論文9編及び査読を有しない学術雑誌に掲載された論文1編並びに国際学術雑誌から査読を受け改訂を要望されている論文1編である。これらの成果は，いずれも，マクロ経済学における短期的分析と長期的分析の方法の統合というこの研究の目的に適合するものである。,若手研究,小区分07010:理論経済学関連,マクロ経済学,ケインズ経済学,短期分析,長期分析,有効需要の原理,景気循環,成長循環,経済安定性,唯一性,一意性,ミクロ経済学的基礎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12747,駒澤大学,西村 健,私的情報を持つプリンシパルによるメカニズムデザイン：オークション理論への応用,この研究では、私的情報を持つプリンシパルによるメカニズムデザインの基礎理論を発展させるとともに、その結果をオークションの問題へと応用した。とくに、2022年に国際学術誌Journal of Economic Theoryに掲載された論文“Informed Principal Problems in Bilateral Trading”では、相対取引という単純な環境に焦点を当てつつも、より一般的な経済環境に適用可能なアプローチを開発した。このアプローチを用いて、動的な資産売却などの問題について分析し、私的情報を持つ売手が均衡でどのような種類のオークションメカニズムを選ぶかを明らかにした。,若手研究,小区分07010:理論経済学関連,メカニズムデザイン,私的情報を持つプリンシパル,オークション,シグナリング,オークション理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12746,学習院大学,柏木 昌成,マクロ経済における自己実現的期待の役割,本研究課題は経済主体の自己実現的期待という要因からマクロ経済変数のダイナミクスをどの程度説明できるのかという問題について、理論的・定量的アプローチを用いて検証することを目的とする。2023年度も2021年度・2022年度に引き続き国際経済についての分析に取り組み、金融セクターを含むマクロモデルや開放経済マクロモデルにおける複数均衡の発生とそれに伴う自己実現的期待による経済変動の可能性についての文献の整理検討を進めるとともに、理論モデルの分析を行った。,若手研究,小区分07010:理論経済学関連,マクロ経済学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12745,青山学院大学,川上 圭,M&A市場の理論的分析 ー 資源再配分の効率性の観点から,M&Aの理論モデルを、多次元の異質性を持つ多数の企業の間のマッチングとそれに伴う資源再配分という枠組みの中で構築した。,若手研究,小区分07010:理論経済学関連,Announcement returns,announcement returns,M&A,Takeovers,Disclosure,Market segmentation,Asymmetric information,Tekeovers,資源再配分,効率性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12744,北星学園大学,山邑 紘史,共有資源の配分問題におけるメカニズムデザイン：理論と実験,複数人が利用権を共有している共有地において、利用者が自由に資源を利用できるとき、資源は乱獲され枯渇していくことが「共有地の悲劇」として知られている。共有地の悲劇を防ぐべく、限りある資源を効率的かつ公平に配分するためには、利用者の属性に基づいて資源を配分する仕組み（配分メカニズム）を構築する必要がある。,若手研究,小区分07010:理論経済学関連,共有資源,単谷型選好,二択メカニズム,上方集合ルール,経済実験,ただ乗り,ピボタルメカニズム,自発的支払メカニズム,フリーライダー,リスク選好,時間選好,耐戦略性,ナッシュ遂行,ポテンシャルゲーム,メカニズムデザイン,単峰型選好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12743,神戸大学,砂川 武貴,非線形DSGEモデルの解法とパラメータ推定,本研究期間中に、2本の論文が採択され、1本のワーキングペーパーをまとめた。非線形DSGEモデルの解法および推定手法についてサーベイとしてまとめ、Japanese Economic Review誌に掲載された。また、名目金利の非負制約を考慮した非線形DSGEモデルを用いて米国経済の自然利子率の推定を行い、International Journal of Central Banking誌に掲載された。さらに、非線形モデルの推定に用いるInversion filterの問題点についてワーキングペーパーとしてまとめた。,若手研究,小区分07010:理論経済学関連,DSGEモデル,非線形性,金融政策,ゼロ金利制約,ベイズ推定,ニューケインジアンモデル,数値計算,数値解法,パラメータ推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12742,東京大学,萱場 豊,新しいタイプのデータ、解析手法を活かした行動経済学の実証研究,本研究プロジェクトにおいては、主に２つの成果を上げた。１．無限回の囚人のジレンマの繰り返しゲームで、特に、Imperfect Private Monitoringと呼ばれる、相手の行動が確実には判明しない状況において、人々が実際に取る戦略を、実験データにStrategy Frequency Estimation Methodという戦略の異質性を踏まえて推定する手法を用いて明らかにした。２．コピー可能な情報財（デジタルコンテンツなど）がネットワークを通じて取引される場合に、模倣品による競争により価格の低下が実際に生じるかどうかを、実験データから明らかにした。,若手研究,小区分07010:理論経済学関連,行動経済学,実験経済学,応用計量経済学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12741,筑波大学,阿武 秀和,複数財割当問題の理論的研究,複数財配分市場の一つの例である肺ドナー配分市場に関する研究論文”Dual-organ market: Coexistence of deceased and living donors”の改訂作業及び投稿を行った。本論文は現行の日本式肺ドナー配分メカニズムの弱点を指摘したうえで改善提案を行っており、効率的かつ公平な肺ドナー配分メカニズムを設計することを目指した論文である。,若手研究,小区分07010:理論経済学関連,マッチング,マッチング問題,複数財市場,耐戦略性,マッチング・マーケットデザイン,マーケットデザイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
