awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12753,関西大学,北川 亘太,J.R.コモンズ制度経済学の再評価：信用市場統治に注目して,本研究は、制度経済学の創始者の一人、J.R.コモンズの信用市場についての議論を包括的に理解するために彼の草稿を検討し、彼による信用市場の分析を「所得アプロ―チ」として特徴づけた。さらに、本研究では、彼の分析の特徴は、集団的期待と物価変動との関連性を示したことを指摘した。、それを安定化させるための統治方式が彼のいう「委員会」であった。本研究の成果はアメリカ進化経済学会AFEEの雑誌Journal of Economic Issues 第54巻4号に掲載された。また、本研究などが評価され、アメリカ進化経済学会(AFEE)から2020年クレランス・エアーズ賞を授与された。,若手研究,小区分07020:経済学説および経済思想関連,J.R.コモンズ,信用市場,債務システム,所得アプローチ,レギュラシオン理論,制度経済学,制度的貨幣論,信用貨幣,R.G.ホートレー,信用制度,諮問委員会,民主的探究,集団的期待,信用,債務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12752,長崎大学,南森 茂太,三田往還整備事業にみる神田孝平県令時代の兵庫県住民による受益者負担の思想の受容,本研究は，1873年から1874年にかけて兵庫県で実施された三田往還の整備事業に焦点を当てた。明治期の交通施設整備では，費用負担を巡って県と住民とが対立するケースがあった。他方，この事業は県令の神田孝平が道路周辺の住民に費用の全額負担を求めたが，県と住民とに対立が生じることはなかった。両者が対立しなかったのは，受益者負担による交通施設の整備という県令神田の政策思想を住民のリーダーである地方名望家が，さらには彼らを介して住民が受容することができたからである。本研究は神田の受益者負担の思想を住民が受容していく過程，および政治・経済の担い手として自立した兵庫県の住民の実像を明らかにした。,若手研究,小区分07020:経済学説および経済思想関連,受益者負担,神田孝平,明治零年代の地方行政,明治初期の地方財政,民費,賦金,地方財政制度,『神戸港新聞』,インフラ整備,地方制度,地方財政,「日本政表」,日本経済思想史,明治初期,三田往還,地域,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12751,東京外国語大学,大槻 忠史,旧制高商における経済調査活動にかんする包括的研究,2023年度は、昨年度まで「やや遅れている」としていた1930年代から戦時にかけての資料収集とその分析を引き続き集中的に行なった。また、これらと前年度までに収集した資料とを合わせ、高商における調査活動の実態について学理研究と実証分析、また社会との結びつきといった側面から考察した。,若手研究,小区分07020:経済学説および経済思想関連,旧制高等商業学校,名古屋高等商業学校,経済調査,経済学の制度化,赤松要,商業学校,山口高等商業学校,長崎高等商業学校,横浜高等商業学校,植民政策,E.F. ペンローズ,生産数量指数,アントワープ高等商業学校,商品研究,地場産業,東京外国語学校所属高等商業学校,経済思想,戦間期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K13664,福岡大学,武井 敬亮,近代社会形成原理における世俗と宗教の相克：J. ロックの宗教的言説の社会的意義,本研究では、17世紀後半から18世紀前半にかけてイングランドで生じた“合理的な聖書解釈”に基づく宗教的言説の変化に焦点を当て、その社会的意義（近代社会の形成に果たした役割）について検討する。,若手研究,小区分07020:経済学説および経済思想関連,ジョン・ロック,ジョン・エドワーズ,『キリスト教の合理性』,『パウロ書簡注解』,理性,啓示,無神論,聖書,三位一体,ソッツィーニ派,キリスト教の合理性,アングリカン,宗教的自由,世俗化,啓蒙思想,ロック,宗教思想,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K13663,立教大学,西林 勝吾,A.V.クネーゼを中心とした環境経済学説史研究,本研究は、A.V.クネーゼを中心とした環境経済学説史の研究である。研究目的は、「環境経済学の父」であるA.V.クネーゼの環境経済理論を再構成し、その全体像を明らかにすることである。,若手研究,小区分07020:経済学説および経済思想関連,A.V.クネーゼ,水資源管理,放射性廃棄物処分場,環境経済学史,政策主体,再生可能エネルギー,エネルギー政策,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K13466,大阪市立大学,齋藤 幸平,環境危機の時代における脱成長とグリーンニューディールの批判的統合,現代社会が直面する経済・民主主義・気候変動の複合的危機は、資本主義システムそのものの効率性や正当性に疑念を投げかけるようになっており、「ポスト・キャピタリズム」をめぐる思想を活性化させている。本研究は、「脱成長」と「グリーン・ニューディール」に着目し、そのポテンシャルを批判的に検討する。通常相容れないとみなされている両者の洞察を統合することで危機を乗り越えるポスト・キャピタリズム論の展望を目指す。,若手研究,小区分07020:経済学説および経済思想関連,脱成長,マルクス,気候変動,コミュニズム,資本主義,MEGA,人新世,気候危機,資本新世,ルカーチ,一元論,グリーンニューディール,コモン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K13465,同志社大学,笠井 高人,K.ポランニーの社会経済思想と労働者教育協会,本研究は、20世紀の思想家であるカール・ポランニーの社会経済思想を明らかにする。とりわけ、1930年代を過ごしたイギリスでの資料を基に、主著『大転換』の形成過程を明らかにするとともに、労働者教育協会での活躍にも着目する。,若手研究,小区分07020:経済学説および経済思想関連,ポランニー,労働者教育協会,亡命知識人,カール・ポランニー,成人教育,大戦間期,イギリス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K13464,大分大学,金子 創,異時点間資源配分の倫理的評価基準について,本研究では，主体間における所得・資産格差の，時間を通じた変化に関して，規範的な観点からの検討するために異時点間資源配分のモデルを構築し，その配分について評価する1 つの不平等基準として搾取概念を導入する．特に，主体の異時点間における意思決定に関して，いくつかのバリエーションを検討し，それに応じて搾取が生成されるかどうかの特徴づけや，ひとたび生成された搾取の動学的性質について調べる．これは意思決定のあり方を規範的な観点から位置づける試みであるが，このことによって，継続する世界的な格差の拡大傾向を適切に評価するための認識はより豊かになると期待される．,若手研究,小区分07020:経済学説および経済思想関連,搾取,衡平性,社会関係資本,搾取基準の多義性,異時点間資源配分,国際的不等価交換,搾取の継起性,搾取の生成,搾取の継起生,不平等基準,異時点間意思決定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K13463,大阪大学,周 雨霏,東アジアにおける「資本主義」概念の成立ーW. ゾンバルトの影響を中心に,19世紀半ばごろから、「ウェスタン・インパクト」により、アジア諸国が近代資本主義システムへ編入され始めたのである。しかし、「資本主義」という概念が東アジアの思想空間に導入され、広く使われ始めたのは、世紀転換期におけるドイツ歴史学派の受容によるものである。本研究の目的は、「最若年」歴史学派の代表者であるヴェルナー・ゾンバルトに着目し、東アジアの絡み合う思想空間におけるゾンバルト資本主義論の受容史を掘り上げる思想史的検討を行う。そうすることによって、西洋の経済思想が日本を経由し、人の移動と情報の循環を通じて東アジアに広がっていく「知的連鎖」の実像を明らかにすることを目指す。,若手研究,小区分07020:経済学説および経済思想関連,経済思想,資本主義論,ドイツ歴史学派,ゾンバルト,社会科学史,日独思想交流,ドイツ経済思想,歴史学派,資本主義,日本経済思想史,ドイツ経済思想史,思想受容史,中独思想交流,W・ゾンバルト,資本主義理解,受容史,Werner Sombart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21K13268,関西大学,北川 亘太,J.R.コモンズの制度経済学における制度再編の実験的方法の位置づけと今日的意義,アメリカ制度経済学の創始者の一人J.R.コモンズ(1862-1945)は，不確実な状況下で諸集団はいかに「進む」べきかという規範的な論点で，制度再編の「実験的方式」を打ち出した。本研究は，（１）実験的方式において何がどのように実験的に修正されたのか，修正されるべきなのか，（２）適正な資本主義をいかに達成するかという彼の主題の中でこの実験的方式の役割・意義を位置づけなおし、再評価したい。,若手研究,小区分07020:経済学説および経済思想関連,J.R.コモンズ,レギュラシオン理論,コンヴァンシオン理論,ウィスコンシン州産業委員会,ウィスコンシン産業委員会,実験的方式,公益事業規制,プラグマティズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
