awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12820,早稲田大学,笠原 晃恭,企業金融理論のフロンティア： 動学ゲーム・契約理論に基づく証券選択の基礎づけ,本研究プロジェクトの前半では、企業が資金調達の際に直面する最適資本構成に関して、経済理論に基づく動学的なモデルを構築した。それを通じて、現実に観察される税制改革前後の資本構成の変化が、負債の節税メリットに基づく最適資本構成の理論と必ずしも矛盾しないことを証明した。また、本研究プロジェクトの後半では、日本の同族企業に焦点を当て、これらの企業が配当政策を決定するにあたって、同族大株主の収入維持を考慮に入れていることを実証した。,若手研究,小区分07060:金融およびファイナンス関連,最適資本構成,配当政策,コーポレート・ファイナンス,ファイナンス,アセット・プライシング,企業金融,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12819,筑波大学,折原 正訓,企業統治と企業価値：準自然実験アプローチを用いた実証研究,安倍晋三元首相はファイナンス理論に基づき、企業統治改革を通じた企業価値向上を目指した。企業統治とは、株主と経営者間の利害対立それ自体あるいはその対立を緩和するメカニズムである。具体的な政策として、2015年に導入されたコーポレートガバナンス・コードに着目した。社外取締役2名以上の選任を推奨する制度である。,若手研究,小区分07060:金融およびファイナンス関連,社外取締役,企業統治,COVID-19,同族企業,配当課税,銀行,世界金融危機,現金保有,日本企業,コロナ禍,機関投資家,企業価値,情報開示,文化,準自然実験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12818,武蔵野大学,山中 卓,事業性を反映した企業評価の理論モデル構築と有用性の実証,本研究では、金融機関が企業に対して資金供給を判断する際に行う信用リスク評価の手法として、対象企業の事業性を考慮する方法を提示した。まず理論面の成果として、従来の信用リスク評価の理論モデルである構造型信用リスク評価モデルと事業性をとらえる受注情報を結びつけ、新たに受注ベースの構造型信用リスク評価の枠組みを提示した。その下で具体的な評価モデルを構築し、その有用性を示した。また、金融機関にとって情報の取得可能性が高い銀行口座情報を利用した信用リスク評価モデルも構築し、その有効性を実証した。,若手研究,小区分07060:金融およびファイナンス関連,金融リスク管理,信用リスク,事業性評価,ファイナンス,取引情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12817,武蔵大学,Franco Pedro,Dynamics of Regulation of Strategically Complex Financial Products,"This project furthered our understanding of the constraints that regulators face when regulating banks' use of complex financial products that have embedded moral hazard problems. In particular, it shows that financial crisis may be inevitable even under some optimal conditions.",若手研究,小区分07060:金融およびファイナンス関連,Financial Regulation,Financial Complexity,Optimal Contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12816,上智大学,南橋 尚明,日本におけるシンジケートローンの組成とメインバンク制との関わり,日本のシンジケートローンデータおよび企業の財務諸表データを用いて、貸出銀行団の形成過程とシンジケートローン借入条件のコベナンツの変化、シンジケートローン以外の銀行と企業の貸出関係および財務状況を探った。シンジケートローンの開始前後を比較すると金利を含む借入の諸条件が改善し、過去の銀行関係のつながりが緩やかになることが分かった。また、シンジケートローンを開始したあとは財務状況も改善していることが多かった。,若手研究,小区分07060:金融およびファイナンス関連,シンジケートローン,情報の非対称性,メインバンク,コーポレートファイナンス,銀行,リレーションシップバンキング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12815,広島市立大学,高久 賢也,新興国における国際資本フローと資本規制の有効性に関する理論的研究,本研究では、近年の世界金融危機以降の新興国における資本流入の増大と資本流出リスクの増大により、（国際機関、政府、および研究者によって）政策的有効性が議論されるようになった資本規制について、理論的な観点から、その有効性について検討を行った。資本市場の不完全性の大きさを考慮した２国のDSGEモデル（確率的動学一般均衡モデル）や、金融フリクションの大きさを考慮した小国開放経済のDSGEモデルに基づいて分析を行った結果、資本規制についてのいくつかの興味深い政策的含意を得ることができた。,若手研究,小区分07060:金融およびファイナンス関連,開放経済,国際資本フロー,資本規制,マクロ経済政策,マクロ経済学,国際資本移動,ファイナンシャル・フリクション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12814,首都大学東京,磯貝 孝,株式市場の相関構造に関する知識探索型分析と投資・リスク管理への応用に関する研究,本研究では、日本の上場株式（個別銘柄）に関する価格変動の相関構造を株価時系列データから推定した上で、銘柄分類や相関構造の要因分析などを通じてその特徴を整理し、ポートフォリオ投資の効率改善・リスク管理の高度化に資する知見を得ることを目指した。銘柄クラスタリングでは、推定した相関行列をもとに相関ネットワークを構築し、この相関ネットワークに対して独自の再帰的分割を適用して効率的かつ高速にグルーピングを行う手法を確立した。,若手研究,小区分07060:金融およびファイナンス関連,株価の相関構造,知識探索,ネットワーク理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12813,神戸大学,佐藤 愛,複数職務下での経営者報酬及び雇用政策,この研究では、契約理論を用いて、解雇の可能性を含んだ長期契約のもとで、エージェントが契約可能な最終的な成果と、契約不可能な中間産物の二つを生産し、後者をこのエージェントの能力の指標としてとらえるモデルを構築した。企業は、目には見えるが、立証不可能な中間生産物を見て、エージェントをクビにするか否かを決める事ができるとする。契約形態は、解雇可能な長期契約、解雇不可能な長期契約、または、短期契約の繰り返しの3種類を考えた。結果として、企業のダイバージョン・コストが小さければ企業は解雇不可能な長期契約が最適となるが、コストが大きくなるにつれて、短期または解雇可能な長期契約が最適となる。,若手研究,小区分07060:金融およびファイナンス関連,Fixed Pay,Incentive Pay,Dismissal,Wage Contract,Dismissal contract,Long-term contract,Diversion cost,Long term with firing,Sessional workers,Stock-vesting options,Short-term contract,短期契約,長期契約（解雇なし）,長期契約（解雇あり）,Verifiable output,Non-verifiable output,契約理論,報酬契約,創業者,株価連動型報酬,マルチ・タスク,経営者報酬,ストック・オプション,契約の期間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12812,大阪大学,落合 夏海,日本市場の日中価格ボラティリティに関する研究,本研究は、日本の先物価格の日中リターン変動の特徴を検証することが目的である。主な研究成果として、 (1)8:45～15:15の日中立会では，国内市場の取引時間に応じて日中リターン変動が高くなる，(2)国内株式市場が閉じる16:30～翌5:30の夜間立会では，海外市場の取引開始時刻や米国の経済指標の発表時刻で日中変動率が高くなる、という点が確認された。さらに、日中リターンとボラティリティの非対称性効果，日中リターンと出来高の関係，取引されない時間の長さが日中ボラティリティに与える影響等についても検証を行った。,若手研究,小区分07060:金融およびファイナンス関連,日中ボラティリティ,確率的ボラティリティモデル,日内周期性,確率的ボラティリティ変動モデル,ファイナンス,金融工学,ボラティリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12811,東京経済大学,重田 雄樹,非期待効用関数の資産価格理論への応用,本研究では、非期待効用理論のポートフォリオ理論、資産価格理論への応用を検討した。研究成果は大まかに分けて、（１）高次の不確実性を忌避する曖昧性回避を加味したポートフォリオ理論の検証、（２）各時点の効用間の加重比率を定める時間選好率が通常とは異なるモデルにおける資産価格理論とポートフォリオ理論への含意の検証、となる。前者においては、データからの分布の推定精度が良好ではない時に曖昧性回避が有効であることや、一種の損失回避との観測的同値性を得た。後者においては、時間選好率が内生的に定まるモデルの提案とその検証、そして時間的非整合性を加味したモデルの検証を行っている。,若手研究,小区分07060:金融およびファイナンス関連,非期待効用理論,ポートフォリオ理論,資産価格理論,投資と消費の意思決定,市場アノマリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
