awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12874,国立研究開発法人産業技術総合研究所,井上 祐樹,イノベーション創発を促進するプラットフォームエコシステムの機能・要件の研究,"本研究は日本のビデオゲーム市場のデータを収集し、39のゲームハードウェア、20,292のゲームソフトウェア、1,231のゲームプレイヤーのデータに基づいて、エージェントシミュレーションシステムを構築した。シミュレーション実験の結果、適度な技術的探索性とマルチホーミング（企業が複数のプラットフォームに同じ製品を提供すること）の時間的に動的なガバナンスの採用が、プラットフォームエコシステムのイノベーション創出において最も高いパフォーマンスを上げることを示した。加えて、補完者にとって適度な探索性は、プラットフォーム企業にとっての適度な探索性と大きくことなることも示した。",若手研究,小区分07080:経営学関連,プラットフォームエコシステム,探索的イノベーション,経験的エージェントシミュレーション,マルチホーミング,ビデオゲーム市場,インクリメンタルイノベーション,ラディカルイノベーション,宿泊市場,ビジネスエコシステム,二面性市場,宿泊仲介市場,エージェントシミュレーション,イノベーションマネジメント,イノベーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12873,早稲田大学,田上 悠太,地銀統合データベースを用いた実務利用可能な高精度LGD推定モデルの開発,国際的な金融システムの健全性の強化を目的にしたバーゼル規制は、銀行に対して様々なリスクを推定し、それに備えた自己資本を積み立てることを義務付けている。本研究では銀行債権の信用リスク、特にLGD推定の推定精度向上のための研究を行った。その結果、LGD推定における非線形モデルの有用性を確認した。また、転移学習、マクロ経済変数、業歴の有効性に関しての検証を行った。さらに、膨大な量の説明変数が含まれるLGD推定における変数選択方法に関しての研究も行った。,若手研究,小区分07080:経営学関連,信用リスク,ファイナンス,デフォルト時損失率,金融リスク,Loss given default,変数選択,LGD,転移学習,ビックデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12872,近畿大学,上西 聡子,価値評価と多元的価値の組織化に関する研究：製造業による異業種参入事例を通じて,本研究では、評価や価値評価に関する研究を手掛かりに、多様な価値が混在する異業種間の戦略的提携において、いかに多元的な価値が組織化されるのかを捉えた。研究期間中に生じた社会的な変化や出産等の予定外の状況により、研究の遅延が発生したが、シンポジウムでの報告を1件（2018年10月）、単著論文を1本（2021年11月）、共著論文を1本（2024年3月掲載許可）を発刊した。論文については両成果ともに英語で執筆し、共著論文については国際ジャーナルに掲載される。シンポジウムも国際シンポジウムであった。このように、日本の製造業における価値のあり方に注目し、その研究成果を国際的に発信することを心がけた。,若手研究,小区分07080:経営学関連,価値評価,制度ロジック,制度派組織論,プラグマティズム,コンヴァンシオン理論,真価,価値体系,valuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12871,流通科学大学,岸野 早希,管理職のワーク・ライフ・バランスを規定する要因についての研究,本研究の目的は管理職層のワーク・ライフ・バランス(WLB)の実現を規定する要因を明らかにすることである。企業におけるWLBの実現において管理職が重要な役割を担うことが指摘されているが、これまでのWLB研究ではその役割を担う管理職自身のWLBに着目した研究はこれまでほとんどなされていなかった。 そこで文献やインタビュー、アンケートを通じた調査から、管理職のWLBを規定する要因を検討した。その結果、「仕事生活に関わる要因」「仕事以外の生活に関わる要因」「両立のための対処行動」という３つのカテゴリーについて計２３個の潜在的な要因を明らかにした。,若手研究,小区分07080:経営学関連,ワーク・ライフ・バランス,管理職,働き方改革,質的研究,イクボス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12870,関西学院大学,田原 慎介,社会イノベーションの持続性に影響を及ぼす組織内信頼に関する研究,本研究は、医療や介護、福祉に関わる社会課題を解決するために企業が開発した革新的な社会サービスを社会イノベーションとし、それを採用して実践している組織において社会イノベーションが持続するメカニズムを，信頼の効果という観点から検討した。本研究が主に対象としたのは，社会イノベーションを採用して実践している介護事業所であり、サービス実施に関わっている介護従事者に対して、質問票調査、インタビュー調査、観察を実施した。計量的かつ質的な分析の結果、感情的な信頼関係が社会イノベーションを持続させる可能性が高いことが見えてきた。,若手研究,小区分07080:経営学関連,社会イノベーション,持続性,信頼,感情的な信頼関係,介護組織,定着,生存時間解析,計量分析,知識移転,トランザクティブ・メモリー・システム,定着（持続性）,信頼構築プロセス,持続性（定着）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12869,近畿大学,太田 壮哉,フェアトレード情報が購買態度に与える影響に関する研究,本研究は，日本人を対象にフェアトレード商品の選択に対するネガティブ情報(フェアトレード商品を購入しないことによって生じる弊害に焦点を当てた情報)とポジティブ情報(フェアトレード商品を購入することによって生じる恩恵に焦点を当てた情報)の効果を検証した。その結果，ネガティブ情報とポジティブ情報ともにフェアトレード商品の選択にポジティブな影響を与えることが確認された。しかし，ネガティブ情報に関しては，その情報量が大きすぎると心理的リアクタンスを引き起こす可能性もあることが確認された。一方，ポジティブ情報に関してはそのような傾向は確認されなかった。,若手研究,小区分07080:経営学関連,フェアトレード,選択行動,広告,エシカル・マーケティング,日本人,児童労働,フェアトレード情報,援助行動,マーケティング,消費者行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12868,大阪商業大学,貴島 耕平,ボトムライン・メンタリティが個人の学習行動に与える影響に関する理論的・経験的研究,本研究では、個人の思考様式の一つであるボトムライン・メンタリティが、個人の行動にどのような影響を与えるかについて、理論的かつ経験的に検討を行った。ボトムライン・メンタリティとは、結果を何よりも最優先する思考様式であり、視野狭窄の状態と呼べる。ビジネスの世界において、結果を出すことを優先することは自然であるように思えるが、そのことによる不利益についても指摘されてきた。本研究が行った調査では、ボトムライン・メンタリティに個人が染まることによって、個人の進取的行動（職務における創意工夫）は促進されるが、周囲を助けるような行動（援助行動）は減少することが明らかになった。,若手研究,小区分07080:経営学関連,組織行動論,ボトムライン・メンタリティ,経営組織論,学習行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12867,大阪経済大学,足代 訓史,企業家の失敗からのリカバリープロセスの研究：ナラティブ・アプローチによる探求,本研究は、企業家の事業の失敗とそこからの学習のメカニズムを、プラットフォームビジネスの事例研究から検討するものである。本研究では、主要な結論として以下の二点を一定程度明らかにした。第一に、企業家の失敗に対する認識は、企業家が築いた既存のビジネスモデルを基に行われる。第二に、企業家が失敗からリカバリーしようとする際には、既存の経営資源にとらわれず、顧客への提供価値を変化させることが重要である。,若手研究,小区分07080:経営学関連,企業家の失敗,認識,ビジネスモデル,プラットフォーム,消費者生成メディア（CGM）,エンゲージメント行動,アントレプレナーシップ,認識枠組み,ドメイン,カスタマーエンゲージメント,ユーザー生成コンテンツ（UGC）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12866,立命館大学,谷川 智彦,経営幹部層の多様化を促進する要因：上場企業の時系列データを使用した実証的研究,本研究課題の目的は企業における意思決定主体である経営幹部の多様化の要因を探ることであった。研究期間中、本研究課題の目的を遂行するために必要な経営幹部の多様化することが企業業績にどのような影響を与えるのかを検証する実証研究を行った。その結果、経営幹部における在職期間及び性別の多様化が企業業績と有意な関係があることが明らかとなった。また、本研究課題ではその関係性に過去の企業業績や社長の権力が影響を及ぼしていることも明らかとなった。,若手研究,小区分07080:経営学関連,トップ・マネジメント・チーム,ダイバーシティ,多様化要因,変化,業績変数,時系列的変化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12865,同志社女子大学,福本 俊樹,組織エスノグラフィーの実践的有用性の検討,本研究の目的は、組織エスノグラフィーが経営実践に対して持つ有用性を検討することにあった。,若手研究,小区分07080:経営学関連,組織エスノグラフィー,実践的有用性,組織社会化,組織開発,臨床的アプローチ,経営理念,アクション・リサーチ,二人称的アプローチ,処方的知識,リガー・レリバンス,リフレクシブ・リサーチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12864,同志社大学,塩谷 剛,「両利き経営」を実践するマネジャーの特性に関する研究,本研究では探索と活用を両立する両利きの経営を実践する経営者（マネジャー）の特性を明らかにすることを目的とし、研究開発を志向する中小企業の経営者、大企業のミドルマネジャー等を対象とした実証分析を実施した。分析の結果、経営者（マネジャー）が保有する社会関係資本や自己効力感が彼らの両利き性を構成する探索活動を促進することが明らかとなった。,若手研究,小区分07080:経営学関連,探索,活用,両利きの経営,両利きの経営者（マネジャー）,両利きのマネジャー,知の探索,知の深化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12863,中京大学,櫻井 雅充,ワーク・ライフ・バランス支援制度による従業員のアイデンティティ形成に関する研究,本研究の目的は，ワーク・ライフ・バランス支援制度が従業員の仕事と生活におけるアイデンティティ形成に及ぼす影響について明らかにすることにあった。 研究の結果から，人材マネジメントおよびワーク・ライフ・バランス言説の影響のもとで，管理制度と共に理解される従業員のアイデンティティ形成を捉える理論的枠組みが提示された。また，そうした枠組みに基づいた経験的研究によって，従業員は人材としての自分と生活者としての自分を併せもつアイデンティティを形成していることが明らかとなった。,若手研究,小区分07080:経営学関連,ワーク・ライフ・バランス,アイデンティティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12862,国際大学,Tang Cheng・Tao,,このペーパーでは、エージェントが2つの活動を行うトーナメント報酬スキームにおける目標設定の効果を調査します：努力と妨害。私たちの理論モデルは、トーナメントのゴール設定がポジティブな役割を果たすことができると予測しています：努力を増やし、妨害行為を減らします。理論と一致して、実験室実験の結果は、トーナメントでの目標設定のプラスの効果を確認します。ただし、理論とは逆に、金銭的インセンティブが増加すると、目標設定の効果が減少することがわかります。高い目標が実行されると、金銭的インセンティブが機能しなくなります。全体として、高い目標は、より高い経済的インセンティブよりもパフォーマンスを向上させます。,若手研究,小区分07080:経営学関連,Tournament,Goal setting,Sabotage,Tourname,Goal Setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12861,多摩大学,小林 英夫,ベンチャーにおける滑業家の概念の理論化と国際比較,スタートアップ企業が急成長を果たす時期に、事業や組織規模が拡大することによる必要資源と既存資源とのギャップがどのように充足されているかという問題に対し、役割を柔軟に変え組織の穴を埋め業務を滑らかに動かす「滑業家」の存在が日本で指摘されていた。,若手研究,小区分07080:経営学関連,滑業家,ギャップフィラー,絆創膏現象,創業者・滑業家関係,ベンチャー人材供給エコシステム,ベンチャー企業,シリコンバレー・人材供給エコシステム,事業環境変化・滑業家関係,ベンチャー,急成長,経営チーム,追随的企業家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12860,早稲田大学,村瀬 俊朗,チーム共有認識発達メカニズムにおけるリーダーのビジョン提示効果の検証,本研究は、チーム機能を向上させるうえで重要なチームに関するメンバー同士の認識を共有を、リーダーのビジョン行動が向上させるかを検証した。文献調査、インタビューやアンケート調査を行うことで、メンバーの認知を揃えるために必要なリーダーの行動を特定し、定量的検証を行った。結果は、メンバーが認知を共有するためには、リーダーが単なる業務の説明等を行うだけでは不十分であった。より重要な要素は、リーダーが業務やプロジェクトの意義を伝え、メンバー達を説得することで、メンバー達は自分たちがどのように連携をすべきかを深く理解できるため、共有のプロセスが向上する。その結果、チームの機能が高まることが確認された。,若手研究,小区分07080:経営学関連,リーダーシップ,チームワーク,共有認知モデル,ビジョン行動,共有認知,市場の理解のズレ,阿吽の呼吸,認知のズレ,部門間連携,チームパフォーマンス,尺度開発,マネージャー,認識のズレ,ビジョナリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12859,早稲田大学,牧 兼充,カリフォルニア大学発ベンチャー企業におけるスター・サイエンティストの役割の研究,本研究では先行研究のフォーカスを広げ、2000年から現在までの間に、カリフォルニア大学(UC)のサイエンティストが関与する研究分野全般におけるスター・サイエンティストの分析を行った。主な成果は、1) UC発ベンチャー企業データセットを活用し定量分析を行ったこと、2) サンディエゴのエコシステムにおけるスター・サイエンティストの関与を分析したこと、の2点である。,若手研究,小区分07080:経営学関連,スター・サイエンティスト,大学発ベンチャー,エコシステム,成功要因,技術移転,カリフォルニア大学,カリフォルニア大学システム,暗黙知の移転,知的財産権,カリフォルニア州,スターサイエンティスト,大学発ベンチャー企業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12858,立教大学,深見 嘉明,コネクテッド・イノベーションに必要な共有技術認識フレーム確立メカニズムの研究,本研究を通じ、コネクテッド・イノベーションに必要な共有技術認識フレームを確立させるには、新たなフレームが実現する利益の共有と、仕様へ落とし込むプロセスを実現するオープンな議論が有効であることを発見した。,若手研究,小区分07080:経営学関連,コミュニティ支援,マルチステークホルダー,技術ハイジャッキング,多面市場対応,実装主義,Society5.0,データ流通,ジオデータ,イノベーション,標準化,技術認識フレーム,プラットフォーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12857,明治大学,金 素延,,本研究では、ダイバーシティマネジメントの観点から日本と韓国の女性リーダーを対象として女性リーダーシップの特徴および効果を明らかにすることを目的とした。インタビュー及びアンケート調査を行い、分析から研究モデルを実証的に検証し、女性の両利きのリーダーシップ、組織における性別ダイバーシティ風土、そして従業員の心理的資本と革新的行動の関係を明確にした。研究結果は、国外の学会大会で報告されたほか、国内外ジャーナルや本に投稿され、公刊及び査読中である。,若手研究,小区分07080:経営学関連,女性リーダーシップ,ダイバーシティ,革新的行動,Female leadership,Leadership,Diversity Management,Innovative Behavior,Sustainability,Positive Feeling,Leader effectiveness,Asia,Psychological capital,Innovation,female leadership,psychological capital,leadership development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12856,武蔵野大学,渡部 博志,リーダーシップの反照としてのフォロワーシップの経験と継承,本研究は、組織内の中間管理職に注目し、その人物のフォロワーシップに焦点を当てたものである。上司の下で行動する部下としての行動（フォロワーシップ）は、上司への信頼が強いほど、上司が更に上の立場の人物に対して取るフォロワーシップ行動と類似するものの、その類似度は、上司への信頼と組織へのコミットメントとの間にマイナスの交互作用効果があることが、質問票調査を通じた分析から明らかになった。このことは、上司への信頼という人物の面からは行動を真似るものの、組織への愛着が故に自らの行動を上司という一個人の行動と同質化させないという意識が存在している可能性を示唆するものだと考えられる。,若手研究,小区分07080:経営学関連,フォロワーシップ,リーダーシップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
