awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K12887,名城大学,中川 宏道,小売業の購買履歴データを用いたロイヤルティ・プログラムの効果検証,ロイヤルティ・プログラムの効果について、小売業の購買履歴データを用いて検証をおこなった。その結果、商品レベルにおいては、特に低価格においては値引きよりも売上向上の効果が確認された。高価格においては値引きとポイントの差は確認されなかった。店舗レベルにおいては、価格販促デーよりもポイントデーの方が高い売上効果が確認された。,若手研究,小区分07090:商学関連,ロイヤルティ・プログラム,ポイントカード,セールス・プロモーション,販売促進,値引き,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12886,九州産業大学,侯 聡聡,顧客満足とロイヤルティの関係に与える消費の文脈の影響,本研究は、顧客満足とロイヤルティの構造モデルがスイッチ行動をとるきっかけがある状態とない状態で異なるのではないかということを検証するものである。動画配信サービスのユーザーに対してインターネット調査を実施した。分析の結果、予想に反して、スイッチ行動のきっかけがあるグループとないグループとで、顧客満足―ロイヤルティの因果モデルに相違がみられなかった。しかし、媒介効果としてコミットメントが有効に働くことが分かった。,若手研究,小区分07090:商学関連,顧客満足,ロイヤルティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12885,九州産業大学,渡邉 孝一郎,商店街における「街商人」の役割に関する研究,本研究の研究成果は大きくは、第一、街商人の存在が商店街さらにはその地域の活性化に貢献しているメカニズムを明らかにしたこと、第二、経営意識の違いによって優先される情報が異なり、それが結果としてより多様な品揃えを商店街単位で可能にしていることを明らかにしたこと、第三、非街商人によるまちづくり活動の可能性を検討した点、この三点に集約することができる。,若手研究,小区分07090:商学関連,街商人,まちづくり,商店街,ライフヒストリー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12884,流通科学大学,羽藤 雅彦,ブランド・コミュニティにおけるメンバーの分類基準の確立とグループ間の比較研究,本研究は、ブランド・コミュニティに参加する数多くのメンバーをいかに分類すべきかについて検討したものである。コミュニティに参加するメンバーは、当該ブランドを好んでいるという点を除けば多様性に富んでいる。本研究では、彼/彼女らがコミュニティで維持している2つの関係性、メンバー同士の関係性とブランドとの関係性に着目しながら分類を試みた。具体的には、コミュニティとの同一化とブランドとの同一化という変数を用いて分析を行い、メンバーを4つに分類可能であることを発見した。さらに、いくつかの指標から各グループの特徴を検討し、メンバーがコミュニティに参加するなかでどのように変化していくかも考察している。,若手研究,小区分07090:商学関連,ブランド・コミュニティ,ブランド,ブランド・リレーションシップ,消費者行動,マーケティング,セグメンテーション,セグメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12883,立命館大学,菊盛 真衣,消費者間のクチコミ行動と企業間の推奨行動における制御焦点の効果,本研究は、消費者から収集されたアンケートデータを統計的に分析することによって、消費者の店舗に関するクチコミ発信やウェブページの評価に際して、消費者の制御焦点が重要な役割を果たすということを示した。加えて、企業間の推奨に関する先行研究の膨大な知見を整理して、消費者間だけではなく企業間でもクチコミが頻繁に行われるということを指摘し、このトピックに関する今後の研究課題を明らかにした。,若手研究,小区分07090:商学関連,クチコミ,eクチコミ,制御焦点,消費者,企業間クチコミ,B2Bクチコミ,オンライン店舗,Webサイト,企業間推奨,レファレンス,発信行動,インセンティブ,推奨,オンラインチャネル,オフラインチャネル,クチコミ発信・推奨,マルチチャネル,推奨行動,企業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12882,国際大学,山口 真一,フリー型ビジネスモデルにおける国内外の消費者行動と最適ビジネス戦略の実証的研究,以下の5点が明らかになった。①消費者の発信する情報は、製品・サービスの購入や、サービスの継続意思、いずれに対しても影響を与えている。②ただし、クチコミには虚偽の投稿もあるうえ、極端な意見を持っている人ほどインターネット上には多く発信するようなバイアスもあるため、クチコミマーケティングの際には、情報の偏り・真偽に注意する必要がある。③フリー型ビジネスモデルにおいては、多数の製品を出す分散型と、1つ製品に集中する集中型の、2つの戦略をとり得る。④組織内でデータ活用を進めるには協調・創造を重視する組織にした方が良い。⑤若い人やデジタルリテラシーが高い人はデータ提供にポジティブな傾向にある。,若手研究,小区分07090:商学関連,産業組織論,フリーミアム,コンテンツ産業,ソーシャルマーケティング,ネット炎上,データ利活用,プラットフォーム戦略,フリー型ビジネスモデル,ゲーム産業,オンラインレビュー,パネルデータ分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12881,法政大学,長谷川 翔平,分位点回帰のマーケティングへの応用,本研究の目的は分位点回帰をマーケティング・データへ応用することで，消費者をより深く理解し，マーケティング戦略への示唆を得ることである。実データを用いた分析では分位点回帰を広告効果測定，効果的なマーケティング変数の選択，顧客満足度の因果モデルに応用した。広告効果測定への応用では，通常の回帰分析では効果が薄いと判断された広告も上位の分位点で効果が認められるケースがあった。変数選択への応用では，分位点によってモデルの説明変数として選択される変数は異なる様子が示された。顧客満足度モデルへの応用では分位点によって係数が異なり，顧客満足度に影響する要因が満足度が高い顧客と低い顧客で異なる可能性が示された。,若手研究,小区分07090:商学関連,分位点回帰,マーケティング,マーケティング・リサーチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12880,東京理科大学,大西 浩志,大規模シングルソース・データによるデジタル・マーケティングの研究,本研究は、デジタル・マーケティング領域で未だに解決されていない以下の2つのオープン・クエスチョンを取り扱った。課題(1)オフライン(テレビCMなど)とオンライン(バナー広告など)のメディア接触と購買行動の関係を包括的に扱うため、実証研究として、オンラインとオフラインの双方に渡る大規模なシングルソース・データを利用した。課題(2)メディア接触と購買行動の因果関係の推定におけるバイアスとなる内生性へ対応するため、最新のマーケティング・サイエンスのデータ解析手法である構造推定モデルや機械学習（Deep Learning）を適用し頑健で精度の高い推定を行った。,若手研究,小区分07090:商学関連,デジタル・マーケティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12879,亜細亜大学,西原 彰宏,高関与行動の体系的理解と尺度開発,本研究の目的は、研究開始当初より、消費者によってなされるさまざまな高関与行動を体系的に捉えるため、関与概念の概念規定、理論的枠組みの構築ならびに精緻化を図りながら、消費者の関与水準（あるいは関与度）を正確に捉えるための関与尺度を開発することであった。,若手研究,小区分07090:商学関連,関与,製品関与,消費者関与,自我関与,自己重要性,覚醒,高関与行動,顧客エンゲージメント,顧客ロイヤルティ,社会的関係,熱狂者,自己関連性,エンゲージメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K12878,静岡大学,本條 晴一郎,ユーザーイノベーションに対する快楽的・功利的便益の影響に関する理論的・実証的研究,本研究では、消費者自身が製品開発を行うユーザーイノベーションにおいて、消費における志向性と革新性がどのような条件で成果に結びつくかを明らかにした。人口動態に割り付けた代表性のあるサンプルに対する統計分析により、分野外情報の探索が新機能実現に有効であることを示し、共創との関係を明確化した。また、ユーザーイノベーションによって消費財の開発・販売を行うデザイナーへのインタビュー調査により、自らの価値観の掘り下げが製品開発のみならずブランド構築に直接つながるという知見を見出した。さらに、消費者イノベーションとソーシャルイノベーションの関係について整理した。,若手研究,小区分07090:商学関連,ユーザーイノベーション,消費者イノベーション,リードユーザーネス,クラウドソーシング,サーチ,デザイン,ブランド,サイバネティックス,ソーシャルイノベーション,リードユーザー,遠方検索,局所検索,製品開発,マーケティング,消費者行動,商学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
