awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13143,国立研究開発法人国立成育医療研究センター,須藤 茉衣子,保育の質と安全を保障する、保育施設設置基準の再検討に関する調査研究,本研究では、保育中の事故に注目し、日本スポーツ振興センターが運営する「学校事故事例検索データベース」及び内閣府が取りまとめを行っている「特定教育・保育施設等における事故情報データベース」に収載されている保育事故を対象に、事故の要因及び対策を1事例ずつ検証した。保育事故の発生状況や傾向を把握したうえで、保育施設の設置基準と保育中の事故との関連を考察した。事故報告の要因分析から、必要な遊びや活動を制限しない形で、子どもたちに安全な保育が提供されるには、余裕のある職員配置が必要であることが示唆された。基準の改善に向け、より包括的な保育事故データの収集・分析、それに基づく課題の提示が必要である。,若手研究,小区分09030:子ども学および保育学関連,保育の質,事故予防,保育政策,子育て支援,保育所,安全管理,保育環境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13142,国立研究開発法人量子科学技術研究開発機構,金 小海,放射線誘発甲状腺がんの新規バイオマーカー探索と発がん機構解明,2019年においては、動物実験で得られた甲状腺の標本の病理診断を終わらせた。標本は大きく2種類に分け、一回照射と連続照射された動物の病理標本からなる。 いずれも胎仔期、1週齢あるいは7週齢の標本に分けており、「過形成」から「腺腫」、「腺癌」までいろんな病理像が観察された。この診断結果に基づいて統計解析を行い、主に線量依存や照射時年齢依存性について有意差があるかどうかを調べた。結果、1週齢のマウスにおいて、放射線照射(一回照射)による甲状腺の腫瘍性病変の増加がコントロール群と比べて有意差があるのを認めた。また、甲状腺腫瘍の発生頻度は線量に依存して増加する傾向であるのも認められた(高線量4Gyでは、胸腺腫とリンパ腫など病変が発 生するため逆に低下)。上記の年齢と線量に依存しての変化は同じ低線量率の動物実験でも行ったが、病理診断結果と統計解析ともにコントロール群と比べ有意差を認められなかった。また、病理診断により病変が観察された一部標本に関しては、放射線による甲状腺がん発がん段階で関与すると推測される遺伝子CLIP2の免疫染色を行った。CLIP2は、人では放射線誘発の甲状腺癌に関与するという報告はあるが、マウスなど動物実験での報告はまだである。今回の免疫染色の結果などは、今後症例を増やし、統計解析まで行う必要性を得られ、グループごとの遺伝子変異解析により放射線誘発甲状腺がんのバイオマーカーの探索は、発がん機構解明のための基礎的情報を得るのに一歩踏み出したことになる。,若手研究,小区分09030:子ども学および保育学関連,甲状腺がん,放射線,甲状腺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13141,四国大学短期大学部,姫田 知子,地域子育て支援事業の役割に注目した養育者向け予防的援助要請促進プログラムの開発,本研究では，地域子育て支援拠点事業の予防的役割を明確にし，養育者が必要に応じて援助を求める可能性が高まるようなペアレンティングプログラムの開発を目的とした。調査の結果，３因子29項目が得られ，地域子育て支援拠点事業への継続的な利用を促すためには，これらを意識的に取り入れることが必要であると示唆された。最終年度には，本研究の結果をもとに，支援従事者向けチェックリストを作成し，普及を図った。また，既存のペアレンティングプログラムの実施による援助要請行動の変化について検討すると同時に，実践家へのインタビュー研究により課題の整理を行い，子育て支援プログラムを開発する際の留意事項について明らかにした。,若手研究,小区分09030:子ども学および保育学関連,地域子育て支援拠点事業,子育て支援,ペアレンティングプログラム,被援助志向性,援助要請,支援者の専門性,母親,援助要請行動,専門性の向上,保育者,親支援プログラム,コミュニティアプローチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13140,就実短期大学,伊藤 優,ICTを活用した保育場面での危機予測・回避能力育成のためのKYT教材の開発,危険認知（ハザードとリスク）、安全教育、危険予測・回避、KYTなどに関する国内外の文献、資料を収集し、ヒヤリハットに関する課題や今後の対策について検討した。全国の幼稚園教員、保育士を対象とし質問紙調査を実施し、幼稚園や保育所におけるヒヤリハット状況を明示したとともに、保育者養成校の学生を対象に、危険度認知やリスクマネジメントに関する意識について明らかにした。また、ICTを活用した保育現場において必要な危険予測・回避能力育成のための危険予知トレーニング(KYT)教材を開発・実践し、その有効性を検証した。,若手研究,小区分09030:子ども学および保育学関連,危険予知トレーニング(KYT)教材,ヒヤリハット,危機予測・回避能力育成,保育者養成校,保育場面,KYT教材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13139,静岡産業大学,香村 恵介,自立歩行を開始した1-2歳児の加速度計を用いた身体活動および座位行動評価法の確立,16～35ヶ月の自立歩行が可能な幼児11人を対象に，加速度計を装着した状態で園で自由生活を送る様子をビデオカメラで撮影し，それらのデータを基に，機械学習および深層学習の手法を用いて，9つの活動タイプに分類するモデルを開発・比較した．その結果，加速度センサのデータに，ジャイロスコープのデータ，過去のウィンドウのデータ，腰だけでなく手首に装着した加速度計のデータを加えることで従来の方法よりも予測精度が向上することを明らかにした．また，Deep learningの手法を用いることで更なる精度の向上が期待できる可能性を示した．,若手研究,小区分09030:子ども学および保育学関連,幼児,身体活動,座位行動,加速度計,行動観察,活動タイプ,活動認識,機械学習,toddler,行動判別,活動パターン,歩数,妥当性,評価精度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13138,岡崎女子短期大学,丸山 笑里佳,女子大学生を対象とした、乳児に対するあやし行動の観察学習の効果検証,本研究の目的は、母親が乳児と関わる様子を観察することが乳児との関わり方を学ぶ機会となるか、観察学習の効果を実証的に、実験場面の観察から検証することである。被験者の女子大学生は、乳児とほとんど関わった経験のない学生であり、定頸している3～4か月の乳児との接触体験を5分間、2回行った。接触体験1回目と2回目の間に、母親と乳児が関わる様子を撮影した映像資料を視聴する「観察あり群」と、視聴しない「観察なし群」の2グループに分け、あやし行動および語りかけについて、両群の接触体験1回目と2回目の違いを比較することで、観察による学習効果の検討を行った。,若手研究,小区分09030:子ども学および保育学関連,あやし行動,乳児,観察学習,motherese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13137,静岡県立大学短期大学部,副島 里美,「ファシリテーション・グラフィック」を活用した保育方法と保育者の資質向上の検討,研究1年目～２年目のアンケートおよびインタビューの結果から、グラフィックファシリテーション（以下GFとする）の保育研修への活用は有効であることが示唆された。特に効果があった点は、①自己理解・自己開示、および②職場の人間関係構築へのきっかけ、である。しかしながら、年度が変わり新しい環境となると、また一からの人間関係構築となってしまう傾向もみられることから、継続した研修の必要性が必要だと考えられた。,若手研究,小区分09030:子ども学および保育学関連,保育者研修,グラフィック・ファシリテーション,人間関係,同僚性,グラフィックファシリテーション,研修会,保育者,子ども主体の保育,保育の質向上,園内研修,保育者の人間関係,非正規保育者,保育者の同僚性,保育環境,キャリアアップ,多様性,保育者の質,ファシリテーション・グラフィック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13136,金沢学院短期大学,村山 大樹,幼児教育におけるICTの活用～年齢別プログラミング体験活動プログラムの開発～,本研究では、これからの時代を生きる子どもたちとデジタルとの出会いのあり方の１つとして、「幼児期に適したプログラミング体験活動プログラム」の開発を行なった。具体的には、①幼児向けプログラミング教材に関する調査、②活動プログラムの開発、③保育現場での実践検証を行なった。,若手研究,小区分09030:子ども学および保育学関連,プログラミング教育,プログラミング的思考,幼児教育,保育,ICT活用,教育方法,遊び,あそび,学び,プログラミング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13135,川口短期大学,井上 清美,保育労働と介護労働の比較研究ーケア共通資格の検討を中心に,フィンランドのケア共通資格であるラヒホイタヤを対象に、養成課程における専門性の内容や資格取得者の職業選択、介護労働と保育労働の領域間移動について検証した。ケアの対象を限定した専門科目は少なく、養護と教育を一体的に提供する日本の保育制度とは大きく異なる。職業選択における自由度の高さや柔軟性が利点とされる一方で、実際に介護労働と保育労働を柔軟に選択できている例はほとんどなく、専門課程で保育を選択しても介護領域でケア労働に従事せざるをえない傾向があることを明らかにした。,若手研究,小区分09030:子ども学および保育学関連,ケア労働,保育労働,介護労働,ケア共通資格,ケア共通基礎資格,ラヒホイタヤ,フィンランド,保育者養成,保育者の専門性,子育て支援,一時保育,一時預かり,専門性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13134,比治山大学,濱田 祥子,ADHD行動特徴に対する保育者の原因帰属と保育実践の関連,本研究は，攻撃性や多動性などの外在化問題への保育者による対応が，外在化問題に対する評価，背景要因の推定及び保育方法とどのように関連するのかを定量的に検討した。まず，自由記述データの概念的整理に基づく保育者用の項目を作成した。作成した項目を用いた質問紙調査の結果，外在化問題の背景要因に保育を推定することは多様な対応と関連し，子どもや家庭に関する要因を推定することは不適切な対応と関連することが分かった。また，まとまりが高い保育は外在化問題に対する負担感があり，不適切な対応と関連した。一方，個別性が高い保育は対応が可能であると考え，不適切な対応を除く全ての対応と関連することが明らかとなった。,若手研究,小区分09030:子ども学および保育学関連,保育,外在化問題,評価,帰属,生物心理社会モデル,保育者,原因帰属,気になる子ども,省察,ADHD行動特徴,ADHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
