awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13254,独立行政法人高齢・障害・求職者雇用支援機構職業能力開発総合大学校(能力開発院、基盤整備センター),遠藤 雅樹,ビッグデータ利活用技術習得に向けた公共職業訓練カリキュラムモデル構築に関する研究,本研究では、ものづくり現場の実践技術者を対象としたビッグデータ利活用技術者の人材育成を行うカリキュラムモデルを開発し、公共職業訓練に展開した。特に第四次産業革命に対応するために必要な要素技術を習得可能な職業訓練指導員向けのカリキュラムを構築し、実際に職業訓練指導員研修を実施した。職業訓練指導員に対する研修カリキュラムの構築により、今後のリカレント教育等で重要な役割を果たす公共職業訓練現場で指導を行う人材育成を可能とした。,若手研究,小区分09070:教育工学関連,公共職業訓練,技能科学,ビッグデータ利活用,第四次産業革命,ビッグデータ利活用技術,職業訓練,カリキュラムモデル,クラウドコンピューティング,ラーニング・ファクトリー,時系列分析,ビッグデータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13253,大島商船高等専門学校,久保田 崇,若手航海者のための避航行動指標の開発,本研究では、航海者の避航行動に関する評価指標の構築を目指し、認知実験を行った。実験より得られた行動データから航海者の避航時の行動過程や情報共有に関するコミュニケーションモデルを提案した。次に航海者の主観的な衝突の危険評価を定量化するために、接近する他船に対して航海者が感じる主観的衝突の危険評価を、TCPAを変数とするシグモイド関数で近似式し、他の船舶を視覚情報に基づいて瞬時に判断する主観的な衝突の危険度を、DCPAを変数とする新たな指標である総合的な主観的衝突のおそれ(SYSROC)を示し、船型別のSYSROCの差異を示した。そして最後にSYSROCを用いた教示法と評価法を示した。,若手研究,小区分09070:教育工学関連,操船シミュレータ,衝突のおそれ,避航,避航行動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13252,八戸工業高等専門学校,細川 靖,直感的ウェアラブルシステムによる海女のウニ漁動作技術伝承,本研究の目的は，代表者がこれまで試作してきた海女仮想体験学習システムを発展させ，他の海女を見て直感的に学ぶことができる技術伝承のウェアラブルシステム試作のため，海中にて海女のウニ漁の潜水採取のモーションキャプチャを実施することと，そのデータを基に現実感向上を行い仮想空間内で海女動作を可視化し，動作学習可能とすることである。本研究課題では，（1）久慈市小袖海岸において海女の潜水動作マルチアングル海中撮影を行って採取動作のモーションキャプチャを実施した。（2）小袖海岸海中３次元計測と高精細海底３次元データ生成してUnity上で動作させた。（3）海女の動作学習ウェアラブルシステムの試作を行った。,若手研究,小区分09070:教育工学関連,北限の海女技術伝承,計測システム,潜水可視化,直感的学習システム,バーチャルリアリティ,技術教育,モーションキャプチャ,ヒューマンインタフェース・インタラクション,仮想現実,ウェアラブル,直感的,伝統技術伝承,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13251,函館工業高等専門学校,圓山 由子,地域に根差した脳波セルフコントロールによる集中力向上支援システムの開発,"本研究ではバイオフィードバックによる脳波セルフコントロールの原理を応用した低コスト集中力向上支援システムの開発を提案した。研究開始当初はガンマ波及びアルファ波帯域の振幅及びコントロール精度の比較を行った。その結果、集中力を向上させたいという意欲が高い被験者はトレーニング効果が高く、有意差も認められた(Kruskal Wallis test, P<0.01)。最終年度では被験者の意欲を上げる研究を中心に行った。2022年度はスマートホンが与える影響についての研究を行い、成績にかかわらずスマートホン操作が思考力と集中力を阻害することが分かった（2023年8月第46回日本神経科学大会で発表）。",若手研究,小区分09070:教育工学関連,脳波,バイオフィードバック,集中力,意欲,実行機能,集中力向上支援,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13250,久留米大学,石井 隆大,ICTを活用した小児睡眠障害への予防介入・認知行動療法の開発,子どもの睡眠習慣質問票日本語版について、日本での標準化を完了し電子媒体での評価システムを構築した。睡眠時間に着目した認知行動療法の技法を教育資材として、webを利用したアプリケーションとしてサーバ側のバックエンドシステムと端末側のフロントエンドシステムを構築し完成させた。検証課題であった紙媒体と比較した即時性や費用について、費用と時間の優位性を認めた。,若手研究,小区分09070:教育工学関連,小児,睡眠障害,認知行動療法,CSHQ-J,ICT,小児保健,スクリーニング,睡眠,小児睡眠障害,CSHQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13249,常葉大学,小貫 睦巳,あんまマッサージ指圧師の指圧技能修得のための学習支援システムの構築,鍼灸師や理学療法士の専門教育課程修得において指圧手技を学ぶ上で指圧の教授方法や指圧実技の客観化は重要な課題である。本研究ではこの指圧技能修得のために、布状の圧力センサーを活用し圧力測定を行い、また視覚障がい者向けに音声を活用した圧の強弱の表示までを可能として指圧技能の修得に客観性を持たせるシステムを構築する。,若手研究,小区分09070:教育工学関連,指圧技能習得,圧センサー,シミュレーター,学習支援,シミュレータ,指圧技能修得,スマートラバーセンサ,見える化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13248,金沢学院大学,吉田 一誠,地域文化の理解深化と発信を目的とした先端技術表現コンテンツ制作カリキュラムの構築,近年のインバウンド・地域創生を見据えた日本文化の海外発信、国内外への地域文化発信が盛んになる一方で、それを支える地域人材が不足しており、地方でデジタルメディア分野を学ぶ若者らの地域文化への興味付けの難しさ、理解不足を解決するための「地域の学び」「地域での学び」に強くリンクさせたデジタルコンテンツ制作カリキュラムが求められいる。本研究は、「発信するために、知る・学ぶ」を軸に、石川県で芸術を学ぶ大学生を対象にフィールドワークを伴う創作プログラムを実施し、そのプロセスおよび成果を基盤とし、専門的先端技術表現学修の中での発信コンテンツ制作型地域教育カリキュラムの構築を目指す。,若手研究,小区分09070:教育工学関連,先端技術表現,没入型視覚化環境,XR,3DCG,フォトグラメトリ,映像,地域表現,プロジェクション,ドローン活用,地域,表現,メディアアート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13247,新潟医療福祉大学,谷 賢太朗,視覚障がい者を対象とした心肺蘇生法支援及び教育を行うWebアプリ開発,心肺蘇生法を含む一次救命処置は心肺停止患者の予後に大きく寄与する重要な処置といえる。一次救命処置を支援するアプリケーションは既に存在するが、視覚障がい者向けのものはほとんどない。本研究では、視覚障がい者向けの一次救命処理を支援するアプリケーションの開発を試みた。本研究で開発したアプリケーションを用いた実験では、傷病者の発見から胸部圧迫の開始までの手順を2分以内で行えることを確認した。しかし、被験者の胸部圧迫の深さを測定したところ、不十分な場合が多いことが分かった。この結果から開発したアプリケーションの胸部圧迫深度のトレーニングの関してはまだ課題があると考えられる。,若手研究,小区分09070:教育工学関連,視覚障がい者,一次救命処置,胸部圧迫,アプリケーション,スマートフォン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13246,サイバー大学,米山 あかね,eラーニング専門家育成のための拡張型ティーチング・ポートフォリオの開発,本研究の目的は、eラーニングを提供する組織を強化するために、eラーニング専門家全体のためのティーチング・ポートフォリオ（以下TP）を拡張したシステムを構築し、その効果を検証することであった。拡張版TPの一環として、学修データを収集・分析し、授業への振り返りを促す「内省支援ツール」のプロトタイプを開発し、フルオンライン大学に勤める教職員による評価を行った。評価結果を受けて「内省支援ツール」を開発し、教員による実データを使用した試行を行った。その結果、TP本格導入に向けた成果として、各種学修データの基準値やガイドラインの整備と、「内省支援ツール」使用後のピアレビューの必要性が確認された。,若手研究,小区分09070:教育工学関連,ティーチング・ポートフォリオ,授業改善,遠隔教育・学習,高等教育,システム開発,eラーニング,eポートフォリオ,FD,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13245,明星大学,今野 貴之,国際教育協力における授業アーカイブを活用した授業研究継承モデルの開発,本研究の目的は、国際教育協力のモデルのひとつとして、毎回の授業改善における教師の知見を映像や写真をもちいて記録する授業アーカイブを活用した授業研究を途上国（地域）の学校に導入し、教育方法・技術が教師に継承される授業研究モデルを開発することである。,若手研究,小区分09070:教育工学関連,教育工学,授業研究,教師教育,授業アーカイブ,国際教育協力,インド,SDGs,活動理論,教育開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
