awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13401,国立研究開発法人理化学研究所,石川 勲,p進幾何的手法を用いた捻れ3重積L関数とそのSelmer群の研究,本研究では、GL_2上のAsai表現に関する局所因子のGalois側と保型側の一致性を再考し、Asai表現に付随する局所因子についてGL_2の場合に明示計算を行い、保型側とGalois側の一致を証明し、その成果を学術誌に投稿し、受理された。これを一般のGL_nに関する一般化を試みた。,若手研究,小区分11010:代数学関連,捻れ三重積p進L関数,保形表現,p進L関数,捻れ3重積,L関数の特殊値,保型表現,岩澤理論,数論幾何学,保型形式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13400,国立研究開発法人理化学研究所,スリアジャヤ アデイルマ,リーマンゼータ関数およびその導関数の零点と離散的な値の分布,リーマンゼータ関数の零点の分布は素数の分布を描写することで、整数論分野の重要な研究対象の一つである。課題の交付期間内に、リーマンゼータ関数の零点だけではなく、値の分布、導関数の零点の分布、一般のゼータ関数とL関数の値の分布を考察した。また数論的問題との関係で、ゴールドバッハ問題と小区間における素数の分布との関係も明らかにした。それだけではなく、ランダム行列論に関係する零点分布の問題や、一般化されたオイラーのφ関数や離散的な半群の値の差の負冪の和との関係も明らかにした。,若手研究,小区分11010:代数学関連,ゼータ関数,零点,値分布,L関数,素数定理,ゴールドバッハ表現,例外的零点,数論的関数,リーマンゼータ関数,零点の対相関,単純零点の割合,代替予想,ゴールドバッハ平均,実軸に近い零点,ゴールドバッハ問題,ディリクレL関数,セルバーグクラス,関数等式,素数,Hardy-Littlewoodの特異級数,平均,a-点,分布,臨界領域,導関数,零点個数の誤差項,ローラン係数,離散的半群,フルヴィッツゼータ関数,スティルチェス定数,Schemmel関数,平均値,零点の分布,値の分布,,,,,,,,,,,,,,,,,,,,,,
18K13399,呉工業高等専門学校,平松 直哉,表現スキームによるコーエン・マコーレー加群圏の構造解析,本課題では極大コーエン・マコーレー（MCM）加群に対し、表現論的な観点から考察を行った。MCM加群の同型類のなす集合に対して、加群の退化の関係による位相構造を定義し、その位相による既約閉集合の分類を行った。次数付きMCM加群における表現スキームの考察を行い、次数付きMCM加群の同型類は階数を固定したとき、高々有限個しか存在しないことを示した。またMCM安定加群圏の有限生成関手圏のクルル-ガブリエル次元の計算を行った。基礎環が有限CM表現型のときのクルル-ガブリエル次元は0、任意次元のA加算表現型超曲面環上のMCM加群圏の関手圏のクルル・ガブリエル次元は2であることを示した。,若手研究,小区分11010:代数学関連,Cohen-Macaulay加群,表現型,module variety,関手圏,極大Cohen-Macaulay加群,加算表現型,退化,加算CM表現型,Krull-Gabriel次元,極大コーエン・マコーレー加群,次数付き極大コーエン・マコーレー加群,コーエン・マコーレー加群,表現スキーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13398,福岡工業大学,三柴 善範,関数体上の多重ゼータ値から見た無限素点と有限素点の関係,正標数の関数体上の無限進多重ゼータ値やv進多重ゼータ値(vは関数体の有限素点)の研究を行った．具体的には，無限進多重ゼータ値が満たす代数的な関係式は，対応するv進多重ゼータ値も満たすことを証明した(Chieh-Yu Chang氏とYen-Tsung Chen氏との共同研究)．また，その証明で重要となるt加群の構造を詳しく調べた(Chang氏とNathan Green氏との共同研究)．さらに，無限進多重ゼータ値が張る空間の基底を決定した(Chang氏とChen氏との共同研究)．,若手研究,小区分11010:代数学関連,多重ゼータ値,関数体,周期,t加群,tモチーフ,線型独立性,Carlitz多重ポリログ,正標数,数論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13397,東京理科大学,板場 綾子,コシュールAS-regular 代数の非可換代数幾何学的および表現論的考察,"非可換代数幾何学において，当初Artin-Schelterは3次元AS正則環の分類を試み, regular potentialの部分的なリストを与えた。また，Mori-Smithは3次元コシュールAS正則環Aとregular twisted superpotential の間に一対一対応が存在することを示した。本研究では，松野仁樹氏との共同研究によって，楕円曲線を除く場合の任意の3次元コシュールAS正則環に対して，regular twisted superpotentialおよび，Calabi-Yau superpotentialのリストを与えることができた。",若手研究,小区分11010:代数学関連,コシュール,AS正則環,Calabi-Yau 多元環,射影空間,フロべニウス多元環,次数付き森田同値,AS 正則環,コシュール多元環,非可換射影スキーム,Beilinson 多元環,AR クイバー,ホッホシルトコホモロジー,幾何的代数,Koszul 多元環,非可換代数幾何学,多元環の表現論,コシュール AS-regular 代数,フロベニウス多元環,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13396,東京工業大学,プルカイト ソーマ,Newform theory for the full space via local Shimura correspondence and Waldspurger-type theorem,"In a joint research with Moshe Baruch and Markos Karameris, we describe the subalgebra H of the metaplectic G:=\tilde{SL}_2(Q_p) of level p^n (with trivial and quadratic character) that is supported in the maximal compact K using generators and relations, in particular we show that it is a commutative 2n dimensional algebra and give a complex basis of eigenvectors under the left action of H on I(n) where the later is the induced representation from K_0(p^n) to K. In particular we obtain two level p^n new vectors with determined eigenaction. We consider principal series representations of G (induced from Borel of suitable characters of conductor p^n) and describe the 2-dimensional local newforms in these representations under the action of H.",若手研究,小区分11010:代数学関連,Local Hecke algebra,Local Newforms,Shimura correspondence,Whittaker functions,Iwahori Hecke algebra,mod p representation,Hecke algebra,Congruent numbers,Automorphic,Representation,Automorphic forms,Half-integral weight,Newforms,Waldspurger's formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13395,東京電機大学,原 隆,岩澤理論に於ける非可換数論的現象の探求,(1) CM体に対する p 進アルティン L 関数の構成 (東京工業大学 落合 理教授との共同研究)，(2) GL(n) × GL(n-1) のランキン-セルバーグ L 関数の臨界値の一様 p 進整性 (北里大学 宮﨑 直准教授，東京電機大学 並川 健一准教授との共同研究)，(3) 一般線形群のホイッタッカー周期のモチーフ論的解釈 (東京電機大学 並川 健一准教授との共同研究) の3つの課題を中心に研究を実施した．(1)，(2) は論文の完成に向けての最終調整段階に入っており，論文の完成を急ぎたい．(3) に関しては既に論文が完成し，投稿済みである．,若手研究,小区分11010:代数学関連,L 関数の特殊値,Deligne の臨界値予想,p 進 L 関数,CM体,アルティン L 関数,Rankin-Selberg L-関数,Whittaker 周期,多変数岩澤理論,ホイッタッカー周期,Gel'fand-Tsetlin 基底,局所 ε 因子,Davenport-Hasse の関係式,Rankin-Selberg  L 関数,局所系の整構造,p 進アルティン L 関数,CM 体,臨界値の一様整性,特性イデアルの特殊化,Brauer 誘導定理,保型 L 関数の臨界値,ランキン-セルバーグ畳み込み積,高次指標多様体,Bruhat-Tits の建物,非可換岩澤理論,p進L関数,Rankin-Selberg L関数,局所ε因子,Eichler-志村写像,虚数乗法,同変岩澤主予想,非可換Fitting不変量,非可換Rubin-Stark元,先頭項予想,多変数岩澤主予想,セルマー群,Fitting不変量,代数的K理論,,,,,,,,,,,,,,,,,,,
18K13394,獨協医科大学,小笠原 健,標数0および正標数における重さ1のモジュラー形式の明示的計算とその応用,"有限体上の場合を含む素数レベルの重さ1のモジュラー形式を高速に計算する方法を確立し、その応用として、ただ1つの素数でのみ分岐するPGL(2,7)拡大の新しい例を発見した。 また、本研究より以前に重さ1のモジュラー形式の効果的なアルゴリズムを考案していた G. J. Schaeffer と共同で、素数281でのみ分岐、かつ分岐指数が8であるPGL(2,7)拡大を発見した。モジュラー形式の計算をすることなく、このような代数体を発見することは非常に困難なものと思われる。",若手研究,小区分11010:代数学関連,法pモジュラー形式,重さ1のモジュラー形式,ガロア群,代数体,ガロア表現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13393,愛知県立大学,田坂 浩二,多重ゼータ値，多重アイゼンシュタイン級数に付随するリー代数の研究と次元予想の展望,実数である多重ゼータ値と複素関数である楕円モジュラー形式について，両者の関係性を示唆するBroardhurst-Kreimer予想(1997)を中心的な課題とする研究を行なった。本研究の一つの成果として，2重ゼータ値とモジュラー形式の明示対応である「モジュラー関係式」に対する解析的な解釈を与えた結果がある。モジュラー関係式はGangl-Kaneko-Zagier (2006)らにより発見され，その意味を巡って様々な研究が発展している。,若手研究,小区分11010:代数学関連,多重ゼータ値,モジュラー形式,多重モジュラー値,多重Eisenstein級数,複シャッフルリー代数,Broadhurst-Kreimer予想,モチビックLie代数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13392,九州大学,広瀬 稔,射影直線上の反復積分の研究,多重ゼータ値をはじめとした射影直線上の反復積分は、周期と呼ばれる数のクラスの最も基本的な場合の一つであり、非常に美しい構造を持ちながらも、未だに未知な部分が多く、大変興味深い対象である。その中心的な研究テーマの一つは、それらが満たす代数的な等式である。本研究では、この射影直線上の反復積分に焦点を当てて研究を行い、対称多重ゼータ値の様々な関係式や、正規化多重ゼータ値の関係式、大野和の間の、今まで知られていなかった新たな関係式など、様々な研究成果を得た。,若手研究,小区分11010:代数学関連,多重ゼータ値,反復積分,モジュラー形式,多重ゼータ,大野関係式,整数論,多重ゼータ関数,多重L値,射影空間,混合テイトモチーフの周期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
