awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13420,東京電機大学,梶ヶ谷 徹,対称性を持つ部分多様体の安定性解析,体積汎関数やエネルギー汎関数の臨界点として現れる極小部分多様体や調和写像は、部分多様体の微分幾何学において中心的な研究対象である。本研究では、そのような臨界点のうち、対称性の高いものについて、安定性を解析することを目的として、研究を行った。結果として、新しい計算手法の実装や、その中で用いられた鍵となる事実の一般化、および離散的な対象への拡張など、様々な方向性に研究が発展し、多くの成果を得る事ができた。,若手研究,小区分11020:幾何学関連,ハミルトン安定性,ラグランジュ部分多様体,エルミート対称空間,離散調和写像,重み付き有限グラフ,双曲曲面,ケーラーC空間,コンパクト対称空間,安定性,ラグランジュ平均曲率流,ラグランジュself-shrinker,ハミルトンF-安定性,Kahler C-space,コンパクトリーマン対称空間,極作用,双対性,コンパクト型エルミート対称空間,全測地的複素部分多様体,実形,非コンパクト型エルミート対称空間,同変埋め込み,全測地的部分多様体,複素双曲空間,双曲閉曲面,極小部分多様体,等質部分多様体,ケーラー多様体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13419,沖縄科学技術大学院大学,KHANDHAWIT TIRAS,,One of the major research achievements is rigorous construction of relative Bauer-Furuta invariants and proof of the gluing theorem. The theorem generalizes to larger classes of manifolds. There are some direct application to compute Bauer-Furuta invariant of a 4-manifold after doing surgery as well as to find a condition for having embedded 2-sphere in term of Bauer-Furuta invariant.,若手研究,小区分11020:幾何学関連,Seiberg-Witten theory,Low-dimensional topology,Stable homotopy theory,低次元トポロジー,ゲージ理論,Seiberg-Witten Theory,Stable homotopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13418,中京大学,加藤 直樹,典型的アファイン葉層構造の構成法の研究,アファイン葉層構造の構成法について，代数的及び幾何学的アプローチを行い，いくつかの構成法を定式化した．代数的アプローチについては，左不変アファイン葉層構造に付随する代数構造を明らかにし，アファイン葉層構造の完備性と代数構造の関係性を明らかにした．幾何学的アプローチについては，4次元閉多様体上の余次元2アファイン葉層構造のturbulize可能性について考察し，アファイン葉層構造としてturbulizeできるための十分条件を求めた．また，特別な状況の下ではこの十分条件が必要十分条件になるということを示した．,若手研究,小区分11020:幾何学関連,葉層構造,アファイン構造,左対称代数,Turbulization,アファイン葉層構造,turbulization,double extension,シンプレクティック構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13417,東京理科大学,只野 誉,Ricci フロー及び Ricci ソリトンの一般化の研究,Riemann 幾何学における重要な問題の一つは曲率が Riemann 多様体に及ぼす位相的・幾何学的性質を解き明かすことである。本研究では Ricci 曲率の一般化である m-Bakry-Emery Ricci 曲率に焦点を当て、m-Bakry-Emery Ricci 曲率を備えた Riemann 多様体の位相的・幾何学的性質を調べた。特に、古典的な S.B. Myers の定理とその一般化を m-Bakry-Emery Ricci 曲率の場合へ拡張した。また、関連する諸問題についての結果も幾つか得た。,若手研究,小区分11020:幾何学関連,Ricci 曲率,Myers の定理,Ricci フロー,Ricci ソリトン,Bakry-Emery Ricci 曲率,変形 Bakry-Emery Ricci 曲率,佐々木多様体,Hitchin-Thorpe 不等式,m-Bakry-Emery Ricci 曲率,Bochner-Weitzenbock 公式,Laplacian 比較定理,Riccati 不等式,Witten ラプラシアン,直径評価,スカラー曲率,平均曲率流,佐々木-Ricci ソリトン,佐々木-Einstein 多様体,佐々木-Ricci フロー,K-接触多様体,Riemann 葉層,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13416,東京理科大学,田神 慶士,三次元多様体のオープンブック分解からみた結び目の負値性,三次元の図形（多様体）に埋め込まれたいくつかの円周を絡み目という。特に円周が一つのとき結び目という。向きづけられたどのようなコンパクト３次元多様体も適切に絡み目をその多様体から除くことで、円周上の曲面束の構造（円周の各点の上に曲面が乗っているような構造）を持つ。その曲面束において、あるファイバーを一つ固定しその境界にバンドを取り付けると新しい曲面が得られる。,若手研究,小区分11020:幾何学関連,絡み目,接触幾何学,フラットプラミングバスケット,接触構造,結び目,ホップ不変量,ゼロトレース,３次元多様体,オープンブック分解,正結び目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13415,東京理科大学,山本 光,変形エルミート・ヤン・ミルズ接続と線束平均曲率流の基本的な性質の解明,変形エルミート・ヤン・ミルズ接続の変形には障害はなく，モジュライ空間は（高次元の）トーラスになることが分かった．また，変形ドナルドソン・トーマス接続という新しい対象も研究した．こちらは変形エルミート・ヤン・ミルズ接続とは異なり変形に障害があることが分かった．研究の過程で，Spin(7)多様体上での変形ドナルドソン・トーマス接続の定義をより良いものに修正した．実フーリエ向井変換を利用して，線束のエルミート接続のなす空間に「体積」という概念を導入し，体積汎関数の勾配流や臨界点の解析を行なった．,若手研究,小区分11020:幾何学関連,変形エルミート・ヤン・ミルズ接続,変形ドナルドソン・トーマス接続,特殊ラグランジュ部分多様体,特殊ホロノミー,モジュライ空間,変形理論,ミラー対称性,フーリエ向井変換,実フーリエ向井変換,変形エルミートヤンミルズ接続,線束平均曲率流,単調性公式,イプシロン正則性定理,自己縮小解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13414,筑波大学,蓮井 翔,擬トーリック多様体の分類に関する研究,本研究は擬トーリック多様体の分類に関するものである。研究計画において打ち出した「底多面体の切断に着目して非同変な同相を構成する」というアイデアに基づいて足掛かり的な成果を得ており、これを用いることで過去の研究成果について別の方面からも裏付けを与えることができた。,若手研究,小区分11020:幾何学関連,擬トーリック多様体,トーリックトポロジー,代数的位相幾何学,擬トーリック多様体の分類,トポロジー,ホモトピー論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13413,大阪府立大学,阿部 拓,ヘッセンバーグ多様体の族と可積分系,本研究課題では，ヘッセンバーグ多様体と可積分系の関係の研究を軸に，ヘッセンバーグ多様体の幾何学的な性質の研究を行った．大きな成果の一つとして，特別なヘッセンバーグ空間から定まるヘッセンバーグ多様体の成す族の上に完全可積分系を構成したことが挙げられる．他にも，正則半単純なヘッセンバーグ多様体が（弱）Fano多様体になるための必要十分条件を決定したことや，Peterson多様体の整数係数コホモロジー環の環構造の決定，Peterson-Schubert calculusの幾何学的な解釈を与えたこと，正則冪零なヘッセンバーグ多様体が正規代数多様体になるための必要十分条件を決定したことなどが挙げられる．,若手研究,小区分11020:幾何学関連,旗多様体,ヘッセンバーグ多様体,Peterson多様体,完全可積分系,弱Fano多様体,コホモロジー環,特異点,正規性,基本関係式,Schubert多様体,基底,正値性,Hessenberg多様体,Fano多様体,Mishchenko-Fomenko多項式,戸田格子,可積分系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13412,熊本大学,北別府 悠,曲率次元条件を満たす測度距離空間の研究とそのリーマン幾何への応用,"RCD 空間上ではかなり一般的な解析ができることが知られている. そこで使われている手法は空間の滑らかさに依存しない適用範囲の広いものであって, 崩壊した多様体などにも応用できる. 本研究ではこれらの手法を用いてリーマン幾何と測度距離空間の幾何の双方に関係する領域についての結果をいくつか得た.",若手研究,小区分11020:幾何学関連,熱流,RCD 空間,曲率次元条件,非線形ラプラシアン,最大直径定理,Gromov-Hausdorff 収束,Ricci 曲率,リーマン的曲率次元条件,Wasserstein 距離,Symplectic toric 多様体,リーマン幾何学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13411,明治大学,古賀 勇,リーマン球面からグラスマン多様体への正則等長写像の研究,複素射影直線から階数2の複素グラスマン多様体へのSU非同変な正則写像の構成に困難があったため，同変性やその他条件を加えた場合の調和写像のモジュライの構成理論について考察を行い，以下の結果を得た．,若手研究,小区分11020:幾何学関連,調和写像,ゲージ理論,モジュライ,同変写像,複素グラスマン多様体,四元数射影空間,3次元球面,同変調和写像,同変正則写像,表現論,ベクトル束,正則写像,部分多様体,正則ベクトル束,調和解析,正則等長写像,等質ベクトル束,グラスマン多様体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
