awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13475,国立研究開発法人理化学研究所,桑原 知剛,テンソルネットワーク形式を用いた量子多体問題の計算複雑性解析,量子多体系のシミュレーションの計算複雑性を明らかにする分野はハミルトニアン複雑性と呼ばれている。本研究では一貫してハミルトニアン複雑性における未解決問題の解決に取り組んできた。これまでの期間で、固有状態熱化仮説(ETH)、エンタングルメントの境界則、長距離相互作用する系のLieb-Robinson限界、相互作用するボソン系におけるLieb-Robinson限界、熱平衡系におけるエンタングルメントに関する新しい境界則、ハミルトニアン学習のサンプル複雑性の解決、などの研究成果をはじめとして、主要な国際会議に多数、また物理学のトップジャーナルに10本(うち9本は主要著者)として採択されている。,若手研究,小区分13010:数理物理および物性基礎関連,ハミルトニアン複雑性,量子もつれ,長距離相互作用系,量子コンピュータ,リープ・ロビンソン限界,境界則,テンソルネットワーク,熱平衡状態,有限温度,クラスタリング定理,長距離量子もつれ,量子多体系,情報,エンタングルメント,計算複雑性,基底状態,密度行列繰り込み群法,Area law conjecture,情報理論,量子情報,トポロジカル秩序,量子シミュレーション,量子ギブスサンプリング,エントロピー,多体問題,縮約アルゴリズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13474,国立研究開発法人物質・材料研究機構,山下 智樹,機械学習が拓く高効率結晶構造探索手法の開発,結晶構造探索手法におけるアルゴリズムとして、新たに提案した選択型アルゴリズムであるベイズ最適化および近年広く利用されている進化的アルゴリズムのコード開発を行い、結晶構造探索ツール、CrySPYとして公開した(https://github.com/Tomoki-YAMASHITA/CrySPY)。広くユーザーに利用してもらえるようにCrySPYは無料で入手可能なPythonで設計し、オープンソースソフトウェアとした。また、ドキュメントおよびチュートリアルサイトも作成しウェブ上に公開した。,若手研究,小区分13010:数理物理および物性基礎関連,結晶構造探索,機械学習,第一原理計算,ベイズ最適化,進化的アルゴリズム,ランダムサーチ,マテリアルズインフォマティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13473,茨城大学,水高 将吾,次数相関を有するネットワークの頑健性とその最適構造の解明,"本研究では、頑健な（脆弱な）ネットワーク構造と次数相関の関係を明らかにするため、次の研究を行なった。1. (u, v)-フラワーと呼ばれるモデルネットワーク上のボンドパーコレーションを解析的に取り扱い、転移点のモデルパラメータ依存性を調べることで、ネットワーク頑強性と長距離構造の関係を明らかにした。2. (u, v)-フラワーと同等の隣接次数相関をもつネットワーク上のパーコレーションを母関数法を用いて解析し、臨界特性を調べた。その結果新奇な臨界特性を確認した。3. パーコレーション過程によって発現する次数相関を解析した。",若手研究,小区分13010:数理物理および物性基礎関連,複雑ネットワーク,ネットワーク科学,パーコレーション,相転移,臨界現象,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13472,津山工業高等専門学校,島田 悠彦,パーコレーション・乱流の平衡／非平衡相転移：共形場理論からのアプローチ,気体や液体の振舞いのように無数の分子が相互作用して創発する現象は一般に非常に複雑である。しかし相転移点に注目すると、共形場理論(CFT)という数学的枠組みからしばしば臨界指数等の正確な情報をひきだせることは理論物理の大きな成果であった。本研究では、乱流遷移やパーコレーションといった非平衡や非ユニタリという特徴をもつ相転移点に、CFTの枠組みの適用するための基礎的研究を行った。特に、乱流の実験データ解析における有限時間スケーリングや、時間と空間の対称性が崩れた非相対論的CFTにおける４点関数、W代数の対称性をもつ非ユニタリ１径数族模型における基本場の同定等、手がかりになる結果を得ることができた。,若手研究,小区分13010:数理物理および物性基礎関連,有向パーコレーション,層流・乱流転移,動的臨界指数,時空異方的スケール不変性,有限時間スケーリング,非相対論的共形場理論,臨界レイノルズ数,W代数,乱流遷移,保型関数,3次元共形場理論 (CFT),パーコレーション,非ユニタリ共形場理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13471,苫小牧工業高等専門学校,有馬 隆司,実在気体・液体中の非平衡現象に対する拡張された熱力学の展開,局所的熱平衡の仮定を超えて実在気体・液体中の非平衡現象を理解することを目的に、拡張された熱力学(RET)に基づく理論の構築とその超音波伝播解析への応用を行った。主に次の成果を得た。,若手研究,小区分13010:数理物理および物性基礎関連,流体物理,非平衡流れ,拡張された熱力学,多原子分子実在気体,分子内部自由度緩和,特性速度,分散関係,実在気体,多原子分子気体,相対論的流体力学,体積粘性率,非平衡熱力学,モーメント方程式,非平衡圧力,van der Waals気体,非平衡温度,流体,波動,相転移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13470,大阪大学,越智 正之,多体相関波動関数を用いた信頼性の高い第一原理電子状態計算手法の開発,固体の電子状態は複雑な相互作用の結果として生まれるものであり、その理論解析は多くの精度上の困難を伴う。本研究では、そのような精度上の問題の解決を目指し、多体波動関数（多くの電子の情報を含む関数）を用いた理論計算手法の開発を進めた。特に、本研究ではトランスコリレイティッド法とよばれる手法を開発した。単原子系の数値計算コードを開発し、それを第一原理量子モンテカルロ法とよばれる高精度計算手法のコードと組み合わせた。そうすることで、多体波動関数の最適化を効率的に実現した。また複数の最適化手法の間での安定性や精度の比較を行い、より広範な適用へ向け重要な知見を得ることができた。,若手研究,小区分13010:数理物理および物性基礎関連,第一原理計算,方法論開発,波動関数理論,電子相関効果,数値計算,強相関電子系,手法開発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13469,東京大学,佐々木 寿彦,装置不完全性を考慮した量子鍵配送理論,本研究課題では、なるべく性能を犠牲にせずに量子鍵配送の装置モデルをより現実に即するよう拡張し、実験によって確認できるデータを用いて安全性を保証することを目的として研究した。量子鍵配送の装置モデルを拡張する研究は様々あるが、多くのものは解析が簡単になる実験時間が無限の場合の漸近的性能を扱っている。この課題では、実験時間が有限の場合の解析を行ったのが特徴的である。,若手研究,小区分13010:数理物理および物性基礎関連,量子情報理論,量子鍵配送,量子暗号,装置不完全性,量子情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13468,東京大学,李 宰河,量子化・擬確率の随伴理論に基づく量子現象の解析,本研究課題においては、非古典論（量子論）の最も顕著な特徴の一つとして知られる不確定性原理について、その普遍的定式化の構築に成功し、これが標準的な Kennard-Robertson の関係をはじめ、より最近の小澤の関係など、従来の代表的な定式化の幾つかをその特別な場合の系として包含する結果であることが示されました。また、量子論の定める精度限界に迫る精密測定技術に関し、技術的な不確かさの存在下で測定精度の向上に寄与するとされる条件付けの技法（通称：弱測定）について、その有効性評価のために過去に提示した理論的枠組に立脚し、その代表的な応用例の有意性を確認することで、当技法の有用性を実証しました。,若手研究,小区分13010:数理物理および物性基礎関連,量子基礎論,量子測定,不確定性関係,弱値,弱測定,精密測定,誤差,擾乱,量子情報,量子古典対応,擬確率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13467,東京大学,添田 彬仁,開放量子系としての量子計算機モデルと、それに基づく量子アルゴリズム,量子計算機を、外部から操作可能な量子系と見なす場合、元から存在するダイナミクスを目的とする時間発展に変更する必要が生じる。また、元のダイナミクスにたいして完全なる知識を所持しない状況でダイナミクスを変更する場合や、ダイナミクスごとに操作方法を変更するコストを削減したい場合に存在する課題を解決する必要があるが、我々の研究成果はそのような状況下において、変更対象となる元のダイナミクスがユニタリ時間発展として見做せる場合（多くの量子計算機に応用が検討されている量子系においては妥当な仮定である）において、元のダイナミクスを複数回利用するという新しい観点より量子アルゴリズムを研究した。,若手研究,小区分13010:数理物理および物性基礎関連,量子情報,量子情報（理論）,量子アルゴリズム,量子計算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13466,東京大学,白井 達彦,非平衡定常状態の典型的な状態を用いた解析手法の構築,散逸環境と接した開放量子系のマクロな性質について調査した．一つには開放量子系が十分長く時間が経った後に到達する非平衡定常状態の性質を，これまで孤立量子系の解析に用いられてきた固有状態熱化仮説を用いることによって明らかにした．また，開放量子系における緩和ダイナミクスについて，緩和時間を決定する理論や過渡過程を記述するための理論を構築し，その一般的な性質を明らかにした．,若手研究,小区分13010:数理物理および物性基礎関連,量子開放系,非平衡定常状態,緩和ダイナミクス,量子相転移,量子アニーリング,量子相転移現象,輸送現象,固有状態熱化仮説,散逸エンジニアリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13465,東京大学,松井 千尋,非エルミート保存量を用いた可積分系スピン鎖のダイナミクスの解明,本研究では量子可積分性が非平衡状態にある系の物理的振る舞いに与える影響を調べることを目的とし，次の成果を得た． (1) 異方的ハイゼンベルグスピン鎖に対し，準局所的かつスピン反転非対称な保存量を構成した．(2) 非平衡定常状態にある異方的ハイゼンベルグスピン鎖の振る舞いが，(1)で構成した保存量のうち線型独立なもので特徴づけられることを示した．(4) 異方的ハイゼンベルグスピン鎖の両端に散逸の付いた開放系について，定常状態におけるカレントの振舞いに可積分性がどのように影響するか調べた．特に，バルクに局所不純物のある場合，可解な定常状態におけるスピンカレントが不純物の影響を受けないことを示した．,若手研究,小区分13010:数理物理および物性基礎関連,統計力学,量子可積分系,量子スピン系,可積分スピン鎖,準局所保存量,可解解放量子系,弾道的カレント,育児休業のため研究中断,熱化,保存量,一般化ギブス集団,スピン反転非対称な保存量,可積分XXZスピン鎖,一般化されたギブス集団,弾道的スピン流,非エルミート保存量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13464,東北大学,齊藤 国靖,高密度粒子系の非局所性に基づく新しい連続体理論の展開,粒子系の力学的な応答は粒子のランダムな構造や配置替えにより予測困難なものが多い。特に、粒子系の応力を記述するには、従来の局所的な構成則ではなく非局所的な枠組みが必要になる場合がある。この様な粒子系の非局所性は粒子間の長距離相関に起因しており、マクロな力学応答だけでなく、個々の粒子のミクロな運動まで調べるのが不可欠である。本研究では、分子動力学法を用いて、粒子のミクロな運動から系全体の力学応答を理解するという目標を掲げ、ジャミング転移点近傍での非局所的レオロジーと応力緩和、高密度粒子系の音波特性や塑性変形の確率論的モデル、さらに自己拡散現象とジャミング転移の関係やアバランチに関する成果を上げた。,若手研究,小区分13010:数理物理および物性基礎関連,レオロジー,粘弾性,弾性,塑性,音波,拡散,輸送現象,弾性体,音波特性,粘性効果,ジャミング転移,動的臨界現象,弾性波,弾塑性,ジャミング,分子動力学法,連続体理論,非局所性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14622,国立研究開発法人理化学研究所,森 貴司,非平衡環境を利用した開放量子多体系の状態制御,これまでの開放量子系の研究は、主に小さな量子系が環境と結合している状況を取り扱ってきた。しかし、近年の冷却原子系やイオントラップの実験の進展により、量子多体系と環境との結合を制御することが可能となり、制御された非平衡環境と結合した量子多体系がどのような量子状態に緩和するのかを理論的に明らかにすることが重要となってきた。,若手研究,小区分13010:数理物理および物性基礎関連,開放量子系,非平衡統計力学,量子多体系,フロケ理論,リウビリアンギャップ,緩和時間,マルコフ過程,準安定状態,準周期外場,フロケエンジニアリング,線形応答理論,リウビリアン,非平衡定常状態,固有状態熱化仮説,非平衡系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14621,沖縄科学技術大学院大学,LI Wenliang,Bootstrapping Conformal Field Theories Without Positivity Constraints,"Conformal field theory (CFT) plays an important role in describing critical phenomena in statistical physics. Recently, impressive progress has been made by conformal bootstrap methods. To study more CFTs, I will consider a new conformal bootstrap method that does not rely on positivity constraints.",若手研究,小区分13010:数理物理および物性基礎関連,Conformal field theory,Conformal bootstrap,Critical phenomena,conformal field theory,conformal bootstrap,critical phenomena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14620,近畿大学,LE BINHO,,"We characterized the errors caused by various methods when measuring quantum states directly. To evaluate the errors, we compare the differences between the true states and the reconstructed states. We also consider the confidence region which is defined as a certain region where the true state exists with a guaranteed high confidence level. We finally investigate the quantum error bars for the direct state measurements. This work is especially important because the direct state measurements have been attracting attention recently.",若手研究,小区分13010:数理物理および物性基礎関連,Systematic error,Direct state measurement,Quantum control,Confidence region,Systematic errors,Quantum error bars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14619,早稲田大学,高橋 淳一,ゼロモード量子揺らぎを考慮した非一様Bose-Einstein凝縮系の解析,ゼロモードとは、自発的対称性の破れに伴って現れる長波長モードであり、凝縮系・素粒子・宇宙物理など幅広い物理に現れることが知られているが、その量子揺らぎに関してはボゴリューボフ近似により無視される。しかし、この近似は一様系のみで正当化されるものであり、非一様系に対しゼロモード量子揺らぎを無視できる明確な根拠はない。実際、申請者らは、トラップに捕捉された１成分ボース・アインシュタイン凝縮体に対しゼロモード量子揺らぎの評価を行い、特定の領域では物理量に無視できない寄与を与えることを示した。本研究では、より多彩な物理系でゼロモード量子揺らぎを無視できない現象があることを示す。,若手研究,小区分13010:数理物理および物性基礎関連,ゼロモード,Bose-Einstein凝縮,アルファ凝縮,ポーラロン,２成分系,場の量子論,媒介相互作用,スピン軌道相互作用,物性基礎論,ボース・アインシュタイン凝縮,冷却原子系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14618,東北大学,翁長 朝功,伝播現象におけるバースト性の役割：理論的解明と多様な伝播現象への応用,伝播現象とは、感染症、意見や情報、金融市場における取引など、イベントが次のイベントの発生を引き起こす現象の総称である。これらの現象は、ネットワークを通して社会または金融市場に伝播していく。これまでの研究で、ネットワーク構造が伝播現象に与える効果が明らかにされてきた。しかしながら、伝播現象はネットワーク構造だけでなく、接触や取引のタイミングにも依存する。タイミングとして最も重要な概念はバースト性である。本研究では、バースト性が伝播現象に与える効果を理論的に解明する。,若手研究,小区分13010:数理物理および物性基礎関連,伝播現象,ネットワーク科学,ゲーム理論,物理学,経済学,ネットワーク,カスケードモデル,数理モデリング,複雑ネットワーク,相転移,感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
