awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13487,国立研究開発法人情報通信研究機構,逵本 吉朗,単一光子の非線形光学効果を用いた量子情報処理,単一光子間の非線形光学効果を用いることで、これまでの線形光学素子のみを用いたアプローチでは実現できなかった課題を実現することができる。本研究では、独立に生成した量子もつれ光子対を繋げる操作である量子もつれ交換を、単一光子間の和周波発生(SFG)を用いて行うことを目指して研究を行った。具体的には、高効率に量子もつれ光子対を生成/検出するシステムと、高効率にSFGを誘起するSFGモジュールを新規開発した。,若手研究,小区分13020:半導体、光物性および原子物理関連,量子光学,量子情報,量子通信,量子暗号,非線形光学,量子情報処理,単一光子,パラメトリック下方変換,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13486,国立研究開発法人理化学研究所,鎌田 大,半導体／超伝導体複合構造におけるトポロジカル量子ビットの開発,本研究では、超伝導体／半導体量子細線複合構造を用いて、トポロジカル量子ビットの実現、原理実証を目標としている。本年度は、トポロジカル粒子であるマヨラナ粒子の検出を目指して、超伝導体Al／半導体InAs量子細線ジョセフソン接合において、超伝導電流の観測および高周波測定による交流ジョセフソン効果の観測を試みた。,若手研究,小区分13020:半導体、光物性および原子物理関連,半導体物性,メゾスコピック系,マヨラナ粒子,量子細線,超伝導,ジョセフソン接合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13485,東京理科大学,清水 麻希,ダイヤモンドNVセンタと構造制御CNTのエネルギー移動に関する研究,"ダイヤモンド中の窒素空孔センタ(NVセンタ)は量子情報素子や磁気センサの有望な候補となっている．NVセンタのスピン状態の読み出しは光によるものがほとんどであるが電流検出等に向けてNVセンタのもつ情報をカーボンナノチューブ(CNT)に移すエネルギー移動が起こるのかどうかの検証を行った。石英基板上と石英基板上に形成したCNT薄膜上でNVセンタを含むナノダイヤモ石英基板上での単一ダイヤモンドＮＶセンタの蛍光強度は10~18 kcps,蛍光寿命は8~10ns程度となった。CNT薄膜上ではCNTの発光のため値を見積もることができていない。また、CNTの物性計測をNVセンタで行う実験にも取り組んだ。",若手研究,小区分13020:半導体、光物性および原子物理関連,ナノチューブ,NVセンタ,量子,ダイヤモンド,カーボンナノチューブ,ＮＶセンター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13484,大阪大学,横山 知大,多端子ジョセフソン接合の多次元位相空間における動的なトポロジカル物性,多端子ジョセフソン接合におけるジョセフソン効果の拡張を提案した。超伝導位相が増えることで２端子系とは質的に異なる物性が創発される。,若手研究,小区分13020:半導体、光物性および原子物理関連,ジョセフソン効果,多端子系,トポロジカル物性,ワイル特異点,異常ジョセフソン効果,ジョセフソンダイオード効果,トポロジカル相,スピン軌道相互作用,トポロジカル相転移,非局所位相,超伝導回路,ジョセフソン接合,マイクロ波応答,多次元空間,ナノ構造,メゾスコピック,半導体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13483,大阪大学,生田 力三,非線形光学の自在制御による大規模量子情報処理,光源開発として、光パラメトリック下方変換による周波数多重化光子対の生成を行った。独自に設計した単共鳴共振器を用いることで大幅な広帯域化に成功し、1000重モード以上の周波数多重化光子対生成を実証した。また、この光源に偏光エンタングルメントを付与することで、大規模なハイパーエンタングルメント生成にも成功した。量子操作に関する研究として、単共鳴型の共振器を用いることで、共振器によって帯域を制限されることなく、光周波数変換効率を増強することに成功した。本周波数変換器は、周波数軸上での回転操作のほか、偏光状態の制御やハイパーエンタングルメント制御にも広く適用できる。,若手研究,小区分13020:半導体、光物性および原子物理関連,量子情報,量子エレクトロニクス,量子周波数コム,パラメトリック下方変換,周波数多重,導波路共振器,波長変換,光量子計算,量子通信,量子周波数変換,光子対生成,非線形光学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13482,大阪大学,藤田 高史,単一電子スピンシャトルを利用した高速スピン操作とその物理の研究,本研究の成果は、スピンシャトル技術を活用して、電場駆動型の電子スピン共鳴を桁違いに増幅させる手法を実証したことである。量子ドット構造を用いて単一電子スピンは通常0次元的に閉じ込められているが、電場を与えることで隣の量子ドットへと確定的に移動させることが可能である。このシャトル技術と、高周波電場が作る有効磁場を組み合わせることで、電子スピン共鳴を起こす実験を行った。結果として、シャトルする状況を利用しない場合と比べて、40倍程度の増幅を確認し、最高速で200MHzのラビ振動を確認した。,若手研究,小区分13020:半導体、光物性および原子物理関連,電子スピン共鳴,量子ドット,スピン軌道相互作用,単一電子スピン,1次元多重量子ドット,量子情報,半導体物性,GaAs,多重量子ドット,スピンシャトル,半導体量子ドット,電子スピン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13481,京都大学,田原 弘量,半導体ナノ粒子のコヒーレント状態を利用した高次高調波発生,半導体ナノ粒子が示す特徴的な電子応答を利用することで、高調波信号の発現メカニズムについて研究を行った。２つのパルス光の相対位相を高精度に制御した位相ロック光パルス対を用いることで、電子系のコヒーレントな応答を直接的に計測する手法を開発した。エキシトン状態を共鳴励起することで生じるマルチエキシトンを介して、高次のダイポール振動が現れることを明らかにした。また、高いエネルギーを持ったホットエキシトン状態が示す吸収エネルギーシフトのメカニズムを解明した。これらの成果によって、ナノ粒子の光学応答におけるマルチエキシトンやホットエキシトンの寄与を解明することに成功した。,若手研究,小区分13020:半導体、光物性および原子物理関連,光物性,エキシトン,マルチエキシトン,ナノ粒子,ナノフォトニクス,コヒーレント制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13480,京都大学,中島 秀太,光超格子中の冷却原子系を用いた相互作用誘起トポロジカル相転移の研究,本研究課題では、1).相互作用可変な極低温リチウム(Li)原子系の構築、及び2).Thouless量子ポンプ(TQP)に対する相互作用の効果の検証の2つを目標とした。,若手研究,小区分13020:半導体、光物性および原子物理関連,冷却原子,光格子,光超格子,トポロジカル量子系,フェッシュバッハ共鳴,量子相転移,乱れ,量子光学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13479,電気通信大学,鈴木 はるか,共振器中のRydberg原子を用いた量子光源の開発,本研究では、任意の数の光子を、任意時刻において空間の特定の向きへ発生させることを目指して、光共振器中にトラップされた冷却原子集団においてリュードベリ集団励起状態を生成するための実験系の構築を行った。具体的には、原子の冷却およびトラップ用の超高真空チャンバー、磁場発生用コイルおよびその制御回路、光源および光学系の構築を行い、さらに単一光子発生確率を増大させるための光共振器の設計と、光子の単一性を保証するためのリュードベリ励起用光源の構築およびそれを用いた87ルビジウム原子のリュードベリ遷移の観測を行った。また、発生した光子を評価するための光子統計評価システムの構築を行った。,若手研究,小区分13020:半導体、光物性および原子物理関連,リュードベリ原子,光共振器,冷却原子,単一光子,共振器量子電気力学,Rydberg状態,Rydberg原子,量子光学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13478,電気通信大学,大饗 千彰,光周波数の分周を基盤とする極限光波制御,"光周波数の分周の技術を土台として5本の高調波光(1w-5w)を生成し、それらの位相振幅関係を自在に操作することで、125THzの非常に高い繰り返しレートを持った多様な光波形、sineパルス列, cosineパルス列, のこぎり波を連続的に生成した。さらに、実際に光波形を測定してターゲット光波形の再現性や光波形の安定性を評価し、十分に実用可能な性能を達成していることを確かめた。",若手研究,小区分13020:半導体、光物性および原子物理関連,光の周波数分周,超高速光波制御,optical waveform,超高繰り返し光波形,光周波数の分周,超高速光波発生,超高速荷電粒子制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13477,東京大学,大越 孝洋,ダイアグラム展開に基づく量子モンテカルロ法の開発と冷却フェルミ原子系の理論解明,電子系や冷却原子系などの強相関系における高精度数値計算手法の開発は、長年の間重要課題とされ、精力的な研究が行われている。前年度は、ファインマン・ダイアグラム展開に基づく新しい量子モンテカルロ法の開発と適用を行なったが、本年度はこれをさらに発展させた行列式モンテカルロ法の開発を行った。本手法は、ファインマン・ダイアグラムの部分和を解析的に評価する(行列式を計算する)ために、より効率が良い手法となっている。本手法を粒子数が異なる2成分フェルミ原子系へと適用した結果、ファインマン・ダイアグラム・モンテカルロ法よりも高次の次数まで計算が可能となることを示した。この系は、従来の量子モンテカルロ法では負符号問題が起きる適用困難な系であったため、この結果は量子モンテカルロ法の適用範囲の拡張へ向けた進展と言える。,若手研究,小区分13020:半導体、光物性および原子物理関連,超流動,冷却原子系,量子モンテカルロ法,高温超伝導,強相関系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13476,東京大学,宮本 辰也,高強度テラヘルツパルスによる水素結合型誘電体の高速・高効率分極制御,本研究では、有機非線形光学結晶を用いて2.6 MV/cmの電場振幅を持つ超高強度テラヘルツパルスを発生させることに成功した。クロコン酸などの水素結合型有機分子性誘電体に高強度のテラヘルツパルスを照射することによって、サブピコ秒の巨視的分極生成・分極変調が可能であることを実証した。テラヘルツパルス照射時の光学スペクトル変化を解析することによって、水素結合を形成するプロトンの変位よりも、π電子系の空間分布の変化の方が分極の変化に重要な役割を果てしていることを明らかにした。,若手研究,小区分13020:半導体、光物性および原子物理関連,超高速現象,水素結合型強誘電体,テラヘルツパルス,水素結合型誘電体,高強度テラヘルツ波,高速分極制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14640,国立研究開発法人理化学研究所,野入 亮人,シリコン量子ドット中の電子スピンを用いた量子計算基盤技術の高性能化に関する研究,高い集積性を有する量子計算機としての可能性が着目されている半導体量子ドット中の電子スピン系では、複数の電子スピンによる様々なサブレベルを量子ビットとして用いることができる。中でも、高い制御性を誇る単一スピン量子ビットと検出に優れる一重項-三重項量子ビットを結合した異種スピン量子ビット複合系は、両方式の利点を融合した効率的なスピン量子計算が可能となる。本研究では、コヒーレンスに優れるシリコン量子ドットで高性能な異種スピン量子ビット複合系を実現し、スピン量子計算の可能性を飛躍的に広げることを目指す。,若手研究,小区分13020:半導体、光物性および原子物理関連,量子ビット,量子ドット,電子スピン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14639,分子科学研究所,素川 靖司,極低温原子集団を用いたエッジ状態の研究,「バルク・エッジ対応」で良く知られているようにトポロジカル物性においては、界面やエッジが重要な役割を果たしている。一方で冷却原子系では緩やなポテンシャルに原子集団が閉じ込めることが一般的であったため、明確な界面は存在できていなかった。本研究ではレーザー光の空間モードをエンジニアリングすることにより、冷却原子に対して界面や接合面を創り出して、実空間中のトポロジカルなエッジ状態を観測することを目指す。,若手研究,小区分13020:半導体、光物性および原子物理関連,冷却原子,人工ゲージ場,ボース・アインシュタイン凝縮体,量子制御,幾何学的位相,非可換ベリー位相,リュードベリ状態,光格子,トポロジカル物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
