awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13512,東京大学,大池 広志,動力学に基づいた準安定超伝導状態の創出,本研究課題では、電流パルスを用いた超急冷法によって、超伝導とエネルギー的に競合する秩序（競合秩序）の形成を避けることで、超伝導を実現することに成功した。これにより、従来の熱力学に基づく超伝導探索とは異なる、動力学に基づいた超伝導探索指針を実証した。原理実証は遷移金属ダイカルコゲナイドIrTe2を用いて行ったが、スズ系合金でも同様の方法で超伝導の生成に成功しており、本研究課題の成果の波及効果が期待される。さらに、IrTe2における競合秩序形成過程を詳細に調べることで、相転移が断続的に進行することを明らかにした。この結果は、相転移の動力学の研究に対して新たな知見を与えるものである。,若手研究,小区分13030:磁性、超伝導および強相関系関連,超伝導,強相関電子系,非平衡,準安定,急冷,メモリ機能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13511,国立研究開発法人理化学研究所,吉田 将郎,2次元物質における準安定量子相の開拓,グラフェンをはじめとする2次元物質とは、層状物質を劈開して得られる、厚みナノメートルオーダーの超薄膜である。それは、元となるバルク結晶とは、全く異なる電子相を有する。さらに2次元物質をデバイス化すると、その電子相の新たな性質、機能が明らかになる。まさに2次元物質デバイスには、新奇な物性、機能が無数に潜在している。本研究において注目したのは、薄膜デバイス化によって初めて実現、発見された、熱力学的準安定な電子相である。2次元物質デバイスに関する電子顕微鏡観察や、雑音測定を通して、その準安定電子相の微視的構造が明らかになった。,若手研究,小区分13030:磁性、超伝導および強相関系関連,2次元物質,電荷密度波,その場測定,電子回折,雑音測定,準安定相,二次元物質,透過型電子顕微鏡,ナノデバイス,電流誘起相転移,非線形伝導,準安定超伝導,スライディング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13510,国立研究開発法人理化学研究所,佐藤 拓朗,電子自由度におけるガラス化・結晶化の普遍性の検証,本研究課題では、有機強相関電子系において近年観測された電子自由度のガラス状態に着想を得て、無機系初の電子ガラス相を探索し、有機・無機の枠を超えた包括的な電子ガラス研究を目指した。具体的には、無機系電子ガラス相の候補物質マグネタイトを対象にし、バルク試料やデバイスを用いて急冷実験を行ったが、マグネタイトのガラス化は実現できなかった。,若手研究,小区分13030:磁性、超伝導および強相関系関連,磁気スキルミオン,非平衡相転移,電流駆動ダイナミクス,ノイズ測定,マグネタイト,電子ガラス相の探索,マグネタイトの冷却速度依存性,電荷秩序,ガラス,幾何学的フラストレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13508,国立研究開発法人理化学研究所,下出 敦夫,温度勾配が誘起するスピンのダイナミクスの理論,結晶における磁気四極子モーメントの量子力学的な定式化を行った．温度勾配によって磁化が誘起される重力電気磁気効果を提案した．この感受率を計算する際に，Kubo公式から磁気四極子モーメントを差し引く必要がある．,若手研究,小区分13030:磁性、超伝導および強相関系関連,スピントロニクス,多極子,磁気四極子,電気磁気効果,カイラル量子異常,カイラル渦効果,軸性磁気効果,カイラリティ誘起スピン選択性,電気四極子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13507,沖縄科学技術大学院大学,FOGARTY Thomas,Exploiting quantum phase transitions to improve the efficiency of quantum thermodynamic processes,この研究で、多体系の集団効果は量子熱エンジンの動作を向上させることを示した。1次元の強く相互作用した冷却原子の超流動相や絶縁相を駆動させ、エンジンサイクルを回す。これらの相は、調節可能なエネルギーギャップに特徴付けられる、別個のエネルギースペクトラムをもつ。このエネルギーギャップ近くで、エンジンを作動させることで、相互作用しない系に比べ、動力の出力や効率が向上する。,若手研究,小区分13030:磁性、超伝導および強相関系関連,heat engines,quantum control,correlations,speed limits,quantum heat engine,thermodynamics,quantum speed limits,orthogonality,many-body states,quantum entanglement,quantum metrology,shortcuts,quantum heat engines,many-body supremacy,shortcut to adiabaticity,many-body optimisation,quantum phase transition,quantum thermodynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13506,沖縄科学技術大学院大学,Badrutdinov Alex,,本研究の目標は、ヘリウム表面電子の流体力学的な側面を明らかにすることであり、この２次元電子系は、そのための格好の舞台である。この目標のもと研究を行い、電子と表面波との結合により生じる新しい電子輸送現象を観測した。電子が直線的に流れる、あるいは90度折れ曲がって流れるという３つ股マイクロチャネルを用いて電子の輸送現象を測定した。オームの法則からは、直線方向、90度方向ともに同じだけ電流が流れることが予想される。その予想に反し、実験結果は、直線方向にほとんど流れるというものであった。これは、電子がヘリウム表面とポーラロン状態を作り、それが大きな運動量を持つため直進するという事で理解できる。,若手研究,小区分13030:磁性、超伝導および強相関系関連,Electrons on helium,2D electron system,Electron viscosity,Polaron,electron viscosity,polaron,electrons on helium,electron hydrodynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13505,日本大学,出村 郷志,バルク・ナノ測定から解き明かすBiCh2化合物の超周期構造と超伝導機構,"本研究はBiCh2(Ch=S,Se)系化合物において発現する超周期構造と超伝導の相関性を調査し、両者の発現機構の解明を目指した。まず、LaO0.9F0.1BiSe2の走査型トンネル顕微鏡/分光(STM/STS)測定から超周期構造の観測に成功した。これは超周期構造がパイエルス型の機構ではないという過去の結果を支持し、特殊な機構を持つ可能性が高いことを見出した。さらに、LaO0.5F0.5BiS2のBiの一部をSnで置換すると超伝導特性が向上することを見出した。この試料のSTS測定から、磁束量子観測に世界で初めて成功した。この試料の開発は、本系の超伝導発現機構の解明につながることが期待できる。",若手研究,小区分13030:磁性、超伝導および強相関系関連,超伝導,BiCh2系超伝導,走査型トンネル顕微鏡,電荷密度波,超伝導ギャップ,磁束量子,BiCh2系超伝導体,STM,元素置換効果,STM測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13504,東京理科大学,岡崎 竜二,非平衡キャリアが示す熱電輸送現象の解明,物質に電圧を印加すると、電圧に比例した電流が生じます。このよく知られた「オームの法則」とは対照的に、電流が電圧に比例しない現象は非線形伝導と呼ばれ、ダイオードやトランジスタのように、非線形伝導は現代のエレクトロニクスを支える基幹技術として普及しています。本研究では、電気抵抗だけでなく、熱電能（ゼーベック係数）が電流によってどのように変化するか（非線形ゼーベック効果）を実験的に測定するシステムの開発を進め、有機導体において電流によってゼーベック係数の絶対値が増大するという非自明な振る舞いを観測しました。また非線形伝導測定の問題点となる自己発熱の問題に対し、新たな温度評価手法の開発を行いました。,若手研究,小区分13030:磁性、超伝導および強相関系関連,熱電効果,輸送現象,ゼーベック効果,電流効果,非線形伝導,非平衡電子状態,ゼーベック係数,分子性導体,ロジウム酸化物,非平衡電子物性,強相関電子系,ペルチェ効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13503,慶應義塾大学,永合 祐輔,超流動ヘリウム中の量子渦の微視的ダイナミクスの解明,本研究は、量子乱流状態の臨界的振舞において重要な要素である量子渦の運動状態の解明を目的とし、以下に示すナノ電気機械システムおよび渦生成装置を開発し、超流動ヘリウム中における渦、乱流生成実験を行った。,若手研究,小区分13030:磁性、超伝導および強相関系関連,超流動,量子渦,量子乱流,量子流体,トポロジー,マイクロ・ナノデバイス,低温物性,量子渦・量子乱流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13502,慶應義塾大学,BEEKMAN ARON,,ここ数年で実験室には2次元 4 Heの量子液晶相の実在可能性が提案されている。実験と比べる為に量子固体・液晶臨界点の有効場の理論を使ってくりこみ群(functional renormalization group)理論計算を行った。その結果荷電固定点を発見したので量子固体・液晶臨界点は二次相転移が決定した。,若手研究,小区分13030:磁性、超伝導および強相関系関連,quantum phase transition,quantum melting,liquid crystals,symmetry breaking,renormalization group,particle-vortex duality,phase transitions,critical exponents,helium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
