awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13574,国立研究開発法人理化学研究所,西畑 洸希,中性子過剰核における新奇手法を用いた構造解明,本研究は中性子が極端に多い(中性子過剰)原子核の構造を詳細に調べることを目的としている。近年加速器技術の発展で中性子過剰原子核が大強度で生成可能となった一方で、構造の議論に不可欠な励起状態のスピンを決定する有効手法が限られたままであった。本研究では、スピンがある方向に揃った(スピン偏極した)原子核から放出されるベータ線放出の空間的異方性を用いる手法によりこの問題にアプローチする。その第一段階として、中性子過剰原子核のスピン偏極を生成する新手法の提案・その実証実験を行い、その有効性を確かめた。以上より、スピン偏極核を用いた中性子過剰核研究の準備が整った。,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,不安定原子核,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13573,国立研究開発法人理化学研究所,Rosenbusch Marco,,新しいアイデアに基づくミクロ多重極トラップの開発に着手し、ガスキャッチャーセルからのイオン引き出しに使用するトラップ装置を利用してその実現可能性を実験的に検証した。更に、既存のPaulトラップの極低温での駆動試験を様々なオンライン実験で実施した。最終目的であるミクロ多重極トラップと質量分析器との接続は未完結であるが、存装置を用いた試験により、達成できる見通しを既立てることができた。これまでのところ、プリント電極基板を使ったトラップが最も有望であると考えている。微小電極による微小領域内トラップによりイオンの空間的広がりを制限することで、質量分析器へ問題なく接続できることが期待される。,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ion traps,small ion traps,mass spectrometry,multi-reflection devices,precision physics,multi reflection devices,ion cooling,precision measurements,nuclear masses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13572,国立研究開発法人理化学研究所,神田 聡太郎,ミュオン水素原子の精密レーザー分光による陽子半径測定,本研究では、陽子のZemach半径を測定するためにミュオン水素原子の基底状態における超微細構造をレーザー分光することを目指して装置開発および原理実証を行った。得られた主な成果は次の二つである。 (1) 遷移光源である大強度中赤外パルスレーザーの開発を行い、波長6.8 μmで発振する狭線幅かつ高出力の量子カスケードレーザーを開発した。さらに、中赤外領域で高い反射率を有する多重反射セルを開発した。(2) 低圧の気体水素を標的としたμ-SR法を確立し、ミュオン水素およびミュオン重水素原子の横磁場中ミュオンスピン回転の観測に成功した。これらの成果によりレーザー分光実験の実現が大きく近づいた。,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ミュオン,レーザー,ミュオン水素原子,レーザー分光,陽子半径,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13571,大学共同利用機関法人高エネルギー加速器研究機構,山田 美帆,将来のコライダー実験にむけた高位置分解能・高放射線耐性をもつピクセル検出器の開発,ヒッグス粒子のさらなる精密測定のために，国際リニアコライダー実験が計画されている．3μm以下の位置分解能を持つ崩壊点検出器が必要とされており，Silicon-on-Insulator（SOI）技術を用いたモノリシック型CMOSセンサーと三次元積層化技術の開発により1.4μmの高位置分解能を達成した．また，高エネルギー加速器実験においては高放射線耐性も要求される．中間シリコン層を備えたdouble-SOIウェハーとトンネル現象を利用した，蓄積正電荷除去による放射線損傷補償機構を設け，ILCの年間放射線量1kGyに耐えうることを確認した．,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ピクセル検出器,モノリシック型,SOI,ILC,放射線耐性,ヒッグス,三次元積層化,CMOS,崩壊点検出器,高位置分解能,高時間分解能,MOSFET,モノリシック型ピクセル検出器,高放射線耐性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13570,大学共同利用機関法人高エネルギー加速器研究機構,塩見 公志,GAGG結晶を用いたガンマ線と中性子を分離可能な電磁カロリメーターの開発,"J-PARC KOTO実験のSTEP2実験で使用するための中性子とγ線が識別可能な電磁カロリメーターの開発を行った。本研究では近年開発されたGAGG結晶を使用した。GAGG結晶にはMgの添加量による時定数が変わるという特徴がある。異なる時定数の結晶を接着して使用し、出力波形の違いを測定することで、入射粒子の反応点を測定し、中性子とガンマ線を分離する。本研究では直径5cm,10cm長の円柱型のMgを添加していないGAGG結晶と、Mgを1%添加したGAGG結晶を光学接続した試作機を製作し、電子ビーム、中性子ビームの照射実験を行なった。測定データの解析から、中性子と電子の分離方法を確立した。",若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,電磁カロリメタ,素粒子実験,測定器,粒子識別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13569,大学共同利用機関法人高エネルギー加速器研究機構,小野 峻,高精度位置・時間計測可能な3次元積層型ピクセル検出器開発,本研究では、International Linear Collider(ILC)実験に向けた3次元積層構造を持つシリコンピクセル検出器の開発を実施した。ILCでは粒子衝突により生成・崩壊した荷電粒子飛跡を検出する崩壊点検出器が配置される。この崩壊点検出器では、シリコンピクセルセンサーを使用し約3um精度で粒子の入射位置を計測するが、一方で検出器には多数の粒子が入射するため、その中でターゲットとなる事象の識別を行わなければならない。そこで入射位置と同時に到来時間を計測して粒子飛跡の識別を行う、小型かつ高集積・多機能ピクセルを持つセンサーが必要となる。,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,3次元積層技術,半導体検出器,崩壊点検出器,素粒子実験,SOI検出器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13568,大学共同利用機関法人高エネルギー加速器研究機構,鈴木 惇也,ダイレクトRFによる超伝導リードアウト―CMB観測メガピクセル時代に向けて,高速データコンバータを用いた超伝導検出器の多重化読み出しシステムを開発した。宇宙背景放射の観測では多数の超伝導検出器を運用する必要があり、読み出し線を減らすために一対の線で多数の検出器を読み出す多重化システムが必要となる。本研究ではマイクロ波を用いた周波数多重化読み出しシステムの開発を行なった。高速データコンバータ（ADC/DAC）を用いることで帯域を広げられ、一対の線で読み出す数を増やすことができる。本研究では最終的に２ギガヘルツの帯域で多重化読み出しを行うことに成功した。,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,超伝導,FPGA,RFSoC,CMB,宇宙,素粒子,超伝導検出器,リードアウト,ダイレクトRF,MKID,宇宙マイクロ波背景放射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13567,神戸大学,中村 輝石,高圧キセノンを用いた方向感度と大質量を両立する究極の暗黒物質探索実験の原理検証,暗黒物質検出において、大質量と方向感度を両立できる手法として、高圧キセノンガスTPCで柱状再結合現象を応用する、というものがある。本研究では、5MeVのα線で柱状再結合が起きることを確認した結果について論文にまとめた。また、低エネルギーの原子核反跳での柱状再結合の測定を視野に入れ、中性子ビーム試験を実施した。,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,ダークマター,キセノンガス,TPC,柱状再結合,キセノン,放射線検出器,飛跡,中性子,暗黒物質,ガス検出器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13566,大阪大学,小林 信之,原子核励起状態の半径測定のための反跳距離透過法の実証,本研究の目的は、励起状態の核半径を反跳距離透過法を用いて測定することである。実験を行う上で問題となったのは、反応標的において生成された励起状態からの脱励起ガンマ線である。このガンマ線はトラッキングゲルマニウム検出器で得られるエネルギースペクトルにおいてバックグラウンドとして寄与し、これが得られる断面積における大きな系統誤差になっていた。しかし、本研究を進める中で、この成分を除去するための手法を開発することに成功した。この成果により、実験のデータ解析において問題となっていた、断面積に含まれる系統誤差を小さくすることが可能になった。,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,原子核実験,ハロー核,励起状態,中性子ハロー核,不安定核,核反応,核構造,核反応実験,核半径,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13565,京都大学,本橋 隼人,高階微分重力理論の検証,近年、一般相対性理論を拡張したスカラーテンソル理論において、高階微分を含む様々な理論模型が提唱されている。このような理論は一般にオストログラドスキー・ゴーストと呼ばれる病的な力学的自由度を持つが、本研究では任意の高階微分を含む理論から縮退条件を用いてゴーストを除去する系統的な方法を定式化した。また、disformal変換を一般化し、これを応用することで新しいスカラーテンソル理論を構築した。さらに、新しい回転ブラックホール厳密解の発見、ブラックホール摂動論の定式化、スコルダトゥーラ機構による強結合問題の解決、ダークエネルギーやインフレーション模型など、多角的な観点から高階微分重力理論を検証した。,若手研究,小区分15020:素粒子、原子核、宇宙線および宇宙物理に関連する実験,重力,相対論,宇宙論,ブラックホール,インフレーション,ダークエネルギー,摂動論,ホイン関数,原始ブラックホール,修正重力理論,可逆変換,修正重力,高階微分,オストログラドスキー・ゴースト,重力理論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
