awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13644,公益財団法人高輝度光科学研究センター,河口 沙織,DACを用いた高圧下における液体鉄合金の構造解析,地球外核における液体の状態を議論するためには、高温高圧下における液体鉄合金の構造解析が必要不可欠である。本研究では、ダイヤモンドアンビルセル内の高圧下における液体のX線全散乱法によるPDF解析手法を確立することを目標とした。得られた結果から、液体Fe47Ni28S25の密度を決定し、液体鉄合金の融解に起因する大きな体積変化は、純鉄と比べて、Fe3S構造の熱振動の方向に大きな異方性があるためであると推察した。加えてX線吸収分光法測定を行った。10-15 GPaの間に液体鉄硫黄合金の構造転移が確認出来、加えて、40 GPaにおいても構造転移が生じる可能性を示唆した。,若手研究,小区分17040:固体地球科学関連,液体鉄合金,地球外核,ダイヤモンドアンビルセル,高圧実験,X線回折,XANES,PDF解析,X線回折測定,構造解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13643,国立研究開発法人海洋研究開発機構,Bauville Arthur,,本研究では、付加体力学とプレート境界断層の形成について、いくつかの点を解明した。粒状媒体の応用パターンが推力に影響を与えることを明らかにし、デコルメント断層の形成を明らかにする解析解と数値シミュレーションを発表した。また変成岩の深度に応じた圧力変換の新しい方法を提案した。２つの論文を筆頭著者として、3つの論文を共著者として出版した。,若手研究,小区分17040:固体地球科学関連,accretionary prism,critical taper theory,numerical simulations,geodynamics,metamorphism,fault weakening,fold-and-thrust belts,pressure,pressure-to-depth,structural style,numerical simulation,decollement,plate boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13642,国立研究開発法人海洋研究開発機構,藤崎 渉,Re-Os年代測定法を用いた前期原生代地質層序の確立,前期原生代の地層、特に中央アフリカ・ガボン共和国に産する前期原生代地層からは、最古の真核生物と考えられる形状化石(ガボン化石)が報告されており、その地層の年代決定を行うことは真核生物出現時期を制約することと同義であり、非常に重要な研究課題となっている。本研究では、4つに細分されるガボン共和国前期原生代堆積盆地のうち、昨年度に調整したラストュールヴィル地域に産する黒色頁岩試料のRe、Os濃度測定からRe-Os年代決定を行った。得られた年代結果を先行研究と比較することで、真核生物出現時期に関する新たな知見が得られ、現在学術論文としてその成果をまとめている。,若手研究,小区分17040:固体地球科学関連,前期原生代,黒色頁岩,Re-Os年代系,ガボン共和国,大型化石,レニウム-オスミウム年代系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13641,国立研究開発法人海洋研究開発機構,新井 隆太,３次元地震探査データに基づくプレート境界浅部の応力状態と詳細構造の推定,プレート境界浅部の応力状態を明らかにするため、ニュージーランド・ヒクランギ沈み込み帯で取得した３次元地震探査データに走時トモグラフィ解析を適用し、P波速度とその方位異方性の3次元分布を高解像度で推定した。解析の結果、付加体内に発達する分岐断層とプレート境界断層の近傍で顕著なP波速度異方性を検出した。付加体内のP波の速い軸はプレート沈み込み方向に一致し、沈み込みによる圧縮応力場を反映している。一方、前弧海盆から陸側の領域ではP波の速い軸は海溝に平行な方向を向くことから、この場所を境にプレート境界での固着状態および上盤プレート内の断層構造が変化する可能性があることがわかった。,若手研究,小区分17040:固体地球科学関連,3D地震探査,プレート沈み込み帯,P波速度異方性,津波地震,波形インバージョン解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13640,国立研究開発法人海洋研究開発機構,森重 学,水の放出・移動によるスラブ内地震発生の仕組みの解明,特に日本やアメリカの沈み込み帯に焦点を当て、多様な物性や地球物理学的観測結果を考慮した温度構造を数値モデリングにより求めた。具体的には(1)物性や観測データの不確かさまで取り入れることによる温度構造のより定量的な推定、(2)熱伝導率の異方性(考える方向により物性が異なること)が温度構造に及ぼす影響の評価、を行った。そして得られた温度構造を用いて、スラブ内における脱水位置の推定を行なった。また単純な場合に対して、岩石変形に伴って生じる圧力勾配が水の移動に及ぼす影響を明らかにした。,若手研究,小区分17040:固体地球科学関連,沈み込み帯,スラブ内地震,温度,水,データ科学,流体,熱伝導率,蛇紋岩,温度構造,水の移動,ベイズ推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13639,国立研究開発法人海洋研究開発機構,矢部 優,浅部低周波微動の検出効率化と活動定量化,日本周辺ではスロー地震と呼ばれる通常の地震とは異なるプレート境界断層運動が生じている．南海トラフの深さ30kmで発生するものは深部スロー地震と呼ばれ，南海トラフや日本海溝の深さ10-20kmで発生するものは浅部スロー地震と呼ばれる．本研究では，日本周辺で発生する浅部スロー地震の規模推定を行い，過去に推定された深部スロー地震の規模と比較を行った．その結果，全く異なる温度圧力環境で発生する浅部と深部スロー地震は，最大規模には相違点がある一方，地震波放出効率は同程度という共通点があることが明らかになった．,若手研究,小区分17040:固体地球科学関連,スロー地震,南海トラフ,日本海溝,浅部スロー地震,沈み込み帯,地震モーメント,地震波エネルギー,浅部低周波微動,機械学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13638,国立極地研究所,藤井 昌和,海洋リソスフェア内の水循環：トランスフォーム断層と海底断裂帯における水分布の解明,本研究では海底下で起こる水循環に着目し、大量の含水が期待される海底断裂帯とトランスフォーム断層を対象に観測研究を実施した。これまで入手の容易でなかった海洋マントル物質試料を７海域より新たに集積し、それら岩石の磁性および物性のデータ群を新たに構築した結果、岩石-水反応の促進に伴う密度低下と磁性変化が、異なる地質学的背景を持つ海底で共通に起こる事が明らかとなった。さらに、海底断裂構造を示す3海域での海域磁気のデータ取得・解析を行った結果、水循環との関係を示唆する一様な傾向は掴むことができなかった。地殻構造の不均質および古地磁気強度変動を精度良く理解する必要があることが今後の課題として導かれた。,若手研究,小区分17040:固体地球科学関連,海洋リソスフェア,トランスフォーム断層・海底断裂帯,蛇紋岩化作用,海上・深海磁気異常,岩石磁気,海洋リソスフェアの水循環,トランスフォーム断層,重磁力観測,岩石磁気・古地磁気,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13637,立命館大学,平野 史朗,地震の個性や不均質を記述する確率微分方程式論的断層モデル,地震時の断層滑りがどのような履歴を辿るかを、数理モデルによって確率的に表現する方法を提案した。断層滑りの履歴は地震ごとに大きく異なり多様であることが知られているため、従来の方法論とは異なり、確率的にしかモデル化できないであろうという立場から、本研究は出発している。したがって本モデルは、個々の地震の振る舞いを説明するものではない。それでも本研究では、多数の観測事例から滑り履歴について知られる複数の経験則を、本モデルが統計的に再現することを示した。更にその物理的背景について、予察的ではあるものの、断層面上の摩擦挙動と本モデルの確率過程が対応付け可能であろうということを提唱した。,若手研究,小区分17040:固体地球科学関連,震源物理学,断層運動,確率微分方程式,モーメントレート関数,震源時間関数,地震発生のメカニズム,数理地震学,破壊力学,地震学,断層破壊,地震,断層滑り,動的破壊過程,固体地球科学,動的破壊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13636,学習院大学,坂田 周平,高温マグマプロセス解明に向けたジルコンPCMR年代測定法の開発,地表で観察されるマグマが固まった岩石に含まれるジルコンと呼ばれる鉱物はウラン・トリウム・鉛の同位体を用いてその結晶化から現在に至るまでの時間を測定することができる。本研究では従来法をさらに一歩進め、トリウムと鉛のペアから計算される年代とウランと鉛より求まる年代を組み合わせることで、鉱物が結晶化する以前の時間情報を定量化する手法を開発した。この手法により地下深くで発生したマグマが上昇し、その途中で鉱物が形成されるまでの時間を定めることができると期待される。,若手研究,小区分17040:固体地球科学関連,マグマの上昇速度,ジルコン,放射年代学,地球化学,部分溶融,ウラン系列,トリウム系列,微量元素組成,非平衡年代測定法,高温マグマプロセス,ウラン系列非平衡年代測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13635,愛媛大学,桑原 秀治,放射光X線高圧下その場観測と局所微量分析による鉄－ケイ酸塩間の水素分配の決定,本研究では惑星分化過程における核－マントル間の水素分配に制約を加えることを目的とした。当初予定していた放射光その場観測実験が難航したため、急冷回収した試料を分析する方向へ方針転換した。,若手研究,小区分17040:固体地球科学関連,核,マントル,水素,分配,元素分配,マグマオーシャン,高圧実験,地球型惑星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
