awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13679,一関工業高等専門学校,滝渡 幸治,潤滑場における潤滑剤成分の相互作用と潤滑特性,潤滑特性に影響する潤滑剤成分の粘度や溶解性には、分子間相互作用が関わっている。本研究では弾性流体潤滑(EHL)条件下における分子間相互作用を直接捉え、潤滑特性との関係を明らかにすることを目的とした。,若手研究,小区分18040:機械要素およびトライボロジー関連,トライボロジー,潤滑剤,分子間相互作用,その場観察,赤外分光法,粘性,摩擦,潤滑,分光分析,弾性流体潤滑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13678,東海大学,砂見 雄太,機能性ナノシートの連続創成とそのトライボロジー特性評価,ナノシートは、接着剤を使用することなく、複雑な凹凸表面を有する表面にきれいに貼り付けることができる。したがって、厚さと表面積の比率は非常に広く、摩擦との関係は、ウェアラブルデバイスや創傷被覆材などの生物医学用途のナノシートテクノロジーでは非常に大きいと考えられる。本研究では、マイクログラビア印刷法を用いてナノシートを作製し、摩擦係数の観点からナノシートと人間の指先皮膚の接触メカニズムを解明する。膜厚測定の結果から、マイクログラビア印刷法を用いて任意の厚さのナノシートを作製することができた。摩擦測定は、ナノシートの摩擦係数がFz = 2Nより高い垂直荷重を除いて減少したことを示した。,若手研究,小区分18040:機械要素およびトライボロジー関連,ナノシート,ロール・ツー・ロール,摩擦,印刷,ウェブハンドリング,大量調製,表面修飾,ナノインプリント,高分子,超薄膜,トライボロジー,マイクロナノ,プリント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13677,大分大学,大津 健史,蛍光観察による新規的レオロジー測定技術の開発と潤滑膜その場観察への応用,本課題では，弾性流体潤滑膜における油のレオロジー変化を測定する新規的技術の実現を目的に，蛍光物質の発光特性を応用した粘度測定技術の提案を行った．測定では，蛍光物質ピレンの発光特性に及ぼす粘度の影響を調べ，その結果を基に，蛍光強度比と粘度の関係性を明らかにした．また，その特性から，粘度算出方法，および油の固体化の判定法を整理した．さらに，純転がり下での蛍光観察実験より，接触域での粘度変化，および接触域内での油の固体化を明らかにし，それらは従来の潤滑領域図での検討結果に一致することが分かった．併せて，結果を総括し，本測定法の課題についても検討を行った．,若手研究,小区分18040:機械要素およびトライボロジー関連,トライボロジー,弾性流体潤滑,レオロジー,蛍光観察,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13676,埼玉大学,田所 千治,自己組織化ナノテクスチャを利用した低摩擦潤滑システムの創成,本研究では、潤滑油の添加剤により形成されるnmオーダーの凹凸（自己組織化ナノテクスチャ）による低摩擦な潤滑システムの創成を目的とした。自己組織化ナノテクスチャの形成過程を調査するために、転がり接触下で高精度に膜厚分布が計測可能な計測システムを開発した。本計測システムは、0.1 nmの分解能で潤滑膜厚を空間分布として計測できる。本計測システムを用いて、油性添加剤の直鎖脂肪酸を対象として調査した結果、単成分の添加剤の使用でもnmオーダーの潤滑膜が島状に形成されること、2成分系の潤滑油では島状の凹凸がより細かく形成されることを明らかにした。,若手研究,小区分18040:機械要素およびトライボロジー関連,トライボロジー,潤滑油,添加剤,自己組織化,潤滑,薄膜計測,その場計測,自己組織化膜,表面テクスチャ,膜厚計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13675,東北大学,柴田 圭,繊維状構造体の肌触り感向上のための手指における能動的および受動的摩擦特性の解明,本研究では，3次元的ネットワーク構造を有する繊維状構造体の肌触り感の向上を目指すため，能動的および受動的摩擦による官能評価間の関係を明らかにし，また，摩擦特性との関係を明らかした．肌触り感の総合評価である好みは，すべりやすさ知覚と極めて強い相関を示し，肌触り感の向上には，すべりやすく感じることが重要であることが明らかになった．能動的および受動的摩擦におけるすべりやすさ知覚は相関関係にあり，人間の無意識のフィードバック制御の介入は見られなかったが，被験者個人による差が大きく見られた．そこで，個人差を縮減する手法を提案し，その結果，摩擦係数とすべりやすさ知覚が相関することを明らかにした．,若手研究,小区分18040:機械要素およびトライボロジー関連,繊維状構造体,ティシューペーパー,肌触り感,すべりやすさ評価,能動的摩擦,受動的摩擦,能動的摩擦特性,受動的摩擦特性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14879,地方独立行政法人東京都立産業技術研究センター,徳田 祐樹,超低摩擦現象の実用化に向けたトライボフィルムの形成メカニズムの解明,先行研究において，エタノール雰囲気中で非晶質炭素膜と二酸化ジルコニウムを摩擦すると，摩擦係数が0.001以下を示す「超低摩擦現象」が報告されている．この現象は，ZrO2の触媒作用により摩擦面に形成された，摩擦反応膜の効果と推察されている．本研究では，炭素の同位体によるラベリング法を用いて，「トライボフィルムの形成メカニズム」，「トライボフィルムの正体」，「低摩擦化のメカニズム」を解明する．,若手研究,小区分18040:機械要素およびトライボロジー関連,トライボロジー,コーティング,DLC膜,摩擦触媒,超低摩擦化現象,省エネルギー,触媒作用,オイルレス技術,超低摩擦,触媒反応,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14878,九州大学,S Prabakaran,Study of the Tribological Behavior of Multilayered MoS2 LBL Coatings for Hydrogen Systems Applications,,若手研究,小区分18040:機械要素およびトライボロジー関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14877,岡山大学,大宮 祐也,次世代エネルギラインにおけるジョイント部ナノリークのメカニズム解明,本研究では，メタルシールガスケットを用いた各種ジョイント部のゼロナノリークを達成するために，メタルシールガスケットを用いたジョイント部の密封特性および内部流体のナノリークメカニズムを明らかにすると共に，メタルシールガスケットを用いたジョイント部からのリーク量の推定方法およびナノリークを考慮したジョイント部設計方法を確立することを目指す．,若手研究,小区分18040:機械要素およびトライボロジー関連,漏えい,ガスケット,シール,表面粗さ,塑性変形,シーリング,接触,フランジ締結体,ナノリーク,金属接触,金属ガスケット,金属接触挙動,密封メカニズム,最適設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14876,名古屋工業大学,劉 暁旭,超短パルスレーザを用いた炭素系硬質被膜の表面機能創製,本研究の目的は超短パルスレーザによる多結晶CVDダイヤモンド・コーティング工具の刃先形状創製と耐摩耗性，切削性能を向上させる表面改質を単一プロセスとする新しい加工プロセスの開発である．CVDダイヤモンド工具切れ刃の大きい丸みと膜内部の多くのアモルファスな欠陥部の存在という課題を解決するために，フェムト秒レーザのアブレーション加工に着目し，鋭利な刃先を形成する際に工具刃先の各部分に異なる機能を付与させて総合的な切削性能を向上させるという新たなコンセプトを提案する．本研究によりプロセスの工程短縮が可能となり，さらにはCVD工具の性能を飛躍的に向上させることを目指す．,若手研究,小区分18040:機械要素およびトライボロジー関連,CVDダイヤモンド・コーティング工具,フェムト秒レーザ,刃先成形,表面改質,pulse laser grinding,切削性能,CVDダイヤモンド・コーティング切削工具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K14875,富山大学,溝部 浩志郎,き裂の先端有効応力場の評価を通した転がり疲労下モードⅡ型き裂停留のメカニズム,軸受はもはや統計的に発生する破壊を許さず、定期検査による寿命保証の時代に入りつつある。寿命保障には内部せん断き裂進展下限界(ΔKⅡth)が重要な設計基準となるが、材料内部の停留き裂を観察できないことがボトルネックとなり、ΔKⅡthの直接測定ができなかった。そこで申請者が開発した炉―高周波併用加熱法により二重の材料硬化層を作成し、研究室が特許を持つ転がり疲労試験機を用いて、き裂の全数観察を行う。この組合せにより、転がり疲労下で発生した内部き裂を二重硬化層の間に誘導し、そのうち停留き裂を観察し、解析によりせん断応力を求め、ΔKⅡthを測定することを目的とする。,若手研究,小区分18040:機械要素およびトライボロジー関連,転がり疲労,介在物,き裂,炉ー高周波併用加熱,炉-高周波併用加熱法,非金属介在物,き裂進展下限界,二重硬化層,モードⅡ,下限界応力拡大係数幅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
