awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13772,防衛大学校(総合教育学群、人文社会科学群、応用科学群、電気情報学群及びシステム工学群),中村 僚兵,超広帯域レーダによるドローンの遠隔検知・識別技術の研究,本研究は，超広帯域（UWB）レーダを用いてドローンの遠隔検知・識別を行う手法の構築を行ったものである．その成果として，高距離分解能なUWBレーダを用いることで識別に有効なドローン固有の特徴的な反射波が得られることを明らかにした．また，深層学習を用いてその特徴的な反射波からドローンと鳥だけでなくドローンの機種を識別する手法を構築し，その有効性を確認した．,若手研究,小区分21030:計測工学関連,ドローン検知,レーダ,超広帯域,識別,深層学習,CNN,RNN,サポートベクタ―マシン,反射特性,各種ドローン,ミリ波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13771,国立研究開発法人産業技術総合研究所,武井 良憲,光学的手法に基づく新たな圧力計測システムの開発～広範囲を一台で高精度に計測～,本研究では、気体の屈折率を計測するために、ファブリ・ペロ共振器を用いた光学系を立ち上げた。また、恒温水を用いて真空チャンバ内の温度変動を制御した。さらに、重錘形圧力天びんを用いてチャンバ内の圧力を安定化した。それらの要素技術を統合して、精確に圧力の相対値を計測できる光学式圧力計を開発した。今後は、圧力の絶対値を計測できるように、光学式圧力計を発展させる。,若手研究,小区分21030:計測工学関連,圧力標準,ファブリペロ,屈折率,熱力学温度,真空,光学式圧力計,圧力,不確かさ,計測,絶対値,ファブリペロ共振器,光学的圧力計測,標準,計量,真空の圧力の絶対値計測,気体の屈折率計測,温度の絶対値計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13770,早稲田大学,桑江 博之,MEMSと液体有機ELの融合による高性能蛍光計測用光源の開発,超高齢化社会を迎え、患者の側で医療を行うためのon demand蛍光計測技術が注目されている。その中で、液体有機ELは液体の由来の特性を活かし新しい励起光源として注目されている。しかし、液体有機ELは従来の固体有機ELと比較し課題が残っている。本研究ではMEMS技術と液体有機ELの融合による高性能液体有機EL光源の実現を目的として研究を行った。,若手研究,小区分21030:計測工学関連,計測工学,有機EL,液体半導体,量子ドット,ＭＥＭＳ,計測システム,液体有機半導体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13769,成蹊大学,氷室 貴大,DNAインピーダンスを利用したDNA分解酵素センサの開発,微細な間隔を有する2つの電極間に固定化したDNAを利用して，心筋梗塞の診断マーカーとして期待されるDNA分解酵素を計測するデバイスを開発した．まず，ガラス基板上に微細な間隔を有する2つの薄膜電極を形成し，その上にPDMS製のマイクロ流路を構築した．静電配向を利用してDNAの伸長固定を行った後に，マイクロ流路を通じてDNaseを導入し，DNA切断に伴うインピーダンスの増加を計測することにより，DNase検出を試みた．DNAの抵抗成分の増加比とDNase濃度との相関を調べた結果，低濃度のDNase反応においても抵抗値の増加が確認され，その増加比はDNase濃度が高いほど大きくなることを確認した．,若手研究,小区分21030:計測工学関連,マイクロデバイス,DNA,DNA分解酵素,インピーダンス計測,静電配向,マイクロ流路,微小電極,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13768,徳島大学,水野 孝彦,デュアル光コム顕微鏡を用いたスキャンレス蛍光寿命イメージング法の開発,生きた細胞内の様々な現象を明らかにする上で有用な蛍光寿命画像を，機械的な駆動なく高速に取得可能とする顕微鏡法を開発した．本手法は，画像ピクセル情報とRF信号の間に1対1の対応関係を確立し，RF領域で画像情報を高速に測定することで，視野全体の蛍光強度画像と蛍光寿命画像の一括撮像を可能とする．このために，デュアル光コム干渉に基づいた光周波数モード列に対するビート付与と，波長/空間/蛍光変調周波数の多次元変換を組み合わせた蛍光寿命顕微鏡を開発した．実際に顕微鏡を構成し，蛍光強度画像と蛍光寿命画像の一括撮像を実証した．,若手研究,小区分21030:計測工学関連,分光学,光コム,デュアル光コム分光,超短パルスレーザー,蛍光分光,イメージング,蛍光顕微鏡法,デュアル光コム顕微鏡,蛍光寿命顕微鏡法,光コム顕微鏡,蛍光顕微鏡,蛍光寿命,デュアルコム分光,分光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13767,神戸大学,加納 伸也,呼吸を正確に計測する呼吸計の創成,呼吸計の高速化・高感度化を目的として、呼吸検知に利用する湿度センサのインピーダンス分光解析を行った。恒温恒湿槽を用いて、各種湿度環境下において湿度センサのインピーダンス分光解析を進めた。ナノ粒子のサイズと塗布条件を調節して、湿度センサの応答時間を2秒とすることに成功した。市販の医療用酸素マスクにセンサチップ部とデータロガーを張り付けることで、ポータブルな呼吸計を試作した。この試作品を装着することで、対象者の安静/歩行/走行時の呼吸数計測が可能であることを示した。既存の呼吸計測装置との比較対照実験を行い、走行時の呼吸数を試作品で精度よく計測できることを示した。,若手研究,小区分21030:計測工学関連,呼吸,湿度センサ,ナノ粒子,呼吸計,呼吸数,バイタルサイン,呼吸センサ,ヘルステック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13766,名古屋工業大学,高柳 真司,多重周回横波を利用したパイプセンサによる高感度液体計測,弾性波が伝搬している固体に液体を接触させると、その液体の粘性などの特性を受けて弾性波の音速や振幅が変化する。この変化を計測することで、弾性波の送受波間に負荷した液体の特性を計測できる。本研究では、液体への漏洩が少ない横波型弾性波をパイプ側面で周回させるセンサを作製した。まず、石英基板上に横波を励振可能なZnO薄膜を作製したセンサ構造について、弾性波伝搬シミュレーションを行った。その結果から、直径20mmのパイプセンサを作製した。弾性波伝搬特性や液体負荷特性を測定したところ、液体の粘性による振幅変化を確認できた。さらに、センサを小型化するため、直径6mmのパイプセンサ作製についても検討した。,若手研究,小区分21030:計測工学関連,圧電デバイス,酸化亜鉛薄膜,曲面成膜,弾性波,表面波,横波型,横波型弾性波,圧電薄膜,周回波,粘度センサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13765,名古屋大学,砂口 尚輝,異常透過回折現象を用いる高感度小角散乱X線撮像法の開発,本研究では，乳房組織内の微小な腫瘍組織を描出するために，従来よりも高感度な小角散乱に基づくX線イメージング手法を提案した．提案手法に基づく装置を高エネルギー加速器研究機構（KEK）に構築し，腫瘍組織の撮像実験を通じて有用性を実証した．また，撮像データから高精度に小角散乱を推定するデータ処理手法を合わせて開発した．本手法を用いて，初年度は小角散乱の検出限界を評価した．その結果，微小カーボン粒子密度約0.07g/ml以上の描出能を持つことが分かった．また，実際に乳癌を有す乳腺組織を撮像し，石灰化が存在しない乳癌の領域にコントラストをつけることができた．,若手研究,小区分21030:計測工学関連,小角散乱X線イメージング,X線CT,乳腺,放射光,乳癌,小角散乱,X線イメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13764,富山大学,長谷川 昌也,超精細断層像で生体内部の微細構造を詳細に観察する次世代型MRI技術の開発,本研究では、超精度解析法であるNHAを医用断層撮影装置であるMRIへ応用し、1.5テスラMRIで可視化が困難な700μm以下の体内深層の微細構造を観察できる超精細技術の開発を行った。実験では、市販の加工肉を物理ファントムとして、提案法によるMRI画像とFFTによるMRI画像を比較した。実験結果から、従来のMRI画像ではコントラストや大まかな組織の分布を観察できるが、微細構造を観察することは困難であった。一方、提案法によるMRI画像は、サイドローブの発生を大きく抑制し、従来のMRI画像では表現の難しい約0.4mmの距離にある強度の疎密分布や微細構造を可視化できている可能性を示した。,若手研究,小区分21030:計測工学関連,MRI,Non-harmonic Analysis,超精度解析,高分解能,超精細技術,医用断層撮影技術,Non-Harmonic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13763,東京医科歯科大学,當麻 浩司,投薬量最適化のための免疫抑制剤血中濃度モニタリングを目指した連続式センサの創製,本研究の目的は、臓器移植治療や自己免疫疾患治療などに用いられる免疫抑制薬による副作用の軽減・効能の最大化を実現するために、血中免疫抑制剤モニタリングシステムのセンサ技術を構築することであった。免疫抑制薬の濃度変化を連続的に捉えることで、個別に薬剤投与量の微調整が可能となり、副作用と薬効が最小かつ最大化された全で有効な治療法へ繋がる技術にむすびつくと考え、研究を進めてきた。2018年度には高感度な測定が期待できる表面プラズモン増強蛍光センサを構築し、蛍光溶液からの出力を確認した。2019年度には、マウス、抗マウス抗体によるモデル実験を行った後、免疫抑制剤であるシクロスポリンAの測定を試みた。,若手研究,小区分21030:計測工学関連,免疫センサ,免疫抑制剤,モニタリング,バイオセンサ,免疫抑制薬,プラズモン,連続測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
