awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13795,一般財団法人ファインセラミックスセンター,穴田 智史,動作時太陽電池の高精度電子線ホログラフィー観察,動作時太陽電池の電子線ホログラフィー観察を実現するため，透過電子顕微鏡内の試料への光照射と電圧印加を同時に実施できる試料ホルダーを開発した．この試料ホルダーを用いて，電圧印加時のGaAs太陽電池素子構造の電子線ホログラフィーその場観察を行い，太陽電池内部の電位分布変化を高確度且つ高精度に計測することに成功した．また，光照射下のGaAs太陽電池素子構造を電子線ホログラフィー観察することで，光起電力効果の起源である電位分布変化を定量的に評価することに成功した．,若手研究,小区分21050:電気電子材料工学関連,太陽電池,電子線ホログラフィー,オペランド観察,機械学習,スパースモデリング,光起電力効果,その場観察,光照射,電圧印加,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13794,国立研究開発法人産業技術総合研究所,岡田 直也,遷移金属内包シリコンクラスター薄膜における銅の拡散防止機構解明と拡散係数制御,"新しい半導体薄膜である「タングステン（W）原子内包シリコン（Si）クラスター（WSin, n: 6~12）をランダムに配列したアモルファスシリサイド膜（WSin膜）」には、Cuに対する特異的に優れた拡散防止機能がある。本研究では、系統的な研究でWSin膜のCuの拡散防止機構に対する確証を得ると共に、材料組成nの選択による拡散制御を可能にした。特にn=8と12がCu拡散バリア膜として有効であることを明らかにし、WSin膜中では、構成原子のWとSiが強固な共有結合を形成することで、優れた熱的構造安定性を持ち、CuやCo原子の熱拡散が抑えられることを示した。",若手研究,小区分21050:電気電子材料工学関連,CVD,シリサイド,トランジスタ,クラスター,信頼性,拡散,金属接合,拡散バリア,遷移金属内包シリコンクラスター,半導体,Cu,デバイス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13793,国立研究開発法人物質・材料研究機構,中谷 友也,ホイスラー合金/導電性酸化物接合における界面巨大磁気抵抗と磁気センサへの応用,ハードディスクの読み取りセンサなど、微小な空間の磁気を検出する磁気センサの実現には、素子抵抗が小さく、センサの出力である磁気抵抗比が大きな、面直通電型の巨大磁気抵抗（CPP-GMR)素子が重要である。本研究では、高いスピン分極率をもつホイスラー合金強磁性層と、新規な導電性酸化物と非磁性金属のコンポジットスペーサーを開発により、実用素子で世界最高となる従来比2倍以上の磁気抵抗比を実現した。これは、スペーサー前駆体であるAg-In-Zn-Oとホイスラー合金中のMnの酸化還元反応により、MnOマトリックス中にナノサイズのAgパスが分散した電流狭窄構造が自己組織化したためであると確認された。,若手研究,小区分21050:電気電子材料工学関連,巨大磁気抵抗効果,ホイスラー合金,スピン依存伝導,自己組織化,巨大磁気抵抗,磁気ヘッド,磁気センサ,非磁性スペーサー,スピントロニクス,磁気記録,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13792,早稲田大学,中須 大蔵,ファセット構造を利用したサファイア基板上テルル化亜鉛薄膜の面方位制御技術の開発,本研究課題は、サファイア基板上ZnTe薄膜の配向性を制御するため、熱処理を用いたファセット基板の作製と分子線エピタキシーにより作製したサファイア基板上ZnTe薄膜の配向性の検討を行った。熱処理によりファセット構造が生じる基板面方位は複数あった。 (10-11)ファセット面上ZnTe成長を利用し、(1-100)面オフ基板上ZnTe薄膜のオフ角制御によりZnTe薄膜の面方位制御が可能である。,若手研究,小区分21050:電気電子材料工学関連,II-VI族化合物半導体,テルル化亜鉛,サファイア,分子線エピタキシー,極点図法,分子線エピタキシー法,サファイア基板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13791,大阪大学,市川 修平,超短パルス時間分解光電子分光測定によるワイドギャップ半導体の表面再結合速度の同定,半導体光・電子デバイス、近年キャリア輸送特性に関する研究が盛んに行われている。現行のキャリア再結合寿命の評価手法として、時間分解フォトルミネセンス法やマイクロ波光導電減衰法等が用いられているが、これらの評価手法による検出信号は試料深さ方向の影響を強く受けるため、表面再結合の影響を切り分けたキャリア寿命の測定は容易ではない。本研究では、表面に敏感な紫外光電子分光測定において、フェムト秒パルスレーザーをポンプ・プローブ光に用いることで時間分解二光子光電子分光測定系を構築し評価を行うことで、ワイドバンドギャップ半導体をはじめとする半導体表面での再結合寿命の直接的評価が可能であることを示した。,若手研究,小区分21050:電気電子材料工学関連,表面再結合,二光子光電子分光,キャリア寿命,光電子分光,時間分解,角度分解,砒化ガリウム,ワイドギャップ半導体,時間分解光電子分光,表面再結合速度,超短パルスレーザー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13790,大阪大学,今村 健太郎,連続した界面のヘテロ接合創製と結晶シリコン太陽電池特性の向上,結晶シリコンを化学的転写法によって溶解させることで、ナノ結晶シリコン層/結晶シリコン構造を形成した。透過電子顕微鏡観察によって、化学的転写法の反応条件を検討し、均一なナノ結晶シリコン層の形成を可能とした。シリコンナノ結晶層の空孔率は、エリプソメトリー解析から見積もり、バンド構造は、X線光電子分光測定、フォトルミネッセンス測定、ケルビンプローブフォース顕微鏡測定から見積もった。本研究によって急峻なバンド構造を有するナノ結晶シリコン層/結晶シリコン構造の形成を可能とした。ナノ結晶シリコン層へのボロン拡散工程の改良によって高効率化の可能性を見出した。,若手研究,小区分21050:電気電子材料工学関連,シリコン太陽電池,ナノシリコン,ヘテロ接合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13789,大阪大学,山田 晋也,構造欠陥制御によるホイスラー型熱電変換材料薄膜の低熱伝導率化と高熱電性能の実証,"近年，低環境負荷の新しい熱電変換材料としてFe系フルホイスラー合金(Fe2VAl, Fe2TiSi等)が注目され始めているが，その作製の難しさから信頼性の高い薄膜作製技術開発や物性評価が十分に行われてこなかった，本研究は，Fe系フルホイスラー合金薄膜の作製技術を確立し，バンド構造由来の電気・熱電物性の制御を実証した．また，結晶規則度制御で熱伝導率を制御できる新たな可能性を見出した．Fe系フルホイスラー合金の熱電応用への可能性を広げ，薄膜熱電変換素子の実現に向けた指針を示すものである．",若手研究,小区分21050:電気電子材料工学関連,ホイスラー合金,熱電変換材料,薄膜,熱伝導率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13788,京都大学,池之上 卓己,ミストCVD法によるワイドバンドギャップp型酸化物半導体の実現とデバイス応用,本研究では、次世代のパワーデバイス応用に不可欠なp型酸化物半導体として酸化ニッケル (NiO) に注目し、低環境負荷で高品質な成膜が可能なミストCVD法を用いた成膜を行った。結果として、α-Al2O3基板及びMgO基板上に高品質なNiO薄膜の成長を実現した。また、p型の導電性制御として、Liドーピングを試み、広い範囲にわたるキャリア濃度制御を実現した。,若手研究,小区分21050:電気電子材料工学関連,ワイドバンドギャップ半導体,p型酸化物半導体,酸化ニッケル,ミストCVD法,p型ワイドギャップ半導体,NiMgO,p型,酸化物,ワイドバンドギャップ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13787,九州大学,稲葉 優文,量子コンピューティングに向けたダイヤモンドオンチップ光回路に関する研究,ダイヤモンド基板上に、量子ビットになる窒素-空孔中心を配し、それを光回路で結ぶことを目指した基礎検討として、ダイヤモンドの選択成長技術と、ダイヤモンド微粒子の配列技術に関して研究を遂行した。,若手研究,小区分21050:電気電子材料工学関連,ダイヤモンド,選択成長,誘電泳動,光導波路,量子コンピューティング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13786,静岡大学,志村 洋介,多種フォノン散乱機構の複合導入による多元系IV族半導体混晶の飛躍的熱伝導率低減,熱電変換素子の高効率化に向け、絶縁膜上の多結晶シリコンゲルマニウムスズ(SiGeSn)三元混晶における結晶粒界および重いSn原子による熱伝導率の低減を目指し、スズナノドット(Sn-ND)をテンプレートに用いた多結晶ゲルマニウムスズ(GeSn)および多結晶SiGeSnの作製プロセスの構築とその熱電特性評価を行った。Sn導入により他の特性を劣化させることなく熱伝導率のみを低減可能と期待され、その物理的原因が混晶化に伴って新たに形成される局所構造の振動がSnによって変調されることにあると見出した。,若手研究,小区分21050:電気電子材料工学関連,ゲルマニウム,スズ,熱電変換,結晶成長,多結晶,薄膜,X線非弾性散乱,ナノドット,フォノン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
