awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13843,日本工営株式会社中央研究所,一言 正之,人工知能による都市河川のリアルタイム洪水予測,高解像度な雨量データおよび深層学習を用いて、これまで予測が困難とされてきた都市中小河川における迅速かつ高精度な河川水位予測モデルを構築し、鶴見川にて実証した。また畳み込みニューラルネットワーク（CNN）を用いて高解像度の雨量レーダを直接読みこめるモデルを構築し、複数流域にて実証した。その他、物理的なモデルとのハイブリッドや、説明可能なAI（XAI）の適用、データ拡張による未経験事象への適用性向上などの高度化を行った。最終年度には深層学習を用いた流出解析のレビュー論文を発表した。また本研究のメインテーマである水位予測からの発展形として、人工知能による外水氾濫の浸水域予測技術の基礎検討を行った。,若手研究,小区分22040:水工学関連,洪水予測,河川水位予測,ダム流入量予測,都市河川,機械学習,深層学習,人工知能,氾濫予測,ニューラルネットワーク,XRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13842,国立研究開発法人土木研究所,原田 大輔,中山間地河川における流砂・流木及び洪水流に関する研究,本研究では移流拡散方程式を用いた流木の解析法と，連行の概念を用いた微細土砂の解析法を新たに提案し，提案する手法の妥当性を水理実験によって検討しつつ，解析法を平面二次元流れの解析に導入した．この解析法を2017年の九州北部豪雨における赤谷川，2018年の西日本豪雨災害における総頭川，2019年の東日本豪雨における五福谷川といった中山間地河川で生じた災害事例に適用した．流砂，流木それぞれの挙動が洪水流に伴う河床変動，河床材料の変化を引き起こし，そのことがまた洪水流の変化を引き起こすという一連の現象の取り扱いを可能にした．,若手研究,小区分22040:水工学関連,中山間地河川,流路・河床変動,流木,微細土砂,平面二次元洪水流解析,流砂・河床変動,平面二次元洪水流,土砂動態,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13841,国立研究開発法人防災科学技術研究所,加藤 亮平,局地的大雨予測のための雲レーダー同化手法の開発,本研究では、雨粒が形成される前の雲粒を観測することできる雲レーダーの同化手法を開発することで、局地的大雨に対して短時間の数値予測の精度向上を目指した研究を行った。局地的大雨を引き起こした積乱雲を1分毎の超高頻度で捉えることに成功した特別観測による雲レーダーデータを、ナッジングと呼ばれる手法で同化し、数値予測の初期値を改善することで、従来の時間補外ベースのナウキャストでは難しかった、雨が降る前の段階からの局地的大雨の予測に成功した。,若手研究,小区分22040:水工学関連,雲レーダー,データ同化,数値予測,局地的大雨,ナウキャスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13840,東京理科大学,仲吉 信人,地上気象ビッグデータ取得デバイスの開発，およびデータ同化による気象数値実験,地上微気象を測定するIoTデバイス、および地上に置いた複数台のカメラから雲の移流速度の同定技術を開発した。IoTデバイスでは気温、湿度、風速、短波・長波放射を測定し、測定データは低消費電力無線通信LPWAにより送信する。雲の移流速度測定技術は、立体視により雲輪郭の3次元座標を同定し、その時間変化から移流速度を求める。デバイス開発に加えて、開発技術が普及し地上微気象のビッグデータが入手可能な社会を想定し地上気象ビッグデータの気象シミュレーションへの同化インパクトを3次元変分法により評価した。1.2 km格子と6 kmの同化解像度で試したが空間解像度が高くなっても計算精度の向上は確認されなかった。,若手研究,小区分22040:水工学関連,市民科学,WRF,LPWA,IoT気象センサデバイス,気象シミュレーション,グローブ風速放射センサ,人体熱収支,ウェアラブルセンサ,移動観測,グローブ風速放射計,次世代型観測網,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13839,中央大学,竹村 吉晴,波状跳水から完全跳水への遷移を伴う流れと水面変動の準三次元解析法の研究,従来の水深積分モデルは境界面（水面・底面）での逆流（剥離）を解析できないため，跳水形態の遷移，減勢工背後の逆流域形成をモデル化する必要があった．本研究では，境界面での逆流（剥離）とこれに伴う流速分布の変形を解析するために，境界面上の流れの方程式系を用い，跳水及びその減勢区間における非静水圧準三次元解析法（Q3D-FEBS）を開発した．Q3D-FEBSを既往実験に適用し，波状跳水，完全跳水，波状跳水から完全跳水への遷移過程を解析できること，大河津新第二床固の大型水理模型実験を対象とし，跳水及びその減勢区間の流れに対するQ3D-FEBSの有効性を示した．,若手研究,小区分22040:水工学関連,波状跳水,完全跳水,準三次元解析,非静水圧分布,Q3D-FEBS,河川構造物,バッフルピア,非静水圧,準三次元解析法,河川横断構造物,水深積分モデル,跳水,洪水流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13838,大阪大学,中谷 祐介,感潮河川網におけるスカム動態の解明と解決策の提案,下水道越流水が流入する都市河川では，降雨後に大量の浮遊汚泥（スカム）が河面を埋め尽くす．スカムは水域生態系や生活環境に悪影響を及ぼすことから，早急な解決が強く望まれている．本研究では，大阪府寝屋川水系～大阪市内河川を対象として，感潮河川網で発生するスカムの動態を明らかにし，具体的な解決策を提案することを目標とした．,若手研究,小区分22040:水工学関連,河面観測システム,AIを利用したカメラ画像解析,スカム動態予測モデル,感潮河川,浮遊汚泥スカム,現地調査,画像解析,数値シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13837,京都大学,田中 智大,経済的リスク分散策の評価に向けた三大都市圏の水害同時発生リスクの定量的評価,近年，毎年のような豪雨によって河川の堤防を超える洪水が頻発化し，甚大な被害が発生している．今後の気候変動によりさらに甚大な被害が予想されることを見据え，本研究では，特に甚大な経済的損失が予想される関東・中部・関西圏の主要都市を含む荒川流域，庄内川流域および淀川流域を対象に洪水流と洪水被害金額をコンピュータシミュレーションするプログラムを構築した．特に，淀川では流域面積が大きさことを考慮して，降雨の空間的な分布を考慮して豪雨の発生頻度を設定するモデルを構築し，庄内川では下水氾濫の頻度が高い名古屋市の下水道モデルを構築するなど，各流域の特性を反映した洪水被害算定モデルを構築した．,若手研究,小区分22040:水工学関連,洪水リスク評価,三大都市圏,荒川流域,庄内川流域,淀川流域,気候変動,全球気候モデル,d4PDF,分布型降雨流出モデル,同時氾濫確率,同時被災リスク,リスクカーブ,コピュラ関数,内外水氾濫,同時洪水リスク,確率豪雨発生モデル,内外水氾濫一体型モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13836,名古屋大学,中村 晋一郎,堤防発達プロセスの解明と将来予測,本研究課題は、水害リスクの適切な将来予測に資するために、人間社会-水文システムの相互作用に着目した堤防の発達プロセスを解明しモデルを構築することで、将来の堤防発達プロセスを予測するものである。本研究では木曽川を対象に、A. 堤防空間データを含むデータベースを作成し堤防発達プロセスを解明・モデル構築・検証を行い、本モデルを将来の土地利用に適用することで、B. 堤防発達プロセスの将来予測の可能性を検討した。その結果、堤防と土地利用の関係は地域によって全く異なり、水害の有無や都市計画、交通インフラの整備状況といった社会-水文の状況が強く影響することを明らかとなった。,若手研究,小区分22040:水工学関連,堤防,プロセス,土地利用,将来,発達プロセス,空間データベース,社会水文,水害リスク,将来予測,社会水文学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13835,岐阜大学,丸谷 靖幸,流域圏を対象とした気候変動抑制に向けた温室効果ガスの源である炭素流出機構の解明,世界中において気候変動が問題となっており，豪雨に伴う河川氾濫などの被害が頻繁に生じている．この気候変動の要因の1つである炭素を主な研究対象として，流域圏における温室効果ガスの源である炭素（物質）の流出機構の解明を主な目的として研究を実施した．本研究では，分布型水文流出モデル（水工学）と陸域生態系モデル（森林生態学）といった異なる研究分野で開発された数値モデルの統合により，物質流出機構を解明することを試み，両モデルをオフライン結合ではあるものの，統合化することが可能となった，また，気象観測データが乏しく適用が難しい地域でも本モデルによる解析を可能とするため，疑似観測データ作成手法の開発も行った．,若手研究,小区分22040:水工学関連,気候変動,流域圏,物質循環,流出モデル,陸域生態系モデル,再解析データ,陸域物質循環モデル,水文流出モデル,擬似観測データ,水・物質動態,分布型水文・物質動態モデル,物質動態,炭素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13834,東京大学,渡部 哲史,流出量に対する統計的ダウンスケール手法の開発,本研究では流出量に関する統計的ダウンスケーリング手法について、全球および日本域で既存の手法群の特徴と精度評価を行い、それぞれの領域に適した手法の提案および日本域において精度向上に資する流出量データセットを開発した。また、調査結果を基に手法に関する解説を公表するなど手法普及に貢献した。さらに、研究で整備したデータの活用を活用した気候変動の影響評価研究でも大きな成果が得られた。具体的には2019年から2020年における記録的な少雪の特徴について解明した。また、「気候変動を踏まえた治水計画の在り方」提言において公開されている将来変化倍率と同様の情報を平水流量や低水流量、渇水流量を対象として算出した。,若手研究,小区分22040:水工学関連,気候変動,流出量,統計的ダウンスケーリング,バイアス補正,水文気象,ダウンスケーリング,河川流量,水文モデル,陸面過程モデル,降水量,気候変化,バイアス補正手法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
