awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13854,一般財団法人運輸総合研究所総合研究部,安部 遼祐,自動運転車の長期展望：交通需要への影響の理解と我が国の交通戦略,本研究は，自動運転車が交通行動と交通需要に与える影響を分析し，我が国の交通政策への示唆を得ることを目的とした．特に，自動運転車が公共交通分野に与える影響に関して基礎的な知見を得ることを主眼とした．具体的には，自動運転サービス（固定路線型とオンデマンド型）に関して，期待される効果の定量化，実現に向けた論点の整理，運行管理・安全性に対する利用者意識の分析を行った．さらに，自動運転車の活用方策として，駅までのラストマイル型自動運転サービスに着目し，その受容性や需要特性，都市圏内のアクセシビリティや鉄道需要への影響の分析を行った．,若手研究,小区分22050:土木計画学および交通工学関連,自動運転,モビリティサービス,交通計画,公共交通,都市交通,自動運転車,交通行動,交通政策,鉄道,交通システム,交通需要,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13853,福岡大学,吉城 秀治,都市における「マナー違反」の見える化を通じた快適なみちづくり設計,本研究では、商業地および住宅地における快適なみちづくりのための検討を進めてきた。まず、商業地における迷惑行為である路上喫煙を対象として、その発生特性を理解するために「注意書き」に着目した。若年層の路上喫煙行為の発生位置情報は民間による注意書きによって代替できることを明らかにしたとともに、路上喫煙行為が発生しやすい空間の特性についても明らかにしている。また、住宅地では、近年トラブルになりつつある道遊びに着目しており、地域住民の道遊びに対する意識について分析した。そして、地域において道遊びが容認され、または容認されない道路空間や状況の特徴を明らかにしている。,若手研究,小区分22050:土木計画学および交通工学関連,地区交通計画,路上活動,路上喫煙,道遊び,注意書き,迷惑行為,空間解析,歩行者,マナー違反,街路整備,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13852,愛媛大学,白柳 洋俊,空間移動時のFDI効果に関する研究,本研究では，空間移動時におけるFDI（Filled-Duration Illusion）として，まちなか回遊時における空間体験に対象にFDIを発現させる視覚刺激強度を定量化し，当該刺激強度が歩行者の経過時間認知に与える影響を明らかにした．具体的には，まちなか回遊時における街並みの認知を街並ファサードの系列的な認知と抽象化した上で，街並ファサードの視覚刺激強度を印象価及び文脈効果により定量化し，当該強度が経過時間認知に与える影響をラグ数判断課題に基づく時間評定課題により検証した．その結果，視覚刺激強度が高い街並ファサードは，経過時間認知を伸長させることを明らかにした.,若手研究,小区分22050:土木計画学および交通工学関連,Filled-Duration Illusion,視覚刺激,主観的経過時間,ヴィジランス低下,FDI効果,店舗ファサード,空間移動,空間デザイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13851,鳥取大学,長曽我部 まどか,防災行動定着のためのダイアローグマネジメント手法の開発,防災ワークショップでは，参加者が学習し情報を共有することのみに留まらず具体的な解決策を提案し実行することが求められている．すなわち「提案や行動を促す話し合い」を行う必要がある．そのためには，話し合いの構造を明らかにすることに加え，住民の行動の要因を明らかにする必要がある．本研究では，中山間地域を対象として(1)住民の話し合いに着目した研究と(2)集落活動に着目した研究を行った．,若手研究,小区分22050:土木計画学および交通工学関連,ワークショップ,テキストマイニング,アンケート,新聞,防災,集落,共助活動,住民参加,ニュースサイト,新聞記事,機械学習,防災計画,地区防災計画,ダイアローグ・マネジメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13850,鳥取大学,大平 悠季,空き店舗を活用したタウンマネジメント方策の提案,本研究は，地方都市の中心市街地の魅力の形成要因を解明し，効果的な活性化施策に向けた示唆を導出することを目的として，現地調査による中心市街地の詳細な土地利用状況および賑わいのデータ収集と多変量解析やネットワーク分析を援用した実証分析を行った．具体的には，賑わいを路線価，歩行者通行量，空き店舗率といった多様な側面から捉え，中心市街地の賑わいの形成要因を解明する分析枠組みを構築し，賑わい向上の観点から重要な都市空間構造上の特性を導出した．,若手研究,小区分22050:土木計画学および交通工学関連,中心市街地,都市空間構造,賑わい,空き店舗,歩行者通行量,地価,施設配置,土木計画,街路ネットワーク構造,店舗集積,営業時間帯,施設立地,タウンマネジメント,営業時間,商業集積,街路ネットワーク,都市構造,中心市街地活性化,相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13849,京都大学,瀬木 俊輔,在庫管理費用とサプライチェーンの構造の関係を考慮した商店立地に関する理論分析,本研究は、小売企業の在庫管理戦略（在庫の発注タイミングやロットサイズ、在庫切れを防ぐための安全在庫の積み増し）を明示的に考慮した、商店と物流センターの立地均衡モデルを定式化した。このモデルを分析することにより、都市内道路整備による物流の円滑化が、都市内物流センターやチェーン店の立地パターンを再編する効果と、消費者の買い物利便性を改善する効果を有することを示した。さらに本研究は、実際の都市圏を対象とした立地均衡モデルの活用に向けた基礎的技術の開発を行った。,若手研究,小区分22050:土木計画学および交通工学関連,サプライチェーン,物流,在庫管理,商店,物流センター,立地論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13848,名古屋工業大学,中居 楓子,津波防災の文化化はいかにして可能か―数理的定式化による理論的枠組みの構築,本研究では災害と共存する社会を実現するための方策としての「避難」に着目し，南海トラフ地震による津波被害が予測されている高知県を主なフィールドとして，個人およびコミュニティの防災に関する実践を文化として長期的に維持させる方法を検討した．住民による自発的な防災活動の事例研究とシグナリング・ゲームによるモデル化を通じて，現場の平常時の実践と，その実践が災害時の避難に及ぼす効果を繋ぐ理論的枠組みを構築した．,若手研究,小区分22050:土木計画学および交通工学関連,防災文化,津波,避難,コミュニティ,津波てんでんこ,シグナリング・ゲーム,津波防災文化,津波避難計画,防災,非常用持ち出し品,要支援者避難,社会的ジレンマ,津波防災,文化化,進化論的アプローチ,社会的規範,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13847,岐阜大学,杉浦 聡志,利用者への影響を考慮した高規格道路の大規模更新工事に関する計画方法の開発,わが国では老朽化した道路施設の拡大に対応するための大規模更新事業が進められているところである．本研究では高規格道路の大規模更新工事に着目し，以下2点の手法論を構築した．1つ目は渋滞・迂回等の利用者に生じる費用と施工費用を考慮した目的関数を最適化する工法選択手法．2つ目は複数存在する施工区間においてプロジェクト期間での利用者の渋滞・迂回等による費用を最小化を図る施工スケジュール最適化手法．,若手研究,小区分22050:土木計画学および交通工学関連,大規模更新,維持管理,PERT,ネットワークデザイン問題,ネットワーク解析,更新工事スケジューリング,タブーサーチ,大規模更新工事,インフラメンテナンス,社会的費用,施工計画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13846,東京工業大学,中西 航,点過程理論による交通量変動メカニズムの記述とその交通制御への応用,道路上の車両到着時刻を非集計データと捉えてモデル化を行ったとき、現状の交通制御手法に新たな展開をもたらすことができるかという問題意識のもとで研究を行い、以下の成果を得た。まず、断面交通量の非集計モデル化に向けて従前の点過程モデルの整理を行い、交通量に適用するための要件を整理した。続いて、複数の車両検知器における車両到着を点過程としてモデル化し、時空間的に推移する交通量変動をひとつのモデルで記述した。同時に、ミクロ-マクロ関係の整合性を高めるために、交通量を集計する時間単位や交通量の日内変動を記述する手法の精緻化と、流率密度関係を記述する手法の高度化を行った。,若手研究,小区分22050:土木計画学および交通工学関連,交通量変動,点過程,時空間相関,点過程モデル,車両到着密度,時空間相関構造,車両到着頻度,対数線型モデル,非定常分布,非線形モデル,動的変動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13845,東京大学,小谷 仁務,コンテクストと物理的環境に着目した知識の普及過程に関する社会ネットワーク分析手法,土木インフラ（物理的環境）では祭りや地域行事などのイベントが催され、それによって地域社会のつながりが形成されうる。そして、そのつながりが防災や災害復興に寄与しうる。本研究課題では、(1) 土木インフラ存在下での社会ネットワーク形成過程、（2）ネットワーク形成と知識・情報の普及過程、（3）知識・情報の伝達が復興や防災に与える影響について、理論・実証モデルを開発し、分析した。土木インフラの形態が社会ネットワーク形成に与える影響や、情報の送り手と受け手の間に存在するコンテクストの観点から望ましい情報提供の在り方を分析可能な枠組みを提示できた。,若手研究,小区分22050:土木計画学および交通工学関連,社会ネットワーク,土木インフラ,ネットワーク形成,知識・情報伝達,災害復興,技術導入,復興メカニズム,定性的情報,災害対応,ベイジアン構造方程式モデリング,数値シミュレーション,ベイズ統計モデル,防災・減災,ゼロ・エネルギー・ハウス,ネパール,台湾,コンテクスト,社会ネットワーク分析,知識・技術・情報,普及,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13844,東北大学,水谷 大二郎,画一的維持管理ルールに基づくインフラマネジメント手法の開発,社会基盤施設の公共性を考えると，管理者はその価値を最大化するようにアセットマネジメントを行ってゆく必要がある．一般的に，社会基盤施設は複数の部材などの要素により複合的に構成されている．本研究では，これらの要素に対する補修行為において，隣接した要素の同時補修を考慮し，ライフサイクル費用の更なる低減を図るための方法論を開発した．具体的には，劣化が進展し必ず補修すべき要素からどの程度離れていてどの程度劣化している要素を同時補修すべきかという問題を考え，補修意思決定の基準を導出するための方法論を提案し，実在の規模の社会基盤施設においても，提案方法論が有用となることを確認した．,若手研究,小区分22050:土木計画学および交通工学関連,アセットマネジメント,インフラマネジメント,最適化,補修・規制施策,補修同期化,簡便的ルール,動的計画法,維持管理,統計学,インフラ廃棄問題,画一的維持管理ルール,インフラネットワーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
