awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13863,国立研究開発法人土木研究所,李 善太,環境水と下水処理場における大腸菌ファージ種の網羅的検出による微生物汚染源の追跡,宿主菌による前培養後に次世代シーケンス(NGS)を行うことで感染力を有するF特異RNAファージ(FRNAPH)種を網羅的に検出することができた。この手法を用いて下水試料から感染力を有する32のFRNAPH種を検出することができた。さらに、消毒後に残存する消毒耐性が強い可能性があるFRNAPH種も特定することができた。FRNAPH遺伝子群が検出されたブタの糞便試料を用いて本研究で開発した手法により検出した結果、GIVに属するFIが多く検出された。このことから、環境水中においてFRNAPHのGIVに属するFIを検出することで、ブタ由来の微生物汚染の有無を確認できる可能性が示唆された。,若手研究,小区分22060:土木環境システム関連,大腸菌ファージ,次世代シーケンス,感染力,網羅的検出,F特異RNAファージ,微生物汚染源追跡,下水処理場,消毒,微生物汚染源,動物糞便,消毒処理,次世代シーケンサー,感染力評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13862,都城工業高等専門学校,黒田 恭平,菌類－バクテリアの共生系を活性化させた高付加価値きのこ栽培技術の創生,国内の下水処理場からは年間227万トンの下水汚泥が排出されており，下水汚泥が有機分を多く含む特性を活かした利活用方法が求められている．これまで，下水汚泥堆肥を培地基材に利用することでマッシュルーム子実体の収量が従来法と比較して1.2-1.8倍に増加することを確認している．しかしながら，マッシュルーム子実体の収量が増加した詳細なメカニズムは不明である．本研究では，マッシュルーム (Agaricus bisporus) に着目し，下水汚泥を用いることによる培地中の微生物叢の変遷，子実体に生息する微生物叢の解明，これら微生物群が菌糸成長に与える影響について評価を行った．,若手研究,小区分22060:土木環境システム関連,共生きのこ生産学,高付加価値きのこ,下水汚泥肥料,共生微生物,活性化,下水汚泥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13861,石川工業高等専門学校,小杉 優佳,硫黄サイクル、鉄サイクルおよびANAMMOXを活用した酪農排水の新規処理法の開発,排水の窒素除去法として硝化脱窒法が広く利用されているが，硝化のためのエネルギー消費が大きいなどの課題がある．本研究では，有機性排水の新規窒素除去法として，硫黄サイクルを活用した処理法にANAMMOXを組み込んだSRDAPNプロセスを提案する．,若手研究,小区分22060:土木環境システム関連,窒素除去,ANAMMOX,酪農排水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13860,国立研究開発法人国立環境研究所,羽深 昭,リン吸着膜を活用した下水汚泥からリン回収およびバイオガス生成プロセスの構築,下水汚泥を嫌気性消化することでメタンを含むバイオガスを得ると同時に，リン吸着剤またはリン吸着膜を使用し，嫌気性消化過程で溶出したリン酸イオンを吸着回収するプロセスを構築した．リン吸着膜を使用することで固液分離とリン吸着は同時に達成され，クロスフローろ過により膜の目詰まりを抑制しつつ，50時間以上の連続膜ろ過とリン吸着を達成した．リン吸着剤を充填したカラムを嫌気性膜分離リアクターに接続し，約3か月間の連続運転を行った結果，投入した全リンのうち約14%が溶出してリン酸イオンとなり，さらにそのうちの80%を回収できた．,若手研究,小区分22060:土木環境システム関連,資源回収,嫌気性消化,メタン発酵,嫌気性膜分離,吸着剤,分離膜,リン吸着剤,リン回収,AnMBR,下水汚泥,混合生汚泥,膜分離,クロスフローろ過,水処理膜,ジルコニウム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13859,岐阜大学,石黒 泰,浄化槽の真の微生物漏出リスクの解明,浄化槽から水環境に放出される微生物リスクを正確に評価するために，浄化槽処理水質に細菌が与える影響とVBNC状態（生きているけれども培養できない）の細菌も評価できる検出法を用いて細菌の漏出リスクの評価を行った．,若手研究,小区分22060:土木環境システム関連,浄化槽,汚水処理,細菌群集,次世代シーケンス解析,リアルタイムPCR,Propidium monoazide,細菌群集構造,次世代シーケンサー,処理水質,VBNC細菌,細菌,VBNC,塩素消毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13858,山梨大学,八重樫 咲子,環境DNAを利用した新たな水生昆虫種多様性解析手法の確立と季節変動の評価,近年、水生生物が水中に放出した環境DNAを利用した生物調査方法が開発された。特に次世代シーケンサーを利用したアンプリコン解析とDNAバーコーディングを組み合わせた網羅的な種多様性調査手法は新たな水圏生物調査手法として注目されている。この手法は魚類では研究開発が進む一方で、水質や流量調節などの人為的環境改変の指標生物となる水生昆虫を対象とした環境DNA研究は少ない。そこで本研究では水生昆虫を対象とした環境DNAバーコーディングの手法を検討し、環境DNA分析による水生昆虫の季節変動の調査を行なった。,若手研究,小区分22060:土木環境システム関連,水生昆虫,環境DNA,DNAバーコーディング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13857,東京大学,端 昭彦,自然水中における腸管系ウイルスの不活化要因の解析,河川水等の環境水試料を対象に，水試料中のウイルス，細菌同時濃縮手法として，中空糸UF膜を用いた手法を確立した．これを用い，幅広い水試料を対象に，ウイルスの定量を試みた．定量に際しては活性に基づく定量法と遺伝子数に基づく定量法を適用し，両者の比較により不活化率の推定を試みた．ウイルスの不活化率は夏季や消毒剤の存在時に高くなる傾向にあった．特にこれらの条件下では，遺伝子定量に基づくウイルス定量値は感染リスク評価に際し過大評価を与えることが示唆された．,若手研究,小区分22060:土木環境システム関連,腸管系ウイルス,健康関連微生物,大腸菌,不活化率,水環境,健康関連ウイルス,感染リスク評価,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13856,山形大学,西山 正晃,アジアの水環境におけるバンコマイシン耐性腸球菌の分布実態と伝播機構の解明,東南アジアと日本の水環境から試料を採取し，バンコマイシン耐性腸球菌（VRE）の分布調査を実施した。タイと日本の下水処理場からVRE株のスクリーニングし、VREに関わる耐性遺伝子を検出した結果，vanAがタイと日本の流入下水からそれぞれ14%（139株），0.5%（184株）検出された。日本とタイで分離したvanAを保有するVRE株20株について耐性遺伝子の伝播を評価したところ，日本で分離した菌株のみ伝播が確認され，その伝播率は10-7～10-8の範囲であった。一方，タイで分離した19株のVREは接合伝達による伝播が確認されなかったことから，伝播機構に差があると考えられた。,若手研究,小区分22060:土木環境システム関連,バンコマイシン耐性腸球菌,東南アジア,薬剤耐性,水環境,下水処理場,水平伝播,VRE,バンコマイシン耐性遺伝子,流入下水,下水,活性汚泥,腸球菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13855,東北大学,Amarasiri Mohan,Effects of antibiotics in wastewater on the removal of human enteric viruses by specific interaction between virus and wastewater solids,アミカシンとクロラムフェニコールのEnterobacter cloacaeに対するMICをE―テストを使用して評価した。その後、細菌を抑制レベル以下の薬剤濃度で培養した。 SMP、LB-EPS、TB-EPSの生産を抽出して抽出された画分の炭水化物およびタンパク質濃度を測定した。励起発光マトリックス蛍光分光法によりEPS構造の変化を観察しました。その後、異なる薬剤濃度で増殖させたE.cloacaeの存在下でロタウイルスHAL1166の精密ろ過実験を行いました。,若手研究,小区分22060:土木環境システム関連,Enteric virus,ARB,ARG,Specific interaction,enteric virus,wastewater,antibiotics,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15131,国立研究開発法人産業技術総合研究所,吉川 美穂,微生物共生系を活用した土壌吸着クロロエチレン類の革新的浄化手法の確立,国内に潜在する十数万ヶ所の揮発性有機化合物（VOCs）による地下水・土壌汚染の殆どは、クロロエチレン類による汚染である。微生物の分解能を利用した浄化に関する研究は低コスト・低環境負荷などの観点から盛んに行われてきているが、浄化技術の普及には至っていない。その最大の原因は土壌粒子の吸着性により汚染物質がトラップされ、分解微生物が利用できないことにある。本研究では、クロロエチレン類を唯一完全分解・無毒化できるデハロコッコイデス細菌と共生可能なグルコース発酵微生物による、土壌構造の変化と汚染物質の溶出促進効果という新規視点で土壌の浄化促進を目指す。,若手研究,小区分22060:土木環境システム関連,バイオレメディエーション,クロロエチレン類,土壌,吸着,グルコース,発酵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
