awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13932,国立研究開発法人宇宙航空研究開発機構,張 科寅,C60フラーレン負イオンによるホールスラスタ放電のプラズマ乱流抑制,宇宙用電気推進のホールスラスタは，衛星の主推進系を担うようになってきているが，その主なエネルギー損失や損耗の要因と考えられる，電子乱流の発生要因については，未だ結論が出ておらず，更なる高性能化・高密度化の妨げとなっている．本研究では，不安定性制御の可能性を探るため，前例がないC60を導入したホールスラスタ放電を行った．結果として，C60導入により，放電モードが明確に変化し，また条件次第で放電が大きく不安定化することがわかった．PIC解析により，負イオン比率が一定量以上になると，急速に放電が不安定化することがわかった．このため，C60の活用には負イオン比率の制御が重要であることがわかった．,若手研究,小区分24010:航空宇宙工学関連,電気推進,ホールスラスタ,プラズマ乱流,数値シミュレーション,C60フラーレン,電気推進機,負イオン,電子乱流,宇宙推進,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13931,国立研究開発法人宇宙航空研究開発機構,井手 優紀,複素特性曲線法を用いた三次元境界層遷移の二次不安定性に関する研究,本研究では、定在渦中に重畳された二次元波束型撹乱の挙動を明らかにするため、まず基本の解析手法である二次元固有値問題を解く線形安定解析法（2DLST）の構築と複素特性曲線法（CRT）の定式化及び実装を行った。検証作業では2DLST及びCRT共に先行研究結果と良く一致することを確認した。次に、亜臨界ではあるが臨界状態に近い高さを持つ孤立円柱粗さの後流に対して構築した手法群を適用した。その結果、（調べたパラメータ範囲では）全体不安定性の必要条件である対数特異点は確認されなかったものの、本手法を用いてin-wakeとfar-wakeモードの各々が存在条件を満たすパラメータ範囲を決定することができた。,若手研究,小区分24010:航空宇宙工学関連,境界層遷移,安定性解析,複素特性曲線法,二次元固有値解析,孤立円柱粗さ,境界層安定性,孤立粗さ,流れの安定性解析,ウェイク不安定性,横流れ二次不安定,ウェイク不安定,圧縮性三次元境界層,横流れ二次不安定性,三次元境界層,二次不安定性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13930,国立研究開発法人宇宙航空研究開発機構,野村 哲史,CO2緩和反応モデル検証のための中赤外レーザー吸収分光法による温度分布計測,カプセルの火星大気突入環境を模擬した高速気流を膨張波管にて生成し、二酸化炭素の吸収線をレーザーを用いて計測した．レーザー波長を高速掃引することで、衝撃波到達からテスト気流、膨張波の到達までの吸収スペクトルを数百マイクロ秒の間、連続的に捉えることができた．その結果、テスト気流の並進温度は、熱化学平衡を仮定して算出される理想的な値よりも高いことが明らかになった．主な原因として、理想的には無反射にて衝撃波が伝播するとされる膨張波管装置の第二隔膜において、微小であるが反射が生じていることが考えられる．第二隔膜をより薄いフィルムへと変更することで反射を抑えられると考え、現在隔膜変更の効果を評価中である．,若手研究,小区分24010:航空宇宙工学関連,レーザー吸収分光,膨張波管,二酸化炭素,吸収分光法,CO2温度計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13929,国立研究開発法人宇宙航空研究開発機構,佐藤 泰貴,宇宙用大型膜の初期変形を用いた展開の高信頼性化と展張形状の高剛性化,本研究は、宇宙用展開膜の展開挙動や展張形状に影響を与える折り癖や膜面デバイスの反り等の初期変形を考慮し、展開の高信頼性化と展開後の高剛性化を実現した。折り癖や膜面デバイスの力学モデル化と、それらを考慮した展開・展張解析および実験モデルによる展開・展張実験を行い、現象の理解と力学モデルの検証を行った。また、これらの特性の考察に基づき、展開の高信頼性化と高剛性化を実現できる膜構造物を提案し実証実験を行うことで、実現性を示した。,若手研究,小区分24010:航空宇宙工学関連,宇宙用展開膜,折り目,太陽電池アレイ,膜構造,展張形状,宇宙用大型膜,反り,粘弾性,最適化,展開,初期変形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13928,国立研究開発法人宇宙航空研究開発機構,岡崎 峻,熱設計制約を低減するループ型自励振動ヒートパイプの熱輸送機構と設計自由度の解明,高機能で低質量なシステム構築を目的とし，従来の自励振動ヒートパイプ(OHP)で用いられる蛇行配管を展開した逆止弁付き円形配管OHPを構築し，管の経路と加熱部と冷却部の数が性能に与える影響を評価した．水平設置条件で，蛇行配管OHPと円形配管OHPの双方で圧力進行波を観測し，熱輸送性能も同等であった．さらに，OHPの駆動には最低2セットの加熱部と冷却部が必要であり，セット数の増加で熱輸送性能は変化しなかった．よって，高自由度な配管構成，かつ，熱源と冷却部の構成でOHPの駆動が可能である．応用として，高熱抵抗の面間にOHPを適用し，アルミと比較して1/5の質量で熱抵抗低減と面内への熱拡散を実証した．,若手研究,小区分24010:航空宇宙工学関連,熱制御,自励振動ヒートパイプ,高自由度熱輸送経路,熱輸送,気液二相流,高熱輸送自由度,急激なベント,加熱冷却の不均一性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13927,北里大学,川上 言美,無線光エネルギー伝送を目的としたデジタル位相共役鏡の集光性能向上,2018年度の研究で液晶空間光変調器の液晶分子配向時間に起因する時間遅延が問題であることが分かった。産休育休のための研究中断期間を終えた2021年度にリアルタイムストリーミングカメラとLCOS型高速液晶空間光変調器の駆動ソフトウェアを開発し，干渉縞撮影から位相共役光発生までの全遅延時間を以前の３％にまで大幅に削減することに成功した。最終年度にかけてはんだごてによる人工大気擾乱をつくり、空気の屈折率揺らぎのリアルタイム補正，連続的に移動する標的への位相共役光照射実験を行った。高速位相共役鏡でリアルタイムに発生させた位相共役光を非位相共役光と比較した結果、ビームワンダリングが最大９割削減できた。,若手研究,小区分24010:航空宇宙工学関連,位相共役光,時間反転波,大気擾乱,リアルタイム波面補正,無線光伝送,ホログラム,空間光変調器,大気擾乱補正,デジタルホログラム,自動追尾,デジタル位相共役,自由空間光伝送,高速空間光変調,デジタルミラーデバイス,デジタル光位相共役,屈折率ゆらぎ,リアルタイム位相補正,空間光変調,長距離無線光伝送,光波面補正,自動捕捉・追尾・集光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13926,九州工業大学,小澤 晃平,低粘性液化燃料を生ずる境界層燃焼の加速度環境下における燃焼機構解明,パラフィンワックス燃料は、ハイブリッドロケット推進において推力密度の増加に寄与する。その後退速度特性の加速度依存性を調べるため、窓付き矩形燃焼器を用いて燃焼中の液化燃料流動の可視化や後退速度の計測を行った。研究の初期には、燃焼器の設置方向を変え、特性に違いが出るか調べた。結果、燃焼器流路方向に加速度をかけ、高い燃焼圧では燃料後退速度が増加することがわかった。また、大気圧燃焼の場合では、背景散乱光で輝炎を打ち消し、液化燃料の転波を可視化することができた。研究の後期には、室蘭工業大学のロケットスレッドが作る加速環境で同様の可視化計測を行うシステムを開発し、走行状態での計測に成功した。,若手研究,小区分24010:航空宇宙工学関連,ハイブリッドロケット,パラフィンワックス燃料,燃焼可視化,加速度環境,高速走行実験,液化燃料,境界層燃焼,低融点液化燃料,瞬時燃料後退速度計測,環状流,燃焼振動,ハイブリッドロケット推進,拡散燃焼,混相流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13925,名古屋大学,市原 大輔,静電/電磁混合イオン加速による電気推進機の大推力化,化学推進機と比較して高い排気速度を達成可能な電気推進機は，発生する推力が小さいために，軌道遷移に要する時間が長期化することが課題である．そこで本研究では，発散磁場配位下における静電加速と電磁加速の混合，すなわち「静電/電磁混合イオン加速」の実証とこれによる電気推進機の大推力化を目的とした．本研究を通じて，放電室外部に陰極を配置しても高いHallパラメータを維持しつつ静電/電磁混合イオン加速が実現可能なこと，磁場強度を増加させることで推進剤の多価電離が進行し，アルゴン推進剤において3800秒を上回る高い排気速度と30%を上回る推力効率とを達成することができた．,若手研究,小区分24010:航空宇宙工学関連,静電/電磁混合イオン加速,電気推進機,電気宇宙推進機,イオン加速機,プラズマ計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13924,名古屋大学,稲守 孝哉,スケール依存性を意識した外乱補償による小型衛星の姿勢制御高精度化,本研究では、地球周回衛星の搭載磁性体により生じる磁気姿勢トルクについて研究を行った。一般に非対称形状の搭載磁性体は磁気形状異方性によりトルクが発生し姿勢を乱す要因となる。本研究では、まず、単一の磁性体に対する磁性体トルクのモデルを定式化した。次に、実際の衛星のトルク特性を調べるため、複数の磁性体による磁性体トルクの定式化を実施した。これにより回転対称性を持つ配置では、磁性体によるトルクを大幅に低減させることが分かった。最後に有限要素法（FEM）を用いた数値シミュレーションを行い、定式化された磁性体トルクのモデル評価を実施した。,若手研究,小区分24010:航空宇宙工学関連,剛体姿勢運動,磁気トルク,人工衛星,小型衛星,姿勢外乱トルク,宇宙機姿勢制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13923,東京大学,渡邉 保真,高速気流中でのプラズマフィラメント挙動の解明と極超音速放電空力制御への応用,将来型高速輸送機での安全性向上のため、従来の機械駆動式とは異なる高速空力制御技術が必要である。姿勢制御高速化のため直流放電の一種であるQ―DCプラズマフィラメントを用いた電気的な気流制御に着目しその気流制御メカニズムと特性を明らかにした。電極列により生成されるフィラメントは高速気流と強く干渉し300μ秒以内に空気力制御が可能であり、制御される空気力はプラズマでの消費電力に対して線形関係を示した。この気流制御現象の数値解析モデルを提案し、解析結果は実験結果と良い一致を示した。本研究で扱う放電プラズマ現象とその解析手法はその高速特性から将来型超音速エンジンの保炎技術などへの応用も期待できる。,若手研究,小区分24010:航空宇宙工学関連,航空宇宙工学,放電プラズマ,空力制御,プラズマフィラメント,極超音速風洞,極超音速機,数値流体力学,Q-DCプラズマ,高速流体力学,放電空力制御,Quasi DC plasma,風洞実験,動的モード分解,気流制御,放電,超音速,極超音速,極超音速流体力学,全体安定性解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13922,東京大学,立石 敦,LES実用時代にむけたターボ機械空力弾性解析モデリングの研究,現在広く用いられているターボ機械の空力減衰・フラッター評価手法はReynolds-Averaged Navier Stokes (RANS) によるが，サージ線近傍で生じる失速フラッターに特徴的な大規模な剥離を伴う流れ場に対し，満足な解析精度を有さないという欠点がある．一方で剥離流の解析にはLarge Eddy Simulation (LES) が有望だが，翼振動現象の時間・空間スケールは一般に乱流に比べ非常に大きいため，LESを直接フラッター解析に用いることは解析規模上の困難がある．そこで，本研究ではLESによる高精度な剥離流解析結果を利用したフラッター解析を実現するため，乱流現象と翼振動現象の間の時間スケール差を克服する，マルチスケールシミュレーション手法を提案し，実証することを目指した．,若手研究,小区分24010:航空宇宙工学関連,ターボ機械,LES,翼列流れ,航空エンジン,空力弾性,フラッター,ファン,タービン,周波数領域解法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13921,東京大学,樋口 諒,先進複合材料の破壊特性向上へ向けた微視構造最適化に関する数値解析的研究,本研究では、様々な微視構造（繊維形状、直径、配置）を有する炭素繊維強化プラスチック（CFRP）の巨視的な力学特性を包括的に調査可能な数値解析手法開発に取り組んだ。具体的には、拡張有限要素法（XFEM）、均質化法、モンテカルロ法を組み合わせた微視構造解析ツールを開発し、樹脂の弾塑性・損傷構成則を実装して力学特性評価を実施した。開発手法は円形・通常径繊維のCFRPの弾性特性および破壊特性をばらつきも含めて評価可能であることを確認している。また、開発手法を用いた非円形繊維のCFRPの解析により、繊維形状の設計によって、円形繊維に比して優れた力学特性を発現し得ることが明らかとなった。,若手研究,小区分24010:航空宇宙工学関連,炭素繊維強化プラスチック,計算機援用設計,均質化法,拡張有限要素法,異形炭素繊維,炭素繊維強化複合材料,強度・破壊特性,微視構造最適化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13920,東京大学,于 豊銘,航空機エンジン用耐熱複合材の高温での損傷評価を可能にする新規光ファイバAE計測法,航空機エンジン用構造材として高温複合材料の実用化を進める上で、実環境での損傷進展挙動を把握する必要がある。そこで本研究では、光ファイバFBGセンサ技術により確立した遠隔AE計測法を非破壊評価法として用い、1000℃での材料試験における複合材の損傷進展過程をリアルタイムで評価した。そして、得られたAE計測結果に基づき、実環境での損傷進展過程と最終破断強度との関係を解明できた。,若手研究,小区分24010:航空宇宙工学関連,高温環境,光ファイバセンサ,再生FBG,アコースティックエミッション,超音波,耐熱性複合材料,Carbon-Carbon複合材料,ガイド波,カイド波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
