awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13947,海上保安大学校(国際海洋政策研究センター),中山 喜之,衝突事故において船舶に刻まれた傷の形状等から衝突状況を推定する手法に関する研究,本研究では、船舶衝突にかかる実験結果の蓄積のため、両船ともに自由航走状態とした場合の衝突模型実験の手法及び実験結果について報告するとともに、衝突時に被衝突船側に刻まれる傷の形状・角度等について解析・考察を行った。結果として、衝突船が被衝突船の斜め前方又は正横から横切る場合の衝突において、被衝突船には、両船の針路交差角に相当する角度の方向からではなく、被衝突船側における相対角に相当する角度の方向から傷が刻まれるということを確認した。詳細については引き続きの検討が必要となるが、本結果は、現状の調査官等による衝突状況の推定結果に関する妥当性を裏付け、また、補強するための一助となったものと考える。,若手研究,小区分24020:船舶海洋工学関連,船舶衝突,衝突模型実験,衝突角,相対運動,画像解析,海上保安庁,衝突実験,海上保安,船舶衝突海難,相対運動理論,事故調査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13946,国立研究開発法人海洋研究開発機構,出口 充康,非定常ドップラーシフトを伴うマルチパス環境下での水中音響通信の研究,特有の課題を有する水中音響通信の分野でも、高速、あるいはロバストな通信の需要が高まってきている。くわえて、小型船舶と水中無人機との通信のように、移動体端末間での通信への期待も高まりつつある。このような高速、あるいはロバストな移動体通信を実現するには、非定常ドップラーシフトへの対応が不可欠である。本研究では、直接波、およびマルチパス波の非定常ドップラーシフトに対して有効な新規手法を提案し、シミュレーション、および実海域試験でその効果を確かめた。,若手研究,小区分24020:船舶海洋工学関連,水中音響通信,マルチパス,ドップラーシフト,信号処理,判定帰還型等化器,時間変動,非定常,デジタル通信,音響通信,移動体通信,チャネルレスポンス推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13945,国立研究開発法人海上・港湾・航空技術研究所,小森山 祐輔,溶接残留応力が防撓パネルの最終強度に及ぼす影響に関する研究,溶接残留応力分布がパネル・防撓パネルに及ぼす影響を調査するために、荷重載荷による溶接残留応力分布の変化を実験的に検証した。はじめに、溶接継手試験片を製作し、残留応力分布の計測法としてX線残留応力測定装置を行うための鉄板表面の処理方法について検討した。次に、溶接継手試験片に引張・圧縮荷重を載荷する実験を行い、残留応力分布の変化が大きくないことを確認した。また、引張・圧縮荷重の繰返し荷重を載荷する実験も行い、同様に残留応力分布の変化が大きくない結果を得た。また、防撓パネルで構成されるボックスガーダーとパネルを対象に溶接残留応力を考慮したFEMを用いた解析を行い、溶接残留応力の影響を調査した。,若手研究,小区分24020:船舶海洋工学関連,溶接残留応力分布,最終強度,溶接継手試験片,ボックスガーダー,繰返し荷重,X線残留応力計測装置,溶接残留応力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13944,国立研究開発法人海上・港湾・航空技術研究所,中村 真由子,要素試験のための舶用燃料から発生する粒子状物質生成装置の開発,本研究は舶用燃料をプール燃焼させて粒子を生成させる装置を作製した。その装置から発生する粒子の成分を調べ、成分分析法の一つである炭素成分分析法(TOA法)の改善を目的とした。引火点が100℃以上と高い燃料でも燃焼可能にするためヒータを付随させた。生成された粒子は模擬燃料であるヘキサデカン以外は元素上炭素(EC)が約95%であり、有機炭素(OC)は少なかった。一方ヘキサデカンは着火性に優れた燃料である為、ECはほとんど生成されなかった。TOA法は既存のプロトコルと舶用サンプル用に改善したものを比較した。誤差の要因となる成分である熱分解炭素の低減が可能であり、プロトコルの改善が出来た。,若手研究,小区分24020:船舶海洋工学関連,舶用機関,粒子状物質,サーマルオプティカル法,プール燃焼,舶用燃料油,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13943,国立研究開発法人海上・港湾・航空技術研究所,新川 大治朗,変形とキャビテーションを考慮した弾性プロペラの翼形状および剛性の最適化,一般的に商舶用のプロペラは金属製であるが、近年、複合材料製のプロペラの開発と実用化がなされている。複合材料となることによりプロペラの弾性変形を利用し、船尾伴流中でキャビテーションを抑えることが期待されている。本研究の目的は、キャビテーションを抑え、なおかつ効率の良い弾性プロペラの翼形状と剛性を見出すこと、またプロペラ翼形状、翼の変形とキャビテーションの関係性を明確にすることであった。,若手研究,小区分24020:船舶海洋工学関連,弾性変形プロペラ,キャビテーション,流体構造連成計算,多目的最適化,固有直交分解法(POD),多変数チェビシェフ近似,推進性能,船舶工学,弾性プロペラ,最適化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13942,国立研究開発法人海上・港湾・航空技術研究所,竹澤 正仁,リーマン幾何学に基づく船体曲面表現に関する研究,本研究では，離散的な主方向場を入力データとして，その幾何特徴量を満たすように曲面形状を変形させる手法を確立した．提案手法に基づき，任意の主方向データを事前に作成して，変形させたいB-spline曲面データを入力として非線形最適化計算を実施することで，曲面上の主方向を任意に制御することを可能とした．主方向を任意に制御することで，形状の特徴を失わずに曲面品質を向上させ，また目的に応じて形状を任意に変形させることができた．,若手研究,小区分24020:船舶海洋工学関連,B-spline曲面,NURBS曲面,曲面幾何,曲率線,フェアリング,船舶,形状モデリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13941,国立研究開発法人海上・港湾・航空技術研究所,宝谷 英貴,フリーク波形成メカニズムが船体縦曲げ応答に及ぼす影響の解明,フリーク波中のコンテナ船弾性模型曳航実験の解析を通じ、コンテナ船に作用する最大サギングモーメントは、船長と波長が同程度の場合に、フリーク波前後の谷深さに大きく影響されることを明らかにした。これは、縦曲げモーメントの出会い波成分が、船体運動（特にpitch）の履歴に影響を受けるためである。また、弾性振動応答についても、フリーク波を含む波群全体の形状・ダイナミクスが影響を及ぼすことがわかった。その他、関連する実験技術として、全周造波機を備えた水槽におけるopposing seaの再現やステレオカメラおよび分布型光ファイバセンサによる船体たわみ分布計測技術の開発を行った。,若手研究,小区分24020:船舶海洋工学関連,フリーク波,弾性模型,縦曲げモーメント,全周造波機,ステレオカメラ,分布型光ファイバセンサ,変調不安定波,波形状,光ファイバ,準共鳴相互作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13940,国立研究開発法人海上・港湾・航空技術研究所,三宅 里奈,AISデータを用いたAIS非搭載船の位置推定に関する研究,本研究の目的は、AISデータを用いてAISを搭載していない船舶もしくは物体（以下、AIS非搭載障害物）が存在しうる位置を推定する手法を構築することである。,若手研究,小区分24020:船舶海洋工学関連,AISデータ,AIS非搭載,位置推定,AIS,AIS非搭載船,漁船,見張り支援,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13939,九州大学,劉 盈溢,,本研究では、波力発電装置（WEC）配列の中に存在する流体相互干渉現象の解明、合成最適化に達成する可能性を検討することを目指す。 そのため、改良された境界要素法と相互干渉理論を組み合わせることにより、効果的な数値法を開発し、さまざまなレイアウトにしてWEC配列に適用した。レイアウトをよりランダムに配置することにより、最大出力の最適条件を実現するのは難しいが、最大出力をより高めることができることが分かった。,若手研究,小区分24020:船舶海洋工学関連,波力発電,装置配列,境界要素法,相互干渉理論,wave energy array,point absorber device,interaction theory,potential formulation,Enhanced-Endo’s approach,multiple scattering,wave energy converter,large arrays,multi-body hydrodynamics,parallel computation,numerical simulation,laboratory test,IGA-BEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13938,大阪大学,山下 正太郎,レーザ照射による熱ひずみ制御を用いた高温割れ対策,本研究では，生産技術の一つである溶接において生じる凝固割れの防止に着目した．凝固割れは，溶接中の溶融凝固部周辺に生じるひずみと密接に関係している．そこで，レーザ熱源を別途付加する溶接システムを用いて，凝固割れ発生につながる熱ひずみを積極的に制御することで凝固割れの防止策を提案した．凝固割れ発生を予測するための数値モデルの構築，数値モデルに基づくレーザ照射条件最適化，その実験的検証から本コンセプトの妥当性が明らかとなった．補助的にレーザを用いることで凝固割れを防止可能となったこと，ならびに溶接の主熱源として活用が期待されるレーザに対して，レーザの補助活用とその付加価値を明らかにすることができた．,若手研究,小区分24020:船舶海洋工学関連,高温割れ,凝固割れ,割れ対策,レーザ,熱ひずみ制御,予測,数値解析,レーザ後熱,バレストレイン試験,拘束緩和式U型高温割れ試験,モデル化,高温延性曲線,凝固割れ予測,後熱処理,ひずみ履歴制御,凝固割れ発生予測,凝固割れ抑制,温度履歴制御,溶接高温割れ,ひずみ制御,レーザ照射,ハイブリッド溶接,ステンレス鋼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
