awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K13956,防衛大学校(総合教育学群、人文社会科学群、応用科学群、電気情報学群及びシステム工学群),本城 豊之,鉄道車両振動に対する人間の応答特性評価のためのウェアラブル評価システムの開発,日本国内は鉄道網が非常に発達しており、日常生活において利用者は車両からの振動の影響を受けることになる。そのため、車両乗車中の転倒予防によるQOLの維持・向上といった安全や快適性への配慮は重要な課題である。より安全な利用のために、振動といった外乱に対する人の姿勢維持機能を理解し、安全指標の開発や利用中の安全への注意喚起を行うウェアラブルシステムの開発を目指し、振動台を使用した床面振動環境下における人間の立位姿勢維持機能を計測できる環境を構築し、計測結果から評価に適した数理モデルを導出し、数値シミュレーションから姿勢維持時の負担を評価した。,若手研究,小区分25010:社会システム工学関連,ヒューマンダイナミクス,床面振動外乱,姿勢維持,ウェアラブルセンシング,数値シミュレーション,車両振動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13955,神奈川大学,山崎 友彰,画像の重ね合わせを用いた深層学習による統合型外観検査システムに関する実証的研究,深層学習アルゴリズムを活用して複数枚画像を用いた外観検査システムを構築し、その効果を明らかにした。構築した外観検査システムの改善効果には高いものがあると判断できる。一方、サンプル数の少ない欠点に対しては、サンプル数が十分に確保可能な欠点を用いて分類モデルを構築後、サンプル数の少ない欠点に対する特徴量をモデルから抽出し、良品の特徴量との類似度を算出した。これによって、サンプル数の少ない欠点についても検出することが可能となった。分類モデルが学習過程で、該当製品における良品と不良品を切り分ける特徴量を獲得したことを表している。,若手研究,小区分25010:社会システム工学関連,深層学習,外観検査,機械学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13954,早稲田大学,桑 海侠,IoT技術を最大限に活用した次世代在庫管理システムに関する基礎研究,企業の在庫問題には多様な要因が絡み合っているのが現状である。IoT技術を導入した流通システムや在庫システムに関する様々な事例研究が報告させているが、リアルタイムで収集された在庫データを活用することによるサプライチェーンの鞭効果への影響に関する効果検証はまだ少ない。本研究では、IoT技術を最大限に活用した次世代在庫管理システムの構築アプローチを確立することを目的とする。これによって、在庫変動要因の可視化や、サプライチェーンの鞭効果への影響が低減できることになる。,若手研究,小区分25010:社会システム工学関連,SCM,鞭効果,実験計画法,IoT技術,在庫変動要因,在庫変動要因の組み合わせ効果分析,在庫変動要因分析,鞭効果低減検証,IT投資費用対効果の検証,在庫変動要因組み合わせ分析,サプライチェーン鞭効果,BPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13953,早稲田大学,大久保 豪人,ロバスト・スパース・モデリングに基づく実用的な異常検出法の開発,センサー・データを対象とした異常検出問題を考える．センサー・データは人の手を介さずリアルタイムに自動で取得・蓄積されるため，学習データに大量の異常データが混入している可能性がある．そのような状況下では，従来の統計的モデリング法を適用しても適切な分析ができるとは限らず，異常検出の性能が著しく低下してしまう危険性がある．そこで，混入した異常データの影響を受けることなく統計モデルを推定できるロバスト・スパース・モデリングを応用した統計的異常検出法の開発に向けた理論研究を行う．,若手研究,小区分25010:社会システム工学関連,異常検出,ロバスト統計,スパース・モデリング,タグチメソッド,MTシステム,高次元主成分分析,統計的パターン認識,ガウシアン・グラフィカル・モデリング,マハラノビス・タグチ・システム,条件付き異常検出,ガンマ・ダイバージェンス,ベキ密度ダイバージェンス,スパースモデリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13952,東京理科大学,伊藤 真理,手術の終了時刻の不確実性を考慮した手術室のスケジューリング手法の開発,本研究では，どの手術室でいつ手術を開始するかを決定する手術室のスケジューリング問題を解いた．具体的には，手術時間の不確実性を考慮した確率計画モデルを提案した．本モデルでは予定の手術時間から大幅に遅れるリスクを条件付きバリュー・アット・リスク(CVaR)を用いて表現した．実データを用いた数値実験より提案モデルの有効性を評価した．結果より，CVaRと遅延時間の期待値を考慮することで全手術の遅延時間を削減しつつ，遅延リスクを避けるスケジュールが実現可能であることがわかった．手術室の管理方法として，遅延リスクを避けるためには手術時間の標準偏差が小さい手術順に行うなどの知見を得た．,若手研究,小区分25010:社会システム工学関連,スケジューリング,確率計画,確率計画法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13951,東京電機大学,土井根 礼音,AIを用いた操船者の肉体的疲労を対象とした遠隔アラームシステム,船舶事故原因の79%は人的要因によるものと報告されており，その原因の一つには疲労がある．本研究の目的は，操船の妨げになることなく，遠隔で操船者の肉体的疲労度を測定し，肉体的疲労度が危険領域に達した際にアラームを発信する，人工知能を用いた操船者の肉体的疲労を対象とした遠隔アラームシステムの開発である．本研究では，生体の肉体的疲労度をエネルギー消費量として捉え，操船者の肉体的疲労度の予測に有効な指標を検討した．AIを用いた操船者の肉体的疲労度の予測には，腰部の動揺と重心動揺が重要な指標である可能性を明らかにした．,若手研究,小区分25010:社会システム工学関連,疲労,機械学習,視覚,視覚による疲労,重回帰分析,エネルギー消費量,操船者,肉体的疲労,スマートデバイス,IoT,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13950,北陸先端科学技術大学院大学,佐々木 康朗,知識移転・共有のミクロ的基礎に関する研究,知識の移転・共有を、人々の相互作用と意思決定の観点から特徴付ける「ミクロ的基礎」に関する研究を行なった。ゲーム理論の枠組みを用いて、非協力アプローチ、協力アプローチの両面から、この問題を扱う理論モデルの構築に取り組んだ。前者については、意思決定状況に関する知識が偏在する状況をモデル化し、その均衡概念や、起こり得るコミュニケーションのあり方について分析した。後者については、知識共有を協力行動と捉えた場合の提携形成や利得分配のあり方を分析した。,若手研究,小区分25010:社会システム工学関連,意思決定,ゲーム理論,知識共有,協力ゲーム,知識,気づき,気付き,知識移転,システム,知識マネジメント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13949,早稲田大学,中井 美和,小中高生のエネルギーリテラシー評価手法および教育効果分析手法の構築,本研究ではリテラシーと適切なエネルギー選択には正の関係があると仮定し、リテラシーの向上、ひいては、望ましいエネルギー選択を誘発させるエネルギー教育の在り方に関して具体的な政策提言を行うことを目的とした。中高生に教育すべきエネルギーリテラシーの特定化を行い、リテラシー評価手法を開発した。測定を行なった結果、中高生のエネルギーリテラシーは十分な程度に達していないことが明らかになった。とりわけエネルギー利用が環境に与える影響に関する知識は不十分であった。さらに、リテラシー向上に寄与しうる授業形態についても明らかにした。,若手研究,小区分25010:社会システム工学関連,エネルギーリテラシー,中高生,エネルギー選択,ESD,親子調査,小中高生,気候変動教育,教育効果,エネルギー教育,エネルギリテラシー,教育の波及効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K13948,東京大学,新井 崇俊,多世代共創社会を支えるシェアリング配送システムの構築,地域の小売店等の減少により，過疎地域のみならず都市部においても，住民が食料品の購入や飲食に際し日常的に不便を感じる食料品アクセス問題が社会問題となっている．この問題は，外出が困難な状況下においてより顕在化される．このような状況下で，デリバリ・プロバイダによる買い物代行サービスは，需要者にも供給者にもメリットが大きいため注目されている．本研究では，水平タスクシェア型配送システムに着目することで，顧客（需要者）からの要求数に関わらず発注・受注の紐づきを無視しながら，買い物代行サービスを集荷・配送タスクに部分問題化できるというアイデアに基づく近似解法を構築しその有効性を検証した．,若手研究,小区分25010:社会システム工学関連,集配送計画問題,買い物代行サービス,食料品アクセス問題,積み替え,タブーサーチ,地域計画,タブー探索法,施設配置問題,シュタイナー問題,タスクシェア,配送計画問題,局所探索法,シェアリングエコノミー,配送システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15248,独立行政法人高齢・障害・求職者雇用支援機構職業能力開発総合大学校(能力開発院、基盤整備センター),横山 真弘,多仕様化に伴う部品表の構成マスタ作成における人的なミス発生の低減に関する研究,補助事業期間の初年度は、構成マスタの作成における認知処理の構造とリスクの解明に取り組む。まず、構成マスタ作成の各作業において作業者がどのような認知処理を行っているのかを、構成マスタ作成の実験を通じて明らかにし、作業で求められる認知処理の内容からミス発生のリスクの顕在化に取り組む。二年目は、ミス発生のリスクと製品構成との関係の解明と対策の立案に取り組む。三年目では、前年度に立案した対策に加えて、人的なミス発生の低減のためのAIの導入を目指す。そのため、AIが効率的に対応可能となる作業内容を切り分ける。それにより、ミス発生の低減に対し、より効果の高い対策の提案を目指す。,若手研究,小区分25010:社会システム工学関連,部品構成表,構成マスタの作成,人的ミスの発生,サービスの品質,サービス品質,多仕様製品の仕様変更,多仕様製品,仕様変更の発生,BOM,製品の多仕様化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
