awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14069,大阪府立大学,山田 亮祐,酵母における独自の遺伝子発現量最適化技術を駆使した植物二次代謝産物の効率的生産,近年、遺伝子組換え酵母を用いて、種々の有用物質を生産する技術が注目されている。パチョロールはセスキテルペノイドアルコールの一種であり、産業的に重要な化合物である。本研究では、酵母にパチョロール合成遺伝子を高発現させ、さらに、パチョロール合成に関わるメバロン酸経路全体を最適化することで、パチョロールを効率的に生産する酵母の創製を目指した。,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,酵母,代謝工学,植物二次代謝産物,CRISPR,セスキテルペン,変異導入,ストレス耐性,有機溶媒,発酵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14068,九州大学,白木川 奈菜,脱細胞化肝臓内における血管網の構築及び細胞の組織化促進による肝小葉の構築,本研究は「脱細胞化肝臓の作製」、「肝小葉の種、及びそれを用いた肝小葉の構築」、「脱細胞化肝臓内における血管網の構築」、そしてこれらを組み合わせることによる「脱細胞化肝臓内における血管網の構築及び肝小葉の構築」を目指した。臨床で使える技術の開発を目指し、ヒト初代肝細胞を用いた小スケールでの薬剤評価等を想定した肝臓再構築及び臓器構築時の培養系の開発、また、移植を想定した人工胆管の開発を行った。,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,肝臓,組織工学,臓器工学,脱細胞化,血管化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14067,九州大学,南畑 孝介,タンパク質ポリマーの新規構造制御技術の確立と高機能な細胞培養因子創製への展開,多数のタンパク質分子で構成されるタンパク質の高次複合体は、その構造を適切に制御することで最大限に機能を発揮できる。本研究ではシステインとチロシンを含む新たなペプチドタグを考案し、ジスルフィド結合で連結された直鎖状タンパク質ポリマーの調製を達成した。また、タンパク質の立体障害を利用した構造制御法の構築を行い、タンパク質のループドメインに導入されたチロシン残基を介してタンパク質を架橋することで、直鎖状のタンパク質ポリマーが得られることを示し、直鎖状に構造を制御することでタンパク質ポリマーの機能が向上することを明らかにした。,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,タンパク質ポリマー,構造制御技術,酵素反応,ジスルフィド結合,立体障害,重合,ジスルフィド,ペルオキシダーゼ,細胞増殖因子,細胞接着因子,細胞培養基材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14066,九州大学,森山 幸祐,組織損傷時の生体内環境に着想を得たエクソソーム生産用の幹細胞培養環境設計,本研究では物理的及び化学的観点から幹細胞の3次元培養を可能とする高分子ハイドロゲルを作製することを目的としている。実施期間内において、高分子水溶液のゲル化時間に焦点を当て、研究を進めてきた。我々がこれまでに独自に開発したゲル形成法では、高分子水溶液のゲル化時間が長く、細胞をゲル内に包括し培養するためのゲル作製法に不適当であるという課題があった。そこで高分子間架橋反応を触媒する酵素の活性化をより効果的に進行させることが予測される系を考案した。具体的には系中に塩基を添加することで、高分子水溶液のゲル化時間が劇的に短縮されることを見出しており、細胞包括に適したゲル化法を確立することに成功した。,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,高分子ハイドロゲル,酵素触媒反応,ゲル化時間,細胞包括,間葉系幹細胞,ハイドロゲル,エクソソーム,培養環境,成長因子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14065,九州大学,相馬 悠希,高効率バイオプロセスに向けた代謝制御リプログラムによる微生物表現型の可塑的制御,バイオプロセスにおいて宿主内在性代謝経路と物質生産経路は直接的な競合関係にあり，「菌体増殖能の高い表現型」と「物質生産性の高い表現型」はトレードオフ関係にあり，バイオプロセスにおける生産性の向上の障害となっている．そこで本研究では，バイオプロセスの進行度に応じて表現型を最適に自己制御可能な微生物の設計・構築を目的とした新規代謝工学戦略の開発に取り組んだ．大腸菌において菌体増殖を制御する人工遺伝子回路を構築することで，様々な有用化合物生産において生産性の向上に成功した．また，人工合成クオラムセンシング機構に基づく振動回路を構築し，流加培養においても継続的に高い生産性を維持させることに成功した．,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,合成生物学,人工遺伝子回路,人工代謝経路,バイオプロセス,クオラムセンシング,代謝工学,進化工学,実験室適応進化,バイオリファイナリー,代謝フラックス,微生物代謝,バイオプロダクション,代謝アダプテーション,代謝動態リプログラム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14064,大阪大学,堀口 一樹,浮遊懸濁培養中にヒトiPS細胞にかかる剪断ストレスの新規測定法の開発,iPS細胞の浮遊懸濁培養における剪断応力の間接的な影響を評価するために，高速度カメラおよび動画トラッキングを用いて，様々な振盪操作（往復および旋回）および振盪速度においてiPS細胞凝集体にかかる剪断応力を加速度として間接的に推定する手法を設計した．培養の結果と比較すると，増殖比において平均加速度に最適値が見られ，また平均加速度が増加するに従って死細胞数が増加する傾向が見られた．また追加検討として，多糖類ポリマーを用いた培地の塑性流体化を行うことで，平均加速度に対する死細胞数の増加を抑制することが確認できた．,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,iPS細胞,浮遊培養,剪断ストレス,加速度,塑性流体,トラッキング,剪断応力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14063,京都大学,堀江 正信,複合物理刺激を利用した革新的ヒトiPS細胞培養プロセス創出に関する基盤研究,ヒトiPS細胞の挙動を制御するための安価な軟培養面の作成に成功し、未分化維持に用いられる高価なサイトカインを添加することなく、培養面の硬さの制御のみによって、ヒトiPS細胞の未分化維持培養ができることを明らかにした。,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,メカノバイオロジー,ヒトiPS細胞,ティッシュエンジニアリング,自己組織化,骨格筋,培養プロセス,生物化学工学,大量培養,ヒト多能性幹細胞細胞,細胞製造,物理刺激,ヒト幹細胞,軟培養面,電場,バイオリアクター,メカノトランスダクション,デバイス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14062,名古屋大学,吉本 将悟,材料非特異接着タンパク質AtaAの接着機構の理解,本研究の目的は、材料非特異的でありながら高い接着性を示すAtaAの接着機構を明らかにすることである。AtaAの接着機能部位と接着駆動力の解析を行い、以下の成果を得た。①水晶発振子マイクロバランス（QCM）を用いた接着解析により、接着駆動力を明らかにした。②AtaAの変異体を構築しその接着性を評価することで、機能に深くかかわる部位を明らかにした。③上述の知見を基にAtaAの接着特性を示すタンパク質を再構成することに成功した。,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,接着,吸着,タンパク質,微生物,微生物接着,オートトランスポーター,付着,QCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14061,名古屋大学,蟹江 慧,インフォマティクスを利活用した『ペプチド‐高分子』ハイブリッド人工血管材料の創出,本研究は、細胞の接着・増殖をコントロール(細胞選択性)する、人工血管に適した材料を効率的に開発する。医療材料表面で表したい細胞選択性は、土台である高分子材料と機能性分子(ペプチド)の組合せによる総合的な効果で決まると考えられる。しかし、高分子材料やペプチドは種類や配合比だけでも無数に考えられ、総当たりで設計していては非効率である。本研究では、高分子材料とペプチドの物性値計測をし、情報処理解析技術を用いることで、目的のハイブリッド人工血管材料を効率的に創出することを目標とする。,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,人工血管,ペプチド,コラーゲン,CMC,コンビナトリアル,線維化,ビトリゲル,分化誘導,高分子,内皮細胞,画像解析,品質評価,細胞接着,合成高分子,生体高分子,バイオマテリアル,インフォマティクス,メカノバイロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14060,東京農工大学,福谷 洋介,匂いを多様化するタンパク質の嗅粘液内発現機構の解明と匂い受容体応答の遷移,哺乳類の嗅覚が匂いを高感度、高識別能で感じることができる詳細な分子機構は解明されていない。本研究では、匂いの溶け込みを模倣した嗅覚受容体(ORs)アッセイ技術を基盤に、代謝酵素や匂い結合タンパク質などがORsの匂い分子応答に与える影響を網羅的に調べた。嗅覚粘液発現タンパク質は、ORs個々に影響が異なることを発見し、網羅的なスクリーニングの重要性を示す結果となった。また、ORsシャペロンであるRTP1Sの機能解析も行い、ORsの細胞膜輸送に重要なアミノ酸部位を同定した。本研究で、哺乳類の嗅覚における嗅粘液発現タンパク質の重要性を示すだけでなく、その解析技術基盤の構築を達成したと考えられる。,若手研究,小区分27040:バイオ機能応用およびバイオプロセス工学関連,嗅覚受容体,嗅粘液,代謝酵素,レポーターアッセイ,ニオイ分子,細胞膜輸送,タンパク質,気相アッセイ,におい結合タンパク質,におい受容体,においセンサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
