awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14096,国立研究開発法人物質・材料研究機構,J. Wipakorn,Multi-functional Al-catalyzed Si nanowires: self-assembled zero and one-dimensional hybrid nanostructure formations,表面処理を施した基板上への多機能Al触媒SiNW成長に成功したので報告する。まず、VLS法を用いたSiNW形成について、成長パラメータの影響を調査した。Al触媒SiNWによるソーラーセル形成では、変換効率が9％を超えた。ケミカルエッチングとポストメカニカルポリッシングを施したフレキシブル基板上に形成された薄膜SiNWソーラーセルの変換効率は5.0%以上を達成した。続いて、i-Ge/p-Siコアシェルとコアダブルシェル、それぞれのNW構造による、NWトランジスタ形成を調査した。薄膜B-doped Si中間層の形成と最外層p-SiシェルへのBドーピングにより、キャリア生成性能の向上を達成した。,若手研究,小区分28030:ナノ材料科学関連,Nanostructures,Nanowires,Silicon,Germanium,Nanowire,Vapor-liquid-solid,Aluminum,nanowire,silicon,aluminium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14095,東京理科大学,伊村 芳郎,ハイブリッドナノ構造の制御による異方形態金ナノ触媒の高活性化,金ナノ結晶の触媒特性は、担体や形状、別の金属との二元金属化により大きく変化する。本研究では、アルミナ、酸化鉄、酸化セリウムに担持された金ナノ金平糖および金－銀ナノ金平糖を作製し、その触媒特性について評価した。触媒特性評価は、1-フェニルエチルアルコールからアセトフェノンを生成する酸化反応を用いた。その結果、球状形態よりもナノ金平糖形態の方が高いアセトフェノン生成速度を示すことがわかった。また、担体が同じ場合では金ナノ金平糖よりも、金－銀ナノ金平糖の方が高い触媒活性能であった。さらに、担体として酸化セリウムを用いた場合が最も高い触媒活性能を示すことが明らかになった。,若手研究,小区分28030:ナノ材料科学関連,ナノ結晶,形態制御,貴金属,触媒,ナノ材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14094,東京理科大学,LE KHOA,屈曲形分子を基盤とした層内結晶性の液晶：多様なナノ構造と圧電性,屈曲形液晶は棒状液晶とは異なり、実用化がまだ先の話であるが、圧電材料やナノ多孔質材料への応用がとても期待できるため、層内結晶性を持つＢ４相と呼ばれる相が近年屈曲形液晶相の中で一番盛んに研究されている。我々はＢ４相液晶を溶媒と混合させると、世界初めて３つのナノ構造を一つの化合物から創製できた。特に、Ｂ４相において今まで報告されたことがないナノチューブ構造を偶然作り出せた。本研究では、Ｂ４相の諸物性（特に新規な物性）を詳細に調べた。,若手研究,小区分28030:ナノ材料科学関連,屈曲形液晶,キラリティ,スポンジ,ねじれ構造,有機ナノチューブ,選択反射,二次ねじれ,構造色,二次ねじれ構造,圧電材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14093,東京理科大学,藏重 亘,精密金属ナノクラスター助触媒を用いた高活性可視光応答型水分解光触媒の創製,本研究課題では、金属クラスター助触媒を可視光応答性光触媒に利用することを目指していたが、並行して行っていた紫外光応答型光触媒の研究で非常に有意義な研究成果が得られたので、ここではその結果について記述する。,若手研究,小区分28030:ナノ材料科学関連,金属クラスター,光触媒,助触媒,精密担持,可視光応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14092,神戸大学,杉本 泰,ハイブリッドドーピングによる量子ドットベース機能性ナノ材料の開発,本研究では、量子ドットへの置換型不純物および化学ドーピング手法の評価・制御技術構築とそれぞれの利点を組み合わせた「ハイブリッドドーピング」により、高度な物性制御技術の確立と新たな光機能の創出を目的とした。申請者が独自に開発したリン・ホウ素同時ドープドープコロイドシリコン量子ドットを基盤として、詳細な構造物性評価と光学特性評価を行い、量子ドットのエネルギー準位構造や余剰キャリア等、物性を左右する要素を定量的に明らかにした。また，化学ドーピングについて、溶液中で分子やイオンと量子ドットの電荷移動減少を調べ、化学ドーピング手法の基盤技術を構築し、単独の手法では補いきれない光機能を実証した。,若手研究,小区分28030:ナノ材料科学関連,量子ドット,コロイド,半導体,シリコン,ドーピング,ナノ結晶,ナノ粒子,化学ドーピング,光物性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14091,大阪大学,小本 祐貴,MCBJ法を用いた単分子接合の構造変化の定量評価法の構築,金属ナノギャップ間を通過する単一分子のトンネル電流を計測する単分子計測は、極微少量の生体分子の計測手法や分子デバイスの作製の発展への期待のもと、研究が盛んになされている。しかし、これまでの単分子計測では平均的な伝導度を解析するのみで、その変化が十分に解析されていなかった。そこで本研究では単分子計測における電流の時間変化に着目して、単分子計測を用いて単分子を識別する技術を確立した。単分子計測を用いて取得した単分子パルス電流シグナルを機械学習を用いて、平均的な伝導度だけでなく、その変化まで解析することにより、神経伝達物質、DNA修飾塩基、DNA塩基長を識別することに成功した。,若手研究,小区分28030:ナノ材料科学関連,単分子計測,MCBJ法,機械学習,単分子科学,単分子接合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14090,京都工芸繊維大学,稲田 雄飛,架橋カーボン／無機ハイブリッド電子注入層を用いた有機レーザーの高寿命化・高効率化,本研究では、有機半導体結晶を発光層に用いた電流注入型レーザートランジスタの電極耐久性および電子注入効率の改善を目標に、架橋カーボン／無機ハイブリッド材料を用いた新たな電子注入層の開発を行った。主な結果は下記の2点である。,若手研究,小区分28030:ナノ材料科学関連,有機,レーザー,カーボン,ハイブリッド,電流注入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14089,名古屋大学,小川 智史,ナノ界面を制御したMg複合ナノ粒子の創製による常温付近での高密度水素貯蔵,安価かつ高密度に水素吸蔵可能なMgを非混合性金属と複合化することで生じる異相界面によって、水素化物生成及び分解エンタルピーを変調させることができる。さらにナノ粒子化による比表面積の著しい増大によって効率的な水素吸放出が見込まれる。本研究では室温付近での水素吸放出可能な材料開発指針を得ることを目的として、ガス中蒸発法によってMgとTiやMnなどからなる複合ナノ粒子を作製し、その異相界面での局所構造をX線吸収微細構造（XAFS）によって調べた。これまでにない特異な構造を有するナノ材料の創製に成功し、Mgの水素吸放出温度低下に向けた重要な指針が得られた。,若手研究,小区分28030:ナノ材料科学関連,水素吸蔵材料,ナノ粒子,XAFS,ガス中蒸発法,マグネシウム,ナノ複合材料,表面・界面物性,X線分光分析,透過型電子顕微鏡,Mgナノ粒子,ナノ界面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14088,首都大学東京,中西 勇介,ナノチューブ鋳造法による１次元遷移金属カルコゲナイドの精密合成と物性評価,本研究では遷移金属カルコゲナイドの新奇一次元物質(ナノワイヤー)の創製に成功した。このナノワイヤーは針状物質の単針であり，理論研究は40年近く前に遡るが，合成困難で実験研究が進んでいなかった。研究代表者らは，直径数ナノメートル程度の『ナノ試験管』であるカーボンナノチューブを鋳型に用い，その合成・評価に取り組んだ。 実験・理論計算によって反応機構を解明し，その知見に基づき，高収率汎用合成法を確立した。 さらに，原子分解能透過電子顕微鏡によってナノワイヤーの構造を原子レベルで解明し，さらに他のナノワイヤーにはない周期的な「ねじれ」をもつことを世界に先駆けて明らかにした。,若手研究,小区分28030:ナノ材料科学関連,ナノワイヤー,カーボンナノチューブ,原子分解能電子顕微鏡,鋳型合成,遷移金属カルコゲナイド,ナノリボン,電子顕微鏡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14087,信州大学,吉田 裕安材,環状低分子化合物の直接紡糸による機能ファイバー材料の創製,繊維材料は最も身近な素材の一つとして日常生活に寄り添っているが、繊維を作る過程（紡糸）には高分子化合物が利用される。近年、私はこの常識を打ち破るべく、低分子化合物の直接紡糸による繊維化に成功しており、本研究課題では更なる発展に挑んだ。具体的には、分子レベルでの複合したファイバーの作製やファイバー中の分子配列（結晶性）の制御に成功した。紡糸メカニズムは解明には至っていないが、継続して溶液状態の解析を進めていく。,若手研究,小区分28030:ナノ材料科学関連,エレクトロスピニング,シクロデキストリン,不織布,結晶性,分子混合,エレクトロピニング,ファイバ―,ククルビツリル,結晶性制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
