awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14293,地方独立行政法人大阪産業技術研究所,米川 盛生,環状オリゴマー構造とそのネットワークポリマーの熱特性・機械特性との関係性の解明,"本研究は環状オリゴマー構造を有する化合物を用いて熱硬化反応を行い、得られた硬化物の熱特性・機械特性と環状オリゴマー構造との関係性を明らかにすることを目的とする。ベンゾオキサジン化合物にp-tert-ブチルカリックス[8]アレーンのグリシジルエーテル化合物を加えて作製した硬化物ではガラス転移温度と熱分解温度が飛躍的に向上した。また、p-tert-ブチルカリックス[n]アレーン(n=4, 6, 8)とビスオキサゾリン化合物から作製した熱硬化物ではn=6のものが最大の物理的耐熱性を示した。",若手研究,小区分35020:高分子材料関連,熱硬化性樹脂,カリックスアレーン,高耐熱性,強靭性,エポキシ樹脂,ベンゾオキサジン樹脂,ネットワークポリマー,環状オリゴマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14292,国立研究開発法人産業技術総合研究所,伊藤 祥太郎,表面偏析を利用した光応答性材料の開発と可逆接着機構の解明,本研究では、表面偏析に適した構造を持ち、光固液相転移が可能なアゾベンゼンポリマーとして、アゾベンゼン含有ポリビニルエーテルの合成と評価を行った。アゾベンゼン部位に置換したメチレンスペーサー長が６以上の場合に光固液相転移を示すことが分かり、固液相転移を示すポリマー群の拡張に成功した。一部のアゾビニルエーテルポリマーは半結晶性を示し、（メタ）アクリルポリマーよりも高温まで固液相転移を利用できることが判明した。固液相転移を示すポリマーの表面自由エネルギーは、主鎖構造により変化して、アクリルポリマーが最も低く、表面偏析しやすいことが分かった。,若手研究,小区分35020:高分子材料関連,光応答,アゾベンゼン,可逆接着剤,表面偏析,光応答性高分子,接着剤,可逆接着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14291,国立研究開発法人産業技術総合研究所,楽 優鳳,光刺激でガラス転移温度が変化する高分子を用いた高速フォトメカニカル材料の創製,ポリマーネットワークへの新規高速固体―液体転移を有する「光溶融」アゾベンゼンモノマーを組み込むことによって、室温で可逆的なガラス転移温度変化を示し、光の下での迅速な光機械的作動を示す新しい光応答性ポリマー材料を開発した。ポリマーのガラス転移温度が光によって変化することを利用して、フィルムに高速のフォトメカニカルアクチュエーションを引き起こすことが可能であることが実証した。,若手研究,小区分35020:高分子材料関連,光応答性ポリマー,光応答性,耐疲労性,刺激応答性,ガラス転移温度,光機械,光機械応答性,エネルギー変換,高分子材料,物性,液晶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14290,信州大学,矢澤 健二郎,熱成形可能な人工クモ糸シルクの合成,熱成形可能な人工合成クモシルクの合成後には、二次延伸や加熱および湿度処理などの紡糸後処理によって糸の構造・力学物性をユーザーの要望に合わせて調節する技術が重要となる。本研究では、クモシルク紡糸時の射出速度に対する依存性を調べるため、射出速度や湿度を変化させて、生きたクモから直接糸を巻き取り、構造と力学的性質に及ぼす影響を調べた。その結果、クモは射出速度や湿度に対して非依存的に、結晶構造および力学的強度を維持した糸を作り出すことを見出した。このようなクモが有する糸作成時のロバスト性は、進化の過程で獲得したと考えられ、家畜化されたカイコの糸が射出速度に依存的な性質を示すのとは対照的であった。,若手研究,小区分35020:高分子材料関連,シルク,クモ,カイコ,熱成形,圧力,湿度,射出速度,ロバスト性,結晶領域,非晶領域,湿式紡糸,結晶化,ロバストネス,クモ糸の階層構造,非晶,結晶,配向性,融点,溶融紡糸,シルクフィブロイン,クモ糸,酵素重合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14289,大学共同利用機関法人高エネルギー加速器研究機構,高木 秀彰,テンダーX線極小角散乱法を利用したゴムの三次元網目不均一階層構造の解明,ゴムに存在する不均一階層構造をテンダーX線を利用した極小角散乱法を用いて研究を行った。テンダーX線極小角散乱装置は高エネルギー加速器研究機構のPhoton FactoryのBL-15A2に常設されている小角散乱回折装置を改造することで作製した。改造によって、カメラ長は6.6mとなった。入射X線エネルギー2100eVで、小角分解能が0.0047 1/nmとなり、1μmを超える構造体の評価が行えるようになった。テンダーX線極小角散乱法を用いてフィラー材を含むSBRと含まないSBRを調査したところ、q = 0.016 1/nmに不均一構造に由来するピークの観察に成功した。,若手研究,小区分35020:高分子材料関連,ゴム,階層構造,テンダーX線,極小角散乱法,不均一構造,極小角散乱,装置開発,ゴムの網目不均一性,ゴムの網目構造,異常分散,網目不均一構造,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14288,近畿大学,吉田 嘉晃,酸・塩基環境下で共役－非共役が可逆的にスイッチする不斉らせんポリマーの創成,"アキラル, ラセミ体, R体およびS体の構造を有するN置換マレイミドを合成し、ラジカル重合によって対応するポリマーを合成した。得られたポリマーは溶液中において溶媒の極性や酸・塩基の添加によって溶液の着色変化を示すことが明らかとなった。さらに、溶液の着色の変化に伴って紫外可視吸収スペクトルおよび円偏光二色性スペクトルが顕著に変化した。以上の結果は, 光学活性な官能基を有するモノマーの重合によって得られたポリマーの主鎖は立体規則的に配列され, 溶媒の極性や酸・塩基に応答してその構造を変化させることを示唆した。",若手研究,小区分35020:高分子材料関連,らせん高分子,らせん反転,不斉増幅,三・塩基応答性,着色変化,酸・塩基応答性,Ｎ置換マレイミド,酸・塩基応答,不斉制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14287,東京理科大学,山本 一樹,親水性POSSフィラーの添加による新規高性能有機－無機ハイブリッド逆浸透膜の創製,有機－無機ハイブリッド逆浸透膜の高性能化を目的として、親水性かご型シルセスキオキサン（POSS）をフィラーとした複合膜の作製と評価を行った。,若手研究,小区分35020:高分子材料関連,逆浸透膜,POSS,フィラー,ポリシルセスキオキサン,海水淡水化,有機－無機ハイブリッド,ナノフィラー,イオン相互作用,相溶性,シルセスキオキサン,有機－無機ハイブリッド材料,ゾル－ゲル法,水分離膜,かご状シルセスキオキサン,有機架橋型ポリシルセスキオキサン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14286,中央大学,宇部 達,架橋液晶高分子／非晶高分子複合系のミクロ構造の探究と光アクチュエーターへの展開,架橋液晶高分子/非晶高分子複合系におけるモルフォロジーとマクロな物性・機能を探究し，ミクロ構造制御による高分子光運動材料の高性能・高機能化を図った。架橋アゾベンゼン液晶高分子と非晶高分子から成る相互侵入高分子網目（IPN）にスメクチック構造を導入することにより，紫外光・可視光照射時の光屈曲特性が向上することが分かった。またIPNにおける非晶高分子を非架橋とすることにより成形加工性が改善され，３次元形状への成形が可能になった。さらに，複合系における相分離構造制御により力学特性に優れた光運動材料を創出した。,若手研究,小区分35020:高分子材料関連,液晶高分子,相互侵入高分子網目,相分離構造,フォトクロミズム,フォトメカニカル効果,架橋液晶高分子,ソフトアクチュエーター,フォトクロミック分子,刺激応答性高分子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14285,九州大学,八島 慎太郎,ソフトな人工関節の創製を目指したハイドロゲルの低摩擦化,関節軟骨に半球状の凹み構造が存在することに着目し、生体組織のモデル物質として扱われるハイドロゲルの表面に同様の形状を修飾した。ゲルの摩擦力は条件によっては凹み構造により50％程度に減少することが確認され、さらにその機構を凝着力の測定や界面観察などにより明らかにした。また、ゲルを生体の代替素材として応用するために、摩擦に伴って生じる、摩耗の新たな評価方法を確立した。潤滑液中に存在するゲル由来の高分子を紫外吸収スペクトルで定量化し、摩耗量を評価することが可能となった。,若手研究,小区分35020:高分子材料関連,ハイドロゲル,摩擦,摩耗,潤滑,ポリビニルアルコール,滑り摩擦,関節軟骨,表面パターニング,ゲル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14284,大阪大学,中畑 雅樹,迅速な三次元組織体の構築を実現するための形状記憶造形法の開発,本研究では、三次元組織構築のための新たな足場材料として、細胞の共存下での自在変形・形状記憶および使用後の分解が可能なヒドロゲル材料の開発を目指し、二年間の研究に取り組んだ。一年目は、基盤材料となるヒドロゲルの材料設計を行い、マイルドな化学刺激として糖を用いて形状記憶可能な材料の開発に成功した。二年目は、自在変形性と細胞適合性、分解性を兼ね備えた材料設計の最適化を行い、実際に材料を自在変形させながらの培養および培養後の分解を、それぞれ細胞の生存下で行うことに成功した。これにより、開発した材料を用いた三次元組織構築のための土台となる材料設計を新しく提案することができた。,若手研究,小区分35020:高分子材料関連,再生医療,三次元組織構築,ヒドロゲル,自在変形,適時分解,分子間相互作用,形状記憶,三次元組織,バイオマテリアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
