awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14349,国立研究開発法人産業技術総合研究所,橋本 拓哉,200 kbを越す超巨大生合成遺伝子クラスターを利用した化合物生産法の確立,これまでに例のない、微生物由来の200 kbを超える遺伝子クラスターの異種発現による化合物生産が可能か検証した。対象としてMicromonospora chalcea AK-AN57 に由来するquinolidomicinA1の遺伝子クラスター（215 kb）を選んだ。まず細菌人工染色体を用いて215 kbの遺伝子全長を取得した。次にクラスター内の正の転写因子と遺伝子クラスターを共に異種発現宿主で発現させることでquinolidomicinA1の生産を達成した。これは200 kb を超える遺伝子クラスターを利用した異種発現による化合物生産の初めての例である。,若手研究,小区分37020:生物分子化学関連,二次代謝,放線菌,ポリケタイド,大環状マクロライド,異種発現,細菌人工染色体（BAC）,生合成,細菌人工染色体,合成生物学,生合成遺伝子クラスター,異種生産,二次代謝産物,BAC library,生物有機化学,応用微生物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14347,国立研究開発法人理化学研究所,VONG KENWARD,Application of gold-catalyzed 2-ethynylbenzamide cyclization for the tumor-localized in vivo release of anticancer drugs,私達は、生体触媒反応を用いた２つのテーマに取り組んだ。１つ目のテーマでは、アルブミンの疎水性ポケットに金属を導入することで、グルタチオン存在下でも触媒反応が効率的に進むことを発見し、新しい人工金属酵素を開発した。ルテニウム触媒反応によるメタセシスをがん細胞で実施して、抗腫瘍活性を持つumbeliprenin天然物を合成してがんを選択的に殺傷した。さらに植物でもメタセシス反応を行って、エチレンホルモンの初めての生体イメージングに成功した。２つ目のテーマでは、金触媒によるエチニルベンズアミドの環化反応を開発し、抗腫瘍性のドキソルビシンやエンドキシフェンをがん細胞で活性化し、治療することに成功した。,若手研究,小区分37020:生物分子化学関連,biocompatibility,artificial metalloenzyme,enzymes,gold catalysis,drug release,gold-catalyzed reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14346,慶應義塾大学,岩崎 有紘,海洋天然物由来の抗寄生虫薬リードの創出,本研究では、マラリアやトリパノソーマ感染症などの熱帯病の治療に有効な物質を海洋生物から探索した。その結果、22種類の新規天然物を海洋シアノバクテリアから発見し、それらのもつ抗寄生虫活性を明らかにした。さらにこのうち8つの物質について全合成を達成し、供給手段を確立した。特にiheyamideという鎖状ペプチドについては、合成中間体に対する抗寄生虫試験を実施し、構造活性相関を明らかにした。また、iezosideという鎖状ペプチド-ポリケチドハイブリッド化合物については、その作用機序を解明した。,若手研究,小区分37020:生物分子化学関連,天然物化学,シアノバクテリア,ペプチド,トリパノソーマ,マラリア,寄生虫,熱帯病,海洋天然物,抗寄生虫薬,海洋天然物化学,作用機序解明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14345,大阪市立大学,保野 陽子,新規アストロサイト増殖分子の創製研究,脳の大半を占めるアストロサイトの増殖を促進する化合物は、脳機能改善をもたらすリードとなると期待される。本研究では、アストロサイトの増殖活性を指標に見出されたペプチド系天然物の構造と生物活性の詳細を調べた。あわせて、その合成経路を確立する研究に取り組み、構造と機能の詳細を明らかにするとともに、天然物を構成するアミノ酸の合成経路を開拓できた。,若手研究,小区分37020:生物分子化学関連,アストロサイト,ナトリード,全合成,構造決定,13員環シクロファン,分子内環化反応,非天然型アミノ酸,β―ヒドロキシドーパ,βーヒドロキシイソロイシン,グリア細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14344,金沢大学,斎藤 洋平,天然物誘導体により制御可能なトリプルネガティブ乳がん治療標的の解明,トリプルネガティブ乳がん（TNBC）とはその他の乳がんでは発現するホルモン受容体、成長因子受容体の３つすべてが欠損した乳がんである。他の乳がん治療で効果的な分子標的薬、ホルモン療法が効かないうえ、転移が起こりやすい特徴を有する。若年乳がんでその割合が高く、再発を繰り返すことから予後が非常に悪い。そのため、治療に有効な分子の発見から作用機序解明に至るまでの創薬基礎研究が極めて重要である。本研究ではTNBC細胞の増殖抑制に有効な分子を新たに見出した。,若手研究,小区分37020:生物分子化学関連,がん細胞増殖抑制,化学プローブ,誘導体合成,構造活性相関,乳がん,化学修飾,標的タンパク質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14343,筑波大学,大好 孝幸,ハイブリッドアナログを利用したアプリロニンAの作用機序解明,アプリロニンＡのマクロラクトン部とスウィンホライドＡの側鎖部を持つ、新規ハイブリッドアナログを設計・合成した。このハイブリッドアナログは強力な細胞毒性とアクチン脱重合活性を示した。加えて、アプリロニンＡと同様にアクチンおよびチューブリンのタンパク質間相互作用を誘導することも明らかにした。さらに、このハイブリッドアナログを利用し、アミノ酸部位と側鎖部の構造活性相関研究を行った。その結果、トリメチルセリンエステルの重要性、アプリロニンＡ側鎖部の強いアクチン脱重合活性が明らかになった。,若手研究,小区分37020:生物分子化学関連,ハイブリッドアナログ,アプリロニンＡ,スウィンホライドＡ,タンパク質間相互作用,アクチン,チューブリン,細胞毒性,抗腫瘍性,天然物化学,三元複合体,アプリロニンA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14342,北海道大学,劉 成偉,医薬品リードとなるキノコ由来テルペン類天然物の汎用的な生産法の開発,本研究は、キノコが生産するエリナシンを題材として、これまでに報告例のないゲノムDNA配列を利用した麹菌で異種生産を検討した。１、CRISPR/Cas9法を用いたノックイン法を適用し、高い形質転換効率を達成し。また、マーカーリサイクル法を用いて多重、多数の生合成遺伝子の同時発現が可能となった。２、エリナシン生合成に必要な遺伝子のゲノム配列を麹菌に導入した、90％のイントロンが正しく除かれた。３、エリナシン生合成遺伝子クラスター外に見出したアセチル基転移酵素遺伝子、植物由来のUDP-キシロース生合成遺伝子等計10遺伝子を二回の形質転換によって麹菌に導入し、天然物エリナシンQの生合成を達成した。,若手研究,小区分37020:生物分子化学関連,erinacine,mushroom,Aspergillus oryzae,heterologous expression,CRISPR/Cas9,pleuromutilin,生合成,キノコ,テルペン,異種生産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15708,国立研究開発法人理化学研究所,張 宗哲,Application of gold-catalyzed glycosylation under aqueous condition  for the tumor-localized in vivo synthesis of anticancer drugs,"Due to the adverse health effects caused by anticancer drug side effects, chemotherapy can be a laborious and often painful process for patients. The aim of this proposal is to develop a gold catalyzed chemical glycosylation to synthesize glycoconjugates as anticancer drugs. Together with cancer-targeting glycoalbumin DDS (drug delivery system), this approach can locally synthesize  cytotoxic drugs within tumor tissues, while minimizing unnecessary drug interactions with normal, healthy tissues; thereby reducing unwanted drug side effects.",若手研究,小区分37020:生物分子化学関連,biocatalysis,biocompatibility,artificial metalloenzyme,gold catalysis,drug synthesis,Artificial metalloenzyme,Gold-mediated reaction,Glycan,Prodrug,drug-release,metal-carrier,chemical glycosylation,Gold-catalysis,Prodrug activation,Chemical glycosylation,Glycoalbumin DDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15707,大阪大学,安田 智一,セラミド-1-リン酸の動的挙動解析に基づくホスホリパーゼA2分子認識機構の解明,細胞膜上に局所的に分布するセラミド-1-リン酸(C1P)が、どのようにして細胞質型ホスホリパーゼA2 (cPLA2α)と特異的に結合するのか、その分子基盤の解明を目指す。そのために、構造改変したC1P類縁体を化学合成し、多様な計測手法を用いて、人工膜や細胞膜におけるC1PおよびcPLA2αとの複合体の動的挙動や相互作用を原子レベルで観測する。これらを統合的に解析することによって、C1Pの挙動秩序と生理機能の関係の理解が深まることが期待される。,若手研究,小区分37020:生物分子化学関連,セラミド-1-リン酸,細胞質型ホスホリパーゼA2,蛍光寿命測定,表面プラズモン共鳴法,動的挙動解析,分子認識機構,類縁体合成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15706,横浜市立大学,入江 樂,化学反応を駆使した多官能基性天然物の構造と作用機序研究,海洋生物からは、医薬品への応用が期待される有用成分が数多く見出されている。しかしながら、そのような成分は一般的に天然資源からの収量が少なく、分子構造も複雑であることが応用研究の障壁となっている。本研究では微量の天然成分を用いた化学反応を駆使し、そのような物質の三次元的な構造、および薬理作用の発現に必要な部分構造を明らかとする。これにより化学合成による供給への道筋を作るとともに、その作用メカニズム解明にも着手する。,若手研究,小区分37020:生物分子化学関連,海洋天然物,構造解析,分解反応,アミド結合,天然物,誘導体化,立体配置,LC-MS,脱アシル化,加水分解,化学反応,作用機序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
