awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14363,国立研究開発法人国立循環器病研究センター,和田 郁人,アンチセンス薬の腎毒性を回避する新規設計法の構築,本研究では、アンチセンス薬の腎毒性を回避することをゴールに据え、腎臓への蓄積を回避するアンチセンス薬を創造する。,若手研究,小区分37030:ケミカルバイオロジー関連,アンチセンス,リガンド,DDS,安全性,核酸医薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14362,国立研究開発法人量子科学技術研究開発機構,山浦 圭,蛍光バイオセンサーを駆使した神経受容体標的アロステリック薬の合理的探索手法の開発,アロステリック薬は既存の薬剤と比較して標的特異性が高く、生体内局所においてのみ作用を示す。そのため副作用が少なく、新薬開発において強く望まれている。しかしながら、創薬ターゲットとして重要な膜タンパク質に作用するアロステリック薬の探索が困難なため、その薬剤開発は停滞している。今回、神経伝達物質受容体の蛍光バイオセンサーを駆使することで、これまで困難であったアロステリック薬の合理的な探索手法の開発に成功した。さらに、化合物ライブラリーを用いて薬剤スクリーニングを行った結果、複数ヒット化合物が得られ、そのいくつかは実際にアロステリック作動薬として機能することが判明した。,若手研究,小区分37030:ケミカルバイオロジー関連,ケミカルバイオロジー,化学系薬学,創薬化学,薬理学,神経伝達物質受容体,アロステリック作動薬,蛍光バイオセンサー,薬剤スクリーニング,合理的探索,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14361,国立研究開発法人理化学研究所,岩野 智,多基質・多酵素の共進化で実現する人工多色生物発光システムのバリエーション増加,ホタル生物発光反応に基づく同時使用可能なマルチカラー人工生物発光反応の開発を目指し，研究を行った．結果，直交する青色基質/青用酵素と赤色基質/赤用酵素という2つのペアの開発に成功し，培養細胞を利用した２色の発光イメージングに成功した．観察の結果，培養細胞レベルでも，使用可能な明るさで，かつ，独立して利用できることから，実用性の高い技術の基盤となるであろう．現在，緑色基質に対応した緑用酵素の開発を進めている．,若手研究,小区分37030:ケミカルバイオロジー関連,生物発光,直交性,基質,酵素,イメージング,ケミカルバイオロジー,タンパク質工学,ホタル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14360,国立研究開発法人理化学研究所,江越 脩祐,重水素化アルキンタグラマンイメージングを用いた共培養時の細胞増殖評価法の確立研究,本研究では、二種類の細胞の区別が可能となる重水素化化合物を設計・合成し、そのラマンシグナルの計測と細胞への適用を中心に検討を行った。さまざまな重水素化化合物を合成して生物検定を続けた結果、アルキンのラマンシフトは重水素化により低波数側に大きくシフトすることが明らかになった。さらに、長鎖の不飽和脂肪酸を基盤とした重水素化プローブを用いることで、2種の細胞を区別して観察可能な結果が得られた。本研究で開発したラマンタグは複数の小分子を細胞内で区別するという１細胞を用いた研究に、ラマンプローブは細胞種の識別など複数の細胞研究に有用であると示唆された。,若手研究,小区分37030:ケミカルバイオロジー関連,ラマンイメージング,アルキン,重水素,重水素化アルキン,ケミカルバイオロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14359,広島国際大学,山下 ユキコ,新規FXRリガンド開発におけるfocused libraryの構築と応用展開,申請者は、N置換ベンゾイミダゾールという共通した中心構造を持ちながら、agonistまたはantagonistとして相反する薬理作用を示す化合物群を見出すことに成功した。また、それぞれの薬理作用に必要と思われるFXR-LBDとの相互作用も明らかにしつつあり、“activate swich”の核心に迫る成果を残した。本研究において、FXRリガンドとしてのファーマコフォアとPKプロファイルを明らかにできたことは、治療薬開発を目指したin vivo評価に向けた大きな躍進である。本研究において得られたこれらの成果は、FXR リガンド創製の社会的意義をより高めるものである。,若手研究,小区分37030:ケミカルバイオロジー関連,FXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14358,名古屋市立大学,川口 充康,ENPP1を標的とした分子標的プロドラッグ基盤技術の開発研究,ENPP1が生細胞においてmGMP基を特異的に認識し加水分解する活性を持つことを見出していたため、承認抗がん剤にmGMP基を付与しENPP1を過剰発現する細胞においてのみ細胞毒性を示す化合物の開発を目指した。ただし、SN-38のプロドラッグ化を試みたところmGMP基の合成上の不安定性が明らかとなった。これまでの研究背景を鑑みるとプロドラッグ化する水酸基の酸性度が合成の鍵になると考えられた。反応条件を検討した結果、TGに比べて酸性度の低いクマリン(SN-38と同程度の酸性度を持つ)でもmGMP化できることが明らかとなり、様々なフェノール性水酸基のmGMP化が可能である可能性が示唆された。,若手研究,小区分37030:ケミカルバイオロジー関連,プロドラッグ,ENPP1,がん幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14357,名古屋大学,阿部 奈保子,真核系における環状RNA翻訳反応の機構解析,1. 環状RNA翻訳反応の塩基配列依存性を明らかにした。2.２つの非翻訳領域間で塩基対を形成することで形成した疑環状構造が、直鎖状mRNAの翻訳効率を向上させた。３．環状RNAの化学的連結法による合成法を検討し、生ずる非天然連結部位を含むRNAが翻訳されうることを明らかにした。４．ホスホロチオエート修飾を５’非翻訳領域に限定的に導入したmRNAが大腸菌無細胞翻訳系において大きく翻訳活性を向上させた。これによりmRNAの翻訳活性向上には位置特異的な化学修飾導入が有効な手法であることを示した。,若手研究,小区分37030:ケミカルバイオロジー関連,環状RNA,翻訳反応,RNA,環状構造,真核細胞翻訳系,環状,翻訳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14356,名古屋大学,木村 康明,標的酵素で活性化される共有結合医薬の開発,共有結合医薬は、標的酵素と共有結合を形成してその機能を阻害する医薬分子で、高い阻害活性を有する。この特性から、近年様々な酵素を標的とした共有結合阻害薬が開発されている。しかし、共有結合医薬は標的以外のタンパク質と共有結合を形成する場合が多く、それに由来する副作用が、共有結合医薬開発における大きな課題となっている。,若手研究,小区分37030:ケミカルバイオロジー関連,共有結合医薬,標的選択制,抗ウイルス薬,抗ガン薬,核酸誘導体,標的選択性,核酸アナログ,ポリメラーゼ,選択性,不可逆阻害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14355,北陸先端科学技術大学院大学,福永 圭佑,分子認識の曖昧なタンパク質間相互作用のプロテオミクス解析,,若手研究,小区分37030:ケミカルバイオロジー関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14354,東京工業大学,ジャー トニーズィ,in vitro RNA進化におけるコアセルベート液滴の機能的役割の検証,このプロジェクトは液ー液相分離 (ＬＬＰＳ: リキッドーリキッドフェーズセパレーション) によって形成された膜のない液滴を用いることでプロトセルモデルの理解を深めることに貢献しました。最初にDNA (デオキシリボ核酸) とペプチド (ポリリジン) から構成されるコアセルベートの構造の進化を研究し、次に膜のないプロトセルモデルとして、ポリエステル液滴の機能を研究しました。,若手研究,小区分37030:ケミカルバイオロジー関連,Origins of Life,Protocells,Coacervates,Astrobiology,Prebiotic Chemistry,Chemical Evolution,Polyesters,Biopolymers,Protocell,Phase Separation,Chemical Speciation,Compartments,Self-Assembly,Biochemistry,Nucleic Acids,Origin of Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
