awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14463,国立研究開発法人農業・食品産業技術総合研究機構,尾上 典之,ゲノムのヘテロ接合度が生産性に与える影響－カキにおける近交弱勢打破に向けて－,カキ育種では、近親交配が進んでおり、その悪影響である近交弱勢による生産性低下が大きな問題となっている。本研究は、近交弱勢の研究にこれまで用いられることが少なかった、ゲノム情報を活用することで、カキにおける近交弱勢の実態を明らかにしようとするものである。ゲノム情報から近親交配の強さを推定することで、近親交配が進むにつれて、果実重、収量および樹勢の低下、また結果樹齢の遅延が生じることを見出した。,若手研究,小区分39030:園芸科学関連,カキ,多収,近親交配,近交弱勢,高次倍数体,ヘテロ接合度,六倍体,GBS,RAD-seq,果樹育種,マーカー近縁度,NGS,量的多型,近縁度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14462,東京農業大学,田崎 啓介,花弁のアントシアニン着色を制御する光応答経路の解明,本研究では、花弁着色の光誘導における分子機構の解明を目的に、我が国の主要切り花品目の一つであるリンドウを用いて、白色光による明条件、暗条件、そしてLED光源を用いた波長域別の光処理実験を行った。光処理した花弁サンプルのRNA-seq解析から、光に応答して着色を促す候補遺伝子を選抜し、それら遺伝子についてリンドウのゲノム編集個体を作出することで機能解析を行った。その結果、候補遺伝子の一つであるGST1は花弁において光に応答して発現し、生合成されたアントシアニンの液胞輸送に関与していることが明らかになった。,若手研究,小区分39030:園芸科学関連,アントシアニン,ゲノム編集,GST,LED,リンドウ,花色,光,光応答,次世代シーケンサー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14461,日本大学,奈島 賢児,アジサイが形成する2種類の花器官-その作り分け機構の解明,アジサイの装飾花・非装飾花の形態形成の制御機構の解明を目指し、その一端として装飾花・非装飾花の着生パターンの異なる、手まり咲き／がく咲き性に着目し、その原因遺伝子の同定を試みた。全ゲノム解読・RNAシークエンスによる発現比較・全ゲノムリシークエンスによる変異箇所決定を行い、原因遺伝子解明を試みたところ、第4染色体上に原因遺伝子候補が見出された。この遺伝子は手まり咲き性の場合には必ず機能欠損している対立遺伝子のみを保有しており、原因遺伝子として極めて有力であると考えられた。,若手研究,小区分39030:園芸科学関連,アジサイ,手まり咲き,装飾花,形態形成,ゲノム解読,変異,DNA,NGS,RNA-seq,リシークエンス,DNAマーカー,トランスクリプトーム解析,ドラフトゲノム,ファインマッピング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14460,東京農業大学,三井 裕樹,植物の根の肥大形質を決定する原因遺伝子の同定,農作物の有用な形態形質を制御する量的遺伝子座（QTL）を明らかにすることは、個体の成長や形態形成の分子メカニズム解明と、分子レベルでの育種プログラムの推進に貢献する。根の発達は植物体全体の成長を制御し、農作物においては収穫物の収量と品質に大きく影響する。本研究では、根の肥大性に幅広い変異が存在するダイコンを用いて、根形態が異なる複数品種間で雑種後代を作出し、根形態形質の遺伝様式を解析した。また、QTL-seq法を用いて全ゲノムレベルで形質変異に関連するゲノム領域および候補遺伝子を検出した。,若手研究,小区分39030:園芸科学関連,根の肥大,遺伝子変異,遺伝様式,ゲノム解析,QTL-seq解析,根形態の遺伝様式,根の肥大速度,根部肥大形質の分離,雑種後代育成,育種,遺伝子,ゲノム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14459,佐賀大学,松本 雄一,"メロンつる割病レース1.2抵抗性遺伝子F1,2yのRAD-seq解析と育種利用","抵抗性を持つ野生種Cucumis anguriaのF2分離集団の解析で得られた各SNPとSSRマーカーを用いた遺伝子型解析から1225個のSNP遺伝子型データを得た。また，F3系統のつる割病レース1,2y抵抗性表現型から推定したF1,2y遺伝子型と併せて連鎖解析を行った結果、F1,2yはSNP43249と密接に連鎖することが示唆された．メロンと様々なCucumis属野生種との交雑親和性の結果から、C.anguriaに加えC.zambianusも交配親として有望であることを示した。C.anguriaは果実加温を行うことで雑種胚の発達を促進できることを明らかにした。",若手研究,小区分39030:園芸科学関連,メロン,つる割病,種間交雑,交雑親和性,遺伝資源,SNP,SSR,遺伝子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14458,鳥取大学,遠藤 直樹,バラ科果樹にとってハルシメジ類は“寄生者”か？それとも“共生者”か？,バラ科果樹に外生菌根様構造を形成するハルシメジ類が，宿主植物であるバラ科果樹の寄生菌と共生菌のどちらであるのかを明らかにするため，本菌群の菌株培養法および菌根合成法の確立，およびハルシメジ類が感染したナシ苗木の成長量の評価を行なった．研究の結果，担子胞子および外生菌根様構造より分離したハルシメジ類の菌株を斜面培地接種法によりホクシマメナシ無菌実生に接種すると，外生菌根様構造の人工合成が可能であった．また，ハルシメジ類感染苗と非感染苗の間の成長量に有意差はほとんど見られず，S/R比のみ，感染苗木が有意に高い場合があった．以上より，ハルシメジ類は少なくとも共生菌であると考えられた．,若手研究,小区分39030:園芸科学関連,イッポンシメジ属,培養株,菌根合成,植物体成長,S/R比,ホクシマメナシ,物質転流,ハルシメジ,安定同位体,転流,菌根,共生,窒素吸収,ニホンナシ,比較解析,接種区・非接種区,葉面積,分子系統解析,宿主特異性,順化,ハルシメジ型菌根,菌根苗,接種試験,土壌条件,植物体生長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14457,京都大学,鍋島 朋之,キクとウイロイドの温室生態学,ウイロイドは一本鎖RNAから成る植物に感染する病原体であり，現在30種以上が報告されている．同一種内にも多様な変異があり，これらの変異が植物の病徴発達に影響することが知られている．本研究ではキクにおける重大病原体であるキク矮化ウイロイド（CSVd）について，季節に応じた環境の変動がキク個体中のCSVd集団の構成に与える影響について調査した．4品種・3時点でCSVd集団構造とCSVd濃度を調査した結果，多数のCSVd系統を検出できたが，濃度や時点に関してCSVd集団構成との明瞭な関係性は見出せなかった．従って，これらの変異は環境要因とは無関係に，ランダムに生じたものだと考えられた．,若手研究,小区分39030:園芸科学関連,ウイロイド,キク,RNA,キク矮化ウイロイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14456,京都大学,滝澤 理仁,単為結果性トマトにおける高糖度化機構の解明,本研究では，単為結果性トマトの糖度上昇機構に関する知見を得るため，単為結果性遺伝子pat-k/Slagl6の準同質遺伝子系統を用いて果実の一次代謝産物の調査と果実の糖代謝関連遺伝子の発現解析を行った．その結果，pat-k/Slagl6による単為結果果実では，果実発達初期においてデンプン生合成遺伝子の高発現によりデンプンが蓄積し，そのデンプンが分解することにより糖含量が上昇する可能性示された．また，メタボローム解析の結果，糖だけでなくアミノ酸もpat-k/Slagl6による単為結果果実で高蓄積しており，これらの増加がpat-k/Slagl6による糖度上昇に寄与すると考えられた．,若手研究,小区分39030:園芸科学関連,単為結果,糖度,トマト,単為結果性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14455,京都大学,大野 翔,鮮黄色フラボノイドであるブテイン生合成機構の解明,ブテインはカルコンの一種でフラボノイド系色素としては珍しく鮮黄色を呈するが、生合成に関わる遺伝子は長く不明であった。本研究ではブテインを花弁に蓄積するダリア‘祝盃’とブテインを花弁に蓄積しない枝変わり‘凜華’を供試して、ブテイン生合成の決定因子であるカルコンレダクターゼ（CHR）遺伝子を探索した。塩基配列解析、遺伝子発現解析、タバコにおける遺伝子組み換え実験からアルドケトレダクターゼ13ファミリーに属するc25599_g2_i1がCHRであることが示唆された。また、ブテインの配糖化に関わる候補遺伝子の過剰発現体の作出とダリアの黄色花の濃淡の決定要因の解析を行った。,若手研究,小区分39030:園芸科学関連,ブテイン,イソリキリチゲニン,カルコンレダクターゼ,グルコシルトランスフェラーゼ,ダリア,花色,黄色花,分子育種,黄色色素,フラボノイド,カルコン,カルコン 4'-グルコシルトランスフェラーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15838,地方独立行政法人大阪府立環境農林水産総合研究所(環境研究部、食と農の研究部及び水産研究部),瀬上 修平,多汁性と食感が特徴的な水ナスを用いたテクスチャーに関わる遺伝的・物理的要因の研究,一般的なナスにはない果実の多汁性と歯切れの良い食感を併せ持つ大阪の地域特産野菜「水ナス」を研究素材とし、ナスの食感に関わる組織・細胞構造および成分組成と、その形質を決定する遺伝子領域を明らかにすることで、新たな品種の育成等に貢献することを目指している。,若手研究,小区分39030:園芸科学関連,ナス,水ナス,果実形質,遺伝学,テクスチャ,果肉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
