awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14542,愛知学院大学,関根 佳恵,食農ラベリング制度の国際比較：地理的表示制度、世界農業遺産、食の世界無形文化遺産,本研究の実施期間中、研究代表者は国連食糧農業機関(FAO)のローマ本部で客員研究員として1年間を過ごし、イタリアを始め日本、フィリピンで現地調査を実施した。2020年からはコロナ禍の影響を受け、国内外の調査や学会の延期・中止に直面したため、実施期間を2年間延長し、最終的には主に以下の成果をあげることができた：学術論文18本(うち国際誌2本、英文7本、単著13本)、書籍24冊(うち英文2冊、仏文1冊、学術書8冊)、学会・シンポジウム発表40回(うち国際学会・シンポジウム発表18回)。これにより、日本、EU、フィリピンにおける地理的表示制度、世界農業遺産等に関する新たな知見を得ることができた。,若手研究,小区分41020:農業社会構造関連,食農ラベリング制度,地理的表示制度,世界農業遺産,世界文化遺産,サステナビリティ,小規模・家族農業,アグロエコロジー,農業政策,地理的表示,アニマルウェルフェア(動物福祉),八丁味噌,地域経済循環,食料・農業・農村基本法見直し,持続可能性,公正性,和牛,日本ワイン,家族農業,Sustainability,フィリピン,日本,徳島県,在来品種,国際学会報告,国内研究集会報告,国際共著,国連報告書,和文学術論文,英字書籍出版,調査結果の論文化,国際研究集会発表,海外調査,国内調査,ユネスコ無形文化遺産,海外資料収集,世界無形文化遺産,,,,,,,,,,,,,,,,,,,,
18K14541,日本大学,李 裕敬,韓国における農村コミュニティビジネスの形成条件と経営戦略に関する研究,本研究では農村コミュニティビジネスを取り上げ、その成立条件と体系化を図った。事例調査を通じて個人事業型と共同事業型に類型化することができた。個人事業型は農村の諸問題を解決する目的で事業を立ち上げたものの、地域への貢献や関り方が限定的であった。共同事業型は農村民泊や収穫体験、伝統儀礼体験などを主要事業とする事例が多く、参加者の役割分担、利益配分が重要な要素であることが確認された。また、血縁関係で構成されている集姓村ではCB事業の立ち上げは容易なものの、コンフリクトが生じやすく、事業の拡張や担い手の確保が困難であり、こうした傾向は伝統的な集落構造を維持している事例ほど強く表れることが示された。,若手研究,小区分41020:農業社会構造関連,農村コミュニティビジネス,ソーシャルビジネス,経営戦略,信頼関係,パートナーシップ,組織間関係,主体間関係,農業法人,経営成長,社会的企業,関係性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14540,名寄市立大学,今野 聖士,農業雇用労働力の地域的需給調整システムにおける構築モデルの解明,昨今、農業を含む全産業において労働力需要の逼迫が進んでいる。雇用の逼迫化と共に農業雇用労働力の地域的需給調整システムが構築されるようになったが、いずれの対応も不足・対策・給源の消失（不足）を周期的に繰り返してきた。この要因は農業雇用労働力の給源となる層がその時代の特殊事情により一時的に形成されてきた層であり、農業はその層から供給を受ける一方で、再生産可能な水準の賃金を支払うことが出来ない構造的問題を抱えていたためだと考えられる。このため、より多様な給源から多様な形で農業に関わる対象を増やす必要があり、その対象として大学生による有償援農ボランティアに注目し、その特性と参加促進条件を明らかにした。,若手研究,小区分41020:農業社会構造関連,農業雇用労働力,地域労働市場,援農ボランティア,学生ボランティア,労働力の需給調整,労働力の地域的な需給調整,農業雇用,労働市場,労働力不足,労働力不足の周期的発現,地域的需給調整システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14539,島根大学,高田 晋史,中国農村の新たなリーダー像とフォロワーの仕組みに関する研究,本研究では，近年中国の農村で見られる新しい農村リーダーとして，“地方就業プロジェクト”の従事者に着目し，その特性やリーダーとして支える仕組みについて考察した。具体的には，従事者へのアンケート調査や実態調査から，まず，“地方就業プロジェクト”を志望する大学生の特徴を明らかにした。次に，“地方就業プロジェクト”の従事者意識を分析し，任期終了後の定住，地域との関係保持，起業を促進するための要点を提示した。さらに，“地域就業プロジェクト”で農村に赴任した若者が，農村のリーダーになるための支える仕組みについて考察した。,若手研究,小区分41020:農業社会構造関連,中国農村,大学生村官,特崗教師,西部計画志願者,三支一扶,地方就業プロジェクト,農村リーダー,タオバオ村,地域サポート人材,定住,農村就業,大学生志願服務西部計画,三支一扶計画,リーダー,フォロワー,郷村観光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14538,静岡大学,藤本 穣彦,「農と食の地域自給圏」に関する農村社会開発手法の研究－「最も美しい村」の日仏比較,本研究では、1982年にフランスで始まった「最も美しい村」運動に着目し、日仏の比較研究を行った。「最も美しい村」運動の農村社会開発は、地域や文化遺産の品質管理を行いながら、村全体をブランド化し、コミュニティ・ビジネスを展開することであった。「最も美しい村」のブランディングやコミュニティビジネスの対象であり、まだ評価指標にはなっていないが、「農と食をローカルにつなぐ」という視点がある。「テロワール」という概念に代表される「農と食の自給圏」という視点は審査基準に反映されていない。これを、「最も美しい村」の農村社会開発手法としていかに構築し、指標化できるかを研究した。,若手研究,小区分41020:農業社会構造関連,最も美しい村,農と食の自給圏,農村計画,資源計画,農村文化,日本,フランス,農食,農と食の地域自給圏,農食連携,循環システム,修景,地域資源,美の基準,自然再生,持続可能な発展,環境ビジネス,比較,地域経済,自給圏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14537,福島大学,則藤 孝志,地域産業クラスターとしての産地形成と農業・農村復興に向けた研究,本研究では、東日本大震災と原子力災害からの復興をめざす福島県を対象として、農業復興と産地形成のあり方について、地域産業クラスターの視点から検討した。まず、東日本大震災から10年が経過した原子力被災地域の現状と課題について広域的視点から論じた。次に、市町村レベルの動きに焦点を当て、営農再開と水田農業の動向を押さえつつ、新たな品目の導入と普及の動きを明らかにした。さらに、福島県の各地で始動しているワインのプロジェクトに着目し、産地形成の現状と地域産業クラスターの形成に向けた課題を明らかにした。,若手研究,小区分41020:農業社会構造関連,原子力災害,地域産業クラスター,産地形成,フードシステム,中規模流通,地域づくり,地域経営,福島県,東日本大震災,営農再開,水田農業,集落営農組織,高齢者福祉,醸造用ブドウ・ワイン,中小企業協同組合,震災・原子力災害,垂直的調整システム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14536,帯広畜産大学,河野 洋一,農業の組織経営体における組織経営能力と経営成果の関係性の解明に関する研究,本研究では農業法人等の組織構成員に対する人材育成事業及びその効果の把握と経営者及び従業員の能力の把握、また、経営者及び従業員の能力の相互作用と位置づける組織能力と経営成果の関係性を明らかにすることを研究目的とし、以下の知見を得た。,若手研究,小区分41020:農業社会構造関連,経営者能力,従業員能力,組織能力,人材育成,キャリアパス,雇用型経営,経営者特性,従業員特性,技術獲得,就農経路,前職経験,経営主体,組織経営体,農業法人,能力育成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15933,一般財団法人農政調査委員会,小川 真如,水田農業再編主体としての農業再生協議会の農地観・農業観に関する実証的比較研究,水田農業再編を進める上で各地域が主体的に果たす役割が重みを増している中、地域ではJA等が構成する農業再生協議会が主体となり、農地・農業の実情の認識を踏まえて計画性ある水田農業のビジョンを策定し、詳細な補助金を決定する。そこで、各地域の水田農業のビジョンを全国規模で収集・分析し、農業再生協議会が農地・農業にいかに認識し、どのようなビジョン（農地観・農業観）をもつか、また、そのビジョンが補助金決定に与える影響等を分析し、現行政策の意義と限界を解明する。とくに、補助金に強く依存し、より人為的・計画的な取り組みが反映されやすい、飼料用水稲の位置付けに着目して統計データ・実態から地域間比較分析を行う。,若手研究,小区分41020:農業社会構造関連,農業再生協議会,水田農業,産地交付金,水田フル活用,農地観,農業観,認識形成,米問題,水田収益力強化,水田フル活用ビジョン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15932,国立研究開発法人農業・食品産業技術総合研究機構,中本 英里,農業分野における知的障害者就労の労働の質向上と就労環境整備条件の解明,本研究は、農業分野における知的障害者雇用のための有効な農業経営モデルの提示を試みる。方法として、まず予備調査として、文献調査・現地調査を行い、①福祉分野の視点、②農作業の視点、③他産業の視点から、知的障害者の雇用現場で求められる就労環境整備要件を抽出し、障害者雇用の現場を評価するための「チェックリスト」を作成する。次に、作成した「チェックリスト」を用い、複数の先進事例を対象に事例分析を行い、どのような就労環境で、どのような経営成果が上がっているかを明らかにする。最後に、事例分析の結果を基に、事業収益の向上に資する障害者雇用の条件、就労環境を含めた有効な農業経営モデルの提示を試みる。,若手研究,小区分41020:農業社会構造関連,農福連携,ユニバーサル農業,作業細分化,作業環境整備,GAP,知的障害者,障害者就労支援,障害者雇用,業務分担,ユニバーサルデザイン,作業工程細分化,チェックリスト,知的障害者雇用,農業経営,就労環境整備,労務管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15931,総合地球環境学研究所,Steven McGreevy,The role of informal food practices in convivial post-growth rural lifestyles,"Socio-economic precarity in Japan’s shrinking society has given rise to a range of alternative lifestyles that reject contemporary ideas of work and market dependency. One common feature of these lifestyles are IFPs. Despite many modern-day pressures for them to disappear, IFPs continue to exist for a reason, but science has yet to explain why this is the case.",若手研究,小区分41020:農業社会構造関連,Informal food,Social practice,Convival lifestyles,Sustainability,Rural livelihoods,Informal Food,Convivial lifestyles,Covivial lifestyles,Social Practice,Convivial Lifestyles,Rural Livelihoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15930,山口大学,宮井 浩志,企業主導による産直流通ネットワーク化の実証的研究,本研究では、組織的な産直流通の一つとして企業主導による産直流通のネットワーク化に着目し、①先進事例の展開過程、②ネットワークにおける流通システム、③ネットワークと出荷農家および集出荷団体との関係性とその評価、④消費者による利用実態と評価の4点から、企業主導による産直流通ネットワーク化の実態と展望を実証的に明らかにすることを目的とする。,若手研究,小区分41020:農業社会構造関連,インショップ型産直,ネットワーク化,ローカルチェーン,関係性マーケティング,消費者評価,COVID-19,ローカル・チェーン,産直流通,スーパーマーケット,企業主導,ローカルスーパー,インショップ,産直,地産X消,サプライ・チェーン・マネジメント,市場外流通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
