awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14556,国立研究開発法人量子科学技術研究開発機構,長尾 悠人,植物体内の複数物質同時イメージング用PETIS/コンプトン融合機の開発,植物体内の複数の物質を同時に可視化することを目的として、ポジトロン放出核種を一度に一種類だけ撮像可能な既存の植物研究用ポジトロンイメージング（PETIS: positron-emitting tracer imaging system）技術に、次世代のガンマ線イメージング技術であるコンプトンイメージング技術を融合させた新たな植物研究用ガンマ線イメージング装置「PETIS/コンプトン融合機」を考案した。本研究課題では融合機開発の第一段階として小型のプロトタイプ装置を試作し、融合技術の有用性を実証した。,若手研究,小区分41040:農業環境工学および農業情報工学関連,コンプトンカメラ,ポジトロンイメージング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14555,国立研究開発法人農業・食品産業技術総合研究機構,土屋 遼太,施設園芸の省エネを推進するユーザー指向型設計プラットフォームの開発,本研究では，パイプハウスや温室など園芸施設の栽培環境と消費エネルギーの同時シミュレーションが可能なプログラムを構築した。本プログラムは，商用ビルや住居など一般建築物のエネルギー消費計算のため広く使用されるEnergyPlusに，園芸施設特有の伝熱プロセスを組み込むことで開発した。開発にあたっては，無栽植条件で側窓を閉鎖したパイプハウスの内部環境の計測から改良点を明らかにし，この結果から園芸施設エネルギー消費・環境シミュレーションプログラムを構築した。また，施設園芸でエネルギー消費の大半を占める温風暖房機およびヒートポンプ（HP）のモデルを構築し，HPへの切り替えによる省エネ効果を算定した。,若手研究,小区分41040:農業環境工学および農業情報工学関連,施設園芸,エネルギー収支,栽培環境,温室モデル,シミュレーション,ユーザー指向プログラム,温室,脱炭素化,エネルギー消費,熱収支,伝熱,蒸発散,結露,省エネルギー,数値モデル,設計,換気計算,温湿度環境,熱収支モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14554,国立研究開発法人農業・食品産業技術総合研究機構,安藤 泰雅,冷凍生鮮野菜の実現に向けた細胞膜の水透過性と電気物性評価による組織軟化挙動の解明,本課題では、凍結時における細胞膜の状態変化が野菜組織の軟化挙動に及ぼす影響を明らかにすることを目的とし、冷凍野菜の細胞膜の構造変化と水透過性の変化について検討を行った。アスパラガス組織を用いた実験では細胞膜の損傷が凍結速度や氷結晶の形状に関わらず生じることが示され、冷凍野菜の組織軟化は細胞膜の損傷に伴う膨圧の低下が大きな要因であることが示唆された。また、コマツナの凍結温度域（-2℃）における貯蔵試験では電気的特性の変化が見られ氷結晶の生成前に細胞膜の構造的な変化を生じていることが示唆された。,若手研究,小区分41040:農業環境工学および農業情報工学関連,冷凍,野菜,細胞膜,電気インピーダンス解析,水透過性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14553,日本大学,小林 りか,食品凍結濃縮層における脂質ータンパク質相互作用の解明,本研究ではタンパク質と油脂を含む食品内において、冷凍貯蔵下で起こるタンパク質の凝集形成に対する油脂の役割を理解することを目的とし、モデル食品として豆腐と小麦ドウを使って実験検討を行った。その結果、豆腐中では凍結貯蔵時に生ずるタンパク質の凝集に対する油脂の役割は、凝集を単純に促進または抑制するというよりも相互補完関係にあるのではないかと予想された。一方で小麦ドウ内では油自体のタンパク質との相溶性が凝集量形成を決定しているのではないかと予想された。,若手研究,小区分41040:農業環境工学および農業情報工学関連,食品冷凍,低温貯蔵,貯蔵,氷の再成長,油脂,タンパク質,冷凍貯蔵,食品,油の分布,タンパク質凝集,脂質,FT-IR,凍結濃縮層,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14552,愛媛大学,森松 和也,高圧処理による好熱性好酸性菌芽胞の耐熱性弱体化,本研究では，高圧処理により好熱性好酸性菌芽胞の耐熱性を弱体化できることを利用した新規殺菌技術について，芽胞懸濁液の成分が与える影響について調べた．100 MPaの中温高圧処理を行った場合，懸濁液のpHが低下すると殺菌効果が増加した．このとき，中温中高圧処理により殺菌効果に対して，懸濁液中に含まれる有機酸や無機酸の成分による影響はみられなかった．また，pH5.0の懸濁液中にカルシウムやマグネシウムが含まれている場合，ナトリウムやカリウムに比べ，殺菌効果が抑えられた．一方，金属成分による殺菌効果の抑制は，pHを4.0まで下げるか，処理圧力を600 MPaまで上昇させると小さくなった．,若手研究,小区分41040:農業環境工学および農業情報工学関連,高圧処理,高圧発芽誘導,殺菌,好熱性好酸性菌,芽胞,高圧発芽誘導殺菌,無機酸・有機酸,pH,クエン酸,芽胞殺菌,好熱好酸性菌,発芽誘導,酸性飲料殺菌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14551,北見工業大学,楊 亮亮,車輪式農用車両の傾斜地における横滑り発生機構の解明と動的横滑り防止制御,日本では中山間傾斜地の割合は非常に高く、日本面積の７割を占める。近年、平地での自動操舵のスマート農業技術は急ピッチに進んでいる。しかし、傾斜地では平地と比べ、精度が落ちる場合がある。耕耘する際に精度が落ちる場合には大きな影響はないが、作物がある中間管理の際には作物に傷を付ける恐れがある。玉ねぎなどの密度が高い作物の場合、傾斜地での走行精度の向上が実現できれば行間間隔を縮小することができ、有効植付株数を増やすこともできるため、経済的な効果が大きいと考えられる。本研究は傾斜地で精度を低下した原因を実験的に分析し、傾斜地での補正制御法を提案した。実験では平地と同じレベルの精度を実現した。,若手研究,小区分41040:農業環境工学および農業情報工学関連,自動操舵,傾斜地,IMU,GNSS,駆動輪荷重,中山間地,偏角走行制御,丘陵地帯,農業車両,車輪式車両,横滑り発生機構,横滑り防止制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15947,国立研究開発法人日本原子力研究開発機構,栗田 圭輔,磁場を利用した非接触型オートラジオグラフィ技術の開発,オートラジオグラフィ法は、放射性同位元素（RI）を含む試料をイメージングプレート（IP）等に密着させ、その濃度分布を可視化する手法である。この手法は植物研究分野においても広く利用されているが、厚みや複雑な構造を持つ被写体を撮像する場合、IPへの接触がうまくできず像がぼけてしまっていた。上記の問題を解決するため、試料とIPとの間に距離がある場合でも感度や分解能が低下しないオートラジオグラフィ技術の開発を行う。具体的には、RIが放出するベータ線の進行方向を磁場で制御することで、これを実現する。本研究は、植物における様々な元素の集積箇所や生理機能の解明研究等への貢献が期待される。,若手研究,小区分41040:農業環境工学および農業情報工学関連,オートラジオグラフィ,RI,イメージング,植物,RIイメージング,磁場,放射性同位元素,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15946,九州大学,野下 浩司,作物３D形態ベンチマークデータセットの構築による植物フェノタイピング研究の加速,植物フェノタイピング（plant phenotyping）による表現型データ収集の加速を目指す．表現型データの収集は労働集約的な場合が多く，多様性をもった農作物生産技術開発上のボトルネックとなっている．このボトルネック解消に向けて植物フェノタイピングへの取り組みが世界的に盛んになってきたが，各手法の定量的比較のための基盤となるベンチマークデータセットが殆ど存在しない．また，革新的な成果を挙げつつある深層学習などの成果を農作物生産の現場へも応用するには，分野に合わせた訓練データが必要である．本提案では，植物3次元形態データに注目し，データの収集とメタデータの付与をおこない，その基盤を整備する．,若手研究,小区分41040:農業環境工学および農業情報工学関連,植物フェノタイピング,数理モデル,形態測定学,画像解析,３次元計測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15945,岐阜大学,今泉 鉄平,加工操作による農産物内在ペクチンのグローバル構造変化,ペクチンは野菜や果物のテクスチャを左右する物質であるとともに、人体における生理機能についても解明が進められている．したがって、加工操作により農産物内在ペクチンの状態を制御できれば、加工製品において消費者の嗜好、健康状態に合わせた食感形成や機能性付与が行える可能性がある．申請者は、このような食感や機能性について、ペクチン分子の長さや側鎖構造、分子間ネットワークといったグローバル構造が特に重要であると考えた．そこで、本研究では、ペクチンのグローバル構造を軸に、加工による変化メカニズムや食感、機能性への影響を明らかにすることとした．,若手研究,小区分41040:農業環境工学および農業情報工学関連,ペクチン,電気インピーダンス,細胞壁,グローバル構造,原子間力顕微鏡,細胞膜損傷,ブランチング,乾燥,ナノ構造,農産物,加工操作,低温ブランチング,メトキシル化度,FT-IR,ICP-AES,イオン漏出,食品加工,機能性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15944,東京農工大学,辰己 賢一,落水と再潅水のタイミングおよび水ストレスレベルがイネ個葉の光合成能力に与える影響,落水と再潅水のタイミングおよび水ストレスレベルがイネ個葉の光合成能力に与える影響の評価と，得られた結果に基づく効果的な水管理の在り方の提案を目的とする．そのため，落水と再潅水のタイミングおよび土壌水分ストレスレベルに応じた計10処理区を設定し，1) ファイトトロンでのポット栽培とガス交換測定，2) 生育ステージごとにおける水ストレスレベルがイネ個葉の光合成能力に,若手研究,小区分41040:農業環境工学および農業情報工学関連,作物モデル,光合成,落水,再潅水,水ストレス,イネ,ガス交換測定,生育調査,収量調査,収量,窒素ストレス,光合成能力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
