awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14562,国立研究開発法人国際農林水産業研究センター,松川 みずき,東南アジアにおける社会学的・生物学的解析を用いたイネウンカ類の防除に向けた研究,育児休業中で研究を一時停止していたため当該年度の実績はなし,若手研究,小区分41050:環境農学関連,トビイロウンカ,メコンデルタ,ネットトラップ,殺虫剤,東南アジア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14561,国立研究開発法人農業・食品産業技術総合研究機構,錦織 達啓,農地の放射性物質対策が流域の水質に及ぼす影響の解明,福島第一原子力発電所事故以降、農作物の放射性セシウム吸収抑制のために作土の交換性カリウム濃度を高める対策が行われてきました。この対策は極めて有効でしたが、一方で主な資材として用いられている塩化カリウムからは塩化物イオン（水道水質基準が定められている物質）が地下水や河川に流亡している可能性がありました。本研究では、福島県で対策が行われてきた地域の地下水・河川水を調査し、塩化物イオン濃度には顕著な増加が生じておらず、本対策が流域水質への負荷の少ない方法であることを明らかにしました。,若手研究,小区分41050:環境農学関連,地下水質,河川水質,農地排水,塩化物イオン,放射性セシウム対策,水田排水,放射性Cs対策,カリウム施肥,水質,地下水,河川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14560,長岡技術科学大学,上村 直史,リグニン由来の低分子芳香族を特異的に検出する革新的環境センサーの開発,環境中でのリグニン分解を明らかにするツールの開発を目指し、リグニン由来化合物を検出すセンサーバクテリアを作出した。リグニン由来化合物のモデル分解菌であるSphingobium sp. SYK-6株を宿主とし、本株の転写制御システムとGFPを用いてセンサーを開発した。,若手研究,小区分41050:環境農学関連,リグニン,フェルラ酸,バニリン酸,センサー,樹木,バクテリア,蛍光タンパク質,転写制御,木片,センサーバクテリア,芳香族化合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14559,東京農工大学,諾恩 達古拉,機能改変酵素を用いた生体内のリグニンの分解性向上技術の開発,植物バイオマス資源は二酸化炭素を固定し、地球上でもっとも多く存在する再生可能資源であり、主にセルロース、ヘミセルロースとリグニンから合成される。リグニンの木材からの脱離性の向上は植物バイオマスの加工性に重要とされている。本研究はリグニン生合成経路中の中間体を触媒する触媒機能の高い変異型酵素の他、微生物が持つ種々の異なる酵素遺伝子を植物に導入し、リグニン及び植物の加工性などの変化を調べた。具体的には、(1) 異なる酵素の遺伝子をポプラ細胞へ導入し、組換え系統を選定することに成功した。(2) 選定した組換えポプラの中から導入遺伝子の発現量の高い個体を選抜・増殖し、鉢だしした。(3) 鉢だし中のポプラを用いて、各分析を行なった。以下は進行状況になる。本研究の主な目的であるDBR遺伝子はモノリグノールラジカル合成を阻害しリグニンの高分子化を抑制する。DBRの基質が野生型より多く検出された組換えポプラに導入した結果、組換えポプラの茎の色の変化を元に戻すことが観察された。リグニン含有量とリグニンモノマー組成にも少量の変化が検出され、 今後は共同研究先との連携により、2次元NMRを用いた詳細なリグニン構造分析を行い、結果を纏める予定がある。次に、ヒドロキシシンナモイルCoAヒドラターゼ・リアーゼ遺伝子をポプラに導入し、発現量の異なる三つの組換え系統を、野生型ポプラ、空ベクター導入した組換えポプラと比べた。その結果組換え個体の矮化、幹の木質の変色、リグニンの異常蓄積が観察された。現在は共同研究先との連携により2次元NMRを用いた詳細なリグニン構造分析、網羅的な代謝物分析を実施中である。更に、今後は共同研究先のJoin BioEnergy Institute（JBEI）との連携によりバイオ燃料の製造適性を評価する予定である。,若手研究,小区分41050:環境農学関連,リグニン,植物細胞壁,糖化性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14558,東京大学,水野 紫津葉,東シナ海沖合域に分布する流れ藻の遺伝的多様性とその産地の推定,東シナ海沖合域の海面には、冬季から春季にかけて、大型褐藻類のアカモクの流れ藻が大量に分布する。この流れ藻は、ブリやマアジなどの水産重要種の稚魚が棲息場として重要な役割を果たしているが、その発生源は不明である。東シナ海沖合域へのアカモク流れ藻の供給維持のためには、産地となる藻場を特定し保全、モニタリングの必要がある。本研究では藻場と流れ藻から採集したアカモク標本についてDNAのマイクロサテライトマーカーを用いた集団解析を行うことで、東シナ海沖合域流れ藻に寄与が大きいアカモク藻場を特定することを目的とする。,若手研究,小区分41050:環境農学関連,流れ藻,アカモク,東シナ海,マイクロサテライト,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14557,北海道大学,内田 義崇,荒廃地土壌の微生物窒素固定と固定された窒素の安定性,荒廃地土壌の生産性を回復させるためには、窒素が効率よく微生物により土壌へ固定されることが重要である。この研究では、サブサヘルアフリカで採取した荒廃地土壌において、先駆植物の根圏で窒素固定を行うコミュニティを明らかにする。本年度は、①ザンビアの荒廃地でAfrican fountain grass (Pennisetum setaceum)の根圏から採取した土壌や、②日本の荒廃地（都市部の建築現場跡地）における先駆作物の根圏土壌を用いた実験を行った。①に関しては、異なるDNA抽出法を試し、抽出法によって定量PCRや次世代シーケンサによる微生物群衆構造解析にバイアスが出ることが無いかを調査した。結果として、高額であり現地で手に入りにくい土壌DNA抽出キットを用いればより多くのDNAを抽出できるものの、群衆構造解析へのバイアスは少ないことがわかった。しかし、このことは定量PCRの結果が抽出法に強く影響を受けることを示唆しており、今後さらにサブサヘルアフリカで精緻な土壌微生物DNA研究を行っていく上で障壁となる。②に関しては、窒素固定微生物のDNA量を、定量PCRを用いて検証するための条件検討を行った。プライマはPo1FとPo1Rを用い、DNAの精製や希釈の条件などを検討した。結果として、AMPureを用いた精製を行うこと、プライマ濃度を高めることなどで、定量PCRによる土壌中窒素固定遺伝子の定量が成功することを明らかにした。また、ポプラ（Populus）、スギナ（Equisetum arvense）、白クローバー（Trifolium repens）などの先駆植物の根圏土壌において、窒素固定遺伝子量に差が見られる可能性があることが示唆された。,若手研究,小区分41050:環境農学関連,窒素固定,荒廃地土壌,先駆植物,nifH,根圏,有機物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15957,地方独立行政法人大阪府立環境農林水産総合研究所(環境研究部、食と農の研究部及び水産研究部),三浦 季子,ブドウに付着する微生物に着目したワインのテロワールを構成する新たな要素の解明,本研究は、栽培環境の微生物群集がワインのテロワール（ワインの香味に現れる土地の特徴）の要素であることを明らかにするため、以下の3つの研究を行う。,若手研究,小区分41050:環境農学関連,テロワール,微生物テロワール,ワイン,栽培環境,微生物群集構造,ブドウ,微生物,マイクロバイオーム,土壌,気象,生態系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15956,国立研究開発法人海洋研究開発機構,立岡 美夏子,深海由来微生物のセルロース分解機構の解明,深海では浅海から沈降する物質の中で分解されずに残った「難分解物」をエネルギー源にした生態系が広がっていると考えられているが、実際にどのような有機物が分解を受けているのかは分かっていない。多糖であるセルロースは植物や藻類、ホヤなどによって豊富に生産されることに加え、高い結晶性を持つことから、深海までたどり着く有機物の多くを占めることが推測される。しかしながら、深海においてセルロース分解を担う微生物についてはほとんど知られていない。そこで本研究では、独自のスクリーニング手法を用いて深海からセルロース分解菌を見出し、生産する糖質関連酵素を精査することでそのセルロース分解メカニズムを明らかにする。,若手研究,小区分41050:環境農学関連,セルラーゼ,深海,バクテリア,セルロース,分解,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15955,防衛医科大学校(医学教育部医学科進学課程及び専門課程、動物実験施設、共同利用研究施設、病院並びに防衛,佐藤 洋子,海洋バイオマス資源を用いた災害環境衛生材料の開発,大規模災害発生時や化学工場での事故発生時には、生活臭気の蓄積や有害物質漏洩などによる生活環境の悪化や健康被害が懸念され、その対策が必要である。酸化カルシウム含量が96%以上のホタテ貝殻焼成酸化カルシウム微粉末はこれまで高い殺微生物効果があることが報告されているが水に難溶性のため利用範囲が限られていた。本研究では、汎用性の高い利用形態として分散液や凝集コロイド液の病原微生物、有害物質、消臭物質などの除染効果や最適化検討を行う。,若手研究,小区分41050:環境農学関連,ホタテ貝殻由来酸化カルシウム,海洋バイオマス資源,災害環境衛生材料,抗菌効果,抗ウイルス効果,凝集沈殿効果,緑膿菌,ホタテ貝殻焼成酸化カルシウム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15954,国立研究開発法人理化学研究所,松岡 真生,環境破壊ガスN2Oの発生抑止に向けたカビ脱窒阻害剤の開発,農耕地からの環境破壊ガスN2O産生の低減を目的としたカビ脱窒阻害剤の開発に向けて、まず脱窒関連酵素の酵素活性の阻害度を評価するin vitroのアッセイ系と脱窒活性の阻害度を評価する細胞ベースのアッセイ系を用いて、カビ脱窒に対して阻害効果の見られる化合物の網羅的探索を行なう。続いて、農耕地土壌や肥料を用いたポット試験を実施し、スクリーニングにより得られたカビ脱窒阻害化合物によるN2O削減効果を評価する。さらに、ヒット化合物の阻害作用機構を解明することにより、より有効なカビ脱窒阻害剤の設計に繋げる。,若手研究,小区分41050:環境農学関連,脱窒,カビ脱窒,亜酸化窒素,カビ脱窒阻害剤,N2O,窒素代謝,環境,ケミカルバイオロジー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15953,公益財団法人北海道科学技術総合振興センター,玉澤 聡,含生物起源メタン炭層に生息する未培養微生物群のメタン生成ポテンシャル解析,炭層メタンの起源は微生物分解と熱分解に由来するものに大別され、微生物起源のメタンが検出される炭層は陸域・海域問わず地球上の地下環境に広く分布している。しかし、微生物起源メタンと云われる一方で、その成因に関与する炭層微生物群については、役者と役柄の大半がいまだ解明されていない。本研究では、微生物起源メタンを胚胎する炭層由来の新鮮な試料を用いた微生物群集構造解析と微生物培養実験により、原位置で高活性な微生物群の同定、メタン生成に利用可能な低分子量基質の特定、および同基質利用メタン生成微生物群を同定し、同炭層における生物的メタン生成機構の一端を解明する。,若手研究,小区分41050:環境農学関連,石炭分解メタン生成,CBM,メタン生成集積培養,炭層メタン,生物的石炭分解メタン生成,微生物培養,微生物群集構造,陸域地下褐炭層,生物的メタン生成プロセス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15952,京都大学,柴田 誠,熱帯強風化土壌の肥沃度再考ーオキシソル土壌は貧しいのか？,本研究では、これまでのように土壌中に養分がどれだけ存在するか、という静的な視点のみに焦点を当てるのではなく、土壌を介した植物との間の養分の「流れ」という動的な視点も取り入れて生態系全体を捉える事で、「オキシソルという土壌は、従来考えてこられたように本当に貧栄養なのか？」について再考する。オキシソルと共に「熱帯強風化土壌」として一括りにされてきたアルティソルを比較対象土壌とする事で、「土壌のタイプごとに植物-土壌間の養分循環の様式が異なるのではないか？」という仮説を検証する。,若手研究,小区分41050:環境農学関連,Oxisols,Ultisols,ベトナム,養分循環,アカシア,熱帯林,硝酸,土壌型,持続性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15951,東京農業大学,大久保 倫子,ニホンジカの色覚特性の解明と農業被害軽減への応用,北海道ではエゾシカに対する農林業被害対策の1つとして、色や光を用いた鳥獣忌避装置が使用されている。しかし、色彩が動物にどのような影響を与えているかは解明されていない。解剖学的、および電気生理学的研究によれば、シカの網膜にはS錐体とM錐体の2種類の錐体細胞があり、シカは2色覚であることが示唆されている。そこで本研究では、シカの色覚特性を解明することを目的とし、行動学的アプローチに基づき、エゾシカが識別できる色の組み合わせを調査することとした。さらに得られた結果からエゾシカにおける混同色線を作製し、エゾシカが認識できる色が、シカに対して認識性や忌避性があるのかを検証する。,若手研究,小区分41050:環境農学関連,色覚,色識別,ニホンジカ,弁別学習,鳥獣害対策,エゾシカ,学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15950,北里大学,大出 亜矢子,広域空間ビッグデータの活用による高位泥炭消失メカニズムの解明,泥炭湿地は、環境変化に対する脆弱性から世界中で縮小や消滅が報告されている。既往研究は泥炭湿地の構成要素である土壌や水理の相互作用に対して科学的知見を提供するものの、国際的課題とされる湿地の消失現象そのものを焦点とするメカニズム解明はされていない。有効施策の実現には、泥炭湿地内部の挙動のみならず、人間系を含む外的環境要因との相互作用の解明が求められる。本研究は八甲田山湿原群を対象に、UAVと衛星により取得した広域な空間情報と周辺環境情報を統合し、八甲田湿原群の泥炭生態系データベースとして構築する。機械学習を組み合わせたデータ駆動型アプローチにより要因間の相互影響の解明に挑む。,若手研究,小区分41050:環境農学関連,Unmanned Aerial Vehicle,泥炭分解度,非計量多次元尺度構成法,強熱減量,C/N比,高位泥炭,ビッグデータ,UAV,LiDAR,Synthetic Aperture Radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15949,東北大学,中山 真由美,根の環境応答による液胞動態変化に伴う物質輸送の解明,シロイヌナズナ根のコルメラ細胞において，水分環境の変化によって液胞の発達を伴ったオートファジーが生じることを見出してきたが，植物細胞のなかで大きな体積を占める液胞が，環境変化への応答に果たす役割については未だ不明な点が多い。そこで本課題では，根で確認される液胞動態変化に焦点を当て，動態変化に伴って機能する分子の絞り込み，加えて，液胞への物質の取り込みや排出に関与するトランスポーターを探索することで，環境応答における液胞の役割解明への糸口を掴む。,若手研究,小区分41050:環境農学関連,環境応答,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K15948,帯広畜産大学,木下 林太郎,熱帯の火山灰土壌における簡易リン肥沃度評価方法の構築とジャガイモ生産性の向上,本研究の目的は、土壌診断技術の普及が進んでいない熱帯の火山灰土壌地帯において作物が利用可能な有効態リン酸量と土壌固有のリン固定力を示すリン酸吸収係数の簡易推定技術を構築することである。熱帯の火山灰土壌の多くが高地に存在し、冷涼かつ十分な降水量が得られるため作物の収量ポテンシャルは高いが現状の生産性は極めて低い。これまで、火山灰土壌で作物の収量制限因子となるリンを供給するためにリン酸肥料や家畜ふん尿の施用が行なわれてきた。しかし、適切な施用量を決定するための土壌診断技術は普及しておらず、簡易かつ低コストで利用可能な分析技術の開発および導入が喫緊の課題である。,若手研究,小区分41050:環境農学関連,土壌,リン肥沃度,バレイショ,熱帯,黒ボク土,リン酸吸収係数,簡易分析法,リン酸,有効態リン酸,リン固定力,土壌学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15643,国立研究開発法人産業技術総合研究所,西岡 友樹,細菌捕食性細菌を利用した植物生育促進微生物の定着性向上による実用化促進,植物生育促進能を有する微生物はこれまで数多く分離されてきたが、土壌環境下での実用化に繋がった例は少ない。その主な原因は、人工接種した植物生育促進微生物株が在来微生物の抵抗性により土壌に定着できないことにある。申請者は、この在来微生物による抵抗性を低下させるためには、在来微生物叢の平衡状態を打破すれば良いのではないかと考えた。本研究では、細菌捕食性細菌を用いて在来微生物叢の平衡状態を打破することを基盤とした、植物生育促進微生物株の土壌定着性を向上させる技術の開発を目指す。,若手研究,小区分41050:環境農学関連,土壌微生物叢,捕食性細菌,植物生育促進,微生物,分離培養,植物生育促進微生物,細菌捕食性細菌,定着性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15642,国立研究開発法人農業・食品産業技術総合研究機構,中嶋 美幸,土壌物理性の人為的管理による水田からの温室効果ガス放出削減,国際的に削減が望まれている温室効果ガスの一つに水田から放出されるメタンガスがある。近年普及が拡大しつつある、土壌表層を鎮圧する新しい乾田直播体系は、イネ栽培期間中のメタンガス放出量を削減する傾向があるが、その影響程度とメカニズムは明らかではない。,若手研究,小区分41050:環境農学関連,温室効果ガス,水田,メタン,乾田直播,鎮圧,土壌物理性,土壌鎮圧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15641,国立研究開発法人農業・食品産業技術総合研究機構,小坂井 千夏,食痕・廃果場DNAによるアライグマ早期発見の試み,アライグマ等の特定外来生物は生息や被害を早期に発見することが、農作物被害の防止のみならず、生物多様性保全や人獣共通感染症リスクを下げるために重要である。農作物や収穫残差（廃果）に残る「食痕」からは、外来種を含めた加害種を効率的かつ早期に判別できる可能性があるが、食痕形状と加害種との関係は科学的に検証されていない。これは野外で加害シーンの確認が困難であることが一因である。本研究では農地環境中のDNA、すなわち樹上や廃果場に残った果実の食痕から加害種のDNAを採取することでこの課題を解決し、食痕形状や食痕から採取したDNAを用いたアライグマ判別手法の確立を目指す。,若手研究,小区分41050:環境農学関連,環境DNA,鳥獣害,特定外来生物,アライグマ,食痕,LAMP法,メタバーコディング,食性解析,加害種,迅速判定,加害種判別,外来種,収穫残差,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15640,国立研究開発法人国立環境研究所,橋本 洸哉,生物間相互作用強度の変化が媒介する農薬リスク評価に向けた基礎的研究,農薬は生物に直接的に作用して殺すだけではなく、その影響は生物間相互作用を介して連鎖的に生物群集内に波及していく。しかし、相互作用の強度（強さや正負）は農薬曝露前後で必ずしも一定ではないため、農薬が群集に与える波及効果を予測するのは困難と思われてきた。Empirical Dynamic Modeling(EDM)は、最近になって登場した新規の解析手法であり、生物密度の時系列データのみから生物間の相互作用強度を算出することができる。本申請課題は、EDMによって農薬曝露後の人工生態系群集内における相互作用強度の変化をとらえ、農薬の生物群集への影響について、精度の高い予測を試みるものである。,若手研究,小区分41050:環境農学関連,農薬の生態影響評価,生物間相互作用,人工生態系,非線形時系列解析（EDM）,水田生態系,非線形時系列解析(EDM),EDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15639,東京農業大学,山崎 由理,周年林間放牧による生態系サービスのシナジー・トレードオフ解析,「林間放牧」は，育林作業の省力化や低コスト肉牛生産，アニマルウェルフェアの観点から評価されているものの自然環境への影響や生態系サービスの機能に関する報告は非常に少ない。林間放牧では，シカなどの大型野生動物による森林生態系への被害と類似した負の影響（トレードオフ）が予想される一方，放牧牛による適度な攪乱が森林の生態系サービスをサポート・促進する正の影響（シナジー）をもつ可能性も考えられる。ここでは，北海道日高地域の周年林間放牧について，①放牧地，②林間，③放牧管理方法，④水系のそれぞれにおける生態系サービス間のシナジー・トレードオフの関係を明らかにする。,若手研究,小区分41050:環境農学関連,林間放牧,環境保全型農業,NDVI,飼料成分,窒素安定同位体比,粗タンパク質,可消化養分総量,生態系サービス,植生調査,土壌分析,センサーカメラ,行動調査,シナジー・トレードオフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15638,九州大学,Nguyen Van・Thinh,Biogeochemical Approach to Understand the Arsenic Formation and Mobilization in Groundwater in Asian Countries,,若手研究,小区分41050:環境農学関連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15637,島根大学,城 惣吉,根粒菌によるサツマイモつる割病抵抗性誘導メカニズムの解明と新規病害防除技術の確立,根粒菌はマメ科植物と共生窒素固定を行うことが知られているが、その根粒菌をサツマイモに接種することでサツマイモつる割病に対する抵抗性が高まるという現象を発見した。根粒菌接種によるサツマイモつる割病の発生抑制メカニズムを明らかにできれば、サツマイモ栽培を中心とした農作物生産における農薬や肥料の使用による環境負荷を低減した安心安全な生産技術の開発につながる。,若手研究,小区分41050:環境農学関連,サツマイモ,根粒菌,つる割病,病原抵抗性,防除技術,病害抵抗性,防御技術,生産性向上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15636,京都大学,坂部 綾香,ため池からの温室効果ガス放出量の定量評価と放出機構の解明に関する研究,日本全国にため池は多く存在し、少雨地域の灌漑に使用されるなど地域社会で重要な役割を果たしている。一方で、ため池底層では嫌気的環境が形成され、特に高温期には二酸化炭素に次ぐ温室効果ガスであるメタンの強力な放出源となると考えられる。しかし、ため池からの温室効果ガス放出量が詳細に調べられた例はない。,若手研究,小区分41050:環境農学関連,ため池,渦相関法,メタン,二酸化炭素,温室効果ガス,チャンバー法,フラックス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
