awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14810,立命館大学,有光 琢磨,身体活動欲向上のための生理-心理的応答面からのアプローチ,本研究の目的は、運動の継続に対して生理因子やそれに伴う情動（感情）がどのように関連しているかを検証する事であった。エネルギー枯渇を狙った運動を実施し、運動の継続意欲を減少させた実験結果は、足の疲れに見られる身体の疲労感は66.8±2.3%と大きく増大していたにも関わらず、運動継続に対する情動（感情）は25.7±1.0%の負の感情の増大に留まっていた。さらに、回復介入後に実施した疲労困憊運動の継続時間は、コントロール条件で約55.4±16.5、スポーツドリンク条件で約54.8±15.5、オリジナル条件で約53.7±14.4分であり、負の情動の高さと運動継続時間の関係性は小さい可能性が示された。,若手研究,小区分45060:応用人類学関連,運動の継続,エネルギーの枯渇,情動,疲労感,グリコーゲン,エネルギー枯渇,運動意欲,エネルギー回復,行動変容,対人基礎力,対自己基礎力,グリコーゲン回復,課題発見力,モチベーション,集中力,高強度間欠的運動,回復法の検証,MRスペクトル,パフォーマンステスト,MRI,13C-MRS,自由エネルギー,DEC,NOE,パフォーマンスの向上,フィードバック信号,疲労,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14809,北海道文教大学,高田 雄一,足底感覚刺激と刺激部位の違いが高齢者の立位バランス能力と姿勢、筋活動に及ぼす影響,本研究では転倒予防に繋がる立位バランス能力に着目し、足部形状が足底荷重量と荷重面積に与える影響について、足部形状を支え足底を刺激するインソールがバランス能力に与える影響について検討した。,若手研究,小区分45060:応用人類学関連,インソール,足底荷重量,足底接地面積,扁平足,バランス能力,足部環境,立位バランス能力,重心動揺,立位バランス,足底感覚閾値,若年者,筋活動,足底感覚刺激,高齢者,姿勢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14808,長崎大学,西村 貴孝,全ゲノム解析と生理情報から構築する新しい高地適応モデル,高地適応研究はチベット集団におけるEPAS1遺伝子の特異的変異による低ヘモグロビン型適応が議論の中心となっているが、集団内の多様性に着目した研究は少なかった。そこで本研究では、フィールド調査によりチベット集団やアンデス集団の生理測定を実施し、彼らの生理的多様性に関連する諸要因（性別、年齢、遺伝的背景）を明らかにした。,若手研究,小区分45060:応用人類学関連,高地適応,生理的多型,遺伝的多型,遺伝子多型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14807,北海道大学,李 相逸,ヒトの概日リズムと覚醒度を考慮した室内環境の検討：照明と室内配色の関係,本研究では、照明の色温度と壁の配色の組み合わせによる室内光環境の違いがヒトの非視覚的反応に及ぼす影響について明らかにすることを目的とした。同じ照明下でも壁の配色によって室内光環境（照度、各光波長エネルギー量）が大きく変わることを確認した。ヒトの視線方向、照明と壁との位置関係が非視覚的反応に及ぼす影響の違いを数値化（m-EDI）した。また、照明の色温度、壁の配色、光暴露位置に対する瞳孔の対光反射の違いやm-EDIとの相関関係について明らかにした。,若手研究,小区分45060:応用人類学関連,光環境,照明,反射光,壁,非視覚的作用,e-EDI,瞳孔の対光反射,室内光環境,照明の色温度,壁の配色,光の非視覚的作用,m-EDI,照度,ヒト,瞳孔,光,室内配色,メラトニン,概日リズム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14806,滋賀大学,大平 雅子,幼児における起床時のホルモン分泌を用いた睡眠評価手法の開発,子どもの睡眠の質の評価には実際的な制約が大きい。それに対して、研究代表者は新たな指標としてホルモン、特にDHEAに着目した。そこで、本研究では子どもにおいて起床時のDHEAの分泌量を従来指標と比較することで実験的に検証した。その上で、睡眠評価としての指標の有用性や限界を明らかにし、適用可能範囲や方法論上の制約を科学的に検証することを目的とした。その結果、起床直後のDHEA分泌量と「睡眠の質」の変数間で有意な正の相関が認められた。この結果は、成人と同様に子どもでも起床直後のDHEA分泌量が「睡眠の質」を反映しており、睡眠評価指標になり得る可能性を示唆している。,若手研究,小区分45060:応用人類学関連,幼児,睡眠,唾液,ホルモン,DHEA,コルチゾール,子ども,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16246,国立研究開発法人産業技術総合研究所,石谷 孔司,迅速なDNA多型解析システムの開発,本研究では、次世代シークエンサーやポータブル型DNAシークエンサーに対応した新たな情報解析技術を考案し、迅速なDNA多型解析システムを構築する。本研究の内容は、フィールドワークでの簡易的なDNA検査や生物種判定、災害時における迅速な身元判定、医療現場におけるDNA検査、実験試料におけるDNA汚染の検出等、様々な分野での活用に繋がると考えている。,若手研究,小区分45060:応用人類学関連,DNA多型,バイオインフォマティクス,次世代シーケンサー,性別判定,多型解析,ゲノミクス,ゲノム,多型,メタゲノム,CNV,MLST,SNP,ミトコンドリアゲノム,Y染色体,DNA typing,DNA profiling,NGS,Bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16245,長崎大学,富田 義人,運動器疾患を有する高齢者におけるサルコペニアと呼吸機能、身体活動との関連の解明,サルコペニアは、加齢に伴う骨格筋量減少に加え、筋力低下または運動機能低下を特徴とする病態と定義される。運動器疾患を有する者は痛みをきっかけに不活動になり、サルコペニア、身体不活動、呼吸機能低下との悪循環を呈する。これは二足歩行をするヒトにとっては致命的であり、高齢者の社会環境、住環境への適応という観点からも積極的に解決すべき課題である。そこで、痛みを主訴とする運動器疾患を有する高齢者においてサルコペニアの有病状況を調査し、従来のサルコペニアの要因に加え疼痛と呼吸機能も含めた多面的に検討することで、痛み、呼吸機能、身体活動との関連を明らかにする。,若手研究,小区分45060:応用人類学関連,サルコペニア,呼吸機能,運動器疾患,痛み,整形外科疾患,高齢者,フレイル,介護予防,転倒,身体活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16244,九州大学,元村 祐貴,機械学習技術を用いた夢の情動価の推定に関する研究,近年、REM（Rapid eye movement）睡眠が情動調節機能に与える影響が明らかになってきている。背景には夢見を伴う複雑な生理学的メカニズムがあると想定されるが、そのメカニズムはほとんど明らかになっていない。本研究課題では部分断眠後の朝型の仮眠時の生理計測によって、REM睡眠時の夢内容のデータを取得し、夢見時の生理反応から機械学習技術によって夢の情動的内容を推定するアルゴリズムを構築する。構築したアルゴリズムはREM睡眠、夢見、情動調節に関する研究の大幅な進展に役立つことが期待される。,若手研究,小区分45060:応用人類学関連,夢,機械学習,レム睡眠,脳波,入眠時心像,情動推定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16243,筑波大学,鈴木 陽子,音を用いた睡眠徐波増強による記憶の固定と睡眠への影響の解明,従来暗く静かな環境が睡眠に良い影響を与えると考えられている。しかし最近の知見は、睡眠中の音が睡眠の質を向上させる可能性を示唆しており，睡眠中の音刺激が睡眠徐波の増大，免疫機能の亢進，言語記憶である宣言記憶の固定を促すなどの効果が報告されている(Schleiner et al. 2015；Besedovsky et al. 2017; Papalambros et al. 2017)。本研究では音を用いた非侵襲かつ安全に行える睡眠徐波の増強を通して，①睡眠構造全体を変化させることができるのではないか，より良い睡眠の質につながるか，②非言語記憶である手続き記憶は改善するかについて明らかにする。,若手研究,小区分45060:応用人類学関連,睡眠,脳波,徐波,記憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20K15890,帝京平成大学,中村 優,鍼刺激が睡眠に与える影響の解明-東洋医学を背景として-,睡眠は神経系をもつ生物にとって必要不可欠な生命機能であり、我々ヒトは実に人生のうちの3分の1もの時間を睡眠に費やしている。しかし現在、我が国の平均睡眠時間は世界で最も短い部類に位置するなど、深刻な社会的問題となっている。,若手研究,小区分45060:応用人類学関連,睡眠,東洋医学,黄帝内経,鍼刺激,徐波睡眠,入眠潜時,除波睡眠,脳波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
