awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K14944,長崎国際大学,太田 智絵,精子活性化作用を有する天然物を用いた不妊症治療薬の開発,天然由来の精子活性化物質の探索とその作用メカニズム解明を目的として、生薬エキスおよび天然化合物ライブラリーから精子活性化スクリーニングを実施し、2種の生薬エキスおよび2種の化合物を見出した。見出した化合物の1つであるML-2-3について、マウスの体外受精の受精率を検討したところ、有意に受精率を向上させた。さらに、本化合物を用いて、精子運動解析システムによる詳細なモニタリング、経時的な先体反応の観察、濃度の最適化、安全性の確認などを実施し、安全性の立証および作用機序の解明を行った。,若手研究,小区分47050:環境および天然医薬資源学関連,精子活性化,男性不妊症,天然物,体外受精,生薬,天然物化学,男性不妊症治療,精子活性化成分,男性不妊治療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14943,第一薬科大学,小川 鶴洋,モノクローナル抗体を利用した香気性化合物の作用点の同定および革新的定量法の開発,抗ベンジルアセトンモノクローナル抗体(MAb)の作製に成功したが、このMAbを用いた競合的ELISA法では交差反応の影響で、高精度かつ高感度な分析法を開発することは適わなかった。一方、3-フェニルプロパン酸(3PPa)やtrans-ケイヒ酸(CA)の2種類のみを検出し、分子量200未満の超低分子化合物をメンブレン上で選択的に可視化することに成功した。,若手研究,小区分47050:環境および天然医薬資源学関連,香気性化合物,モノクローナル抗体,免疫染色,低分子化合物,摂食促進作用,嗅覚受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14942,福山大学,高山 健人,腸内細菌叢の変化を介した緩下薬の下剤活性制御に関する研究,大黄甘草湯の下剤効果の個人差は、食事による腸内細菌叢の違いが影響を及ぼすと考えられたことから、下剤効果と腸内細菌叢の変化との関連性について検討を行った。その結果、便秘症患者と腸内細菌叢が類似している高炭水化物および高脂肪飼料摂取下の腸内細菌叢において大黄甘草湯の下剤効果は促進され、その効果に大黄成分であるrhein 8-O-β-D-glucopyranosideが関与することを明らかにした。また、高繊維飼料摂取下の腸内細菌叢において大黄甘草湯の下剤効果は反対に抑制された。本研究から、食事による腸内細菌叢の違いが緩下薬のレスポンダーとノンレスポンダーを生み出す一因になっていることを明らかにした。,若手研究,小区分47050:環境および天然医薬資源学関連,大黄甘草湯,センノシド,腸内細菌叢,大黄,アントラキノン,食習慣,食物繊維,緩下薬,腸内細菌,センノシドA,食餌,漢方薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14941,摂南大学,荒木 良太,モノアミン神経系とエピジェネティクスに着目した漢方薬の抗うつ作用メカニズム解析,精神症状に使用される漢方薬である加味温胆湯は、マウスにおいて抗うつ様作用と細胞外セロトニン量増加作用を示した。こうした加味温胆湯の作用は構成生薬の竹ジョ＊を除くことで消失した。しかしながら、竹ジョ＊単体では細胞外セロトニン量増加作用が見られなかったことから、細胞外セロトニン量増加作用には、竹ジョ＊と他の生薬との組み合わせが重要であることが示唆された。また、精神症状に対して用いられる多くの漢方薬においてセロトニン5-HT1A受容体刺激作用が認められた。以上の結果から、精神症状に用いられる漢方薬の多くは、セロトニン神経系を介して薬効を発揮している可能性が示された。（ジョ＊は竹かんむりに如）,若手研究,小区分47050:環境および天然医薬資源学関連,漢方薬,精神疾患,うつ病,セロトニン,5-HT1A受容体,フェルラ酸,エピジェネティクス,モノアミン,うつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14940,鈴鹿医療科学大学,中村 賢一,ヒト腸内細菌由来C-配糖体代謝酵素の触媒機構の解明,"本研究の目的は、腸内細菌由来の「C－配糖体代謝酵素群」を同定し、C－C結合開裂反応の酵素触媒機構を解明することである。これまでの研究から、C-配糖体プエラリン代謝反応は中間体（プエラリン酸化物）を経由する２段階の酵素反応であることが明らかになっている。本研究では、3-oxo-グルコース存在下、プエラリンをプエラリン酸化物に代謝する酵素DgpAを同定した。また、プエラリン酸化物をダイゼインと糖誘導体（1,5-anhydro-D-erythro-hex-1-en-3-ulose）に代謝する酵素DgpB-DgpC複合体の推定酵素触媒機構を明らかにした。",若手研究,小区分47050:環境および天然医薬資源学関連,C-配糖体,腸内細菌,代謝酵素,生薬,プエラリン,C-グリコシル化,代謝,puerarin,タンパク質結晶化,Gfo/Idh/MocA,酸化還元酵素,mangiferin,結晶化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14939,愛知学院大学,中島 健一,天然物化学的手法による植物内生菌の生態解明と有用資源としての活用へのアプローチ,本申請課題では、宿主植物の二次代謝産物による植物内生真菌の二次代謝経路制御の有無を検証するため、宿主植物種を明確にした植物内生菌株ライブラリの拡充し、植物内生菌が産生する化合物のライブラリ化とそれを用いた生理活性試験を実施すること目指した。今回の研究で、予備検討で保有していた300菌株に加え、さらに200菌株を国内各地で採集した植物から分離し、そのうち５種類の菌株から18種の新規化合物を単離・同定した。単離した化合物の中には、過去に報告例のない骨格を有する化合物も存在し、植物内生真菌が産生する化合物の新規性および多様性の高さを示唆する結果であったと考えられた。,若手研究,小区分47050:環境および天然医薬資源学関連,植物内生菌,ポリケタイド,セスキテルペノイド,天然物化学,真菌,有用資源探索,二次代謝産物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14938,日本大学,矢作 忠弘,BMP/Smadシグナル制御に着目した天然資源からの新規骨形成促進薬の網羅的探索,BMP/Smadシグナルを制御する天然薬物の探索を目的とし、ミャンマー産植物エキス700種類、琉球弧植物エキス1496種類についてレポーターアッセイによるスクリーニングを行った。その結果、ミャンマー植物では29種類、琉球弧植物では26種類にSmad活性が認められた。ミャンマー植物ではソリザヤノキの樹皮について成分探索を行い、5種のフラボノイドを単離した。琉球弧植物ではアカボシタツナミソウの全草について成分探索を行い、3種の新規化合物を含む14種のポリメトキシフラボノイドを単離した。これらの化合物について、Smad活性および骨芽細胞への影響を検討した。,若手研究,小区分47050:環境および天然医薬資源学関連,BMP/Smad,骨代謝,ミャンマー植物,琉球弧植物,フラボノイド,骨粗しょう症,BMP/Smadシグナル,ミャンマー,沖縄,奄美大島,琉球弧,骨形成,千葉,薬用植物,生薬,骨粗鬆症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14937,東京理科大学,大嶋 直浩,オウゴン含有漢方処方による間質性肺炎を予防するための最適な生薬の配合研究,本研究は、オウゴンの副作用を軽減できる新規オウゴン含有漢方薬の開発を最終目的に、生薬の組み合わせによる原因成分の抽出量並びに肺・肝細胞毒性の変動を評価した。その結果、オウゴンの肝細胞毒性を示す主要な成分はバイカリンであり、胆汁排出トランスポーターMRP２の阻害度で大きく変化することが明らかとなった。生薬の配合実験においては、オウバク、オウレン及びセッコウの各組み合わせでオウゴン由来バイカリンの含量が減少し、ハンゲやショウキョウの各組み合わせでバイカリン量が増加したことが明らかとなった。さらに、サイシンやショウキョウの各組み合わせではバイカリン量で説明できない肝細胞毒性の増強が認められた。,若手研究,小区分47050:環境および天然医薬資源学関連,オウゴン,副作用,改善策,バイカリン,含有量,トランスポーター,肝細胞毒性,生薬の組み合わせ,間質性肺炎,生薬間相互作用,フラボノイド,抽出量変化,生薬,バイカレイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14936,北里大学,酒井 一成,糸状菌の化合物生産能を解放するアンロッカー物質の探索,申請者はユニークな構造を有する大村智記念研究所が保有する天然化合物ライブラリー約７９４化合物を用いて糸状菌の化合物生産能の制限を解除する低分子化合物（アンロッカー）の取得および取得したアンロッカーを利用し、糸状菌の二次代謝能を解放することで生産する天然有機化合物を単離、構造決定をすることを目的として研究を行った。その結果、74化合物がアンロッカー候補として選出された。様々な検討の結果、アンロッカーを見出した。アンロッカーの濃度依存的に新たに生産される化合物の量が変化することが示され、固体培地上でも培養性状に変化が現れることが明らかとなった。,若手研究,小区分47050:環境および天然医薬資源学関連,糸状菌,二次代謝産物,休眠遺伝子の解錠,糸状菌二次代謝産物,二次代代謝能の解錠,抗生物質,アンロッカー,cyclosporin,糸状菌の化合物生産能の解除,生合成遺伝子の解放,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K14935,北里大学,野中 健一,糸状菌の休眠遺伝子を覚醒するキナ酸を利用した新規天然化合物の探索,植物内生糸状菌100株と土壌糸状菌100株を4種類の生産培地（各キナ酸添加・無添加）で培養し、糸状菌培養液を800サンプル調整した。キナ酸の化合物生産に与える影響の評価をキナ酸の有無による色調変化、6種類の病原菌に対する抗菌活性の変化で調査した。特に変化の大きかった液体培地に関しては、200株中113株において色調の変化が見られ、200株中114株において抗菌活性に変化が見られた。,若手研究,小区分47050:環境および天然医薬資源学関連,糸状菌,遺伝子発現,二次代謝,天然化合物,二次代謝産物,生産誘導,糸状菌二次代謝,キナ酸添加培養法,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
