awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K15343,関西医科大学,栗川 知己,海馬ー前頭前野間の動的な情報処理における脱抑制の役割の解明,本助成事業によって報告者は近年注目を浴びている、神経系での領野間で見られる動的な通信の機序を明らかにすることを目指した。（動的な通信とは、記憶を想起、保持、銘記など状況によって、領野間での同期の強さ、周波数が変化する現象である。）そのために1：予備的なモデルとして海馬と嗅内皮質における作業記憶課題を行う大規模モデルを構築し、脱抑制とよばれる機構の役割を明らかにした。2：神経モデルの基本的な挙動を理解するためのより簡単なモデルをもちいて、神経系の力学的な性質と想起のしやすさの関係を明らかにした。3: 脱抑制を用いた制御による動的な通信が海馬と前頭前野で可能になることをモデルを用いて示した。,若手研究,小区分51010:基盤脳科学関連,領野間通信,局所神経回路,力学系,再帰型ニューラルネットワーク,動的通信,同期現象,アセチルコリン,flexible communication,海馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K15342,国立研究開発法人理化学研究所,Nam Yunjun,,"Humans recognize individual faces regardless of variation in the facial view. The view-tuned face neurons in the inferior temporal (IT) cortex are regarded as the neural substrate for view-invariant face recognition. This study approximated visual features encoded by these neurons as combinations of local orientations and colors, originated from natural image fragments. The resultant features reproduced the preference of these neurons to particular facial views. We also found that faces of one identity were separable from the faces of other identities in a space where each axis represented one of these features. These results suggested that view-invariant face representation was established by combining view sensitive visual features. The face representation with these features suggested that, with respect to view-invariant face representation, the seemingly complex and deeply layered ventral visual pathway can be approximated via a shallow network, comprised of layers of low-level processing for local orientations and colors (V1/V2-level) and another layers which detect particular sets of low-level elements derived from natural image fragments (IT-level).",若手研究,小区分51010:基盤脳科学関連,Face recognition,Neural networks,Monkey visual cortex,Inferior temporal cortex,Visual cortex,Neural network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K15341,国立研究開発法人理化学研究所,鹿内 友美,提示順に依存したサプライズが記憶しやすさを調整する,これまで学習に寄与することが知られてきた、予測とのずれによって生じるサプライズが、エピソード記憶の残りやすさと関連するのではないか、との仮説を、脳波計測を伴うヒト行動実験と数理モデルに基づく解析により検証した。サプライズと記憶の要素を1つの刺激に持たせるために、オッドボール課題を4つの音からなる刺激の再認課題に発展させた心理実験課題を提案した。その結果、刺激のトレンドが変化するサプライズが大きい試行で符号化された刺激は記憶に残りにくく、その次に提示された刺激は記憶に残りやすいことが示された。大きいサプライズによる脳波の位相リセットが記憶に残りやすさを調整する可能性があり、調査を進めている。,若手研究,小区分51010:基盤脳科学関連,サプライズ,脳波,偶発記憶,オッドボール課題,聴覚記憶,経頭蓋磁気刺激,ベイジアンサプライズ,シータ波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K15340,生理学研究所,長谷川 拓,大脳皮質－基底核ループにおける神経活動代替システムの確立,大脳基底核は運動の制御に関わると信じられているが、実際にどのように運動を制御しているのかは明らかではない。本研究では、神経細胞の活動を薬剤投与によって可逆的に制御する化学遺伝的手法を大脳基底核の視床下核と呼ばれる小領域に適用した。視床下核の活動を抑制すると、反対側の前肢に不随意運動が現れ、滑らかな運動がぎこちなくなった。その時の大脳基底核の出力の神経発火を計測すると、発火頻度はほぼ変わらないものの、神経活動パターンが不規則になった。この結果は大脳基底核の視床下核はその出力を規則的にすることで滑らかな運動を実現していると考えられる。,若手研究,小区分51010:基盤脳科学関連,運動障害,大脳基底核,視床下核,分子遺伝学的手法,運動制御,化学遺伝学的手法,DREADD,脳深部光刺激デバイス,光遺伝学的手法,分子遺伝学的神経活動制御,運動異常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K15339,岡山大学,于 英花,ヒトの体性感覚皮質3b野における皮膚感覚受容野のコラム構造の解明,ものに触れたときに得られる皮膚感覚情報は，皮膚内部にある2種類の皮膚感覚受容器（SAとRA）で検出され，脊椎や視床などを経由して大脳皮質の中心後回にある体性感覚皮質3b野に到達する。侵襲を伴う動物研究により，3b野はSAとRAに対応する皮膚感覚受容野がコラム構造をなすことが示されたが，ヒトの3b野において同様なコラム構造をなすかはまだ解明されていない。本研究では，最新の超高磁場機能的磁気共鳴画像法（7T-fMRI）を駆使して，ヒトの3b野におけるSAとRA受容野のコラム活動の計測に成功し，触覚情報処理の脳内神経基盤への理解を深めた。,若手研究,小区分51010:基盤脳科学関連,コラム構造,体性感覚皮質,超高磁場fMRI,脳科学,7T-fMRI,触覚情報処理,高空間分解能fMRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K15338,東京工業大学,大良 宏樹,脳波を用いたニューロフィードバックによりエラー行動を予防する手法の開発,本研究では、ヘッドマウントディスプレイを使ったバーチャルリアリティ（VR）を利用して、エラー行動の防止にむけて実験手法を多角的に評価しました。複数の種類の感覚を一定の方法で提示することで、仮想現実世界において高い臨場感が得られることが示唆されました。また、異なる視点でも同様の臨場感が維持できることが示唆されました。さらに、脳活動を計測しない行動実験であれば、遠隔でも実施可能であり、新型コロナウイルス対策としても有効な研究手法であることが示唆されました。,若手研究,小区分51010:基盤脳科学関連,エラー行動,遂行エラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16888,国立研究開発法人国立循環器病研究センター,福間 一樹,脳卒中後てんかんにおける灌流画像診断ソフト及び診断・予後評価ソフトの開発,先行研究で構築した脳卒中後てんかんレジストリのデータを解析し、①脳波判読アシスト機能のある灌流画像診断ソフト、②人工知能(AI)を用いて脳卒中病巣・脳波・灌流画像の情報から脳卒中後てんかんの診断・重症度・再発リスクを自動解析する診断・予後評価ソフトを開発し、てんかん診療に携わる医師が，専門性によらず、広く臨床現場で活用でき、治療に直結する診療支援ツールの構築を目指す。,若手研究,小区分51010:基盤脳科学関連,脳卒中,てんかん,SPECT,脳卒中後てんかん,灌流画像,脳波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16887,奈良先端科学技術大学院大学,福嶋 誠,脳機能ネットワークにおける分離・統合状態間スイッチングの生成機構の解明,安静時におけるヒト脳機能ネットワークの状態変化，特にネットワーク内における脳領野の分離・統合状態間スイッチングの生成メカニズムを明らかにすることを目標とする．本目標の達成のため，分離・統合状態間スイッチングの背後にある脳活動の時空間パターンを特徴づけること，および，安静時脳活動のシミュレーション実験系を介して，分離・統合状態間スイッチングの生成に寄与する要素を探索することに取り組む．,若手研究,小区分51010:基盤脳科学関連,脳機能ネットワーク,脳ダイナミクス,時変ネットワーク,安静時脳活動,脳活動シミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16886,国立研究開発法人理化学研究所,中井 信裕,バーチャルリアリティを用いたマウス社会性行動の感覚モダリティ解析,動物の社会性行動では視覚、聴覚、嗅覚などを含む複数の感覚モダリティが生じ、大脳皮質で統合・処理された感覚情報を基にして特定の行動が表出されると考えられている。しかし、複雑に絡み合った感覚モダリティの存在下では大脳皮質の神経活動様式から行動を読み解くことは難しい。そのため本研究では、バーチャルリアリティ実験系を用い、現実世界では区別することが困難な社会性刺激を選択的に提示し、行動中マウスに対する感覚モダリティを操作することで、社会性行動時の大脳皮質機能ネットワークの情報処理過程を明らかにする。,若手研究,小区分51010:基盤脳科学関連,バーチャルリアリティ,機能ネットワーク,社会行動,皮質機能ネットワーク,皮質ネットワーク,自閉症モデルマウス,機械学習,社会性行動,ネットワークダイナミクス,マルチモダリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16885,沖縄科学技術大学院大学,Fung ChiChung,A Comprehensive Theoretical Survey on Functionalities and Properties of Adult Neurogenesis under the Influence of Slow Oscillations,"Adult neurogenesis is a phenomenon that new neurons are generated in the dentate gyrus during adulthoods. Its impairment will suppress the formation of memory. However, how the maturation of those new cells can contribute to long-term memory formation is mostly unknown. In this study, the following issues will be addressed: (1) how the maturation schedule of new-born cells can alter the information processing performance; (2) the optimal learning strategy for information processing; and (3) how other brain regions (e.g., CA3) can make use of the optimal representation for different tasks.",若手研究,小区分51010:基盤脳科学関連,Hebbian Learning,Machine Learning,Adult Neurogenesis,Pattern Separation,Dentate Gyrus,Neuroscience,Unsupervised Learning,Synaptic Comeptition,Computational Model,Hebbian-like Plasticity,Memory Formation,Synaptic Plasticity,Detate Gyrus,Hippocampus,Slow Oscillation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16884,福島県立医科大学,中園 智晶,記憶の記銘と想起を司るラット海馬の神経メカニズム,海馬は脳における記憶の中枢とされているが、記憶を作り（記銘）、そして思い出す（想起）という情報処理において海馬がどのように振る舞いを変化させるのかはよくわかっていない。本研究は、記憶の記銘と想起を必要とする行動課題を実行中のラット海馬から、神経細胞集団の活動と局所脳波を同時記録し、認知との対応を調べる。さらに光遺伝学的操作によって海馬の活動を操作し、認知機能が変化するかどうか検討する。さらにそのような記憶のモードはどのように切り替わるのか、そのメカニズムを明らかにする。,若手研究,小区分51010:基盤脳科学関連,海馬,記憶,光遺伝学,オシレーション,前頭前野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16883,奈良先端科学技術大学院大学,春田 牧人,脳の血流、神経活動および行動の同時計測を実現する生体埋め込みデバイスの開発,本研究では、脳血管障害の発生メカニズムと脳血管障発症時の神経細胞に与える影響を同時に計測できる新規技術の開発を目指す。小型の実験動物の脳機能観察実験では、脳機能の継続的な観察は困難であることが現状である。そのため、本研究では3つの特性を持った生体埋め込み脳機能計測デバイスを開発する。①CMOSイメージセンサ技術とMEMS技術によっるデバイスの小型化。小型化により動物の行動を制限せずに脳機能計測を可能とする。②脳血流と脳神経活動の同時計測。③長時間連続計測。この３点の特性を持つデバイスを開発することで脳血管障害モデルマウスにおける脳血流、脳神経活動および行動の関連性を解明する。,若手研究,小区分51010:基盤脳科学関連,CMOSイメージセンサ,脳機能イメージング,脳血流計測,蛍光イメージング,自由行動実験,小型・軽量,CMOSイメージセンサー,脳血管障害,長期間計測,マルチ生体シグナル計測,行動実験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K16882,東北大学,寺尾 勘太,記憶の修正を司るドーパミン受容体とその脳回路,過去の記憶と現実にズレが見つかった場合は、過去の記憶を修正し、現実に即して行動することは重要である。こうした記憶の修正機能の破綻は、統合失調症や強迫神経症などに繋がる。,若手研究,小区分51010:基盤脳科学関連,記憶,学習,ドーパミン,コオロギ,ショウジョウバエ,消去,受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K15337,東北大学,郭 媛元,Shedding Light on the Role of Glia in Autism Spectrum Disorders(ASD) via Multifunctional Fibers,"We aimed to further incorporate the biochemical sensing into multifunctional fibers for in vivo neuroscience together with electrical and optical functions. Impacts will be towards understanding brains in both health and disease, particularly ASDs, to ultimately develop new therapeutic targets.",若手研究,小区分51010:基盤脳科学関連,chemical sensing,pH microscope,multifunctional fibers,ASD,Multifunctional fibers,pH imaging in vivo,biochemical sensing,Biosensing,Anxiety,Glial function,Autism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
