awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K16433,地方独立行政法人宮城県立病院機構宮城県立がんセンター(研究所),佐藤 卓,非小細胞肺がんの新たな免疫抑制メカニズムーEx vivo系を用いた解明,腫瘍細胞は、正常組織・細胞と比べ、大量のグルコースを取り込むが、それを完全には酸化しない傾向がある。同時に乳酸産生が高い。この特徴的な代謝形質はワールブルグ効果と呼ばれ、現象としては広く知られているが、その意義は未だ定まっていない。本研究では、ワールブルグ効果が腫瘍微小環境に及ぼす影響を解析し、腫瘍細胞に非自律的なワールブルグ効果のがん促進作用を明らかにすることを目的として、検討を行った。その結果、腫瘍細胞の代謝に、免疫系による自身への攻撃を和らげる作用があることが示唆された。,若手研究,小区分55040:呼吸器外科学関連,肺がん,代謝,免疫チェックポイント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16432,地方独立行政法人宮城県立病院機構宮城県立がんセンター(研究所),高橋 莉恵,肺がんの強力な予後予測因子であるperiositinの分子機構の解明,癌細胞と癌細胞周囲の微小環境が相互的に作用して癌の進展を促進することが癌間質相互作用として認識されている。申請者らは、微小環境に発現しているペリオスチンが肺癌の悪性度を促進することを見いだした。ペリオスチンノックアウトに移植した肺癌は、有意に腫瘍形成量が原発巣でも転移巣でも低下した。リコンビナントペリオスチンによって肺癌細胞株の浸潤能が増加した。以上のことからペリオスチンは肺がんにおいて腫瘍促進的に働くと考えられた。,若手研究,小区分55040:呼吸器外科学関連,肺癌,肺がん,periostin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16431,東京女子医科大学,前田 英之,細胞ビーズによる血管形成を利用した肺気腫の組織工学的治療法の確立,マイクロ流路デバイスを用いてコラーゲンゲルユニットを作製し、血管内皮細胞を付着させ細胞ユニットを作製した。コラーゲンゲルユニットに導入した血管内皮細胞は、内腔面を覆い、培養時間の経過とともに、細細胞間の結合が確認された。 また、高濃度のVEGFを添加した場合、血管内皮細胞の数は大幅に増加することが確認された。,若手研究,小区分55040:呼吸器外科学関連,再生医療,肺気腫,呼吸器外科,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16430,東海大学,大岩 加奈,骨格筋間質由来多能性幹細胞とスキャフォールドを用いたハイブリッド肺組織移植,慢性進行性肺疾患に対する肺の再生医療の一つとして、肺組織移植の実現が期待されている。移植片が生着するまでの変化を詳細に検討した。マウス気管並走移植モデルでヘモグロビン小胞体を投与し、気管上皮下の血流を観察した。尾静脈からヘモグロビン小胞体溶液(Hb濃度10 g/dL) 0.3mlを投与した後、3、6、12、24時間で犠牲死させ、気管を切り出しHE染色して気管断面を観察した。 術後、3時間後までにヘモグロビン小胞体と考えられる微粒子を上皮下血管内に認めるようになり、再潅流を確認した。電子顕微鏡による観察で微粒子がヘモグロビン小胞体であることを確認した。6時間経過すると赤血球の再灌流が観察出来た。,若手研究,小区分55040:呼吸器外科学関連,再生医療,肺組織移植,組織再灌流,気管移植,多能性幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16429,帝京大学,山内 良兼,免疫チェックポイント阻害薬併用凍結療法の腫瘍免疫変調効果の検討,凍結療法の研究の一環として、免疫抑制性の腫瘍微小環境を破壊するPD-1受容体およびそのリガンドであるPD-L1に対する抗体との併用による治療効果が示されつつある。今回、腫瘍の微小環境形成に重要な役割を果たすと考えられている骨髄由来抑制細胞（MDSCs）とT細胞免疫について着目した。MDSCとT細胞免疫について、凍結療法とICIを組み合わせた場合の腫瘍自身と腫瘍周辺環境における免疫調節の役割について検討した。その結果、凍結療法とICIの併用は相乗的な抗腫瘍効果をもたらす可能性があり、その効果はMDSCsとT細胞免疫のモニタリングによって評価できることが示唆された。,若手研究,小区分55040:呼吸器外科学関連,凍結療法,肺癌,免疫療法,MDSC,骨髄由来抑制細胞,腫瘍周囲環境,腫瘍免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16428,順天堂大学,服部 有俊,肺切除後肺静脈断端の血栓形成に関する前向き観察研究,肺切除術後脳梗塞は重篤な合併症であり、左上切後の肺静脈断端血栓が一因と示唆されるが、本研究では、血栓頻度、好発部位、リスク因子を14施設による前向き観察研究で検証した。,若手研究,小区分55040:呼吸器外科学関連,肺静脈断端血栓,術後脳梗塞,左側肺切除,脳梗塞,左側肺切除術,ヘパリン,抗凝固薬,肺静脈血栓,左側手術,肺葉切除,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16427,慶應義塾大学,橋本 浩平,化学肺臓炎ARDSに対するVV-ECMO下の肺洗浄とサーファクタント補充療法,2018年度は体外膜型肺の臨床の使用に関する研究として、Intraoperative Extracorporeal Support during Lung Transplantation in Patients bridged with Venovenous Extracorporeal Membrane Oxygenationを発表した。また、同論文を日本呼吸器外科学会にて発表した。,若手研究,小区分55040:呼吸器外科学関連,ARDS,VV-ECMO,surfactant,体外膜型肺,ECMO,急性呼吸促拍症候群,ＥＣＭＯ,ＡＲＤＳ,肺障害,化学肺臓炎,Venovenous ECMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16426,京都府立医科大学,常塚 啓彰,ラット開胸モデルを用いた血小板活性抑制による癒着防止効果の検証,臨床データを後方視的に解析し抗血小板薬の癒着抑制効果を確認した。続いてラットを使用し癒着程度に加え組織学的評価を行う胸膜癒着モデルを作成した。組織学的評価では癒着に関与する炎症細胞等を同定するために各種抗体を使用した。アスピリン群とコントロール群と比較し有意に癒着距離が短縮し、組織学的にPDGFとα-SMAの減弱等を確認した。更に抗血小板薬として抗炎症作用のないプラスグレル群で検証、組織学的に血小板関連サイトカインが減弱し免疫応答細胞が少ない傾向を認めた。また薬剤癒着処置において血清中の血小板固有蛋白が低下していた。本研究で血小板抑制効果は癒着部位での炎症を抑制する可能性が示唆された。,若手研究,小区分55040:呼吸器外科学関連,胸膜癒着,癒着抑制,抗血小板作用,抗血小板,癒着,血小板,アスピリン,再手術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16425,大分大学,矢野 博之,放射線誘発線維症における非コードRNAを介した作用機序の解明と治療への応用,放射線誘発線維症(RIF)は，コラーゲン等の細胞外マトリックス構成因子の過剰な蓄積の結果と考えられている。今回の研究では，コラーゲン線維の大きさを制御するV型コラーゲンへの放射線の影響について調べた。その結果，放射線照射したマウス線維芽細胞において，転写レベルおよびmiR-29を介した転写後のレベルでV型コラーゲンの発現が増加することが分かった。さらに，線維化促進因子であるCTGFに対しても放射線による線維化形成においてmiR-26が抗線維化因子として重要な役割を担うことが分かった。これらの結果は，RIFにおける治療ターゲットとしてのmiR-29及びmiR-26の潜在的な可能性を示している。,若手研究,小区分55040:呼吸器外科学関連,放射線誘発線維症,コラーゲン,miRNA,CTGF,長鎖非コードRNA,lncRNA,細胞外マトリックス,long non-coding RNA,microRNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16424,長崎大学,土肥 良一郎,難治性肺疾患に対する脂肪組織由来間葉系幹細胞を用いた幹細胞治療の基礎研究,難治性肺疾患に対する脂肪組織由来間葉系幹細胞を用いた幹細胞治療について、臓器骨格を維持した無細胞の肺間質における幹細胞の三次元培養法を用いて、移植した幹細胞の肺間充組織内における時空間的動態に関する知見を示し、肺胞上皮細胞との複合投与による幹細胞の肺組織への定着率改善の可能性を示した。また、試験管内において間葉系幹細胞と肺胞上皮細胞との複合共培養によって細胞間接合の強化と物質拡散効果を生じ空気血液関門のバリア機能が強化されることを示した。,若手研究,小区分55040:呼吸器外科学関連,空気血管関門,脂肪組織由来間葉系幹細胞,脱細胞化,細胞外マトリックス,細胞治療,肺再生,肺胞上皮細胞,Muse細胞,脱分化脂肪細胞,共培養,血管内皮細胞,肺再生医療,脂肪由来幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
