awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K16680,独立行政法人労働者健康安全機構総合せき損センター(研究部),久保田 健介,血清亜鉛濃度を用いた、急性期脊髄損傷患者の神経学的予後予測,総合せき損センターで前向き研究を行い、急性期の血清亜鉛濃度で運動機能予後を予測できるかどうかを調べた。その結果、38人の脊髄損傷患者に関する非線形回帰分析にて、脊髄損傷後72時間以内の血清亜鉛濃度が長期の運動機能予後を高い精度で予測することに成功した（R2=0.84、予測式：回復後のASIA motorスコア=98.064 / {1 + EXP [－0.236([Zn] －67.489)]}）。この精度はこれまでに報告された急性期バイオマーカーよりも著しく高く、脊髄損傷急性期の血清亜鉛濃度が脊髄損傷患者の運動機能予後を予測するための有用なバイオマーカーであることが分かった。,若手研究,小区分56020:整形外科学関連,脊髄損傷,血中亜鉛濃度,神経学的予後,予後予測,血清亜鉛濃度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16679,地方独立行政法人大阪府立病院機構大阪国際がんセンター(研究所),田中 太晶,骨肉腫における血中循環腫瘍細胞と上皮間葉間移行の機能解析および肺転移抑制について,マウス骨肉腫高肺転移株LM8とその親株のDunnを用いた。①LM8をマウス皮下移植し、血液を直接浮遊培養して生きている状態のCTCを採取した。2次元培養のLM8と3次元培養のLM8-CTCのそれぞれからRNAを抽出し、RNAの差異を解析した。②LM8およびDunnを2次元培養を行い、それぞれ細胞上清を回収してエクソソームの解析を行った。①ではLM8とLM8-CTCのRNAに差異を認めなかった。これはCTCは数個から数十個のクラスターであるが、浮遊培養によって微妙な発現の差異が消失したためと考えられる。しかし②では転移に関わる因子AにLM8とDunnとの間に大きな差があることを発見した。,若手研究,小区分56020:整形外科学関連,骨肉腫,血中循環腫瘍細胞,上皮間葉移行,肺転移,lung metastasis,circulating tumor cell,EMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16678,独立行政法人国立病院機構(名古屋医療センター臨床研究センター),寺部 健哉,軟骨細胞における代謝リプログラミングのメカニズムと役割の解明,本研究期間において、軟骨細胞の炎症下において細胞内の代謝リプログラミングが発生しglycolysisが亢進することを確認した。更に2DG、DCA、ガラクトースなどのglycolysis阻害剤が代謝変動を介して抗炎症効果、軟骨保護作用を有することを明らかにした。本研究ではglycolysis阻害剤の効果発現メカニズムを検討した結果、AMPKが代謝リプログラミングを制御している結果が得られ、さらにAMPKの活性化を亢進させる作用を持つAICARが軟骨保護作用を有することを明らかにした。軟骨変性において代謝リプログラミングが発生し、これを制御することで軟骨を保護できる可能性を示した。,若手研究,小区分56020:整形外科学関連,変形性関節症,metabolic reprogramming,嫌気性解糖,2-Deoxy-D-glucose,軟骨代謝,代謝リプログラミング,軟骨細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16677,産業医科大学,山中 芳亮,性ステロイドホルモンに着目した組織線維化機序の解明,"手根管内滑膜の線維化が主な原因として指摘されている特発性手根管症候群の患者から採取した線維芽細胞を用いて、性ステロイドホルモンが組織線維化に与える影響を明らかにした。本研究結果より、ERαを介したシグナルはCol1A1, Col3A1の発現抑制に関与しており、その作用はERαの発現量に依存する可能性が示唆された。今後、特発性手根管症候群患者の個々の滑膜内線維芽細胞のERα陽性率を正確に把握することで、効率的なエスロトゲン補充療法が新たな治療の選択肢の一つとして使用できる可能性がある。",若手研究,小区分56020:整形外科学関連,線維化,性ステロイドホルモン,特発性手根管症候群,コラーゲン,エストラジオール,TGF-β,線維芽細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16676,帝京大学,三木 慎也,再生医療の基盤となる自然治癒しない動物腱変性モデル作製技術の確立,本研究では、独自に開発した加熱装置を用いてウサギのアキレス腱を加熱し、自然治癒しない腱変性の作製を試みる計画であった。加熱時間を変えて腱変性の有無を調査することにより、腱変性モデル作製における至適加熱時間を明らかにすることを第一段階の目的とした。このため、申請者らは株式会社SI設計（埼玉県入間市）と協力して独自の腱加熱装置を設計した。しかし、本装置の製作段階において、加熱装置と針の連結がうまくいかず、針先を一定の温度に保つことが実現できず、本装置を完成させることができなかった。従って、腱変性モデルの作製を実現できなかった。,若手研究,小区分56020:整形外科学関連,腱症,再生医療,間葉系幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16675,慶應義塾大学,武田 和樹,思春期特発性側弯症の重症度および進行に関与する遺伝子の同定,申請者のグループは日本中の側弯症施設との共同研究で、約3000人のAIS被験者のサンプルを収集し、解析を行ってきた。しかし、進行の解明のためにはより多くの被験者サンプルの収集が必要である。Japanese Scoliosis Clinical Research Group(JSCRG)の協力もあり、その後もサンプル収集を継続し、2017年9月現在では約6100までサンプル数を増やしている。今後、これらの収集したサンプルを用いて、再度GWASを行う予定である。本研究の目的は、GWASから得られたデータを用いて進行に関係する疾患感受性遺伝子を同定、解析し、AISの分子機構を解明することである。将来的に、個人に対応した治療や新しい治療方を確立するとともに、臨床の現場へ還元することである。上記研究目的に沿い、CaseとControl群で相関解析を行った。解析に必要な解析機器を購入した。しかし、人事異動に伴い申請者の研究継続が困難となった。,若手研究,小区分56020:整形外科学関連,ゲノムワイド関連解析,思春期特発性側弯症,進行,遺伝子解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16674,慶應義塾大学,飯田 剛,脊髄損傷に対する細胞移植治療の向上を目的とした改良型ヒトiPS細胞の開発,ヒトiPS細胞由来神経幹/前駆細胞（以下iPSC-NS/PCs）移植治療の脊髄損傷モデル動物に対する有効性が報告されているが、慢性期脊髄損傷などの治療困難例への有効性確保が命題となっている。,若手研究,小区分56020:整形外科学関連,iPS細胞,脊髄損傷,神経幹細胞,脊髄再生,再生医療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16673,和歌山県立医科大学,生駒 顕,経動脈的微細血管塞栓術における短時間溶解型ゼラチンの応用,6匹の雌豚の12個の膝関節炎モデルを、パパインの関節内注射によって作成した。パパイン注入後、42日後に全例で膝蓋骨周囲に新生血管の増生を確認した。塞栓物質により、6頭（12膝）を3頭（6膝）ずつ、チエナム群と短時間溶解型ゼラチン群の2群に分け、新生血管を異なる塞栓物質で塞栓した。塞栓後3日目に、血管造影での塞栓効果と病理組織学的検査での組織損傷を比較した。,若手研究,小区分56020:整形外科学関連,チエナム,経動脈的微細血管塞栓術,短時間溶解型ゼラチン,膝関節炎モデル,パパイン,imipenem/cilastatin,soluble gelatin sponge,TAE,TAME,IPM/CS,RMゼラチン,イミペネムシラスタチン,関節炎,IVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16672,奈良県立医科大学,清水 隆昌,間葉系幹細胞シートと組織移植を融合させたハイブリッド型自家神経作成の試み,神経再生誘導管（以下人工神経）や同種神経は、近年自家神経に代わる新たなマテリアルとして開発されているが、iPS細胞や各種成長因子を添加させても自家神経移植に及ばないのが現状である。本研究は、再生医療技術を用いて自家神経の移植片に血流を付加させることである。大腿骨から採取・培養した骨髄間葉系細胞や間質細胞（Bone Marrow Stem/Stromal Cells ; BMSCs）をシート状に採取し、自家神経移植後に巻くことで、自家神経移植単独と比較して神経再生が促される可能性が示された。,若手研究,小区分56020:整形外科学関連,間葉系幹細胞シート,末梢神経,神経再生,血管柄付き神経,自家神経移植,自家神経,血管柄付き神経移植,間葉系幹細胞,末梢神経再生,神経移植,微小血管外科,血管柄付き筋膜脂肪弁,ハイブリッド型自家神経,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16671,奈良県立医科大学,岸 真五,ミトコンドリアNEETの標的化による骨肉腫治療の研究,がん幹細胞はミトコンドリア優位の代謝を行い、至適なROSレベルを保ちながらATP産生を行っており、そのための特異な制御機構を持つのではないかと考えた。ミトコンドリア制御機構としての小胞体－ミトコンドリア繋留分子のひとつであるPDZD8に着目した。PDZD8はがん特異的な発現を示し、そのノックダウンにより、stress conditionにおいて酸素消費量抑制の消失、酸化ストレス上昇、細胞毒性増強と幹細胞性の低下が見られた。これらの結果から、小胞体を介したミトコンドリアのROS-ATPバランスの制御系ががん幹細胞の代謝形質に関わることが示唆されPDZD8はがん幹細胞の新たな治療標的と考えられた。,若手研究,小区分56020:整形外科学関連,ミトコンドリア,ミトコンドリア小胞体係留分子,骨肉腫,ミトコンドリア係留因子,PDZD8,ミトコンドリア酸化ストレス,細胞死,MAM,胃癌,がん化,前がん病変,エネルギー代謝,酸化ストレス,ミトコンドリア結合分子,プテロスチルベン,テザリング分子,酸化的リン酸化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16670,名古屋市立大学,相羽 久輝,骨肉腫由来エクソソームによる骨微小環境への影響に関する基礎的研究,骨肉腫制御において局所の進展・転移のメカニズムを解明することが臨床的に求められています。私たちは骨肉腫の進展機構において、小型膜小胞として分泌されるエクソソームに着目し、これまで研究をおこなってきました。その結果、1）骨肉腫由来エクソソームにて破骨細胞の分化が阻害され、2)骨肉腫周囲の破骨細胞が少ない方がより遠隔転移能を有していることを見出しました。また、エクソソームの分泌に重要なタンパクであるTSG101ノックアウト骨肉腫細胞株を作成し、骨肉腫由来エクソソーム減弱モデルを作成することで、エクソソームが腫瘍の転移や破骨細胞の分化に影響を及ぼしているかを調査しました。,若手研究,小区分56020:整形外科学関連,骨肉腫,エクソソーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16669,横浜市立大学,崔 賢民,全自動リアルタイムPCRによるインプラント周囲感染の迅速診断への有用性の評価,全自動リアルタイムPCRによるインプラント周囲感染の迅速診断への有用性について評価した。全自動リアルタイムPCRは、メチシリン耐性遺伝子をターゲットとするMRS-PCRと、全細菌が保有する16sRNA遺伝子をターゲットとする16sRNA-PCRを使用し、インプラント周囲感染患者から採取された関節液・組織に対して、全自動MRS-PCRと16sRNA-PCRは細菌培養検査と比較して、迅速性優れ、同等の感度・特異度を持つ検査であることを検証した。新しい知見として、関節液や組織内に含まれる物質がPCR反応を阻害することがあり、そのようなPCR反応の阻害物質は、PCR結果が偽陰性となる可能性を検証した。,若手研究,小区分56020:整形外科学関連,全自動リアルタイムPCR,メチシリン耐性遺伝子,16sRNA,遺伝子診断,インプラント周囲感染,人工関節周囲感染,整形外科感染,骨軟部組織感染症,MRS感染,関節液,全自動リアルタイムPCRの精度の検証,リアルタイムPCR,細菌性DNA,全自動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16668,札幌医科大学,齋藤 貴子,細胞老化システムから解明する手根管症候群の病態メカニズムと新規治療法の開拓,手根管症候群（CTS）は絞扼性神経障害の中で最も頻度が高く、新たな治療法の開発が期待されている。本研究では、CTS滑膜病変における細胞老化の関連性を検討した。CTS患者滑膜で、PDGFRa+細胞が細胞老化関連因子とマクロファージチェックポイント両方の発現上昇を認めた。PDGFRa+老化細胞は、マクロファージの貪食作用から回避すると同時に、隣接する線維芽細胞の増殖を促進した。細胞老化した線維芽細胞をウサギモデルの手根管に移植すると、滑膜組織で線維化関連遺伝子の上昇を認めた。最後に、老化細胞除去薬の有効性をin vitroで検討した。,若手研究,小区分56020:整形外科学関連,手根管症候群,細胞老化,滑膜下結合組織,線維化,滑膜,ドラッグリポジショニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16667,札幌医科大学,高島 弘幸,筋脂肪細胞と炎症性サイトカインの関連に着目した疼痛発生メカニズムの解明,我々は、ヒト生体において、筋や椎間板などの脊椎周辺の関連組織と腰痛の関連について解析を行い、慢性腰痛患者では、多裂筋の筋細胞内脂肪（IMCL）が上昇していることを報告した。しかし、IMCLと疼痛の関連について、そのメカニズムは明らかになっておらず、それらを検討した基礎研究は存在しない。我々ははじめにIMCLの上昇を示す動物モデルが必須と考え、尾部懸垂に後肢ギプス固定を併用した不動化モデルにてIMCLの解析を行い、IMCLの有意な低下を認めた。動物の不動化モデルは、IMCLの低下モデルとして使用可能なことが明らかになったが、上昇モデルの作成は今後の課題である。,若手研究,小区分56020:整形外科学関連,chronic low back pain,fat degeneration,intra-myocellular lipid,animal model,IMCL,疼痛,モデルラット,炎症性サイトカイン,尾部懸垂モデルラット,MR spectroscopy,筋脂肪変性,筋脂肪細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16666,大分大学,岩崎 達也,骨肉腫細胞の浸潤・転移機構におけるケモカインの意義の解明,骨肉腫は原発性骨腫瘍の中で最も発生頻度が高い疾患である。化学療法の進歩により生存率は改善したが、未だ遠隔転移を生じ予後不良となる症例も存在する。腫瘍細胞の悪性形質には、腫瘍細胞自身の増殖能・転移能が関与するのみならず、腫瘍細胞周囲に存在する正常細胞との相互作用が重要であることが、近年明らかとなってきた。特に遠隔転移に関しては、細胞同士の直接接触がなくても作用する液性因子の存在が重要であると考えられる。本研究の目的は、骨肉腫の遠隔転移成立における、腫瘍微小環境内および遠隔転移部での液性因子の関与とその意義を解明することである。,若手研究,小区分56020:整形外科学関連,骨肉腫,液性因子,ケモカイン,間葉系幹細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K16665,九州大学,幸 博和,思春期特発性側弯症に伴う腰痛の特異的な発症メカニズムの解明,思春期特発性側弯症（AIS）患者の歩行時の左右の傍脊柱筋および大殿筋の表面筋電図による解析では、筋活動量に左右差は認めなかったが、AIS術後においては、歩行時の大殿筋の筋活動に左右差を認めた。また、健常者を対照群として比較したところ、筋活動量および筋活動パターンに有意差を認めなかった。さらに、AIS術前、術後の歩行動作における体幹偏位量を測定すると、矢状面上の体幹前後傾運動に左右差を認めた。この結果は、術後に脊椎アライメントが変化することで、歩行時に体幹部のバランス保持のために作用している傍脊柱筋と大殿筋の相互作用に変化が生じ、その結果として腰痛発症に影響を与える可能性があることが示唆された。,若手研究,小区分56020:整形外科学関連,思春期特発性側弯症,筋電図,腰痛,三軸加速度センサー,傍脊柱筋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
