awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K17021,福岡歯科大学,大谷 崇仁,骨基質タンパク質オステオカルシンによる脂肪細胞の細胞死誘導機序の解明,骨基質タンパクであるオステオカルシン(OC)は、糖・エネルギー代謝の制御に重要な役割を担っており、このOCが脂肪細胞において糖・脂質代謝活性化ホルモンであるアディポネクチンの発現を亢進させる分子メカニズムを申請者は明らかにしてきた。その研究課程で高濃度のOCを脂肪細胞に作用させると脂肪細胞がネクロトーシスという細胞死に至る分子メカニズムを新たに解明した。この細胞死は脂肪細胞同士が接着することで誘導され、全体の約3割の脂肪細胞が細胞死し、その他は代謝に有利な性質をもつことが分かった。さらに、高濃度GluOCは脂肪細胞の接着タンパクを調節し、脂肪細胞の肥大化を抑制している可能性が示唆された。,若手研究,小区分57010:常態系口腔科学関連,オステオカルシン,脂肪細胞,細胞死,脂質代謝,細胞接着,エピゲノム,シグナル伝達,ネクロトーシス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17020,愛知学院大学,田中 健二郎,オピオイド増殖因子受容体を標的とした新規骨粗鬆症治療薬の創出に向けた基礎的研究,世界で広く使用させれいる痛み止めに麻薬性鎮痛薬を代表とするオピオイドがある。近年、オピオイドの長期投与患者は骨粗しょう症のリスクが高くなることが多く報告されている。しかし、その機序については不明な点が多い。そこで私はオピオイドの骨組織への作用について研究を行った。その結果、骨芽細胞にはオピオイド増殖因子受容体が多く発現しており、細胞増殖を負に制御していることを見出した。また、オピオイド増殖因子受容体遮断薬であるナルトレキソンをマウスに投与すると、対照群と比較して有意に骨量が増加することがわかった。これらの結果は、ナルトレキソンが骨量増加作用を持つ新規骨粗鬆症治療薬としての可能性を示唆している。,若手研究,小区分57010:常態系口腔科学関連,オピオイド,ナルトレキソン,オピオイド増殖因子受容体,骨代謝,骨芽細胞,硬組織薬理学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17019,日本大学,中谷 有香,光遺伝学的手法による島皮質から三叉神経脊髄路核尾側亜核への投射経路の機能解明,口腔顔面領域における侵害情報は主に三叉神経脊髄路核尾側亜核(Sp5C)へ入力する。味覚や痛覚など複数の感覚情報が収束する島皮質はSp5Cへ下行性投射しているが，Sp5C内の局所神経回路の解明が十分でない。本研究ではオプトジェネティクス法を用いて島皮質→Sp5C下行性投射線維を特異的に活性化させ，ホールセル・パッチクランプ法にてSp5Cにおける抑制性および興奮性ニューロンから同程度に興奮性シナプス後電流を記録した。しかし，Sp5C内で抑制性ニューロンから興奮性ニューロンへのシナプス応答はfailure rateが高いことから，島皮質→Sp5C下行性投射はSp5Cの興奮性を強めると考えられる。,若手研究,小区分57010:常態系口腔科学関連,三叉神経脊髄路核尾側亜核,島皮質,光遺伝学的手法,シナプス伝達,オプトジェネティクス,パッチクランンプ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17018,九州歯科大学,氏原 泉,口腔乾燥により変調する嚥下誘発分子機構の解明,高齢患者において唾液分泌低下は嚥下困難を起こすことがあるが，嚥下誘発機構や口腔乾燥との関連については不明である．本研究は，口腔乾燥と嚥下との関連を明らかにすることを目的とした．麻酔下のラット咽喉頭部へ各種溶液を注入し，嚥下回数と潜時を調べた．水誘発嚥下は，NaCl，NaBr，NaI添加により濃度依存性に抑制された．DCPIB，T16Ainh-A01は，水およびNaCl溶液誘発嚥下に影響しなかった．口腔乾燥モデルでは，水誘発嚥下が増加傾向にあった．本実験結果より，ラット咽喉頭部における水誘発嚥下は陰イオンにより抑制されることが示唆され，口腔乾燥により，水誘発嚥下が促進される可能性が考えられた．,若手研究,小区分57010:常態系口腔科学関連,嚥下反射,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17017,長崎大学,松裏 恵子,Srcファミリー分子Hck活性化による軟骨細胞の増殖・分化制御機構の解明,Runx2は、軟骨細胞の増殖と成熟に必要である。当研究室で、Runx2ノックアウト(ko)マウス由来の初期培養軟骨細胞にRunx2を導入、Runx2の標的遺伝子を探索し、誘導される遺伝子の1つとして造血細胞キナーゼHckが同定された。一方でおり、Srcキナーゼファミリー間で一部機能的な重複があることは知られているが、Hckが軟骨性四肢骨格で特異的に高発現している。この選択的な遺伝子発現とその生理学的な意義を理解するには、軟骨細胞増殖・分化の相関の分子背景を明らかにすることが必要である。本研究では、Hckのノックダウンシステムを用い、軟骨細胞の増殖・分化に対するHckの関与について解析を行った。,若手研究,小区分57010:常態系口腔科学関連,Hck,Runx2,軟骨増植,Wnt,hedgehog,間葉系細胞,軟骨細胞の増殖・分化,軟骨細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17016,九州大学,岩田 周介,カプサイシンによる味覚修飾；軸索反射放出ペプチドの甘味受容経路に与える影響,マウス鼓索神経応答の解析から、カプサイシン (Cap)が糖類、NaClの応答を増強し、人工甘味料や他の味物質に対しては影響を生じないことがわかった。さらにマウス味蕾に、Cap受容体活性化により軸索反射で放出されるアドレノメデュリン (ADM)受容体が発現していること、ADM投与により糖類特異的な甘味応答の増強が生じること、ADM受容体阻害薬でこの増強が消失することが明らかになった。さらに、この増強作用は、糖特異的甘味受容機構であるSGLT1阻害薬フロリジンにより消失することから、Cap刺激により放出されたADMにより、SGLT1発現量が変化し、糖類特異的な味応答の増強が生じたと予想された。,若手研究,小区分57010:常態系口腔科学関連,アドレノメデュリン,カプサイシン,SGLT1,味覚,SGLT-1,グルコーストランスポーター,歯学,シグナル伝達,内分泌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17015,東京医科歯科大学,菅森 泰隆,人工エクソソームを応用した骨形成促進剤の開発,骨芽細胞膜上RANKLに骨形成シグナルを入れる、RANKを発現した人工エクソソームの創製を目指し、細胞内ドメインを欠失させたRANK(minimal RANK)をリン脂質DOPCを構成材料としたエクソソームに組み込んだ。minimal RANKを発現したエクソソームの機能を確かめる為に、骨髄細胞をM-CSFと可溶性RANKLで刺激して、破骨細胞に誘導する実験系を用いて検討した。その結果は、RANK発現の有無ではなく、脂質成分であるDOPC濃度依存的に破骨細胞形成を抑制したことが示唆されるものであり、minimal RANKエクソソームに発現したRANKのRANKL結合能は確認できなかった。,若手研究,小区分57010:常態系口腔科学関連,骨形成促進剤,RANKL,RANK,分泌小胞,エクソソーム,人工エクソソーム,骨芽細胞,破骨細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17014,東京医科歯科大学,小野 岳人,顎口腔系における力学刺激下での運動器制御機構の解明,食物の摂取時には、咀嚼筋は力を発揮し顎骨はその力を受ける。強い咀嚼力は顎骨や咀嚼筋を強化するが、そのメカニズムには不明な点が多い。そこで、咀嚼運動による力学刺激下で機能し、筋や骨を強化する分子の探索に取り組んだ。,若手研究,小区分57010:常態系口腔科学関連,運動器科学,咀嚼,骨代謝,筋代謝,メカニカルストレス,骨,筋,口腔機能,咀嚼運動,骨芽細胞,破骨細胞,筋細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17013,東京大学,北浦 義昭,ヘッジホッグシグナル転写因子Gli1の骨折治癒過程における関与とその治療への応用,胎生期の器官形成に必須のヘッジホッグシグナルが成体の骨の恒常性維持にも関与していることを新たに見出し、骨折の早期治癒治療薬としての応用を検討した。,若手研究,小区分57010:常態系口腔科学関連,骨折治癒,ヘッジホッグシグナル,骨折,成体,Gli1,骨関連疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17012,東北大学,堀 元英,骨芽細胞周期の開始を制御するカルシウム依存性Kチャネルの調節機構解明,骨粗鬆症は国内の患者数が1300万人に達し、骨折の増加から寝たきりになるなどQOLの低下に直結する病気である。現在までに骨粗鬆症を予防・治療する薬物が開発されてきたが、骨吸収を抑制するだけでなく、骨産生を増強する薬物があれば併用することにより、より生理的な骨量の増加が期待される。骨粗鬆症を予防・治療する薬物の作用メカニズムは骨吸収の抑制と骨産生の増強である。更に、後者の詳細なメカニズムの解明のためには骨芽細胞の増殖・分化の制御メカニズムを詳細に解析する必要があるが、細胞膜の電位変化による増殖制御メカニズムは未だに明らかになっていない。また、骨芽細胞の様な非興奮性細胞が神経や心筋細胞の様な興奮性細胞と違って、膜電位変化の生理的意義が確立していない。本研究は骨芽細胞において、カルシウム依存性K+チャネルの一つであるIK (Intermediate-conductance Ca2+-activated K+)チャネルが細胞周期の開始を制御することにより細胞増殖しているのではないかと仮説を立てて研究を行うことにより、骨芽細胞の詳細な増殖メカニズムを明らかにすることを目的とした。昨年度、フローサイトメトリー法を用いた研究で骨芽細胞株であるMC3T3-E1の細胞周期を推定し、IKチャネルの活性化作用を持つ薬物を添加したものではS期の細胞の割合が増加することが明らかになっていた。その結果をもとに、patch-clamp法whole-cell modeを用いてS期の細胞の静止膜電位を計測し始めた。,若手研究,小区分57010:常態系口腔科学関連,カルシウム依存性K+チャネル,骨粗鬆症,骨芽細胞,細胞周期,IKチャネル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
