awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
19K19233,広島大学,田口 有紀,無血清培養系での歯髄由来iPS細胞の未分化性の維持に関与する細胞増殖因子群の同定,人工多能性幹細胞（induced pluripotent stem cell:iPS細胞）は再生医療などさまざまな分野で注目されている。さらに単層無血清培養法は，フィーダー細胞を用いず，成分の明らかな無血清培地を用いる培養法であり，病原体や異種蛋白の混入の危険がなく，創薬開発，疾患研究や再生医療などにおいて貢献するものである。本研究計画では，ヒト歯髄由来iPS細胞の未分化性および多分化能維持に関与する細胞増殖因子群の同定を，細胞生物学的および分子生物学的に行うことを目的とする。,若手研究,小区分57060:外科系歯学関連,iPS細胞,単層無血清培養,ヒトiPS細胞,ヒト歯髄由来細胞iPS細胞,無血清培養,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17239,東海大学,内堀 雅博,Liquid biopsyは口腔扁平上皮癌で有効か？ [NOTCH1に注目して],口腔扁平上皮癌（OSCC）における無細胞DNA（cfDNA）濃度の変化と予後の関連性の解析、腫瘍組織のDNAとcfDNAの遺伝子変異解析を行った。10人の術前と術後1ヶ月、その後3ヶ月ごとのcfDNA濃度変化と予後の関連性を解析した。遺伝子変異解析は、34症例の腫瘍組織のDNAに対して行った。変異がある症例は、cfDNAの解析も行った。予後良好例は術前と術後のcfDNA濃度はほとんど変化しないが、予後不良例は死亡する約2～3ヶ月前からその濃度が急激に上昇した。遺伝子変異解析では、腫瘍組織のDNAに変異を認めた症例は、全ての症例でcfDNAにおいても0.06～1.49%で同じ変異を検出した。,若手研究,小区分57060:外科系歯学関連,Liquid biopsy,cfDNA,口腔がん,OSCC,NOTCH1,再発転移,口腔扁平上皮癌,PDXモデル,NOTCH,遺伝子解析,液体生検,Liquid Biopsy,ctDNA,NOTCH1変異,liquid biopsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17238,慶應義塾大学,池浦 一裕,野生型マウス顎下腺由来培養上皮細胞株を用いた唾液腺組織再生に向けたシステム構築,唾液は口腔の健康を維持するために必要不可欠な体液である。唾液を作る唾液腺が機能低下することで生じる口腔乾燥症は患者の生活の質を著しく低下させる。そのため、失われた唾液腺組織再生を目指した研究報告は多数あるが、これらの研究ではヒト・ラットなどから樹立した唾液腺細胞株を用いており、それらは腫瘍細胞由来・遺伝子改変動物由来であり、マウスにおける自然発生的な細胞株の報告はない。,若手研究,小区分57060:外科系歯学関連,唾液腺再生,口腔乾燥,細胞株,分化誘導能,筋上皮細胞,腺房細胞,導管上皮基底細胞,唾液,マウス顎下腺由来上皮細胞株,唾液腺組織再生,三次元培養,多分化能解析,唾液腺組織分泌機能評価のシステム構築,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17237,岩手医科大学,齋藤 大嗣,口腔扁平上皮癌の細胞接着によるHippo経路活性化に着目した抗浸潤転移療法の確立,ヒト口腔扁平上皮癌細胞HSC-4細胞において、低細胞密度の条件下では、E-cadherinを介した細胞間接着の崩壊により、Hippoシグナル経路のエフェクター分子であると共に転写補助因子であるYAP/TAZの活性化が示された。このYAP/TAZの活性化により、上皮間葉転換に関連下転写因子であるSlugの核内移行を促進させて、E-cadherinからN-cadherinへのcadherinの発現変化であるcadherin switchを誘導することが示された。以上の結果から、ヒト口腔扁平上皮癌細胞の悪性化に関与する上皮間葉転換の機構がHippo経路にも関与することが示された。,若手研究,小区分57060:外科系歯学関連,HSC-4,EMT,catherin switch,Hippo経路,YAP/TAZ,E-cadherin,N-cadherin,cadherin switch,TGF-β1,Sox9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17236,九州歯科大学,田中 純平,閉経後骨粗鬆症モデルラットを用いたMRONJ発症メカニズム解析と新規治療法の探索,今回われわれの研究では、副甲状腺ホルモン製剤(テリパラチド:TPTD)が骨芽細胞の活動を促進し、それによって血清中のRANKLの発現が増加し、破骨細胞の活性化が促進され、その結果、骨粗鬆症治療薬であるビスフォスフォネートを起因とする顎骨壊死（Medication-related osteonecrosis of the jaws：MRONJ）の改善につながることが示唆された。,若手研究,小区分57060:外科系歯学関連,MRONJ,テリパラチド,ARONJ,休薬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17235,九州歯科大学,小田 昌史,Ultrashort TE撮像を用いたMRIによる顎骨診断法の確立,我々はこれまで口腔顎顔面領域の疾患の多くを占める顎骨からのMR信号を収集し、画像化する術を模索した。その結果口腔顎顔面部の骨及び歯を画像化することに成功している。TE=0.096msの画像及びTE=5.6msの画像を取得し、それらから解析していくのが効率的であり、診断に有用性が高いことが明らかになった。骨ターゲットや線維組織ターゲットのMRIデータ収集が可能であった。但し、本研究期間においてコロナ禍も重なり、検討に十分な症例データを収集することが困難であった。UTEによる診断基準の確立に関して、レトロスペクティブな分析として今後も継続して行っていく必要がある。,若手研究,小区分57060:外科系歯学関連,UTE,MRI,骨,顎骨疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17234,奈良県立医科大学,仲川 洋介,核－細胞間輸送に関与する受容体を標的とした口腔がん治療の基礎研究,本研究では、核外輸送タンパクであるEXPO1阻害剤を使用することで、がん抑制遺伝子産物を核内から核外に輸送する機能を減弱させて、放射線照射や抗がん薬との併用により殺細胞効果に増感を生じるか、がんの増殖抑制や促進遺伝子の発現に変化を認めるか分子生物学的視点からの検討を行うことを目的とした。,若手研究,小区分57060:外科系歯学関連,口腔がん治療,核外輸送蛋白,EXPO１阻害剤,exportin1,放射線照射,5-FU,CDDP,核外輸送タンパク,EXPO1阻害,がん増感,細胞内核外輸送タンパク,exportin１,XPO1 inhibitor,核外輸送タンパク阻害薬,exportin 1,口腔がん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17233,横浜市立大学,大久保 牧子,口腔癌オルガノイドを用いた再発に関わるM2マクロファージの機能解析,口腔癌において再発制御は予後改善のため重要で我々はこれまで腫瘍内へ誘導されたCD11b陽性骨髄細胞がM2Mφsへ分化し、再発に貢献することを見出した。M2Mφsは培養系で様々な腫瘍促進性を有することが報告されているが、複雑ながん微小環境における役割や作用機序には不明な点が多い。本研究ではがんオルガノイド培養の確立を試み、口腔癌再発に関わるM2Mφsの役割の解明を目的とした。口腔癌細胞株を用いてオルガノイドの作製を確立し様々な方法で検討した結果、癌細胞単独や共培養２次元培養と比較しオルガノイドにおいて高い薬剤耐性を認めた。またM2Mφsより分泌された因子により血管新生が促進されることがわかった。,若手研究,小区分57060:外科系歯学関連,口腔癌,オルガノイド,口腔がんオルガノイド,M2マクロファージ,口腔癌オルガノイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17232,横浜市立大学,馬場 隼一,aPKCλ/ιの口腔癌悪性度への関与-予後サロゲートマーカ―としての有用性-,上皮細胞極性タンパクであるaPKCλ/ιはその過剰発現がこれまでに種々のがんの増殖や予後と関与することが報告され注目されている．そこで本研究では，口腔扁平上皮癌におけるaPKCλ/ιの発現を解析し，臨床的な悪性度診断のバイオマーカーとしての可能性について検討した．口腔扁平上皮癌患者の病理組織標本に対してaPKCλ/ι免疫組織学的染色を実施し，その発現度および局在を評価し，臨床病理学的因子ならびに予後因子との関連性を統計学的に解析した．その結果，aPKCλ/ιは口腔癌における重要な予後予測因子になりうる可能性が示唆された．,若手研究,小区分57060:外科系歯学関連,口腔扁平上皮癌,aPKCλ/ι,OSCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17231,鹿児島大学,佐古 沙織,加齢と全身麻酔が体内時計に与える影響；遺伝子改変マウスを用いた時間生物学的解析,全身麻酔後にせん妄や睡眠覚醒障害などを発症する患者がいるが、我々はこれが海外旅行時の時差ボケと同じような「体内時計」の障害に原因があるのではないかと考えた。そこで本研究では、全身麻酔が「体内時計」に与える影響について、遺伝子改変マウスを用いて検討することを目的として開始した。,若手研究,小区分57060:外科系歯学関連,術後せん妄,体内時計,加齢,吸入麻酔薬,遺伝子改変マウス,時計遺伝子,時間医学,術後合併症,時間生物学的解析,全身麻酔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17230,鹿児島大学,渕上 貴央,動物移植モデルを用いたエナメル上皮腫の浸潤形態の多様性に関わる因子の解明,本研究では、エナメル上皮腫の浸潤発育に関わる因子について、独自に構築した三次元培養実験系と動物実験系を用いて解明し、同因子を標的とした分子標的療法などの新規治療法の実現の一助となる知見を得ることを目的とした。異なる組織型のヒトエナメル上皮腫不死化細胞株であるAM-1（叢状型由来）、AM-3（濾胞型由来）を免疫不全マウスへマトリゲルとともに移植し、エナメル上皮腫の安定した動物実験モデルを確立した。これにより、今まで困難であった実際の病変に近い環境でのエナメル上皮腫の動態評価が可能となり、病態の異なる様々なタイプのエナメル上皮腫に対する戦略的な治療法の実現に向けた実験を進めることが可能となった。,若手研究,小区分57060:外科系歯学関連,エナメル上皮腫,歯原性腫瘍,動物モデル,三次元培養,動物実験モデル,集団的細胞浸潤,動物実験,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17229,長崎大学,井 隆司,疾患炎症細胞を共培養利用した免疫調整性抗炎症細胞群による慢性唾液腺炎の新規治療,放射線性萎縮唾液腺では著しい腺房萎縮、線維化の亢進がみられた。これに伴い、唾液流出量の減少が認められ、唾液腺機能の低下を確認された。また早期に血管障害が誘発され、CD血管内皮マーカー発現低下が認められた。その一方、放射線照射後の重度障害組織においても幹細胞マーカーで標識される細胞群はある一定の細胞数の生存が確認され、放射線障害後の唾液腺障害・再生の主体となる可能性が考えられた。,若手研究,小区分57060:外科系歯学関連,唾液腺,抗炎症性細胞,再生医療,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17228,佐賀大学,森 啓輔,人工味細胞を用いた味覚障害に対する漢方薬の作用機序の解明および治療応用,作製した人工味細胞を用いて柴朴湯、香蘇散、六君子湯の薬理作用を検証した。種々の濃度にてリアルタイムPCR法、ウエスタンブロッティング法を行い，さらにCa2+イメージングを行い、味覚応答の変化を検証したが，コント ロール群と比較し，有意な変化は認めなかった。そのため実験の諸条件を変えたが有意な結果は認めていない。そこで漢方薬の変更を検討し、半夏瀉心湯、半夏厚朴湯、十全大補湯を用いてリアルタイムPCR法、ウエスタンブ ロッティング法、Ca2+イメージングを行い、味覚応答の変化を検証したがコントロール群と比較し、有意な結果は得られなかった。,若手研究,小区分57060:外科系歯学関連,人工味細胞,甘味受容体,うま味受容体,漢方薬,味覚障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17227,九州大学,長野 公喜,骨細胞のメカニカルストレス応答におけるBMPシグナルの役割解明研究,本研究では BMP 受容体阻害剤投与下でマウスに運動負荷を与え、骨細胞の形態や成熟度などを多面的に解析することで、メカニカルストレス応答における BMP シグナルの役割の一端を明らかにすることを目指した。BMP 受容体阻害剤を投与すると、運動刺激による骨形成作用が減少した。また、骨細胞や破骨細胞特異的遺伝子の発現は、阻害剤を投与した後に運動した群では運動単独の群に比べて増加傾向を示した。以上の結果から、BMPシグナルとメカニカルストレスによるシグナルが相互作用していることが示唆された。,若手研究,小区分57060:外科系歯学関連,骨リモデリング,BMP シグナル,骨理モデリング,BMPシグナル,メカニカルストレス,骨細胞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17226,広島大学,石田 陽子,歯由来の間葉系幹細胞におけるTh1系サイトカインによる新規分化誘導調節機構の解明,"埋伏歯抜歯後の組織から歯乳頭，歯小嚢を採取し間葉系幹細胞を分離培養した。両細胞は同様の細胞増殖能をもち，CD90,CD73,CD105などの幹細胞マーカーが陽性であった。これらの間葉系幹細胞は骨分化誘導能，脂肪分解能，軟骨分化能を持つ幹細胞であることが示された。両細胞にINF-γ，TNF-αを添加した結果IFN-γ単独添加で骨誘導が抑制された。さらにIFN-γ誘導性の骨分化能力の抑制がTNF-αでさらに増強された。本研究により歯乳頭，歯小嚢細胞から幹細胞の分離が可能であること，歯乳頭，歯小嚢由来幹細胞が多分化能をもつこと，さらにその分化はTh1サイトカインにより調節できることが明らかになった。",若手研究,小区分57060:外科系歯学関連,間葉系幹細胞,歯小嚢由来幹細胞,歯乳頭由来幹細胞,炎症性サイトカイン,骨分化能力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17225,岡山大学,奥井 達雄,知覚神経におけるHMGB1シグナルを標的とした新規口腔癌骨破壊病変治療の開拓,"組織アレイを用いた正常口腔組織と口腔癌組織におけるHMGB1発現の検討により,HMGB1は癌細胞,特に細胞質での発現が増加していた. HMGB1高発現口腔癌細胞SASをマウス脛骨骨髄に注入すると溶骨性の増大を示し骨髄内の痛覚神経の増成ならびに骨痛を示した。 HMGB1中和抗体ならびにHMGB1受容体阻害薬はSAS担癌マウスの骨痛を緩和した。またshRNAによるHMGB1発現抑制も同様に骨痛を抑制した.癌細胞が産出するHMGB1は痛覚神経を興奮させ骨痛を誘導することが明らかになった",若手研究,小区分57060:外科系歯学関連,HMGB1,がん性疼痛,破骨細胞,知覚神経,癌骨破壊,骨痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17224,岡山大学,河合 穂高,口腔扁平上皮癌の前転移niche形成における、骨髄由来細胞の役割の解明,腫瘍が遠隔臓器に転移する際、臓器によって転移のしやすさは異なる。近年、この違いには「前転移niche」と呼ばれる微小環境が関係していることがわかってきた。「前転移niche」とは、腫瘍の影響により遠隔臓器で形成される微小環境のことであり、同微小環境を足掛かりにして、腫瘍の転移が成立する。,若手研究,小区分57060:外科系歯学関連,口腔扁平上皮癌,腫瘍微小環境,前転移niche,転移niche,骨髄由来細胞,癌微小環境,口腔癌,扁平上皮癌,遠隔転移,GFP骨髄移植マウス,動物モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17223,大阪大学,皆木 瞳,唾液腺の損傷-再生過程を制御する因子の解明と治療への応用,近年、再生医学研究の飛躍的な進歩に伴い、様々な分野で臓器再生を目指した研究が行われている。臓器再生を行う上で、形態形成を捉えることは必須の事項であり、唾液腺や肺、腎臓の臓器形成などにみられる共通の現象として分枝形態形成が知られている。本研究は唾液腺が分枝形態形成を行うという視点から唾液腺損傷-再生過程を解析し、臓器再生に応用し治療に生かすための研究基盤を確立することが目的である。申請者はまずは損傷唾液腺の損傷回復過程と胎仔唾液腺の発生過程の比較を行うところから開始した。,若手研究,小区分57060:外科系歯学関連,唾液腺,再生,発生,組織再生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17222,名古屋大学,山口 聡,半導体レーザーを用いた新たな癌治療法開発とアブスコパル効果の検討,口腔癌に対しては集学的治療が行われているが、超高齢者や合併症を有する場合には適用が困難な場合がある。従来の集学的治療を補う、副作用や侵襲が小さく効果的な治療法の開発が望まれている。本研究では扁平上皮癌を移植したモデルマウスを用いて半導体レーザーの治療効果を検討した。半導体レーザー照射は腫瘍細胞のアポトーシスを誘導し、増大を抑制することが明らかとなった。アブスコパル効果については、その傾向がみられたものの、照射法や増加作用をもつ薬剤の併用などが必要と考えられた。,若手研究,小区分57060:外科系歯学関連,口腔癌,半導体レーザー,腫瘍免疫,アブスコパル効果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17221,金沢大学,平井 真理子,高転移性高浸潤性口腔癌の微小環境での腫瘍免疫調節機構の解明,本研究は以下の 4研究項目のもとに、EMTが誘導する 4D 型高浸潤口腔癌細胞や癌関連線維芽細胞の形成過程で発現低下する MMPを調べた。さらに、PD-L1 を分解する MMP を特定し、既存の抗がん剤のなかからこのMMP発現を上昇させるものを同定した。１、EMTが誘導する4D型高浸潤口腔癌や癌関連線維芽細胞の形成過程で発現低下するMMPの特定。２、EMTの誘導により4D型高浸潤口腔癌や癌関連線維芽細胞で発現低下するMMPのPD-L1分解活性の検討,若手研究,小区分57060:外科系歯学関連,PD-L1,口腔癌,MMP,腫瘍免疫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17220,新潟大学,坂上 馨,顎変形症に対するVisual feedbackを応用した新規筋機能療法の開発,コロナウイルスの影響で、臨床的な患者データを新たに採得することが不可能であった。過去のデータを元に有効な筋機能療法を検討するとともに、今後の研究の方向性を構築した。２年間のデータだけでは対象人数が十分とは言えないが、研究目的・研究実施計画に沿ったある程度の結果が３年間で発表できたと考えている。,若手研究,小区分57060:外科系歯学関連,舌圧,筋機能療法,骨格性下顎前突症,外科的矯正治療,嚥下,舌圧センサシート,顎変形症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17219,新潟大学,岸川 咲吏,唾液分泌機構における新たな分子シグナリングの解明,ヒト唾液腺細胞を用いて、GABAB受容体の発現を確認した。また、高血糖状態における唾液腺の細胞死の増減を確認する目的で、細胞を高グルコース、低グルコース環境で培養した結果、高グルコース状態の継続は細胞死を誘導することが示唆された。今後はGABAB受容体と細胞死マーカーの発現関連性について検討を行う。,若手研究,小区分57060:外科系歯学関連,唾液腺,ドライマウス,GABAB受容体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17218,東京大学,久保田 恵吾,腫瘍会合性マクロファージによる口腔扁平上皮癌の増殖・浸潤・転移機構の解明,腫瘍会合性マクロファージ（TAM）は、癌微小環境においてその役割が徐々に明らかになりつつある。本研究では、まずCD163、CD204、CD206のTAMマーカー（発現タンパク）の違いによる癌の浸潤能や増殖能に関する関与を、腫瘍細胞と共培養することにより検討した。本研究では、ヒトの病理検体による評価を行った上で、その細胞動態を検索するために細胞レベルでの実験を行なった。各種実験結果と臨床病理組織学的な評価にて、CD206発現TAMは、腫瘍の増殖に関与していることを明らかにした。,若手研究,小区分57060:外科系歯学関連,腫瘍免疫学,口腔扁平上皮癌,腫瘍関連マクロファージ,腫瘍会合性マクロファージ,TAM,免疫,分子標的薬,マクロファージ,免疫学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17217,東京大学,田澤 美樹,骨折治癒過程での転写因子Runx2獲得による細胞運命決定機構の解明,本研究は、胎生期骨発生において必須となる転写因子Runt-related transcription factor 2 (Runx2)とヘッジホッグシグナルの骨折治癒過程での働きに関してそのメカニズムの解明を目的に行われた。CAGCre-ERTM; Runx2fl/fl; R26RTomatoマウスを作製し、骨折治癒過程における骨修復に関わる因子の解明を目指した。また、Runx2+/-マウスの骨折モデルを作製し、Runx2の骨折治癒における役割について探究をおこなった。さらにシングルセル解析によりRunx２陽性の細胞集団が骨格系前駆細胞から成熟骨芽細胞まで連続的に発現していることが確認された。,若手研究,小区分57060:外科系歯学関連,Runx2,骨折治癒,骨疾患,シングルセル解析,一細胞RNA-seq解析,骨修復,骨折,ヘッジホッグ,Single Cell解析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K17216,山形大学,逸見 朋陽,薬剤関連顎骨壊死に対する亜鉛イオンを用いた新規治療法の開発,薬剤関連顎骨壊死の発症機序は不明である。疾患に対しての新規治療を検討するのに際してその発症機序を解明することが必要不可欠である。本研究では、ビスホスホネート系製剤と機械的ストレスが歯肉線維芽細胞に与える影響を調査した。その結果、ビスホスホネート系製剤による歯肉線維芽細胞への障害的な影響は、機械的ストレスにより増幅することが確認された。これにより、薬剤関連顎骨壊死が臓器特異的に発症する要因として機械的ストレスが影響を与えている可能性が示唆された。,若手研究,小区分57060:外科系歯学関連,薬剤関連顎骨壊死,歯肉線維芽細胞,ビスホスホネート系製剤,機械的ストレス,骨リモデリング,粘膜上皮ターンオーバー,口腔粘膜上皮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
