awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18046,国立研究開発法人情報通信研究機構,平山 孝弘,分散SDN制御網におけるリンク顕著性に着目したコントローラ配置・追加位置決定手法,与えられたネットワークトポロジーに対して、分散型のSDNコントローラの配置を決定する手法を考案した。NP困難な施設配置問題を解く従来のアプローチとは異なり、顕著性に着目してコントローラの配置を決定する手法を提案し、従来より少ない計算量で、コントローラ-スイッチ間の平均遅延を小さく抑える配置を求められることを確認した。,若手研究,小区分60060:情報ネットワーク関連,ソフトウェア定義ネットワーク(SDN),分散SDN制御,コントローラ配置問題,複雑系ネットワーク,ソフトウェア定義ネットワーク (SDN),ネットワーク仮想化 (NFV),情報ネットワーク,SDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18045,立命館大学,瀧本 栄二,ネットワークセキュリティを対象とした実ネットワーク指向シミュレータに関する研究,ネットワークシミュレータ上に，コマンド＆コントロール（C＆C）サーバを模倣するノードを作成し，実機上で動作するIoT機器を対象とするマルウェアMiraiおよびその亜種と通信させる機構を作成した．また，ネットワーク構造に依存しない仕組みを取り入れ，かつ通信内容をすべてシミュレータに引き込むことで，外部に影響を与えることなくマルウェアを動作させることを可能にした．これにより，ボット系マルウェアの解析や検証を容易にし，セキュリティ強化やセキュリティ教育への応用が期待できる．,若手研究,小区分60060:情報ネットワーク関連,情報セキュリティ,ネットワーク,マルウェア,シミュレーション,ネットワークセキュリティ,ネットワークシミュレータ,DDoS攻撃,ネットワークシミュレーション,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18044,早稲田大学,余 恪平,Applying a Unified Access Control Enforcement Mechanism for Information-centric Internet of Things,IoTとは、物理的なモノをインターネットに接続することである。IoTアプリケーションの急速な発展に伴い、ネットワーク上のトラフィックは急増し、既存のTCP/IP通信モデルは、大量のデータ伝送を前に、IPアドレスの不足、ネットワークセキュリティ、モバイル対応など、多くの問題が徐々に明らかになってきています。,若手研究,小区分60060:情報ネットワーク関連,情報指向ネットワーク,モノのインターネット,アクセス制御,access control,ICN,IoT,Internet of things,Access Control,Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18043,東京大学,空閑 洋平,DDoS緩和技術のためのACLルール数の大規模化,本研究では，ハードウェアACLによるDDoS緩和技術を検討した．本手法は，PCIeデバイスをホストPCに接続し，フィルタルールをホストメモリに保存，DMAを用いてPCIeデバイスがフィルタルールを直接検索する．その結果，大容量のフィルタルール数と処理性能を両立したDDoS緩和が可能になる．,若手研究,小区分60060:情報ネットワーク関連,DDoS緩和,PCI Express,ネットワークハードウェア,インターコネクト,ACL,FPGA,ページテーブル,DDoS mitigation,Network security,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18042,東京農工大学,根本 貴弘,母語と環境情報を活用した名前解決支援システムの設計と開発,本研究では、母語と環境情報を活用した名前解決支援システムの設計と開発として、母語による簡略化された名前と環境情報を連携することで生成可能な名前及びその名前解決手法を検討し、これによって、利用者が入力する簡略化された名前から利用者が意図したモノを正しく参照することを支援するシステムの設計・開発を行い評価した。本研究を通じて、本提案システムを用いることで、 ユーザフレンドリーな情報資源の参照手法の実現とインターネット上の情報資源として扱われるモノを統一的に参照することが可能であることが支持された。,若手研究,小区分60060:情報ネットワーク関連,名前解決システム,文字列照合,国際化文字列,IoT,サービスディスカバリ,環境情報,国際化識別子,名前解決,情報参照,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18041,九州大学,石田 繁巳,"マルチチャネル通信を利用した屋内BLE, ZigBee測位の精度向上に関する研究",本研究は，BLE（Bluetooth Low Energy）やZigBee（IEEE 802.15.4）などの省電力無線通信技術を用いた屋内測位の精度向上を目的としている．BLEやZigBeeなどの省電力無線通信技術は帯域幅が狭く，壁や天井などで複雑に反射した電波が入り交じる屋内マルチパス環境においては測位精度が大幅に低下する．本研究では，チャネルを切り替えながら通信した場合にチャネルごと・場所ごとに特性差が現れることに着目し，複数チャネルの通信特性差を利用して測位精度を向上させる技術を実現した．,若手研究,小区分60060:情報ネットワーク関連,センサネットワーク,センサ測位,測位システム,フィンガープリント法,屋内測位,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18040,大阪大学,久世 尚美,ヒトの脳の意思決定の仕組みに着想を得た攻撃傾向変化に適応的な異常検知の枠組み確立,申請者は、ネットワークの大規模化、多様化に伴う、サイバー攻撃の多様化への対策のため、脳の意思決定、学習の仕組みの応用について研究を実施した。,若手研究,小区分60060:情報ネットワーク関連,セキュリティ,集団的行動選択,強化学習,移動制御,アンチジャミング,情報ネットワーク,サイバーセキュリティ,意思決定,ネットワークセキュリティ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18039,大阪大学,岡家 豊,生体内バイオナノセンサネットワークのための感染型信号増幅伝播方式,本研究は、生物由来の素材からなる数ミクロンから数十ミクロン程度の大きさの自律移動型センサを用いて構築される、生体内バイオナノセンサネットワークを、既存の情報通信ネットワークと統合することを最終目的とする。その一歩として、生体内のセンサと外部のインターフェース間において、信頼性の高い通信を実現するためには、信号の増幅が必要となる。そこで本研究では、信号増幅の一方式である感染型信号増幅伝播方式（Epidemic routing）を生体内バイオナノセンサネットワークに応用し、計算機シミュレーションにより通信性能を評価した。また、その応用として薬物輸送システムと構造形成を設計し、計算機上で評価をした。,若手研究,小区分60060:情報ネットワーク関連,分子通信,バイオナノセンサネットワーク,信号増幅伝搬方式,IoBNT,信号増幅伝播方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18038,京都大学,津崎 善晴,管理者の意図を動的に反映するネットワークの自動管理,インターネットの構成要素の一つであるネットワークの管理負荷を低減するために管理者の意図を反映し維持するシステムのプロトタイプ構築を達成した．,若手研究,小区分60060:情報ネットワーク関連,ネットワーク,自動管理,ネットワーク管理,自動化,Intent-based Networking,Intent-Based Networking,ネットワークの自動管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18037,三重大学,森本 尚之,組合せ最適化に基づく電力割当制御システムのボトムアップによる広域化と高機能化,本研究課題では、組合せ最適化に基づく電力割当制御を広域化・高機能化し、電力消費を効率化するための手法を研究した。広域化としては、複数家庭を対象とした電力割当最適化問題や、電力割当制御に応用可能と考えられるいくつかの組合せ最適化問題に対する効率の良いスケジューリングのための最適化手法を提案した。高機能化としては特に、電力ネットワークにおける重要な要素である空調やバッテリーに着目し、IoT技術を活用したシステム構築により、電力割当のための最適化手法・制御手法の検討を行った。また、可能な限り実データを用いた検証を行いつつ、計算機シミュレーションも援用して有用性を評価した。,若手研究,小区分60060:情報ネットワーク関連,電力割当制御システム,組合せ最適化アルゴリズム,IoT,エネルギー管理システム,電力割当制御アルゴリズム,省エネルギー,アルゴリズム,電力供給制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
