awardnumber,organization,name,title,abstract,section,review_section,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55,keyword56
18K18135,株式会社国際電気通信基礎技術研究所,古川 淳一朗,EMGを用いたクラウド型動作推定によるアシストロボット制御の開発,本研究は、多くの他ユーザから集めたデータを再活用した新規ユーザに対するアシストロボット制御手法の構築を進めた。一般的に、ユーザから得られるセンサ情報をもとに制御する場合、予め取得したセンサデータとラベルデータとの規則性を事前に抽出し、その規則性に基づき推定した運動情報によりロボットを駆動する。一方、本研究では、装着者であるユーザから得た情報を他のユーザデータと照らし合わせることで、規則性を事前に抽出することなくアシストロボットを制御する手法を提案した。提案アルゴリズムの有効性は、モデルベースの一般的な回帰モデルと比較することで確認した。その結果、提案手法が有意に高精度であることを確認できた。,若手研究,小区分61050:知能ロボティクス関連,筋電図,運動推定,アシストロボット,協調フィルタリング,キャリブレーション,生体信号,運動推定アルゴリズムの検証,クラウド型動作推定,EMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18134,立命館大学,萩原 良信,概念のプロトタイプ獲得を可能とするロボットの認知モデルの構築と大規模転移学習,本研究は，場所の概念を画像，位置，言語等のマルチモーダル情報からボトムアップに獲得する確率的生成モデルを基盤として，場所の概念に基づく転移学習を可能とした．さらに概念におけるプロトタイプ（典型性）を獲得する計算論モデルを構築した．このモデルに基づく転移学習とプロトタイプ獲得の実験をシミュレーション環境で実施し，人間に近い場所の名前の予測が可能である事を明らかになした．さらに，獲得されたプロトタイプに基づく生活支援タスクを実現した．具体的には，構築したモデルによりロボットが獲得した「スポンジはよくバスルームで観測される」といった典型性の知識を活用し，未観測の物体の効率的な探索を可能とした．,若手研究,小区分61050:知能ロボティクス関連,転移学習,記号創発ロボティクス,生成モデル,生活支援ロボット,概念獲得,カテゴリゼーション,ベイズ推論,教師なし学習,概念形成,カテゴリ,概念,記号創発,マルチモーダル,認知モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18133,東京工芸大学,河野 仁,自己身体表象を基にした異なる身体性を有する学習ロボット間での転移学習,本研究課題では，ヒトの脳内に備わっているとされている身体表象の変容メカニズムを参考に，ロボットが身体性の違いを自動的に獲得する手法の開発が目的である．ロボットが自動的に身体の構造や各要素部品（リンクやジョイントなど）の接続関係，関係性を獲得することで，転移学習に必要な身体性の違いを記述しマッピング作業を自動化する．研究成果として，ロボットが自動的に身体構造を学習するボディキャリブレーションを提案・開発し，物理演算シミュレーション内で構築した仮想多脚型ロボットと2種類の実多脚型ロボットを用いて，それらのロボット間で強化学習と転移学習を実行し，提案手法の有用性を評価した．,若手研究,小区分61050:知能ロボティクス関連,強化学習,転移学習,身体図式,ボディキャリブレーション,多脚型ロボット,物理演算シミュレーション,身体マッピング,身体表象,自己身体表象,自律ロボット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18132,早稲田大学,大谷 拓也,人間の運動時の角運動量補償メカニズムに基づく人間型ロボットの上半身運動制御手法,本研究では，人間の運動時の角運動量補償メカニズムに基づく上半身運動制御手法を明らかにした．提案手法では，脚の運動を行った際の角運動量を計算し，立脚中には上半身により同等の角運動量を発生させることで全身の角運動量が小さい状態を維持し，跳躍中には全身の角運動量が保存されることから，ロボットの腰部の回転を防ぐように上半身により角運動量を発生させる運動制御とした．動力学シミュレーションを用いて，提案手法を用いない場合は跳躍中に腰部が大きく回転し着地に失敗してしまうが，提案手法を用いることで複数回の連続跳躍を行ってもその都度空中にて腰部姿勢を安定化させられることを確認した．,若手研究,小区分61050:知能ロボティクス関連,ロボティクス,ヒューマノイド,走行,角運動量,上半身,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18131,京都大学,Philamore Hemma,Energy-autonomous bio-integrative robots with multi-mode energy harvesting.,This research grant enabled me to support the research of several post-graduate and research students. I have started projects about gel soft robotic actuators which has stimulated new collaborations with the polymer chemistry and micro-engineering departments of kyoto university and resulted in several publications.,若手研究,小区分61050:知能ロボティクス関連,Bio-robots,soft robotics,bio-hybrid robots,magnetic robots,energy autonomy,bio-energy,Energy autonomy,Soft robotics,Multi-agent systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18130,東京工業大学,高木 敦士,Understand human tool-use in motion and contact for robotic tooling,この数年でディープラーニングや強化学習により優れたロボットが開発されているが、未だに道具を扱う素早い運動では人より数倍遅い。我々は人が道具の使い方を学ぶ時の運動学習を計測し、新たなインタラクションロボットの開発に挑んだ。作業中の腕の剛性時系列データを計測新たに生み出し、運動学習中の剛性の変化に着目した。,若手研究,小区分61050:知能ロボティクス関連,interaction robot,motor control,motor adaptation,interaction control,motor learning,robotic tooling,grasp force,endpoint stiffness,precision control,movement precision,force control,trajectory control,handheld tooling,computational modeling,robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18129,東京大学,小山 佳祐,近接覚を備えた高速ロボットによるインハンドマニピュレーションの研究,製品の自動組立作業を効率良く実施するためには，ピックアップした部品を手の中で姿勢変更する技術が必要である．本研究では，ロボットハンドで把持した物体の高速な回転操作の実現を目的とし，①省配線，小型，高精度な近接覚センサの開発と②高速センサフィードバックを利用した操作戦略を提案した．提案手法を用いることで，リモコンのフタを組み付ける繊細さが求められる作業を実現したほか，配置位置に不確かさが生じやすいセリー飲料の回転操作を実現した．,若手研究,小区分61050:知能ロボティクス関連,近接覚センサ,インハンドマニピュレーション,回転操作,高速ロボット,機械学習,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18K18128,東京大学,米倉 将吾,身体性を利用した運動予測プリミティブ構築に関する研究,ロボットなどの多自由度身体系の振る舞いは一般的に多くの自由度の相互作用により非常に複雑であり、この複雑さがモデル予測制御やモデルベースド強化学習のロボットへの適用を困難にしていた。これらを踏まえ、本研究では容易なロボットの運動予測を可能にする枠組みの構築を目指し、スパイキングニューロンが有する身体・環境ダイナミクスの自己組織化能力に着目するに至った。具体的にはスパイキングニューロンが有する、系全体の複雑性減少能力、運動の周期性向上能力、不安定点の制御安定化能力などが向上しえる事を発見した。これらの発見をもとに、様々な系にスパイキングニューロンによる制御実験を試みた。,若手研究,小区分61050:知能ロボティクス関連,自己組織化,スパイキングニューロン,ノイズ,筋骨格系,予測モデル,予測性,予測プリミティブ,reservoir computation,運動プリミティブ,Physical reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20380,国立研究開発法人産業技術総合研究所,熊谷 伊織,半未知環境の環境構成物記憶と作業依存関係に基づくヒューマノイドの作業手順計画法,"本研究では建設施工タスクのような作業の依存関係と環境の構成物が既知である作業を対象とし, その作業手順と構成物の配置が変化しうる環境を半未知環境として定義する. その上で, ヒューマノイドロボットが周囲の環境構造物, 作業の依存関係及び自己の運動学・動力学的制約を考慮しながら目的とする作業手順を自律的に生成する作業実行管理システムの構成法を明らかにすることを目的とする. そのために, 目標とする作業の依存関係とロボットの運動学・動力学制約を考慮した並列実行可能性の検証を行い, 環境構造物の意味論的地図と照らし合わせることで環境に応じた並列作業手順を動的に生成する作業実行管理手法を開発する.",若手研究,小区分61050:知能ロボティクス関連,動作計画,環境認識,作業計画,運動計画,マニピュレーション,ヒューマノイドロボット,エラーリカバリ,環境地図生成,作業手順計画,状態遷移,作業依存関係,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20379,国立情報学研究所,水地 良明,没入型VRを活用した対人誘導行動の評価手法の確立と対人誘導機能の構築への応用,人間を手助けするロボットは，物事や手順を的確に伝える能力を持つべきである．しかしながら，そのような対人誘導行動の良し悪しを定量化するための尺度は確立されておらず，より良い戦略を探るための評価，比較が困難となっている．本研究では，多様な環境・人間を対象とした被験者実験における膨大な実験コストや実験条件の制御の難しさなどの問題の解決方法として，没入型VRを活用する．VR内での被誘導者の挙動データの分析，第三者による主観評価結果との比較を通して，対人誘導行動の評価手法を確立する．さらに，確立した評価手法を活用したロボットの対人誘導機能の実装を通して，評価手法の有用性を明らかにする．,若手研究,小区分61050:知能ロボティクス関連,ヒューマンロボットインタラクション,評価基準,仮想現実感,ロボットシミュレータ,知能ロボティクス,没入型仮想現実,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20378,近畿大学,松谷 祐希,筋骨格構造の運動メカニズムに基づいた筋骨格型ロボットの開発,本研究の目的は，脊椎動物の筋骨格構造が巧みな運動の実現に，どのように貢献しているかを解明することである．申請者は筋骨格型ロボットを対象にした筋内力FF制御法を提案しており，筋内力を筋肉に与えることで，筋骨格型ロボットの運動を生成している．本研究では，筋肉の配置と運動の収束性などの運動特性と筋骨格構造の関係性を明らかにする．その結果に基づき，目的の運動に適した筋骨格構造の設計指針を確立する．さらに，筋内力に相当する張力を出力する定荷重バネを筋肉とみなし，姿勢の変化により生じる復元力を利用することで，アクチュエータを用いずに運動を生成可能な筋骨格型ロボットを開発する．,若手研究,小区分61050:知能ロボティクス関連,筋骨格構造,受動歩行,筋骨格システム,筋配置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20377,芝浦工業大学,重宗 宏毅,可逆的アクチュエーションによって自律的に駆動する印刷紙ロボットの開発,3Dプリンタやオープンソースハードウェアなど，機械要素・電子要素を簡便に作製する手法が台頭している．申請者は，簡便な構造形成手法として，インクジェット印刷によって紙が自律的に折れ曲がる構造形成法を提案した．本研究では，湿度応答性材料をインクに混合することで，湿度変化によって可逆的に駆動するアクチュエータを開発する．可逆的アクチュエータの開発は，1枚の紙に構造とアクチュエータを同時に印刷して，人の手を借りずに動く印刷紙ロボットの開発に繋がる．,若手研究,小区分61050:知能ロボティクス関連,ソフトロボット,Electronics free robot,スマートマテリアル,折り紙技術,ペーパーメカトロニクス,自動立体構造形成,ソフトアクチュエータ,ソフトマシン,溶液印刷,浸透現象,紙材料,アクチュエータ,インクジェット印刷,自律構造形成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20376,豊橋技術科学大学,長谷川 孔明,人とロボットの〈相互主体的な関係〉を実現する能動性を含む相互適応モデルの構築,人同士は自己の主体を押し出しながらも相手の主体を受け入れる〈相互主体的な関係〉のなかで生きている。一方、人と機械やロボットの関係は、人が一方的に機械に要求を押し付け実行させることがほとんどである。本研究では、人とロボットの間でも〈相互主体的な関係〉を築くことを目指す。具体的には、人に合わせて挙動を変化させて調整していく相互適応モデルを拡張し、人に合わせるだけではなくロボット側からも自己を主張する、「能動性を含んだ相互適応モデル」を構築する。これにより、人からロボットに一方的に命令する関係ではなく、人とロボットの間で互いに委ねあいながら何かを成し遂げる関係の構築を目指す。,若手研究,小区分61050:知能ロボティクス関連,ヒューマンロボットインタラクション,Human Agent Interaction,ヒューマンエージェントインタラクション,向社会的行動,三項関係,相互主体性,相互適応モデル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20375,名古屋大学,有泉 亮,統計的機械学習の手法を用いたデータ駆動型非線形準最適制御,実験に基づく最適化法として応答曲面法が注目されている．この方法では比較的限定的な実験回数で最適解を探索可能であることから，実験に時間・労力・費用がかかる場合などに適していると考えられている．しかし，移動ロボットなどの高次元システムへの適用を想定すると，実用的な回数実験で最適解を得ることは難しい．そこで，本研究では高次元なシステムでも実用的な回数の実験で最適化を行うための工夫について考察する．また，単なるパラメータ最適化ではなく，最適制御問題へ応用するための考察を行う．,若手研究,小区分61050:知能ロボティクス関連,強化学習,ロボティクス,制御工学,ロボット,マイクロデータ,多自由度ロボット,応答曲面法,最適制御,機械学習,データ駆動型制御,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20374,信州大学,長濱 虎太郎,生活支援ロボットのための見え隠れ状況を活用する視覚観察学習法,本研究では、生活支援ロボットが道具や不定形物の操作法を人から観察して学習するためのロボット視覚の研究開発をおこなう。従来のロボット視覚は、観察対象が見えない場合の状況推定を不得手としていた。一方で人間の視覚は、観察対象が見えなくなることをも手がかりとして用いることで、重なる・入る・切り込むといった状況を把握できていると考えられる。そこで本研究では、観察対象の見え隠れを特徴量の一つとして活用し、多様な状況推定を可能とするロボット視覚の開発をおこなう。さらに生活支援ロボットシステムへ統合し、生活支援作業の観察学習における有効性を検証する。,若手研究,小区分61050:知能ロボティクス関連,観察学習,ロボットビジョン,生活支援ロボット,遮蔽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20373,東京大学,木村 航平,不安定な搭乗型機器上でのヒューマノイドの拡張型バランス安定化と移動形態の可変構成,本研究は，人間が乗って移動する搭乗型機器を人間の身体構成を模したヒューマノイドロボットが利用する上での汎用性を高めることを目的とする．,若手研究,小区分61050:知能ロボティクス関連,ロボティクス,ヒューマノイド,制御,移動形態の可変構成,形態変化ロボット,吸盤併用グリッパ,登攀ロボット,搭乗型機器,拡張型バランス安定化制御,トランスフォーマブルロボット,ヒューマノイドロボット,脚車輪ロボット,回転傾斜面,シーソー・倒立振子モデル,バランス安定化,セグウェイ,不安定性の解消,安定余裕最大化,転倒防止機能,脚車輪型ロボット,移動ロボット,拡張型バランス安定化,移動形態可変構成,知能ロボティクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19K20372,東京大学,小島 邦生,ヒューマノイドの構成要素解析に基づく身体構造構成法の解明と全身動作制御への応用,ヒューマノイドは人の身体構造に適した環境で人の代わりに様々なタスクを行える身体動作機能が求められるが，従来研究では求められる多数の動作機能を一つの身体構造に統合できないという課題があった．本研究では身体構成要素のモデル化と性能の定量化に基づいたヒューマノイドの身体構造の解析と設計により，要求される動作機能（特に人と同程度の関節のトルク追従性・角度追従性・出力/重量比）を達成できるヒューマノイドの身体構造の構成法を明らかにする．さらに実際に設計・製作したヒューマノイドを用いて従来のヒューマノイドで不得手とされる動的な動作や環境と多点で多様に接触する動作を達成できるような全身動作制御法を解明する．,若手研究,小区分61050:知能ロボティクス関連,ヒューマノイド,身体構造設計,動作制御,関節トルク制御,跳躍動作実現,身体構造の構成法,ヒューマノイドロボット,全身動作実現,身体構成論,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
